Decade | ID   | Count | GDP (Med)  | Agri%  | Ind%   | Serv%  | Urb%   | Trade% | Countries
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1980   | 1    | 83    | 15.23      | 41.3   | 16.0   | 38.7   | 18.5   | 36.8   | Bangladesh, Benin, Burkina Faso, Burundi, Central African Republic, Chad, Ethiop...
1980   | 3    | 57    | 24.37      | 25.6   | 19.3   | 50.9   | 32.9   | 55.2   | Benin, Cameroon, Central African Republic, Congo, Dem. Rep., Cote d'Ivoire, El S...
1980   | 2    | 62    | 29.88      | 24.3   | 29.1   | 38.3   | 25.2   | 44.2   | Albania, Cameroon, China, Eswatini, Gambia, The, Guinea, Haiti, Honduras, India,...
1980   | 10   | 115   | 46.08      | 17.1   | 31.8   | 46.3   | 53.4   | 49.4   | Albania, Algeria, Azerbaijan, Belarus, Bolivia, Brazil, Colombia, Congo, Dem. Re...
1980   | 8    | 29    | 50.27      | 8.2    | 53.6   | 35.5   | 63.6   | 85.1   | Belarus, Botswana, Bulgaria, Congo, Rep., Gabon, Iraq, Kuwait, Oman, Russian Fed...
1980   | 7    | 67    | 50.59      | 12.9   | 36.2   | 45.7   | 52.1   | 69.1   | Albania, Algeria, Austria, Botswana, Chile, Eswatini, Finland, Gabon, Georgia, G...
1980   | 6    | 5     | 72.38      | 0.8    | 33.2   | 62.0   | 100.0  | 336.9  | Singapore
1980   | 9    | 129   | 73.93      | 7.2    | 28.8   | 56.7   | 71.2   | 63.0   | Argentina, Australia, Austria, Belarus, Belgium, Canada, Chile, Congo, Rep., Cyp...
1980   | 5    | 40    | 78.83      | 4.6    | 34.5   | 53.8   | 77.1   | 101.8  | Austria, Bahrain, Czechia, Finland, Hong Kong SAR, China, Japan, Kuwait, New Zea...
1980   | 4    | 8     | 79.44      | 3.9    | 26.4   | 62.6   | 80.9   | 87.0   | Belgium, Germany, Kuwait, Netherlands
1990   | 2    | 74    | 14.94      | 39.7   | 17.5   | 36.9   | 23.2   | 47.2   | Bangladesh, Benin, Burkina Faso, Burundi, Central African Republic, Chad, Congo,...
1990   | 3    | 79    | 26.62      | 22.4   | 23.9   | 44.6   | 31.6   | 51.9   | Azerbaijan, Bangladesh, Benin, Burkina Faso, Cameroon, Central African Republic,...
1990   | 1    | 54    | 27.28      | 25.4   | 24.8   | 44.7   | 38.4   | 55.4   | Albania, Azerbaijan, Benin, Bolivia, Congo, Dem. Rep., Cote d'Ivoire, Ecuador, E...
1990   | 7    | 21    | 39.57      | 16.8   | 39.1   | 42.6   | 39.3   | 95.8   | Azerbaijan, China, Indonesia, Kazakhstan, Malaysia, Mauritania, Mongolia, Thaila...
1990   | 10   | 71    | 43.01      | 13.0   | 28.9   | 48.9   | 52.6   | 80.0   | Albania, Azerbaijan, Bolivia, Costa Rica, Dominican Republic, Egypt, Arab Rep., ...
1990   | 6    | 24    | 46.10      | 7.5    | 45.9   | 41.0   | 50.9   | 89.5   | Algeria, Botswana, Congo, Rep., Eswatini, Gabon, Trinidad and Tobago
1990   | 9    | 63    | 50.61      | 11.2   | 33.4   | 48.6   | 66.6   | 60.0   | Argentina, Belarus, Brazil, Bulgaria, Chile, Colombia, Ecuador, Hungary, Indones...
1990   | 5    | 49    | 64.72      | 6.6    | 43.4   | 45.7   | 73.6   | 70.8   | Bahrain, Belarus, Chile, Czechia, Dominican Republic, Gabon, Iran, Islamic Rep.,...
1990   | 4    | 17    | 80.67      | 1.5    | 30.0   | 61.9   | 89.4   | 225.0  | Bahrain, Belgium, Hong Kong SAR, China, Ireland, Malaysia, Netherlands, Norway, ...
1990   | 8    | 143   | 81.30      | 3.5    | 25.8   | 61.8   | 75.1   | 66.9   | Argentina, Australia, Austria, Belgium, Brazil, Bulgaria, Canada, Chile, Colombi...
2000   | 2    | 149   | 21.92      | 26.5   | 21.3   | 44.1   | 31.9   | 50.6   | Bangladesh, Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Ch...
2000   | 1    | 12    | 26.20      | 11.6   | 30.7   | 49.9   | 33.5   | 75.8   | Haiti, Lesotho, Zambia
2000   | 6    | 43    | 42.03      | 13.6   | 38.4   | 44.0   | 42.6   | 88.6   | Albania, Azerbaijan, Belarus, China, India, Indonesia, Iran, Islamic Rep., Kazak...
2000   | 10   | 107   | 46.25      | 10.2   | 30.4   | 51.2   | 59.4   | 80.4   | Albania, Azerbaijan, Belarus, Bolivia, Botswana, Bulgaria, Cameroon, Chile, Cost...
2000   | 7    | 57    | 51.71      | 4.7    | 53.5   | 39.4   | 66.1   | 83.2   | Algeria, Azerbaijan, Botswana, Congo, Rep., Eswatini, Gabon, Iran, Islamic Rep.,...
2000   | 9    | 13    | 55.90      | 9.6    | 29.1   | 49.7   | 70.6   | 55.4   | Argentina, Belarus, Congo, Dem. Rep., Dominican Republic, Ecuador, Romania, Russ...
2000   | 8    | 67    | 60.60      | 4.8    | 24.6   | 60.2   | 71.4   | 75.5   | Argentina, Brazil, Bulgaria, Chile, Colombia, Costa Rica, Cyprus, Georgia, Greec...
2000   | 5    | 1     | 78.86      | 2.1    | 14.5   | 71.6   | 67.5   | 108.9  | Cyprus
2000   | 3    | 31    | 84.28      | 2.5    | 26.4   | 64.5   | 78.8   | 229.5  | Belgium, Hong Kong SAR, China, Hungary, Ireland, Malaysia, Netherlands, Panama, ...
2000   | 4    | 115   | 85.10      | 1.8    | 26.2   | 62.9   | 78.8   | 77.8   | Australia, Austria, Bahrain, Belgium, Canada, Chile, Cyprus, Czechia, Denmark, F...
2010   | 2    | 117   | 24.01      | 25.5   | 22.6   | 45.0   | 34.1   | 50.6   | Bangladesh, Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Ch...
2010   | 1    | 21    | 29.41      | 17.8   | 24.7   | 50.6   | 45.2   | 67.2   | Eswatini, Haiti, Lesotho, Sudan, Syrian Arab Republic, Zimbabwe
2010   | 5    | 145   | 46.17      | 11.7   | 30.1   | 51.0   | 55.9   | 70.9   | Albania, Algeria, Bangladesh, Belarus, Bolivia, Botswana, China, Colombia, Domin...
2010   | 3    | 30    | 53.14      | 4.5    | 52.7   | 40.3   | 71.7   | 80.3   | Algeria, Azerbaijan, Congo, Rep., Eswatini, Gabon, Iran, Islamic Rep., Iraq, Kuw...
2010   | 4    | 62    | 57.57      | 4.6    | 22.1   | 62.5   | 70.0   | 73.8   | Argentina, Botswana, Brazil, Bulgaria, Colombia, Costa Rica, Eswatini, Georgia, ...
2010   | 8    | 5     | 77.84      | 1.9    | 11.5   | 74.7   | 67.0   | 138.1  | Cyprus
2010   | 7    | 178   | 79.60      | 2.9    | 27.4   | 61.8   | 78.4   | 78.7   | Argentina, Australia, Austria, Azerbaijan, Bahrain, Belarus, Belgium, Brazil, Bu...
2010   | 6    | 37    | 85.65      | 1.5    | 24.4   | 65.6   | 76.5   | 224.1  | Bahrain, Belgium, Czechia, Hong Kong SAR, China, Hungary, Ireland, Netherlands, ...
2020   | 2    | 23    | 25.57      | 25.7   | 23.6   | 41.0   | 36.0   | 50.2   | Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, D...
2020   | 1    | 3     | 26.15      | 23.1   | 23.9   | 47.7   | 56.0   | 71.5   | Haiti, Lesotho, Syrian Arab Republic
2020   | 4    | 26    | 46.51      | 12.2   | 29.0   | 51.4   | 57.7   | 72.3   | Albania, Algeria, Argentina, Bangladesh, China, Egypt, Arab Rep., El Salvador, G...
2020   | 3    | 4     | 52.34      | 5.3    | 56.7   | 34.0   | 70.8   | 86.5   | Azerbaijan, Congo, Rep., Gabon, Iraq
2020   | 6    | 13    | 58.17      | 5.1    | 24.4   | 60.8   | 67.2   | 95.6   | Botswana, Brazil, Bulgaria, Colombia, Costa Rica, Eswatini, Georgia, Greece, Jor...
2020   | 8    | 23    | 66.54      | 4.5    | 37.8   | 52.2   | 75.4   | 91.5   | Bahrain, Belarus, Bolivia, Chile, Czechia, Dominican Republic, Ecuador, Kazakhst...
2020   | 5    | 6     | 82.66      | 1.3    | 24.9   | 65.4   | 73.8   | 255.1  | Hong Kong SAR, China, Hungary, Ireland, Singapore, Slovak Republic, Slovenia
2020   | 7    | 21    | 87.52      | 1.9    | 21.6   | 67.5   | 82.1   | 96.0   | Australia, Austria, Belgium, Canada, Cyprus, Denmark, Finland, France, Germany, ...
