Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,target
12669,9656,7561,214,2674,1338,1
7057,9810,9568,1762,3293,1776,1
6353,8808,7684,2405,3516,7844,1
13265,1196,4221,6404,507,1788,1
22615,5410,7198,3915,1777,5185,1
9413,8259,5126,666,1795,1451,1
12126,3199,6975,480,3140,545,1
7579,4956,9426,1669,3321,2566,1
5963,3648,6192,425,1716,750,1
6006,11093,18881,1159,7425,2098,1
3366,5403,12974,4400,5977,1744,1
13146,1124,4523,1420,549,497,1
31714,12319,11757,287,3881,2931,1
21217,6208,14982,867,6580,1936,1
24653,9465,12091,294,5058,2168,1
10253,1114,3821,397,964,412,1
1020,8816,12121,134,4508,1080,1
5876,6157,8918,987,3746,1815,1
18601,6327,10099,2205,2767,3181,1
7780,2495,9464,669,2518,501,1
17546,4519,4602,1066,2259,2124,1
5567,871,2010,3383,375,569,1
31276,1917,4469,9408,2381,4334,1
26373,36423,22019,5154,4337,16523,1
22647,9776,13792,2915,4482,5778,1
16165,4230,7595,201,4003,57,1
9898,961,2861,3151,242,833,1
14276,1609,2693,3786,388,1312,1
6627,7677,6971,1810,3015,1717,1
9061,3581,6122,3420,1041,2746,1
7107,11068,11200,38,4150,492,1
7257,1599,6372,627,2043,1173,1
7691,2137,3829,4510,610,1100,1
28526,6349,9724,6350,1774,2557,1
3013,1820,4478,1716,1296,687,1
2617,4753,8249,170,3515,460,1
30624,7209,4897,18,2959,4710,0
2126,3289,23779,15,15555,949,0
14571,4743,5765,571,2150,1323,0
8287,7354,7949,170,3363,628,0
6633,2096,4563,1389,1860,1892,0
2604,3204,4418,571,1429,699,0
2139,5765,6365,1272,2480,1573,0
10297,1945,5765,1527,1870,4752,0
3045,6365,8213,1272,3626,480,0
1907,1779,2635,1368,570,903,0
4235,8365,10952,637,4812,648,0
5765,1305,3692,3441,1235,1495,0
2096,4973,9526,203,4216,712,0
3469,7765,9859,142,4428,490,0
680,5765,7312,36,3102,420,0
788,5765,9498,112,4293,585,0
5765,3457,7823,1040,3615,571,0
788,6512,9234,73,4134,510,0
1090,3865,7465,89,3497,440,0
4623,7623,9678,876,4234,712,0
1840,4412,8765,80,3912,530,0
2325,6234,10234,114,4523,620,0
576,3127,5765,96,2612,368,0
3047,7634,11234,98,5012,702,0
1264,3789,5987,72,2456,340,0
3980,7456,9876,130,4187,590,0
936,5765,8234,85,3765,498,0
2879,5432,7654,104,3234,456,0
1573,4321,6543,92,2876,398,0
2946,6789,9012,118,4012,567,0
1098,3654,5876,78,2543,354,0
4012,7890,10345,142,4567,634,0
1432,4567,6789,95,2987,412,0
3456,6543,8765,126,3876,543,0
1765,4890,7012,102,3123,432,0
2890,5678,7890,112,3456,487,0
1234,3987,6123,87,2765,378,0
3765,7234,9567,134,4321,598,0
1543,4654,6876,98,3012,423,0
2678,5432,7654,108,3234,465,0
1876,4123,6234,93,2876,398,0
