lambda_,max_neurons,n_iter,init_size,random_state,n_neurons,k_1980,k_1990,k_2000,k_2010,k_2020,k_mean,k_range,k_std,k_cv,avg_db,avg_sil,neurons_1980,neurons_1990,neurons_2000,neurons_2010,neurons_2020,error
3.0,55,60,"(2, 2)",42,55,5,2,5,5,15,6.4,13,4.454211490264018,0.6959705453537527,0.6531252094245765,0.3602854556413802,50,44,52,49,32,
3.0,55,60,"(2, 2)",123,55,4,4,4,4,11,5.4,7,2.8000000000000003,0.5185185185185185,0.6609270414203434,0.3292736185769055,52,43,53,52,33,
3.0,55,60,"(2, 2)",77,55,15,2,15,15,15,12.4,13,5.2,0.41935483870967744,0.687798938266873,0.3076186420741055,53,46,54,49,35,
3.0,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
3.0,55,80,"(2, 2)",123,55,4,2,9,5,10,6.0,8,3.03315017762062,0.5055250296034367,0.7074472845768723,0.34228681534518124,53,43,53,49,32,
3.0,55,80,"(2, 2)",77,55,2,5,2,2,4,3.0,3,1.2649110640673518,0.4216370213557839,0.6478597111847126,0.47783495382709396,52,44,54,51,32,
3.0,55,100,"(2, 2)",42,55,5,15,2,9,14,9.0,13,5.019960159204453,0.5577733510227171,0.6824098452688182,0.33057004520200556,54,45,54,47,36,
3.0,55,100,"(2, 2)",123,55,2,14,5,3,15,7.8,13,5.5641710972974225,0.7133552688842849,0.6673285825213193,0.33872970297555705,51,42,52,48,34,
3.0,55,100,"(2, 2)",77,55,2,2,2,3,14,4.6,12,4.715930449020639,1.025202271526226,0.67804923380969,0.44270337288491596,52,45,55,50,31,
3.0,60,60,"(2, 2)",42,60,6,2,7,8,11,6.8,9,2.9257477676655586,0.4302570246566998,0.6593811968956101,0.3840883075264565,56,49,55,54,34,
3.0,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
3.0,60,60,"(2, 2)",77,60,3,15,15,15,15,12.6,12,4.800000000000001,0.38095238095238104,0.6580726037153408,0.2697991495312222,52,47,56,50,36,
3.0,60,80,"(2, 2)",42,60,2,2,3,6,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6516760448221852,0.4544937253771174,55,49,58,51,35,
3.0,60,80,"(2, 2)",123,60,5,14,4,5,11,7.8,10,3.9698866482558417,0.5089598266994669,0.6878470224934874,0.28176939897558295,58,44,58,53,33,
3.0,60,80,"(2, 2)",77,60,2,2,2,10,12,5.6,10,4.454211490264018,0.7953949089757175,0.6110514980264767,0.4568410738176715,57,48,58,53,33,
3.0,60,100,"(2, 2)",42,60,6,4,6,3,4,4.6,3,1.2,0.2608695652173913,0.6926715202418076,0.3695340185776895,57,49,57,50,32,
3.0,60,100,"(2, 2)",123,60,5,2,4,4,3,3.6,3,1.019803902718557,0.28327886186626583,0.701636008912925,0.3914381026399889,56,45,58,55,36,
3.0,60,100,"(2, 2)",77,60,8,2,2,3,3,3.6,6,2.244994432064365,0.6236095644623235,0.6557563053599123,0.4473703874080101,56,48,60,52,35,
3.0,65,60,"(2, 2)",42,65,2,2,7,8,15,6.8,13,4.791659420284375,0.7046557971006434,0.6529894485887436,0.4225831032597741,58,50,63,54,35,
3.0,65,60,"(2, 2)",123,65,2,2,5,15,4,5.6,13,4.841487374764082,0.8645513169221575,0.6874793074369563,0.4188511790875567,62,49,65,57,41,
3.0,65,60,"(2, 2)",77,65,15,11,15,3,4,9.6,12,5.2,0.5416666666666667,0.7226338893240195,0.3109737076157697,62,51,61,54,36,
3.0,65,80,"(2, 2)",42,65,5,2,5,4,12,5.6,10,3.3823069050575527,0.6039833759031344,0.7160623062441347,0.35897478805215055,61,48,60,56,37,
3.0,65,80,"(2, 2)",123,65,6,2,14,13,4,7.8,12,4.833218389437829,0.6196433832612601,0.7110197396039406,0.37292051107682905,60,51,63,57,37,
3.0,65,80,"(2, 2)",77,65,2,2,9,3,3,3.8,7,2.638181191654584,0.6942582083301537,0.6603012494351075,0.445551762907838,59,49,62,56,36,
3.0,65,100,"(2, 2)",42,65,3,3,7,3,3,3.8,4,1.6,0.4210526315789474,0.6635906666926578,0.3728087095145779,56,54,63,56,40,
3.0,65,100,"(2, 2)",123,65,2,2,7,10,3,4.8,8,3.1874754901018454,0.6640573937712179,0.6574236758358006,0.4392389656941763,60,49,63,55,39,
3.0,65,100,"(2, 2)",77,65,2,2,2,3,3,2.4,1,0.4898979485566356,0.2041241452319315,0.6332818560850695,0.48281800347608844,61,49,63,55,35,
3.5,55,60,"(2, 2)",42,55,5,2,5,5,15,6.4,13,4.454211490264018,0.6959705453537527,0.6531252094245765,0.3602854556413802,50,44,52,49,32,
3.5,55,60,"(2, 2)",123,55,4,4,4,4,11,5.4,7,2.8000000000000003,0.5185185185185185,0.6609270414203434,0.3292736185769055,52,43,53,52,33,
3.5,55,60,"(2, 2)",77,55,15,2,15,15,15,12.4,13,5.2,0.41935483870967744,0.687798938266873,0.3076186420741055,53,46,54,49,35,
3.5,55,80,"(2, 2)",42,55,2,2,6,3,4,3.4,4,1.4966629547095764,0.4401949866792872,0.6400856248504357,0.45424694334352356,52,42,54,51,32,
3.5,55,80,"(2, 2)",123,55,4,2,9,5,10,6.0,8,3.03315017762062,0.5055250296034367,0.7074472845768723,0.34228681534518124,53,43,53,49,32,
3.5,55,80,"(2, 2)",77,55,2,5,2,2,4,3.0,3,1.2649110640673518,0.4216370213557839,0.6478597111847126,0.47783495382709396,52,44,54,51,32,
3.5,55,100,"(2, 2)",42,55,5,15,2,9,14,9.0,13,5.019960159204453,0.5577733510227171,0.6824098452688182,0.33057004520200556,54,45,54,47,36,
3.5,55,100,"(2, 2)",123,55,2,14,5,3,15,7.8,13,5.5641710972974225,0.7133552688842849,0.6673285825213193,0.33872970297555705,51,42,52,48,34,
3.5,55,100,"(2, 2)",77,55,2,2,2,3,14,4.6,12,4.715930449020639,1.025202271526226,0.67804923380969,0.44270337288491596,52,45,55,50,31,
3.5,60,60,"(2, 2)",42,60,6,2,7,8,11,6.8,9,2.9257477676655586,0.4302570246566998,0.6593811968956101,0.3840883075264565,56,49,55,54,34,
3.5,60,60,"(2, 2)",123,60,2,4,5,5,5,4.2,3,1.16619037896906,0.27766437594501425,0.6785352603756357,0.4032491184185435,56,44,58,52,35,
