lambda_,max_neurons,n_iter,window_size,step_size,n_neurons,n_samples,db_1990,db_2000,db_2010,db_2020,mean_db,min_db,max_db,time_seconds
1.0,60,150,3,1,60,5280,0.8166799257483566,0.7772327171840278,0.7264960396065164,0.6124173610842158,0.733206510905779,0.6124173610842158,0.8166799257483566,13.4
1.0,60,150,3,2,60,2640,0.5105527946978589,0.706340448208597,0.7557153863016393,0.6798930579262911,0.6631254217835966,0.5105527946978589,0.7557153863016393,1.8
1.0,60,150,5,1,60,4950,0.7785338739314338,0.7402689665057923,0.7067633685913112,,0.7418554030095125,0.7067633685913112,0.7785338739314338,4.8
1.0,60,150,5,2,60,2475,0.610662463001225,0.775667765224202,0.7344165731310924,,0.7069156004521732,0.610662463001225,0.775667765224202,2.5
1.0,60,200,3,1,60,5280,0.5405338972160663,0.6949159495236978,0.785615922735308,0.6356899797088867,0.6641889372959897,0.5405338972160663,0.785615922735308,4.4
1.0,60,200,3,2,60,2640,0.6389956166119742,0.6950015763768834,0.8084272308061563,0.5606803571731607,0.6757761952420436,0.5606803571731607,0.8084272308061563,2.4
1.0,60,200,5,1,60,4950,0.7207067658096162,0.7916776168749848,0.6951503745091356,,0.7358449190645789,0.6951503745091356,0.7916776168749848,6.0
1.0,60,200,5,2,60,2475,0.6083468023061798,0.7480491689290459,0.7186549476758782,,0.6916836396370346,0.6083468023061798,0.7480491689290459,3.1
1.0,60,250,3,1,60,5280,0.8254099148786098,0.6918931556837595,0.6830334781651742,0.6313697276164596,0.7079265690860008,0.6313697276164596,0.8254099148786098,5.2
1.0,60,250,3,2,60,2640,0.7583239594659148,0.6943186685643927,0.8508946765993226,0.5604052118136473,0.7159856291108194,0.5604052118136473,0.8508946765993226,2.7
1.0,60,250,5,1,60,4950,0.7291294537729471,0.7480966405044768,0.7069049794128857,,0.7280436912301033,0.7069049794128857,0.7480966405044768,7.5
1.0,60,250,5,2,60,2475,0.20404594033616238,0.7456386482641247,0.6904762850017091,,0.5467202912006655,0.20404594033616238,0.7456386482641247,3.7
1.0,60,300,3,1,60,5280,0.5106713051881613,0.6912713169909811,0.6824249111036145,0.6363479034301116,0.6301788591782171,0.5106713051881613,0.6912713169909811,6.1
1.0,60,300,3,2,60,2640,0.7278050110920843,0.695493401765598,0.8282374507266582,0.5605487807578178,0.7030211610855396,0.5605487807578178,0.8282374507266582,3.2
1.0,60,300,5,1,60,4950,0.7503717477612133,0.7044726712746897,0.6801972751058297,,0.711680564713911,0.6801972751058297,0.7503717477612133,9.2
1.0,60,300,5,2,60,2475,0.7590032532872255,0.7816940275948007,0.7183838713627565,,0.7530270507482609,0.7183838713627565,0.7816940275948007,4.8
1.0,80,150,3,1,80,5280,0.7938045962148281,0.5211921472879381,0.7930322446224926,0.7121280101604351,0.7050392495714235,0.5211921472879381,0.7938045962148281,4.3
1.0,80,150,3,2,80,2640,0.7261732641177367,0.652804417010609,0.6549089833140966,0.6167228579016459,0.662652380586022,0.6167228579016459,0.7261732641177367,2.2
1.0,80,150,5,1,80,4950,0.6962640209911212,0.8763525038278772,0.6257478640005607,,0.7327881296065198,0.6257478640005607,0.8763525038278772,6.1
1.0,80,150,5,2,80,2475,0.5089346256267812,0.6542619199097718,0.6468810923882564,,0.6033592126416031,0.5089346256267812,0.6542619199097718,3.1
1.0,80,200,3,1,80,5280,0.7294732362674576,0.79781669427999,0.7794667911229607,0.5930297242371327,0.7249466114768852,0.5930297242371327,0.79781669427999,5.6
1.0,80,200,3,2,80,2640,0.4809026449257107,0.6805405682914857,0.7658394010101252,0.6218599029971307,0.637285629306113,0.4809026449257107,0.7658394010101252,2.9
1.0,80,200,5,1,80,4950,0.5645318470992445,0.6809118973777692,0.6932656816660243,,0.6462364753810127,0.5645318470992445,0.6932656816660243,8.0
1.0,80,200,5,2,80,2475,0.5104422722474267,0.6467856917339196,0.7196434366218807,,0.6256238002010757,0.5104422722474267,0.7196434366218807,4.0
1.0,80,250,3,1,80,5280,0.5394118790883587,0.8157989931295135,0.8121545247589984,0.6901998232070563,0.7143913050459818,0.5394118790883587,0.8157989931295135,6.9
1.0,80,250,3,2,80,2640,0.7430588580009638,0.8110826419494331,0.7979341920626719,0.6597725238325464,0.7529620539614039,0.6597725238325464,0.8110826419494331,3.7
1.0,80,250,5,1,80,4950,0.5633839533685518,0.7992777129052974,0.716554518159664,,0.6930720614778377,0.5633839533685518,0.7992777129052974,10.3
1.0,80,250,5,2,80,2475,0.5155712289385629,0.7533172710478786,0.7506442910829279,,0.6731775970231232,0.5155712289385629,0.7533172710478786,5.1
1.0,80,300,3,1,80,5280,0.5397482317257238,0.8160478053499903,0.8127711102374685,0.6923482817561918,0.7152288572673436,0.5397482317257238,0.8160478053499903,8.5
1.0,80,300,3,2,80,2640,0.7514079663517861,0.7972938776730629,0.8344813743298718,0.6207521694085025,0.7509838469408059,0.6207521694085025,0.8344813743298718,4.3
1.0,80,300,5,1,80,4950,0.5450310545527814,0.769643077620303,0.6637953546552432,,0.659489828942776,0.5450310545527814,0.769643077620303,12.4
1.0,80,300,5,2,80,2475,0.5686619626660486,0.8286942782272424,0.7522252862320753,,0.7165271757084554,0.5686619626660486,0.8286942782272424,6.2
1.0,100,150,3,1,100,5280,0.5050487243479843,0.9335475943425396,0.8388217815424652,0.6215578043908562,0.7247439761559613,0.5050487243479843,0.9335475943425396,5.2
1.0,100,150,3,2,100,2640,0.5476182721488889,0.919468743719414,0.8709916914070933,0.6127163546168966,0.7376987654730732,0.5476182721488889,0.919468743719414,2.7
1.0,100,150,5,1,100,4950,0.472784882723755,0.9607471323640001,0.8017653428663367,,0.7450991193180306,0.472784882723755,0.9607471323640001,7.6
