country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
AR,Argentina,1990,1992,1990,2,3,5,8115.09386370753,14.9908589999441,,8.12367620787488,36.0218813478135,86.9197327116719,,13.9969815756662,92.1548004150391,0.0,55.8544476443929,19.7251979893811,3.034,1.29887904052817,8729.82318518892,13.7530541588891,5.44,6.71649176009431,32.7225282556322,87.2150276705697,,14.6369773950796,92.4921875,,60.5611985052019,16.2340150185736,3.012,1.28557885422783,9293.18692251748,14.730980586353,6.36,5.99078709147934,30.6839549022114,87.4815873775619,,16.7024057741857,92.8294525146484,0.00299,63.3252164422299,15.167803750012,2.987,1.9367945155154
AR,Argentina,1992,1994,1990,2,4,5,9293.18692251748,14.730980586353,6.36,5.99078709147934,30.6839549022114,87.4815873775619,,16.7024057741857,92.8294525146484,0.00299,63.3252164422299,15.167803750012,2.987,1.9367945155154,9920.67358582437,16.223151447784,10.1,5.13682648211779,27.338739645861,87.7307713525095,,19.0564340661161,93.1660461425781,0.0295,61.056897614085,17.283658956359,2.966,1.17980281165114,10359.8927204871,18.1343458669981,11.76,5.08266800031075,26.7545586932878,87.964582650281,,19.9389752563704,93.5012741088867,0.0437,61.5907929226228,16.8911906463642,2.935,1.411953029158
AR,Argentina,1994,1996,1990,2,4,5,10359.8927204871,18.1343458669981,11.76,5.08266800031075,26.7545586932878,87.964582650281,,19.9389752563704,93.5012741088867,0.0437,61.5907929226228,16.8911906463642,2.935,1.411953029158,9934.10776139515,19.7714230903755,18.8,5.351464616273,26.3012103355498,88.1853677511823,,17.9377461107015,93.8344650268555,0.0863,62.263779670525,18.089755621159,2.864,2.17392758974997,10352.1400002191,21.5064684057215,17.11,5.61086611323361,26.5925606398683,88.3954731355194,,18.0821812623381,94.1649398803711,0.142,61.3509955456509,18.9745946854627,2.781,2.55320340608332
AR,Argentina,1996,1998,1990,2,4,5,10352.1400002191,21.5064684057215,17.11,5.61086611323361,26.5925606398683,88.3954731355194,,18.0821812623381,94.1649398803711,0.142,61.3509955456509,18.9745946854627,2.781,2.55320340608332,11056.6881331002,23.3361788437439,14.82,5.22197210944516,27.1791508883114,88.5972452835983,,19.37012354068,94.4920120239258,0.28,60.8492831021072,18.6116147702478,2.706,3.12787793868196,11348.2022124673,23.3500279730689,12.65,5.25272256987622,26.7121357626278,88.793030675725,,19.9349616865126,94.8150024414063,0.831,61.5396856144834,18.45186881007,2.662,2.43876896154487
AR,Argentina,1998,2000,1990,2,4,5,11348.2022124673,23.3500279730689,12.65,5.25272256987622,26.7121357626278,88.793030675725,,19.9349616865126,94.8150024414063,0.831,61.5396856144834,18.45186881007,2.662,2.43876896154487,10838.3199346387,21.3827449624898,14.05,4.45782610229152,26.1936304991129,88.9851757922053,,18.0140244001369,95.1331558227539,3.28,63.4877305192171,16.1345234778131,2.643,8.46058217133802,10631.6503639029,22.6224447777343,15.0,4.67991094417297,25.9908360111364,89.1760271133454,,16.192649393261,95.7,7.03868,63.469313441501,16.8837968886758,2.591,3.66579059535379
AR,Argentina,2000,2002,2000,2,5,5,10631.6503639029,22.6224447777343,15.0,4.67991094417297,25.9908360111364,89.1760271133454,,16.192649393261,95.7,7.03868,63.469313441501,16.8837968886758,2.591,3.66579059535379,10051.9448463043,21.8522554515453,17.32,4.56858960891786,25.2434339827333,89.3682951289372,,14.1791183183273,95.5,9.78081,65.0812573281962,16.9317413775939,2.531,0.806164134759348,8861.56199282278,41.7527243585642,19.59,10.2066467144411,30.5577370913046,89.5616701920513,,11.9606480900889,96.1,10.8821,54.7764456459146,25.866328843816,2.493,2.19895819502207
AR,Argentina,2002,2004,2000,2,5,5,8861.56199282278,41.7527243585642,19.59,10.2066467144411,30.5577370913046,89.5616701920513,,11.9606480900889,96.1,10.8821,54.7764456459146,25.866328843816,2.493,2.19895819502207,9545.53194119994,40.6447480311085,15.36,10.328166939117,32.6450990996503,89.752468256564,,15.1375075649857,96.3,11.9137,51.0316942508769,25.3641367935633,2.451,1.29481086883944,10302.4465316428,40.692646108947,13.522,8.36248661002826,28.816922006834,89.9397208794212,,15.8937872782322,96.5,16.0367,47.8369882937827,24.5538630826976,2.43,2.5050175164097
AR,Argentina,2004,2006,2000,2,5,5,10302.4465316428,40.692646108947,13.522,8.36248661002826,28.816922006834,89.9397208794212,,15.8937872782322,96.5,16.0367,47.8369882937827,24.5538630826976,2.43,2.5050175164097,11099.7509190602,40.5512709706238,11.506,7.93875427420938,28.6263140439084,90.1233737736072,,17.3511468951153,96.7,17.7206,48.4861459282405,24.8287466175764,2.426,2.64935441452167,11870.2791559298,40.4334798719151,10.078,6.93557229126392,29.2032796652469,90.3033726521064,,18.3311867225446,97.0,20.9272,48.7491333682456,24.3003965721413,2.4,2.38106854489628
AR,Argentina,2006,2008,2000,2,4,5,11870.2791559298,40.4334798719151,10.078,6.93557229126392,29.2032796652469,90.3033726521064,,18.3311867225446,97.0,20.9272,48.7491333682456,24.3003965721413,2.4,2.38106854489628,12811.9021206578,40.945170618571,8.47,7.45235394606923,27.4152361334783,90.4796632279031,,19.5160791570053,97.2,25.9466,49.5083307772744,24.4794431962016,2.37,2.25129423568361,13197.3570267029,40.4026733790382,7.837,7.3189545972436,26.2724599395946,90.6521912139817,,19.0101609779701,97.5,28.1126,50.2551922042782,23.2919032639209,2.432,2.68990096507093
AR,Argentina,2008,2010,2000,0,2,5,13197.3570267029,40.4026733790382,7.837,7.3189545972436,26.2724599395946,90.6521912139817,,19.0101609779701,97.5,28.1126,50.2551922042782,23.2919032639209,2.432,2.68990096507093,12285.3784651865,34.0571269054879,8.645,5.2736234689014,25.2842047993735,90.8209023233265,,15.581752639827,97.8,34.0,53.3060010032753,21.117955565887,2.4,1.20643922647566,13387.1553748458,34.9710132635696,7.714,7.13216745078964,25.2587762576722,90.9930051940977,,16.6414661565525,98.8,45.0,51.4951802052167,20.6021673473589,2.411,2.67516171886535
