country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
AT,Austria,1990,1992,1990,3,2,7,79.92411654325029,71.769481946408,,3.13503392093378,30.0287598847666,64.110852115312,33.43073077819449,25.7510314744543,100.0,0.13,55.5729516173706,26.381114969785,0.393820997085781,80.2974021176162,70.3238566862819,3.42,2.84569687770774,29.9550214062177,64.6009589145985,33.56633448279688,26.8420969072761,100.0,0.259,55.9352223994154,26.6894609604098,0.207956112477992,80.44941351449457,67.8961088248008,3.59,2.48336784032364,29.4481091040135,64.9499929346872,34.695423254340746,26.4244117120192,100.0,0.643,56.8566006010626,25.664151892123,0.764493296897433
AT,Austria,1992,1994,1990,3,2,7,80.44941351449457,67.8961088248008,3.59,2.48336784032364,29.4481091040135,64.9499929346872,34.695423254340746,26.4244117120192,100.0,0.643,56.8566006010626,25.664151892123,0.764493296897433,80.4025905029637,63.5138270434354,4.25,2.23142704311096,28.712683832629,65.280505951617,34.07302143489998,25.9038839903106,100.0,0.765,57.929507323704,24.9172912053699,0.593303914874108,80.71383293462637,66.246573910845,3.535,2.40057756945597,28.8075690068156,65.585473658006,32.85097293175735,26.5569027529532,100.0,1.39,57.7216291795385,25.1012982828568,1.02389456006068
AT,Austria,1994,1996,1990,3,2,7,80.71383293462637,66.246573910845,3.535,2.40057756945597,28.8075690068156,65.585473658006,32.85097293175735,26.5569027529532,100.0,1.39,57.7216291795385,25.1012982828568,1.02389456006068,81.10192240088416,68.5250057529972,4.345,2.18502137013502,29.2619079368328,65.8629352596037,31.32332346658877,25.6814352868846,100.0,1.89,58.4507297015153,25.7106797604629,0.760156006172297,81.42376006985317,70.4693162982812,5.282,1.97649891499438,29.1301282729659,66.1109299621598,30.355257911718738,25.9792394170832,100.0,6.91,58.2611483509957,25.0647806317082,1.83236524365315
AT,Austria,1996,1998,1990,3,2,7,81.42376006985317,70.4693162982812,5.282,1.97649891499438,29.1301282729659,66.1109299621598,30.355257911718738,25.9792394170832,100.0,6.91,58.2611483509957,25.0647806317082,1.83236524365315,81.73828380718032,75.2444760305554,5.15,1.96702623453595,28.9648557438367,66.3274969714236,28.69110424862528,25.5410735111136,100.0,9.53,58.1272796510889,25.8561459269808,1.26058669809025,82.25839547912682,77.3495216604118,5.483,1.83846734685464,28.8349668889094,66.5106754931446,27.287468328811087,25.5828501885423,100.0,15.4,58.4481246778572,26.3190084519506,2.1061851136777
AT,Austria,1998,2000,1990,3,2,7,82.25839547912682,77.3495216604118,5.483,1.83846734685464,28.8349668889094,66.5106754931446,27.287468328811087,25.5828501885423,100.0,15.4,58.4481246778572,26.3190084519506,2.1061851136777,82.8058609635641,78.5629329772961,4.699,1.78102549667367,28.7618329153061,66.6585047330725,25.719627967915628,25.0791471023159,100.0,23.0,58.3158834130484,26.8524036549494,1.37439937408037,83.25957438622738,85.8426077336549,4.687,1.67089601150509,28.6115523176599,66.7690238969566,31.56110535093486,25.706049968312,100.0,33.7301,58.894981312158,27.1038464561507,4.33323688730786
AT,Austria,2000,2002,2000,3,2,15,83.25957438622738,85.8426077336549,4.687,1.67089601150509,28.6115523176599,66.7690238969566,31.56110535093486,25.706049968312,100.0,33.7301,58.894981312158,27.1038464561507,4.33323688730786,83.40442341452486,87.9962567186047,4.007,1.70825527346988,28.4398919244968,66.8408161285718,32.23478667724331,24.9279130602684,100.0,39.1855,59.1867003943807,27.0232924697464,2.89572243102078,83.55801857772708,87.5844937054619,4.852,1.59223426298384,27.6683434292327,66.8887457136458,30.21752014501546,23.6230774906842,100.0,36.56,59.9083022318199,27.7799842489104,0.0650010498093938
AT,Austria,2002,2004,2000,3,2,15,83.55801857772708,87.5844937054619,4.852,1.59223426298384,27.6683434292327,66.8887457136458,30.21752014501546,23.6230774906842,100.0,36.56,59.9083022318199,27.7799842489104,0.0650010498093938,83.65942081792156,86.8822263228608,4.779,1.4869307559019,27.6979359307016,66.9263574955092,28.85524388509551,24.1941212310447,100.0,42.7,60.1110513234663,26.9582247514673,2.37557550248335,83.95871336468463,91.4742201880009,5.969,1.4931762753994,27.6147888470095,66.9558612872944,30.877276631963756,23.7682466626674,100.0,54.28,59.9626359213759,27.291707272061,1.0640170021225
AT,Austria,2004,2006,2000,5,0,13,83.95871336468463,91.4742201880009,5.969,1.4931762753994,27.6147888470095,66.9558612872944,30.877276631963756,23.7682466626674,100.0,54.28,59.9626359213759,27.291707272061,1.0640170021225,84.21107274110062,94.6747547827805,5.682,1.28239498294254,27.4182050564472,66.9797950654143,31.454888665962145,23.2345864227667,100.0,58.0,60.1404134231844,26.9954322628597,25.8307026071969,84.6370844779216,98.7857253161241,5.32,1.32751796800624,27.5909068762418,67.0006968062814,29.131939085402458,22.8306808001519,100.0,63.6,60.2518374028565,27.6947519514933,3.14473468828872
AT,Austria,2006,2008,2000,5,0,13,84.6370844779216,98.7857253161241,5.32,1.32751796800624,27.5909068762418,67.0006968062814,29.131939085402458,22.8306808001519,100.0,63.6,60.2518374028565,27.6947519514933,3.14473468828872,85.16627682800376,101.36495843546,4.909,1.46196340335606,27.7667298480281,67.0211044863084,31.14324615843443,23.1393973500284,100.0,69.37,59.9241173078912,29.4091305849847,17.8058113461032,85.34308397620866,102.7437043613,4.198,1.38504114785417,27.4122024469169,67.0435560819078,33.34713151403198,23.5337970115719,100.0,72.87,60.4339457519,29.0106303010562,1.46799597032563
AT,Austria,2008,2010,2000,5,0,13,85.34308397620866,102.7437043613,4.198,1.38504114785417,27.4122024469169,67.0435560819078,33.34713151403198,23.5337970115719,100.0,72.87,60.4339457519,29.0106303010562,1.46799597032563,84.73055199420983,87.6004931021953,5.371,1.17655306368833,26.2777017438174,67.0705895694924,25.404999964550534,22.6637107958545,100.0,73.45,61.5565047607551,26.1015237541936,3.58137196898673,84.97349577941816,99.6448825546716,4.883,1.29288595990855,26.0396419655738,67.1047429254747,30.226237314003125,21.8611554230227,100.0,75.17,61.6368683831245,26.0837024086936,-5.64539670207833
AT,Austria,2010,2012,2010,5,0,5,84.97349577941816,99.6448825546716,4.883,1.29288595990855,26.0396419655738,67.1047429254747,30.226237314003125,21.8611554230227,100.0,75.17,61.6368683831245,26.0837024086936,-5.64539670207833,85.37229684984109,105.775098372378,4.637,1.46130648071081,25.8570853999006,67.1484255415056,33.475336713924136,22.7073592505649,100.0,78.74,61.6607142402264,26.9258148612224,5.3581277803896,85.39895450810127,105.840791389706,4.909,1.41768134316306,26.009804939464,67.2085909812279,31.87931291394231,22.9527434287837,100.0,80.03,61.3539590600962,26.8101627278057,1.2830027920872
AT,Austria,2012,2014,2010,5,0,5,85.39895450810127,105.840791389706,4.909,1.41768134316306,26.009804939464,67.2085909812279,31.87931291394231,22.9527434287837,100.0,80.03,61.3539590600962,26.8101627278057,1.2830027920872,85.26743288983076,104.985374015367,5.367,1.27784992108872,25.9697730865151,67.2981308784247,30.72182615562882,23.3121101516353,100.0,80.6188,61.5862394505333,26.5553809796504,-0.302633479129545,85.26295958020188,104.49673998926,5.674,1.27555801772568,25.7857017006482,67.4154327591781,29.63438757650312,22.9671788352856,100.0,80.9958,61.8415922139115,27.0722023189825,0.389557041234778
AT,Austria,2014,2016,2010,5,0,5,85.26295958020188,104.49673998926,5.674,1.27555801772568,25.7857017006482,67.4154327591781,29.63438757650312,22.9671788352856,100.0,80.9958,61.8415922139115,27.0722023189825,0.389557041234778,85.29020636450366,103.11758174626,5.802,1.14362854172989,25.5152402246539,67.5576175537383,27.1827844256786,22.8959621968365,100.0,83.9401,62.1631640037401,27.655815009398,-1.80409511056007,85.44884723702047,101.573494597172,6.064,1.14928264077268,25.9124691845374,67.7218061923556,27.16252957586427,23.3219102437796,100.0,84.3237,61.764351964317,28.1903273749275,-7.23989904197035
AT,Austria,2016,2018,2010,5,0,5,85.44884723702047,101.573494597172,6.064,1.14928264077268,25.9124691845374,67.7218061923556,27.16252957586427,23.3219102437796,100.0,84.3237,61.764351964317,28.1903273749275,-7.23989904197035,85.69175612517283,105.556066755438,5.561,1.19990203076681,25.8023213025638,67.9051196052802,30.92768636869356,23.8459451205616,100.0,87.9356,61.8559536613009,28.1051975284285,3.38180275607348,85.9995466642027,108.377969971828,4.933,1.10911414021412,25.7190926354333,68.1046787227623,30.71725583882619,24.3135937640992,100.0,87.4791,62.2430323743685,28.9322772208836,-6.15119207172195
AT,Austria,2018,2020,2010,5,0,5,85.9995466642027,108.377969971828,4.933,1.10911414021412,25.7190926354333,68.1046787227623,30.71725583882619,24.3135937640992,100.0,87.4791,62.2430323743685,28.9322772208836,-6.15119207172195,86.20221839998044,108.207284904426,4.56,1.04463413653499,25.5363771006496,68.3176044750522,29.409283426684755,25.0801117201002,100.0,87.7522,62.5614077818279,29.2370143174452,-2.85255617561831,85.11586216596983,99.9482141095975,5.201,1.07138113272871,25.6544867826211,68.5410177924001,28.941108678465216,25.134256704245,100.0,87.5294,62.8123620241372,29.1003584398934,-2.76332070661681
AT,Austria,2020,2022,2020,5,0,10,85.11586216596983,99.9482141095975,5.201,1.07138113272871,25.6544867826211,68.5410177924001,28.941108678465216,25.134256704245,100.0,87.5294,62.8123620241372,29.1003584398934,-2.76332070661681,85.79975010401748,111.032932124165,6.459,1.2152388657488,25.7253456572227,68.773601700253,32.47757779834167,25.8646541570211,100.0,92.5292,62.30330605534,28.5319010741201,3.95409878611296,86.46288146087562,123.579578652902,4.992,1.34649596457301,25.8444683875386,68.998085127906,39.65428981358738,25.2127203813994,100.0,93.6141,62.4358937094137,28.5136191402122,3.0221599256451
