country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
AU,Australia,1990,1992,1990,2,2,7,82.59839614200679,32.1100283534983,,4.17677382101021,28.8235889260958,85.3951926476336,38.60491695878191,27.623562275288,100.0,0.585,59.5198906329814,27.6403424135268,2.7122110003886,82.33861771943963,32.1456909693335,9.586,3.15825667117102,27.7022510543552,85.4000007462027,33.274907276820656,24.5348574396361,100.0,1.1,61.2653705030609,24.6533972598787,0.800225253247321,82.23103360891284,32.9981716307874,10.733,3.03013860218225,26.9338838100855,85.3907597470933,27.639618289781342,22.8064877617222,100.0,1.77,61.9052786788558,22.0668829253907,1.51600150077427
AU,Australia,1992,1994,1990,2,3,7,82.23103360891284,32.9981716307874,10.733,3.03013860218225,26.9338838100855,85.3907597470933,27.639618289781342,22.8064877617222,100.0,1.77,61.9052786788558,22.0668829253907,1.51600150077427,82.71250042939286,35.3502769485307,10.879,3.23930870769341,26.8882854368234,85.3660763370105,30.0602284066828,23.4529547171169,100.0,1.97,62.5748570298169,22.868485415243,1.69960473993569,83.17237773025303,36.4066117966299,9.724,3.32173444100615,26.8270395432348,85.3300727660859,30.64292005489937,23.9305264869908,100.0,2.23,62.5576199586549,23.9823148992266,1.37918511879287
AU,Australia,1994,1996,1990,2,3,7,83.17237773025303,36.4066117966299,9.724,3.32173444100615,26.8270395432348,85.3300727660859,30.64292005489937,23.9305264869908,100.0,2.23,62.5576199586549,23.9823148992266,1.37918511879287,83.5953292221515,37.646874037201,8.473,2.99940193194106,26.4577657224441,85.2868710503009,35.576006222375526,25.0572393420043,100.0,2.76,62.4354861769758,23.9948127160949,3.59858176504927,83.99892194194427,38.1740208800895,8.509,3.36814606624927,25.9996942167324,85.2405932056372,32.16125315718111,24.1113881616574,100.0,3.28,62.4898308188008,24.2982557140889,1.13541742026476
AU,Australia,1996,1998,1990,2,3,7,83.99892194194427,38.1740208800895,8.509,3.36814606624927,25.9996942167324,85.2405932056372,32.16125315718111,24.1113881616574,100.0,3.28,62.4898308188008,24.2982557140889,1.13541742026476,84.43101837147162,37.9217014956962,8.367,3.22527993858659,25.2101669318229,85.1953612480762,23.80908418511696,24.0009111568284,100.0,16.4,63.4679920291714,25.090891480863,1.85369309475488,84.99032787063136,39.9240664596368,7.684,3.02751531970189,25.376406388447,85.1552971935996,27.033121944413512,25.1156707378023,100.0,30.8,63.6315274975307,24.7239742957681,1.89768756641746
AU,Australia,1998,2000,1990,3,4,7,84.99032787063136,39.9240664596368,7.684,3.02751531970189,25.376406388447,85.1552971935996,27.033121944413512,25.1156707378023,100.0,30.8,63.6315274975307,24.7239742957681,1.89768756641746,85.586867639375,38.9602467102359,6.876,3.04342312057626,24.6045620845153,85.1245230581889,29.26225220989376,25.3296988202281,100.0,40.8,64.3645943199495,23.6633451968721,0.566396956795571,86.00890749031953,40.8631257691954,6.288,3.10630676229169,24.5324572225662,85.1071608578257,35.33884302429008,25.8919654195344,100.0,46.7561,64.4043847717005,24.0532776575184,3.57229745403377
AU,Australia,2000,2002,2000,3,4,12,86.00890749031953,40.8631257691954,6.288,3.10630676229169,24.5324572225662,85.1071608578257,35.33884302429008,25.8919654195344,100.0,46.7561,64.4043847717005,24.0532776575184,3.57229745403377,86.12269891280157,44.1337313971929,6.747,3.50187086251559,23.5866945838107,85.1481094164726,35.267390340428314,23.1582021660242,100.0,52.6893,64.2239165646111,23.4338933693021,2.81762721403267,86.55090538000461,41.3813128146921,6.375,3.94425123897134,23.5551713442922,85.2842102783464,32.90575394319736,24.2554623623273,100.0,,64.0243636867564,24.3717375954387,3.69701188608667
AU,Australia,2002,2004,2000,4,5,12,86.55090538000461,41.3813128146921,6.375,3.94425123897134,23.5551713442922,85.2842102783464,32.90575394319736,24.2554623623273,100.0,,64.0243636867564,24.3717375954387,3.69701188608667,86.84734631427712,40.1348011794482,5.933,2.88733584935682,23.9917259622795,85.4097077818668,32.407460147649445,26.007030943111,100.0,,64.3356156550363,23.8103584587616,1.9178050221833,87.32671297173496,36.9505159618289,5.399,3.05821916621123,23.8819093880673,85.518767609412,31.55739560891837,26.5880659201753,100.0,,64.3168864121386,24.3401569781079,6.96956991636737
AU,Australia,2004,2006,2000,4,5,12,87.32671297173496,36.9505159618289,5.399,3.05821916621123,23.8819093880673,85.518767609412,31.55739560891837,26.5880659201753,100.0,,64.3168864121386,24.3401569781079,6.96956991636737,87.62239625944295,39.0978822564811,5.036,2.88921493532413,24.5233189129708,85.6190871221958,32.32272120090162,26.9676243082002,100.0,63.0,64.4367967376177,24.7052096706332,-3.60113772652235,87.83894885380207,41.4878923489153,4.785,2.74011319183189,25.4872372064967,85.7492544263523,33.94450991767088,27.7412866557676,100.0,66.0,63.8069766675422,25.6083786323702,4.07506463386939
AU,Australia,2006,2008,2000,4,5,12,87.83894885380207,41.4878923489153,4.785,2.74011319183189,25.4872372064967,85.7492544263523,33.94450991767088,27.7412866557676,100.0,66.0,63.8069766675422,25.6083786323702,4.07506463386939,88.13541609611349,41.9297451276561,4.381,2.21281034154067,25.5716480180669,85.8968519574969,31.521202453905783,27.3471755803552,100.0,69.45,64.3888123066094,25.8127905442067,5.18803286061474,88.37891248312373,42.7522207880308,4.242,2.35417910776003,25.5090768525458,86.0253816967666,35.18584729362255,28.1494081563949,100.0,71.67,64.5204265131048,25.9966267367484,4.26757732505597
AU,Australia,2008,2010,2000,4,5,12,88.37891248312373,42.7522207880308,4.242,2.35417910776003,25.5090768525458,86.0253816967666,35.18584729362255,28.1494081563949,100.0,71.67,64.5204265131048,25.9966267367484,4.26757732505597,88.35937479252792,45.5936120867789,5.565,2.31423570641201,26.9775545923991,86.1278139101818,30.109013356490127,27.5129887832226,100.0,74.25,64.0980944516659,27.5564493506596,3.10519028312049,88.45800860363089,40.3905070860606,5.214,2.21824837320556,25.108230070574,86.2198600512143,32.782215272117334,26.9461352407809,100.0,76.0,65.7221133234751,25.7719392765302,3.08482804330762
