country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
BH,Bahrain,1990,1992,1990,4,3,4,71.63053792887764,184.828804680899,,,,88.1475141671497,27.31498803653113,16.644767295641,99.9413986206055,0.0,,44.9284925258177,1.90778894252364,73.65727036130455,158.867796593681,1.047,,,88.4141682579058,26.62547165519341,17.4048254992702,99.9673919677734,,,27.8523114165623,11.8008263719943,74.25909444821505,159.291898335568,0.968,,,88.4377266220855,21.016302749369224,19.0130222956487,99.9871826171875,,,27.0543885669016,16.0788531376459
BH,Bahrain,1992,1994,1990,4,3,4,74.25909444821505,159.291898335568,0.968,,,88.4377266220855,21.016302749369224,19.0130222956487,99.9871826171875,,,27.0543885669016,16.0788531376459,75.74201314639998,144.763045585989,0.882,,,88.3963386224123,31.99616527033876,20.4291984791537,99.9971389770508,,,30.9176443326021,-4.65076878821328,75.29094382779796,136.473470897416,1.007,,,88.3272531646575,26.8516936037359,17.5396872709469,99.9997711181641,,,35.6598058551971,3.28947938001025
BH,Bahrain,1994,1996,1990,4,3,4,75.29094382779796,136.473470897416,1.007,,,88.3272531646575,26.8516936037359,17.5396872709469,99.9997711181641,,,35.6598058551971,3.28947938001025,75.48243179398835,134.086732319169,1.044,,,88.2394796624129,32.348186115058795,15.2388553624296,100.0,0.346,,35.0299338943173,6.473839057552,75.70064538290416,144.333450490306,1.177,,,88.1420275292704,19.364667078840935,10.8902701971484,100.0,0.843,,35.0225377994149,29.5200728353759
BH,Bahrain,1996,1998,1990,4,3,4,75.70064538290416,144.333450490306,1.177,,,88.1420275292704,19.364667078840935,10.8902701971484,100.0,0.843,,35.0225377994149,29.5200728353759,75.76491493352232,130.672449001883,1.125,,,88.043906178822,31.758550758342047,10.532336871361,100.0,1.65,,35.8150033893937,4.56109666228573,76.08482430355951,113.001418957352,1.114,,,87.9541250246595,19.834004733357418,12.3384306711448,100.0,3.22,,31.5258704967092,2.55221911292717
BH,Bahrain,1998,2000,1990,4,3,4,76.08482430355951,113.001418957352,1.114,,,87.9541250246595,19.834004733357418,12.3384306711448,100.0,3.22,,31.5258704967092,2.55221911292717,76.3313807475804,124.735737154328,1.112,,,87.8816934803747,15.85820060545267,11.9404908545025,100.0,4.72,,32.9990090099129,6.02696018271828,76.72690817458016,135.809135327865,1.081,,,87.8356209595597,18.12705923247872,16.3884201722595,100.0,6.15373,,39.1272577876249,4.01154558234918
BH,Bahrain,2000,2002,2000,4,3,13,76.72690817458016,135.809135327865,1.081,,,87.8356209595597,18.12705923247872,16.3884201722595,100.0,6.15373,,39.1272577876249,4.01154558234918,76.53998309474642,127.026266277537,1.118,,,87.8397146150894,16.13295229643945,16.973674464082,100.0,15.0386,,35.9046532643961,0.895243944446186,75.93161962915211,131.133634216392,1.137,,,88.1427867595875,19.13788135214053,23.1118109537697,100.0,18.0507,,37.2312290000998,2.26180894388216
BH,Bahrain,2002,2004,2000,4,3,13,75.93161962915211,131.133634216392,1.137,,,88.1427867595875,19.13788135214053,23.1118109537697,100.0,18.0507,,37.2312290000998,2.26180894388216,75.74165056490122,128.091582155216,1.126,,,88.8325339694118,29.598215011503072,23.5722707984621,100.0,21.5549,,39.7703722025969,4.66554367760963,75.6300520138807,140.737310039923,1.064,,,89.8569005979296,31.579719828485874,22.5138842259822,100.0,21.4587,,36.9929173256534,6.58021002500264
BH,Bahrain,2004,2006,2000,6,-2,9,75.6300520138807,140.737310039923,1.064,,,89.8569005979296,31.579719828485874,22.5138842259822,100.0,21.4587,,36.9929173256534,6.58021002500264,75.46505434273163,148.313525108923,1.021,,,91.168165501421,32.098723348977096,25.6865148628303,100.0,21.3037,,46.2098450428364,6.56659445840223,75.23324087192216,147.104181068989,1.021,0.268763501054214,45.2834880040933,92.7186075361661,30.74061428812098,29.4994531309511,100.0,28.244,53.4635279305642,52.561517378363,15.7508650085886
BH,Bahrain,2006,2008,2000,6,-2,9,75.23324087192216,147.104181068989,1.021,0.268763501054214,45.2834880040933,92.7186075361661,30.74061428812098,29.4994531309511,100.0,28.244,53.4635279305642,52.561517378363,15.7508650085886,75.2450746513459,137.785050572304,1.006,0.29227169028013,45.9178652906561,94.460505558445,33.421299469723145,33.5512723854657,100.0,32.91,52.8099940272787,56.2871459204355,8.08243218951671,75.2550423768852,145.882511145821,1.015,0.264810236570707,50.4076629462208,96.3461384245376,33.89474140156433,34.5226692044314,100.0,51.95,48.3070764329234,54.2204131453456,6.97757782740497
BH,Bahrain,2008,2010,2000,6,-2,9,75.2550423768852,145.882511145821,1.015,0.264810236570707,50.4076629462208,96.3461384245376,33.89474140156433,34.5226692044314,100.0,51.95,48.3070764329234,54.2204131453456,6.97757782740497,74.61959530977312,117.963725409489,1.07,0.337284356568349,43.0997000499723,98.3277849907243,32.53644930284051,25.2599199746776,100.0,53.0,55.5964970660087,45.1121595126595,1.12105291032725,74.63166678184025,115.561486449616,1.13,0.285542784290186,43.9268581860394,100.0,30.622754776609963,27.4117362251403,100.0,55.0,54.7856196764576,46.4427510529266,0.581105356633959
