country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
BJ,Benin,1980,1982,1980,-3,-1,1,21.723688921625502,53.1386195994861,,35.4326884671216,12.2816697036432,27.3020371175737,,,,,52.2856418292352,-6.34902451155494,0.307173113226367,22.78755404201271,59.8893720979652,,32.664652346085,12.9104044443482,28.119206762055,,,,,54.4249432095668,-12.3516201345836,0.161898100527333,22.67930371800969,57.8573353739462,,32.5011996849539,15.1224192815258,28.943406950421,,27.0523280378744,,,52.3763810335203,5.28915323555864,-0.0009601536289165
BJ,Benin,1982,1984,1980,-3,-1,1,22.67930371800969,57.8573353739462,,32.5011996849539,15.1224192815258,28.943406950421,,27.0523280378744,,,52.3763810335203,5.28915323555864,-0.0009601536289165,21.50391967423568,45.3420118908271,,33.1576442965202,15.3569747371469,29.7665356996492,,16.6267377092867,,,51.4853809663329,-0.491920392359639,0.0009583133766748,22.25714975933662,50.5113034919755,,33.3115605274576,17.0694521775889,30.5804910267167,,12.4755060533288,,,49.6189872949535,1.4277658455624,0.001088613078988
BJ,Benin,1984,1986,1980,-3,0,3,22.25714975933662,50.5113034919755,,33.3115605274576,17.0694521775889,30.5804910267167,,12.4755060533288,,,49.6189872949535,1.4277658455624,0.001088613078988,22.94598879949835,60.3012179781571,,31.5455488860391,16.702425147013,31.3771709486008,,8.74840336668087,,,51.7520259669479,-4.05600579850628,-0.008606569694271,22.812389058701125,49.2914176982042,,33.6710590159502,12.1078445244769,32.1484734822788,,12.8376893820997,,,54.2210964595729,-2.47512762316833,0.0823290421830946
BJ,Benin,1986,1988,1980,-3,0,3,22.812389058701125,49.2914176982042,,33.6710590159502,12.1078445244769,32.1484734822788,,12.8376893820997,,,54.2210964595729,-2.47512762316833,0.0823290421830946,22.0883963710698,46.2181352147978,,33.2799507625574,12.3655660113453,32.8862966447279,,13.3741655160011,,,54.3544832260973,-2.75614021503802,0.0064003595347157,22.13736046298117,45.8868280290306,,34.3800931861193,13.3946717230815,33.5825384529254,,15.0853504320924,,,52.2252350907992,-2.6461223862876,-1.3369598677605
BJ,Benin,1988,1990,1980,-3,0,3,22.13736046298117,45.8868280290306,,34.3800931861193,13.3946717230815,33.5825384529254,,15.0853504320924,,,52.2252350907992,-2.6461223862876,-1.3369598677605,21.184660866645107,38.3003673589405,,37.8568847933107,12.7680161414965,34.2290969238486,,12.4571096514897,,,49.3750990651927,0.507631319123497,-0.0744505328917815,22.06825433628183,45.7201821451396,,34.6549453638938,12.4533850515242,34.8178700744747,,12.6215462802717,,0.0,52.891669584582,6.70278029551329,-0.150760018353931
BJ,Benin,1990,1992,1990,-3,0,3,22.06825433628183,45.7201821451396,,34.6549453638938,12.4533850515242,34.8178700744747,,12.6215462802717,,0.0,52.891669584582,6.70278029551329,-0.150760018353931,22.23692673101116,51.3447168355486,1.637,35.0437734981583,11.9826304214042,35.340755921781,,12.9558310407174,,,52.9735960804375,5.13829998227546,0.0198255555852336,22.20897291516892,56.7407458048553,1.51,33.9419041358772,12.7276805044929,35.7897618395069,,13.4168075060895,,,53.3304153596299,3.35865903843551,0.0562914420956269
BJ,Benin,1992,1994,1990,-3,0,3,22.20897291516892,56.7407458048553,1.51,33.9419041358772,12.7276805044929,35.7897618395069,,13.4168075060895,,,53.3304153596299,3.35865903843551,0.0562914420956269,22.40662529733934,55.3817991336605,1.494,34.1194607988571,12.2171017970245,36.181941228694,25.0608116003144,13.8825185296768,,,53.6634374041183,5.60510343236548,-0.951216875624251,22.12829233639768,64.4004792535565,1.453,32.2939945673508,13.3380644179387,36.5273254197057,50.61871181418862,16.2427832653018,,,54.3679410147105,10.0557862123865,-0.444751623578263
BJ,Benin,1994,1996,1990,-3,1,1,22.12829233639768,64.4004792535565,1.453,32.2939945673508,13.3380644179387,36.5273254197057,50.61871181418862,16.2427832653018,,,54.3679410147105,10.0557862123865,-0.444751623578263,22.72907241335398,63.800140010475,1.305,33.0901595921974,13.3923114111766,36.8385136903681,43.37534271431327,17.5648673837753,,,53.517528996626,12.3575121375958,-0.356668640063887,22.98771971151236,56.5177914456367,1.246,35.7053003917894,13.2669409931979,37.126775626037,35.95914283323592,16.3402660242417,14.5,0.00169,51.0277586150128,14.0309996345749,-0.620945814843515
BJ,Benin,1996,1998,1990,-2,-2,2,22.98771971151236,56.5177914456367,1.246,35.7053003917894,13.2669409931979,37.126775626037,35.95914283323592,16.3402660242417,14.5,0.00169,51.0277586150128,14.0309996345749,-0.620945814843515,23.407543247245357,58.7116296113966,1.1,35.7819301606788,13.5207077594723,37.4033808120677,33.7922648185128,17.2259606173951,18.5896263122559,0.0246,50.6973620798489,14.1854960114179,0.537109663360586,23.535786829328075,59.5936252981433,1.048,36.5766497896743,12.5664712925972,37.679598833816,36.98292171481251,17.2787547601197,19.578254699707,0.0479,50.8568789177286,12.7474108887209,0.46002921041369
BJ,Benin,1998,2000,1990,-2,-1,3,23.535786829328075,59.5936252981433,1.048,36.5766497896743,12.5664712925972,37.679598833816,36.98292171481251,17.2787547601197,19.578254699707,0.0479,50.8568789177286,12.7474108887209,0.46002921041369,23.87334755101272,54.3917891538957,0.949,24.5343349115333,18.0457037967816,37.9666992766374,24.425362302306848,20.0596856103684,20.5620422363281,0.155,33.490071920323,9.85435616333044,0.253298446675962,24.29184883367449,47.3481515012844,0.864,23.5412339925262,18.7563482119071,38.2759517258875,34.914458797161345,18.7260035737058,21.5,0.225248,35.3186631524293,9.8708759019267,-0.363490759310418
BJ,Benin,2000,2002,2000,-2,-1,2,24.29184883367449,47.3481515012844,0.864,23.5412339925262,18.7563482119071,38.2759517258875,34.914458797161345,18.7260035737058,21.5,0.225248,35.3186631524293,9.8708759019267,-0.363490759310418,24.63444074778901,48.2571706392197,0.766,25.0481627427766,21.6063061308323,38.6186257669218,34.63903930812068,19.0630663062128,21.9,0.363418,37.595219547784,9.23271627885844,0.456588183737808,24.87415217794426,43.7684225364311,0.69,25.38272927764,21.2560648162627,39.0035069872981,31.88702810156286,16.9126841557001,23.4,0.702946,35.7896106948174,10.5185058688766,-0.462423415216639
BJ,Benin,2002,2004,2000,-2,-1,2,24.87415217794426,43.7684225364311,0.69,25.38272927764,21.2560648162627,39.0035069872981,31.88702810156286,16.9126841557001,23.4,0.702946,35.7896106948174,10.5185058688766,-0.462423415216639,24.927971955789975,41.6162305574334,0.747,24.4539837351198,21.7653358858628,39.4169696013044,29.27502359390019,17.5433638972786,24.3,0.951327,37.2055321288927,10.8361560382731,0.198870349303422,25.131573491842413,39.9029743365096,0.79,26.5208492800284,20.4994246078487,39.8525699078742,27.08997909288747,16.0866608482814,25.2,1.18254,36.8973075406702,12.3427216840029,-0.658688596039682
BJ,Benin,2004,2006,2000,-2,-1,2,25.131573491842413,39.9029743365096,0.79,26.5208492800284,20.4994246078487,39.8525699078742,27.08997909288747,16.0866608482814,25.2,1.18254,36.8973075406702,12.3427216840029,-0.658688596039682,24.88808678506344,39.0959311879142,0.859,26.6894285026991,21.6135923867357,40.3097749006517,36.525363713179686,15.0410868587762,26.1,1.27103,38.0187915766517,9.95739440709404,-0.133820369489742,25.00764032798618,39.7746987128551,0.888,26.631803428758,21.1570137776206,40.7877794072449,34.319597139489936,14.1614409546098,27.9,1.53785,39.2378743115272,9.21462072765865,-0.175764667500161
BJ,Benin,2006,2008,2000,-2,0,2,25.00764032798618,39.7746987128551,0.888,26.631803428758,21.1570137776206,40.7877794072449,34.319597139489936,14.1614409546098,27.9,1.53785,39.2378743115272,9.21462072765865,-0.175764667500161,25.465017455993,49.1137841529705,0.902,26.9710869666408,19.5111771844474,41.2857782552618,28.66458732376217,17.0574739269899,28.0,1.79,41.0098695799623,11.3487841350676,1.70386973478894,25.74672710670309,47.7753592695169,0.895,26.8261561852139,17.6606220766815,41.8029662723105,39.15377144831034,15.8450088744723,29.0,1.85,43.8028111047733,10.2465037374036,0.492562990177947
BJ,Benin,2008,2010,2000,-2,0,2,25.74672710670309,47.7753592695169,0.895,26.8261561852139,17.6606220766815,41.8029662723105,39.15377144831034,15.8450088744723,29.0,1.85,43.8028111047733,10.2465037374036,0.492562990177947,25.633742357916027,44.7026290629806,0.95,26.9789553760994,17.9195079292369,42.338538285999,27.180786477990665,16.5655504658066,30.0,2.24,44.0902785058205,10.0190193366306,-0.193121764606275,25.491003691941337,51.4308599492924,1.04,25.8411354962681,18.0090531395068,42.8916891239353,31.238320722123746,17.6499967380481,34.2,3.13,44.5474397323122,10.3213311455577,0.561144747750256
BJ,Benin,2010,2012,2010,-2,0,2,25.491003691941337,51.4308599492924,1.04,25.8411354962681,18.0090531395068,42.8916891239353,31.238320722123746,17.6499967380481,34.2,3.13,44.5474397323122,10.3213311455577,0.561144747750256,25.481862387199804,47.2170288118403,2.647,25.7970008253273,18.1374491115974,43.4616136137276,32.348611782302,18.2263279960581,36.9,4.14832,46.9792375495936,10.9448410079114,1.50844050539908,25.75885670994581,50.7367367791134,2.458,25.7689758312295,16.9566846878966,44.0475065829838,38.03990226898375,16.2040295951807,38.4,4.5,48.8721211959796,12.333042780336,2.52705777310103
BJ,Benin,2012,2014,2010,-1,0,2,25.75885670994581,50.7367367791134,2.458,25.7689758312295,16.9566846878966,44.0475065829838,38.03990226898375,16.2040295951807,38.4,4.5,48.8721211959796,12.333042780336,2.52705777310103,26.39810966953885,59.2001918331875,2.198,25.2754046390823,17.2437092893088,44.6502883669319,24.997827803357257,20.7082627484833,34.7,4.9,49.4207609001386,14.802808571661,2.87863747120321,26.91145205219441,65.2682749404551,1.952,25.6184529738008,16.4115774866134,45.2880529235999,18.86806221623195,21.6376626983262,34.1,6.0,49.528551651517,16.8509961348204,3.054209933397
BJ,Benin,2014,2016,2010,-1,0,2,26.91145205219441,65.2682749404551,1.952,25.6184529738008,16.4115774866134,45.2880529235999,18.86806221623195,21.6376626983262,34.1,6.0,49.528551651517,16.8509961348204,3.054209933397,26.720850380233674,56.7563131849476,1.886,26.3920850925037,16.3850954444902,45.9407403257663,23.770548271856896,20.4957392258274,29.6,11.255,49.2408968968993,13.4164555860299,1.31501182124746,26.77852661810513,58.9869283378276,1.834,27.7536354980493,15.7020683118185,46.6094559006664,17.736715187442854,19.72249305162,37.0,14.5,48.2031996094347,16.4986874092642,1.11488130998834
BJ,Benin,2016,2018,2010,-1,0,2,26.77852661810513,58.9869283378276,1.834,27.7536354980493,15.7020683118185,46.6094559006664,17.736715187442854,19.72249305162,37.0,14.5,48.2031996094347,16.4986874092642,1.11488130998834,27.20014240774221,61.4765969588474,1.691,28.4890165273264,15.1075858507501,47.2942774880391,22.570599643202144,23.4384503972218,34.5,18.7,48.4009792238265,16.895014834169,1.58170495191393,27.787099903578444,61.7951944903448,1.426,28.0647739127077,14.6419567509163,47.9952829275963,27.274225040526208,25.900562756214,39.0,19.0,48.8000788401919,19.1397797724235,1.36073573251591
BJ,Benin,2018,2020,2010,-1,0,2,27.787099903578444,61.7951944903448,1.426,28.0647739127077,14.6419567509163,47.9952829275963,27.274225040526208,25.900562756214,39.0,19.0,48.8000788401919,19.1397797724235,1.36073573251591,28.41181165942913,63.68133231423,1.214,26.8758016258337,16.3125612015902,48.7125500590248,26.486148207389537,25.1732556309975,40.0,20.5,48.0268213377537,21.2095226507401,1.51620780888962,28.590028346113375,44.8332333768726,1.518,27.1091750361118,16.2905490528658,49.4461567219896,32.985091190400375,25.2065173861299,41.0,22.1206,47.8973320949726,20.5455509865888,1.10934414138144
BJ,Benin,2020,2022,2020,-1,0,2,28.590028346113375,44.8332333768726,1.518,27.1091750361118,16.2905490528658,49.4461567219896,32.985091190400375,25.2065173861299,41.0,22.1206,47.8973320949726,20.5455509865888,1.10934414138144,29.28095191169416,48.0548608324409,1.833,28.5289506098592,16.4674003775761,50.1961807561354,30.003655553415857,28.447444436108,42.0,28.2047,45.8849731676344,22.633369836272,1.95608661099463,29.84374325308483,44.3815928877424,1.685,26.8966787968124,17.017826707817,50.9627000010887,28.839585049917567,30.7328757658114,56.5,30.0134,46.8939149661431,28.3974388502464,2.15770537478617
