country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
BO,Bolivia,1990,1992,1990,-1,1,11,34.21354593427028,46.7032725841847,,15.3535992693103,31.8845531953929,55.9290690080053,44.59865503170007,12.5584891892561,,0.0,46.1137828884103,11.3826284000574,0.558798940852009,34.690630329161046,48.444968874686,2.935,15.5420957531421,30.6062399759257,56.8260573219808,46.25166122414514,14.4840237141834,,,46.6091940226012,10.0914935846421,0.973188205098959,34.62694346298488,49.1108578783889,3.03,14.4042043052046,30.1608798507641,57.5776686644471,42.07243923412978,16.3155701874525,60.0279006958008,,47.5194937259488,7.68500063096194,1.64957769476396
BO,Bolivia,1992,1994,1990,0,0,8,34.62694346298488,49.1108578783889,3.03,14.4042043052046,30.1608798507641,57.5776686644471,42.07243923412978,16.3155701874525,60.0279006958008,,47.5194937259488,7.68500063096194,1.64957769476396,34.97077284940664,47.4671256895523,3.05,14.6479622916899,28.628442245929,58.2268316609648,39.63892256115293,16.6643833188834,61.3840293884277,,48.9358470227934,7.2581803355058,2.15878792325071,35.38173832577599,48.8608505020702,3.08,15.2442867266742,28.1333525548835,58.8292590535639,39.09033213581933,14.8514771414085,64.1,,48.3216076437381,8.83696767407556,2.17681238557843
BO,Bolivia,1994,1996,1990,0,0,8,35.38173832577599,48.8608505020702,3.08,15.2442867266742,28.1333525548835,58.8292590535639,39.09033213581933,14.8514771414085,64.1,,48.3216076437381,8.83696767407556,2.17681238557843,35.80163778272311,49.737987097898,2.664,14.8592991083324,29.1427574218391,59.391206278167,40.88196897369071,15.5335271476926,64.0915298461914,0.0668,46.7308234317658,10.6088592093738,5.847960416432,36.180137968638974,49.8562913723023,2.375,14.1846793837749,27.9548862100277,59.9202441998117,42.28523496536082,16.1763687426656,71.0,0.196,47.5103918978719,11.5446710599627,6.40939922529255
BO,Bolivia,1996,1998,1990,0,0,8,36.180137968638974,49.8562913723023,2.375,14.1846793837749,27.9548862100277,59.9202441998117,42.28523496536082,16.1763687426656,71.0,0.196,47.5103918978719,11.5446710599627,6.40939922529255,36.65426609424765,50.4696628058748,2.08,14.9182592343414,26.4351094914312,60.4239436835356,35.68584485491056,18.9689513481554,67.330431,0.448,49.2203470032769,11.3835122527205,9.21807040100919,37.14586831384808,52.2811629581228,2.121,12.6254313762121,26.1333943093732,60.9098755943764,38.91370074026802,23.1532159881584,71.2,0.626,51.7171694015191,10.7227185427912,11.1715280663643
BO,Bolivia,1998,2000,1990,0,0,8,37.14586831384808,52.2811629581228,2.121,12.6254313762121,26.1333943093732,60.9098755943764,38.91370074026802,23.1532159881584,71.2,0.626,51.7171694015191,10.7227185427912,11.1715280663643,36.93931996018012,44.1682564870165,2.299,13.2579915795139,25.1438963960235,61.3856107973717,31.12120105638724,19.0973226968185,70.929888,0.982,54.2201173752696,8.36539408856868,12.196646241927,37.0582165440709,45.5977750218555,2.439,12.9658118842238,25.7390221812353,61.8587201575591,35.54917132527265,17.8874789626329,70.0,1.44276,52.1618196573823,9.09519361914998,8.76830997312938
BO,Bolivia,2000,2002,2000,0,0,4,37.0582165440709,45.5977750218555,2.439,12.9658118842238,25.7390221812353,61.8587201575591,35.54917132527265,17.8874789626329,70.0,1.44276,52.1618196573823,9.09519361914998,8.76830997312938,37.05554020438785,45.2278224315522,2.623,13.2556536661742,25.4206764753126,62.3374810379005,29.586389065756503,13.9267732202243,69.3,2.12046,52.653776599304,8.98491049504057,8.66860569359696,37.17802696656213,49.3502603725957,2.603,12.955118631021,25.4735692447779,62.8187632085055,27.310680846739565,15.6496469618393,64.0,3.11719,52.2995520552759,10.2133231876669,8.55789350643914
BO,Bolivia,2002,2004,2000,0,0,4,37.17802696656213,49.3502603725957,2.603,12.955118631021,25.4735692447779,62.8187632085055,27.310680846739565,15.6496469618393,64.0,3.11719,52.2995520552759,10.2133231876669,8.55789350643914,37.33454243922936,51.967836443987,2.654,13.4272369562791,25.5964904919612,63.2918711090474,33.566063987608686,12.6639226700099,72.3,3.5086,51.2880547650981,12.4657049283531,2.442343967183,37.71104048430184,57.4642660901316,2.615,13.3223836388477,26.8396494762825,63.7564671612252,35.31043434880195,11.6871210206907,75.9,4.43992,49.2849694922866,15.8342180959689,0.745772608696722
BO,Bolivia,2004,2006,2000,0,1,4,37.71104048430184,57.4642660901316,2.615,13.3223836388477,26.8396494762825,63.7564671612252,35.31043434880195,11.6871210206907,75.9,4.43992,49.2849694922866,15.8342180959689,0.745772608696722,38.12431291614906,67.6419413613743,2.598,11.7927215329112,26.2692194219914,64.2133062205259,36.56009531608609,12.990846906531,68.3,5.22758,46.8201969433938,17.7079662634327,-2.49886824544741,38.59079877837417,74.537848431547,2.575,10.9375480546288,27.652247464959,64.6631431424362,35.08728513431774,14.296679671822,76.2,6.20067,43.1317849879713,22.8709112097869,2.45168756123775
BO,Bolivia,2006,2008,2000,-1,1,5,38.59079877837417,74.537848431547,2.575,10.9375480546288,27.652247464959,64.6631431424362,35.08728513431774,14.296679671822,76.2,6.20067,43.1317849879713,22.8709112097869,2.45168756123775,39.02158863029511,76.0619114476148,2.614,10.011155665672,28.2897904061027,65.1067327824433,39.78154325030928,16.1395936873294,80.2,10.4992,42.5095719427825,22.7160569133883,2.79185385749299,39.69118852667973,82.8670208961798,2.603,10.4424041155226,29.7366397824222,65.5448299960338,43.14448432726562,17.2487171462335,84.7,12.5,40.496023654551,24.4988312329064,3.07261074755318
BO,Bolivia,2008,2010,2000,3,-2,15,39.69118852667973,82.8670208961798,2.603,10.4424041155226,29.7366397824222,65.5448299960338,43.14448432726562,17.2487171462335,84.7,12.5,40.496023654551,24.4988312329064,3.07261074755318,39.94730758557945,68.6270739127592,2.973,11.1524074497311,29.2286844945559,65.9781896386949,33.58237800099593,16.4792607960079,86.8,16.8,43.5085261772037,19.7894367095917,2.43967814560444,40.32280423672822,75.5116262512877,2.609,10.3899057010594,30.1439417460822,66.4075665659133,31.918179302859198,16.5722453451651,88.0,22.4,43.5524305510023,23.8703044907855,3.16542867647895
