country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
BY,Belarus,1980,1982,1980,1,1,9,,,,,,56.5710296630859,,,,,,,,,,,,,57.6291580200195,,,,,,,,,,,,,58.6659622192383,,,,,,,
BY,Belarus,1982,1984,1980,0,1,9,,,,,,58.6659622192383,,,,,,,,,,,,,59.7341957092285,,,,,,,,,,,,,60.7963256835938,,,,,,,
BY,Belarus,1984,1986,1980,3,-3,8,,,,,,60.7963256835938,,,,,,,,,,,,,61.8150367736816,,,,,,,,,,,,,62.7989044189453,,,,,,,
BY,Belarus,1986,1988,1980,-1,3,10,,,,,,62.7989044189453,,,,,,,,,,,,,63.8252601623535,,,,,,,,,,,,,64.9021301269531,,,,,,,
BY,Belarus,1988,1990,1980,-1,4,10,,,,,,64.9021301269531,,,,,,,,,,,,,65.8265636943463,,,,,,,,43.65389341425339,89.6073903002309,,22.8637413394919,45.9584295612009,66.4269790649414,,21.9399538106236,100.0,0.0,28.6374133949192,28.8683602771363,0.0
BY,Belarus,1990,1992,1990,4,-2,5,43.65389341425339,89.6073903002309,,22.8637413394919,45.9584295612009,66.4269790649414,,21.9399538106236,100.0,0.0,28.6374133949192,28.8683602771363,0.0,43.45337281211884,66.6666666666667,0.6,22.2222222222222,44.4444444444444,67.0062866210938,,22.2222222222222,100.0,,22.2222222222222,33.3333333333333,0.0,41.80358596395905,117.391304347826,3.1,22.8260869565217,45.6521739130435,67.3208541870117,,25.0,100.0,,27.1739130434783,33.695652173913,0.0413228260869565
BY,Belarus,1992,1994,1990,-1,4,9,41.80358596395905,117.391304347826,3.1,22.8260869565217,45.6521739130435,67.3208541870117,,25.0,100.0,,27.1739130434783,33.695652173913,0.0413228260869565,40.50371149547446,150.964467005076,8.5,17.1573604060914,36.0406091370558,67.5179672241211,76.89917795536871,33.9086294416244,100.0,,40.6091370558376,25.2791878172589,0.10814083248731,38.53195430811702,155.375709548699,12.8,13.589613893104,32.5914685550497,67.7585983276367,81.70999848921025,33.2602708930478,100.0,0.000486,44.4107233181588,20.0977912662283,0.0703214382060361
BY,Belarus,1994,1996,1990,-1,4,9,38.53195430811702,155.375709548699,12.8,13.589613893104,32.5914685550497,67.7585983276367,81.70999848921025,33.2602708930478,100.0,0.000486,44.4107233181588,20.0977912662283,0.0703214382060361,36.82700728387364,103.718194772782,17.7,15.766496709307,33.382206370518,68.0162734985352,72.90972811057783,24.6979069709974,100.0,0.00292,41.1505481742626,20.3619350427914,0.105205275981648,37.322664436578414,96.7748997857579,24.4,15.098598303786,34.2198405954993,68.2737426757812,52.98431451889475,21.0791340655445,100.0,0.0293,39.3642585709892,19.4439086942697,0.720667909896663
BY,Belarus,1996,1998,1990,-1,4,9,37.322664436578414,96.7748997857579,24.4,15.098598303786,34.2198405954993,68.2737426757812,52.98431451889475,21.0791340655445,100.0,0.0293,39.3642585709892,19.4439086942697,0.720667909896663,39.11628206379224,125.516179156558,17.1,13.4179320121037,35.92617833874,68.6145935058594,54.44883192766288,25.2310334487365,100.0,0.049,37.9104762424011,22.6181064798408,2.48860300411635,40.47872941830947,122.957697735989,14.0,12.0617636126188,35.3050083955104,69.0234222412109,55.443358887706,25.9346503152411,100.0,0.0739,39.5825173998556,22.2886204161154,1.33490888841733
BY,Belarus,1998,2000,1990,-1,4,9,40.47872941830947,122.957697735989,14.0,12.0617636126188,35.3050083955104,69.0234222412109,55.443358887706,25.9346503152411,100.0,0.0739,39.5825173998556,22.2886204161154,1.33490888841733,41.08562480309863,120.835117829629,12.8,12.7005575559539,34.0037421548255,69.4807636785987,66.12005875877166,26.3269712735752,100.0,0.495,40.0357361906424,21.8530738279164,3.65778714528179,42.0629858669379,141.609165955024,12.193,12.0968271694147,33.4789463312094,69.9172295434732,61.85793954610802,25.2015480960827,89.0,1.8604,39.8946769143182,23.6108738969542,0.932726194574
