country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
BZ,Belize,1990,1992,1990,2,-3,10,48.22930316782999,79.393742120487,,13.3900173668854,23.4728863355729,47.3571892508649,33.054508514113714,22.0514270521151,,0.0,52.9720704321789,55.8785700793645,3.14585666222443,49.63664527374278,79.1779659554057,9.647,12.2399180401088,23.5356812935334,47.2992377705329,26.614669250655925,24.205544292346,67.0,,54.0433758612836,54.7924263188053,2.27927065350209,51.18622339844284,80.3474754942984,9.654,11.8424000075315,23.0540669983852,47.3157093961853,31.67977973809344,22.9947445253166,72.2249145507813,,55.339489406369,29.1606799454079,2.24221321392302
BZ,Belize,1992,1994,1990,2,-2,10,51.18622339844284,80.3474754942984,9.654,11.8424000075315,23.0540669983852,47.3157093961853,31.67977973809344,22.9947445253166,72.2249145507813,,55.339489406369,29.1606799454079,2.24221321392302,51.80056092616173,75.74810886971,9.78,11.1918608998556,23.5979610895689,47.3536666895074,29.22945137760913,24.9782337814503,73.1233291625977,,55.3159124267876,30.9942643795792,1.22298930090409,51.46417562532327,80.8829702605987,11.1,11.4077954182095,21.3018232279326,47.4066621669842,32.06235057790537,18.3051430481526,74.0203857421875,,56.7875447956696,27.6201806596721,1.99128573612597
BZ,Belize,1994,1996,1990,0,4,6,51.46417562532327,80.8829702605987,11.1,11.4077954182095,21.3018232279326,47.4066621669842,32.06235057790537,18.3051430481526,74.0203857421875,,56.7875447956696,27.6201806596721,1.99128573612597,51.18633186589728,77.3367628065445,12.48,11.9836022967535,21.3156216962497,47.4683420814088,32.72543804693619,19.4626188132585,74.915397644043,0.0454,56.4079403584394,26.8156443348794,2.57149410220803,50.89283156533324,79.5739076328491,13.82,11.8187026799073,21.4992082169426,47.5323526855742,37.221114661324094,18.1333129336285,75.8076934814453,0.883,55.9353909516803,25.0849161234618,1.94981037564896
BZ,Belize,1996,1998,1990,0,4,6,50.89283156533324,79.5739076328491,13.82,11.8187026799073,21.4992082169426,47.5323526855742,37.221114661324094,18.1333129336285,75.8076934814453,0.883,55.9353909516803,25.0849161234618,1.94981037564896,51.01968807904904,85.4507314878676,12.68,11.3277559737846,20.5378332067024,47.5923402322735,28.147192090740177,17.6905900630421,76.6965866088867,1.29,57.2085311067427,17.6947428106059,1.36954750688798,51.07090962936782,85.2837692818555,14.31,10.6424486597556,20.5988553612778,47.6419509742997,31.20801635905744,16.4953549174584,77.5814056396484,2.09,57.5347479729228,16.4976529712706,1.89979624281656
BZ,Belize,1998,2000,1990,0,4,6,51.07090962936782,85.2837692818555,14.31,10.6424486597556,20.5988553612778,47.6419509742997,31.20801635905744,16.4953549174584,77.5814056396484,2.09,57.5347479729228,16.4976529712706,1.89979624281656,51.941483933183264,93.3222988336503,12.84,11.0647700357618,20.1782652972397,47.6748311644458,32.17407164023799,21.3333416023728,78.4613800048828,4.08,59.0867899543774,18.4015953377822,5.86883406193407,53.23730948058167,96.6018447146265,10.841,10.6436380611457,22.744823557302,47.6836847507377,33.07040043510736,24.7999210289156,79.0,5.96384,57.1690860713652,22.2080694776846,2.59763309185999
BZ,Belize,2000,2002,2000,0,4,14,53.23730948058167,96.6018447146265,10.841,10.6436380611457,22.744823557302,47.6836847507377,33.07040043510736,24.7999210289156,79.0,5.96384,57.1690860713652,22.2080694776846,2.59763309185999,53.51486018769872,93.1624050489864,9.07,9.5094118174543,20.9114170811182,47.6257993221451,34.10566088549376,22.1347914796627,80.2,,59.1642864611487,18.4668440460677,5.21949933984009,53.86426111568544,93.0794584713606,10.04,9.17879604108667,19.9175020724415,47.4865009861554,35.025494274278174,20.0477035333808,81.0,5.68425,59.9826088990777,16.2941222411986,2.04686311047792
BZ,Belize,2002,2004,2000,2,0,4,53.86426111568544,93.0794584713606,10.04,9.17879604108667,19.9175020724415,47.4865009861554,35.025494274278174,20.0477035333808,81.0,5.68425,59.9826088990777,16.2941222411986,2.04686311047792,54.84014413371424,94.3631228859413,10.342,10.4615047120065,17.343341981465,47.2806245981404,31.499074141740348,16.9503246724087,81.8,,61.467980579849,15.9123398828347,-0.83504705917142,55.10868933729138,86.3853536846826,10.586,10.3458143896381,17.5296122470878,47.0226655922949,37.68277831983991,15.7738883389682,82.6,9.8,61.4908384647358,18.7286584364256,7.9628629551609
BZ,Belize,2004,2006,2000,2,0,4,55.10868933729138,86.3853536846826,10.586,10.3458143896381,17.5296122470878,47.0226655922949,37.68277831983991,15.7738883389682,82.6,9.8,61.4908384647358,18.7286584364256,7.9628629551609,54.99562543667922,92.9971266332515,10.91,9.74017200317114,17.1067830923414,46.7271194028137,16.502623695952295,16.5447137431608,83.5,17.0,62.4890490283378,21.0395025864506,8.6080583090955,55.23690934761413,98.8810743235728,9.39,9.51992221636579,19.0207043326734,46.4084814638913,6.088355973724421,16.7562013856216,91.0,24.0,60.4547379942358,25.7611100817114,6.84256959940517
BZ,Belize,2006,2008,2000,2,0,4,55.23690934761413,98.8810743235728,9.39,9.51992221636579,19.0207043326734,46.4084814638913,6.088355973724421,16.7562013856216,91.0,24.0,60.4547379942358,25.7611100817114,6.84256959940517,55.31027428661073,95.9555511519831,8.51,8.69270778065837,20.1544257967177,46.0812472097226,31.499074141250095,17.5990669740298,85.2,24.6,60.0995656727536,25.7136915752869,8.22731936335606,54.62286197104338,105.461874277231,8.18,8.33436394275924,20.2437331550786,45.7599120745023,37.68277832513751,22.0434241097951,86.1,26.3,60.3511764708589,23.3548798771506,9.75973413898317
BZ,Belize,2008,2010,2000,2,0,4,54.62286197104338,105.461874277231,8.18,8.33436394275924,20.2437331550786,45.7599120745023,37.68277832513751,22.0434241097951,86.1,26.3,60.3511764708589,23.3548798771506,9.75973413898317,54.13410439034024,89.5808843860925,8.323,8.54570263168925,19.3850622805813,45.4589714924251,16.502623679360713,16.5310096147082,86.9,27.2,61.6208911929131,21.7964852457424,6.44782371601601,53.97694532279368,94.8581591507411,8.412,8.74676184244561,18.2141330384501,45.1914838193558,27.269425306367147,13.8767930078896,89.9,28.2,61.6120895941906,21.3396498227204,5.51460930694585
