country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
CG,"Congo, Rep.",1980,1982,1980,3,-4,8,37.1346678471195,120.144284128746,,11.6814678135405,46.61487236404,46.7612661526171,,35.7658157602664,,,41.7036598224195,35.6548279689234,2.3468368433403,39.37823568321406,134.114823703157,,7.88259184050212,50.8953295181835,48.2203411439773,,48.1631899575411,,,41.2220786413144,30.0904559719402,1.54716633078627,42.42339327448999,123.774647887324,,7.85915492957746,52.5633802816901,49.5701100111097,,59.7323943661972,,,39.5774647887324,46.4929577464789,1.63605633952683
CG,"Congo, Rep.",1982,1984,1980,3,-4,8,42.42339327448999,123.774647887324,,7.85915492957746,52.5633802816901,49.5701100111097,,59.7323943661972,,,39.5774647887324,46.4929577464789,1.63605633952683,43.00292450935188,109.70970970971,,7.58258258258258,54.3293293293293,50.7415021575726,,38.4384385635636,,,38.0880880880881,44.6196197447447,2.67392392375111,43.683144825596685,107.250912884716,,6.91704747000522,56.5884194053208,51.64425476977,,30.3912363067293,,,36.494533124674,46.395409494001,1.59321857145632
CG,"Congo, Rep.",1984,1986,1980,3,-3,8,43.683144825596685,107.250912884716,,6.91704747000522,56.5884194053208,51.64425476977,,30.3912363067293,,,36.494533124674,46.395409494001,1.59321857145632,43.02101221886857,112.793572311496,,7.44743613514627,53.914297486609,52.3123299063106,,30.2843026370004,,,38.6382663782447,31.0671621343222,0.587247631196912,41.41460388872977,93.5022348876701,,12.0897031210353,32.6459898893291,52.8612816098073,34.90355512711008,29.4506275252279,,,55.2643069896356,15.6157945074464,1.21343665371882
CG,"Congo, Rep.",1986,1988,1980,1,0,9,41.41460388872977,93.5022348876701,,12.0897031210353,32.6459898893291,52.8612816098073,34.90355512711008,29.4506275252279,,,55.2643069896356,15.6157945074464,1.21343665371882,40.97745532503951,80.3551924832466,,11.9372858842385,35.7882535864427,53.3525676707376,25.076699203001024,19.7283630151546,,,52.2744605293188,22.8417827996019,1.89093188330246,40.79409325689438,81.0470409711684,,13.8670698027314,29.9160864946889,53.7961874417823,27.70906496595221,18.6191198786039,,,56.2168437025797,18.8163884673748,0.411077390234112
CG,"Congo, Rep.",1988,1990,1980,1,-1,9,40.79409325689438,81.0470409711684,,13.8670698027314,29.9160864946889,53.7961874417823,27.70906496595221,18.6191198786039,,,56.2168437025797,18.8163884673748,0.411077390234112,40.74236292954163,83.3530093224987,,12.9345402954466,37.9790100838703,54.2021402756221,14.306792299862495,14.5087239500776,,,49.0864496206831,27.8236898490468,-0.298176845331261,40.44481451452573,70.8193543307087,,12.8608923884514,40.6430446194226,54.5804255249375,32.724322799252754,17.2309711286089,,0.0,46.496062992126,48.6408766404199,0.805773714234814
CG,"Congo, Rep.",1990,1992,1990,4,-4,6,40.44481451452573,70.8193543307087,,12.8608923884514,40.6430446194226,54.5804255249375,32.724322799252754,17.2309711286089,,0.0,46.496062992126,48.6408766404199,0.805773714234814,40.36856290875196,69.6845429946663,19.911,11.317809288409,36.0348640561988,54.9410425424093,14.64125436294412,19.6565630284897,,,52.6473266553922,34.1127984909588,1.20202902395457,40.328741562706654,57.1407058861412,19.916,11.527563111798,35.5100463678516,55.2939906807182,9.924444132334049,20.5821741370428,,,52.9623905203503,45.8431788382277,0.0933795445251198
CG,"Congo, Rep.",1992,1994,1990,3,-4,6,40.328741562706654,57.1407058861412,19.916,11.527563111798,35.5100463678516,55.2939906807182,9.924444132334049,20.5821741370428,,,52.9623905203503,45.8431788382277,0.0933795445251198,39.69788409531528,74.1761942770688,19.99,11.2485199315879,35.2979871069596,55.6492692925447,35.971429686395666,28.9435600578871,,,53.4534929614524,40.9926657939745,10.6564766458744,38.32014377282988,132.736248422167,20.269,10.3139378639195,45.4843438250743,56.0168777305696,51.346330737554624,52.9388411580276,,,44.2017183110061,38.7839295166741,0.168987137204284
CG,"Congo, Rep.",1994,1996,1990,3,-4,6,38.32014377282988,132.736248422167,20.269,10.3139378639195,45.4843438250743,56.0168777305696,51.346330737554624,52.9388411580276,,,44.2017183110061,38.7839295166741,0.168987137204284,38.495004955398514,128.312504260557,20.226,10.4525658019315,44.8683961370952,56.4068153474735,40.32813134635349,34.3003455784889,,,44.6790380609733,37.6767581897368,5.3299564486963,38.72337672879572,128.407663306917,20.049,8.98668923597753,51.8427329383704,56.8293178931295,40.76940806021784,31.7209356005232,,0.00353,39.1705778256521,41.2973301531123,2.4571054845724
CG,"Congo, Rep.",1996,1998,1990,4,-4,6,38.72337672879572,128.407663306917,20.049,8.98668923597753,51.8427329383704,56.8293178931295,40.76940806021784,31.7209356005232,,0.00353,39.1705778256521,41.2973301531123,2.4571054845724,38.28111843108484,135.758179538246,19.886,9.13919008630228,56.8636128937081,57.2976513812709,,21.5990263332596,,0.00347,33.9971970199897,37.6698856679206,-2.11824149757414,38.51640269577455,148.901662464134,19.898,10.9555690809495,46.0568646204678,57.8079287900723,,24.3367533257978,,0.00342,42.9875662985827,30.3342335449091,-8.70306930470468
CG,"Congo, Rep.",1998,2000,1990,4,-4,6,38.51640269577455,148.901662464134,19.898,10.9555690809495,46.0568646204678,57.8079287900723,,24.3367533257978,,0.00342,42.9875662985827,30.3342335449091,-8.70306930470468,37.66580118461098,131.394190298765,20.141,8.35575795211481,61.2709583937073,58.345204994721,34.88042247089073,26.5852480507831,,0.0168,30.3732836541779,48.0259168978127,-2.90043469110616,38.2210778113663,123.909884405671,19.872,5.30425299890949,72.1526717557252,58.8947380255871,17.364250090206752,20.9116684841876,29.4,0.0263547,22.5430752453653,64.9274162399128,-3.04039258438044
