country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
CI,Cote d'Ivoire,1990,1992,1990,-2,-2,3,35.862949640060165,58.8014956103209,,32.4984276683643,26.2672107632566,39.6845429703483,17.682816437121353,8.50214186680768,,0.0,41.2343615683792,11.2670559534854,0.4486393140459,35.24755126803096,56.9978213142969,6.595,33.2939429328014,24.598463360669,39.9873817237167,29.860650498044205,8.57419990895334,,,42.1075937065296,10.3836297688193,0.176551469990932,34.58467901624156,60.0250653360901,6.7,34.0096869237108,24.4419992901914,40.3003187081632,35.012402586045965,8.50242173008084,,,41.5483137860978,9.17990603077978,0.6191519578407
CI,Cote d'Ivoire,1992,1994,1990,-2,0,3,34.58467901624156,60.0250653360901,6.7,34.0096869237108,24.4419992901914,40.3003187081632,35.012402586045965,8.50242173008084,,,41.5483137860978,9.17990603077978,0.6191519578407,33.932054900897576,55.3485218490843,5.869,28.2152062734036,22.7538925373307,40.6225907203425,31.13388672045045,9.34546449695558,,,49.0309011892656,13.329453934948,1.58570823040921,33.44272776321996,69.8366580166987,5.046,25.2636305085389,21.0398239347669,40.9534345569096,47.70003582575232,11.5492123049503,36.5,,53.6965455566941,24.9338666178948,1.41381796970228
CI,Cote d'Ivoire,1994,1996,1990,-2,0,3,33.44272776321996,69.8366580166987,5.046,25.2636305085389,21.0398239347669,40.9534345569096,47.70003582575232,11.5492123049503,36.5,,53.6965455566941,24.9338666178948,1.41381796970228,33.909433723534605,76.202343905242,4.1,24.727605801392,20.7680000059137,41.2920870145192,43.291305010806354,13.6861231448876,43.6312522888184,0.0002,54.5043941926943,22.9146952697625,1.9250729478447,34.46834932863403,52.8042944211567,4.039,16.526725263958,13.7159570722429,41.6377848898263,31.86852637980599,19.1935052530133,44.6482124328613,0.00841,36.9319707734694,16.3245765159982,1.48963672945104
CI,Cote d'Ivoire,1996,1998,1990,-1,-2,3,34.46834932863403,52.8042944211567,4.039,16.526725263958,13.7159570722429,41.6377848898263,31.86852637980599,19.1935052530133,44.6482124328613,0.00841,36.9319707734694,16.3245765159982,1.48963672945104,35.30858611360989,54.0062903380367,3.964,15.1463001011509,15.3610277897039,41.9897649794856,34.695401019424374,18.0276617984084,45.6617698669434,0.0188,34.4440812913609,18.846188438367,2.30201825162195,35.371809225702336,53.6538337944761,4.1,15.5416187703162,14.6421531392277,42.3472061187643,35.55359735600155,18.2057867732971,46.6712455749512,0.061,34.0988794437297,20.98721403359,3.87417179081598
CI,Cote d'Ivoire,1998,2000,1990,-1,-2,3,35.371809225702336,53.6538337944761,4.1,15.5416187703162,14.6421531392277,42.3472061187643,35.55359735600155,18.2057867732971,46.6712455749512,0.061,34.0988794437297,20.98721403359,3.87417179081598,35.04337974443058,55.8935626908747,4.421,15.2177670996904,14.3674680263112,42.710690759617,26.34923626901429,19.2663343638215,48.2,0.119,36.0002917193271,16.2081324179954,1.24714569492904,34.56866617288745,54.9639916295152,4.835,16.195154514693,13.9368025202647,43.0840065011913,31.97851539471719,16.3620680520966,48.7,0.231462,34.67687694007,16.5085327683975,1.41578193433815
CI,Cote d'Ivoire,2000,2002,2000,-1,-2,3,34.56866617288745,54.9639916295152,4.835,16.195154514693,13.9368025202647,43.0840065011913,31.97851539471719,16.3620680520966,48.7,0.231462,34.67687694007,16.5085327683975,1.41578193433815,33.809212058457284,53.1141047180447,5.195,17.2770975527184,14.1786160309594,43.4670149035012,35.20202813234887,15.3407682455697,49.7,0.395748,35.1831669144554,16.0458654631701,1.62207726789971,32.97158648840551,55.9019482275388,5.508,18.737314157226,14.5005281247497,43.859032147728,33.089018192303364,15.4588639483726,51.4,0.497929,35.472387041315,18.8438501328603,1.17744492416162
CI,Cote d'Ivoire,2002,2004,2000,-1,-2,3,32.97158648840551,55.9019482275388,5.508,18.737314157226,14.5005281247497,43.859032147728,33.089018192303364,15.4588639483726,51.4,0.497929,35.472387041315,18.8438501328603,1.17744492416162,31.82394715573083,53.260060681877,5.847,20.7760202202729,15.2123312134125,44.2593744150531,33.49372781573287,12.8438507998715,51.5,0.75867,36.198594385247,18.1904080326719,0.778244315036861,31.93511961503176,58.1182963035946,5.915,16.640018984398,15.5260750475447,44.667357886658,29.18372434797768,13.4933313574459,52.4,0.849282,38.3730686607013,16.8825740639626,1.20362782194335
CI,Cote d'Ivoire,2004,2006,2000,-1,-2,3,31.93511961503176,58.1182963035946,5.915,16.640018984398,15.5260750475447,44.667357886658,29.18372434797768,13.4933313574459,52.4,0.849282,38.3730686607013,16.8825740639626,1.20362782194335,31.71659954622777,62.8209360402806,6.023,16.0651853584803,16.2241764456125,45.082298743724,34.4850694114316,13.7374737553324,58.9,1.03924,38.8167783655946,14.7791658534223,1.45218108383072,31.782494564772268,63.690377061452,6.017,15.9447949066292,16.5839543942617,45.5035131674326,31.838283235432517,14.2436392038274,60.2,1.5249,37.9448192296392,16.1723105245806,1.38823180058485
CI,Cote d'Ivoire,2006,2008,2000,-1,-2,3,31.782494564772268,63.690377061452,6.017,15.9447949066292,16.5839543942617,45.5035131674326,31.838283235432517,14.2436392038274,60.2,1.5249,37.9448192296392,16.1723105245806,1.38823180058485,31.589739423062607,61.4309423484426,6.284,15.5787463255399,16.483170824856,45.930317338965,30.438516120172523,16.6971471423806,55.3,1.8,38.7672870732728,13.2772366149789,1.54311664780089,31.96486069859632,61.9406212969499,6.382,16.1854841829726,17.4088361491375,46.3620274395029,37.59260626816216,16.1177834623712,60.3,1.9,37.7795452078374,18.2667375330743,1.37441880759786
CI,Cote d'Ivoire,2008,2010,2000,-1,-2,3,31.96486069859632,61.9406212969499,6.382,16.1854841829726,17.4088361491375,46.3620274395029,37.59260626816216,16.1177834623712,60.3,1.9,37.7795452078374,18.2667375330743,1.37441880759786,32.17103595543431,66.6729037469185,6.573,15.2495816385759,18.0163071461274,46.7979596502274,27.66746095562138,16.1081607755506,57.3,2.0,38.6653601228599,18.896128449024,1.17339078576713,32.8627628036965,67.472940081257,6.607,17.4889170707842,15.9765793754723,47.2374301523201,28.42029428426769,20.7031739690787,58.4,2.7,37.8322011028794,21.2072636285474,1.02606239201511
