country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
CO,Colombia,1990,1992,1990,0,5,5,3714.1849928328,34.7778103803081,,17.0667810007027,31.4968602181932,69.4907571843537,29.1520245976215,19.0524928805132,89.9,0.0,48.3031645256986,23.5542582236091,2.995,1.04506114042541,3713.17727535576,33.5299180947153,10.12,17.4547981612428,31.6304103693242,69.9576034637361,30.3878204854436,17.514716713386,91.8366546630859,,48.6349665306718,23.7646235574319,2.982,0.929119963410911,3787.5942918216,33.6115913436524,9.44,16.7939433917586,29.7002105573033,70.4190206034906,27.0106266231361,19.1049769206483,92.1326599121094,,51.2154841670251,19.9800195073076,2.983,1.24736846158865
CO,Colombia,1992,1994,1990,0,5,5,3787.5942918216,33.6115913436524,9.44,16.7939433917586,29.7002105573033,70.4190206034906,27.0106266231361,19.1049769206483,92.1326599121094,,51.2154841670251,19.9800195073076,2.983,1.24736846158865,3912.6590835796,36.1774714449627,7.8,14.9678292386502,30.1688803315477,70.8733475069429,22.4424828533275,22.8507409211656,92.4279937744141,,51.6619302594552,19.1336522363693,2.978,1.44341026306631,4059.32146113882,35.917537450138,8.25,14.8315378667055,29.1146819751249,71.3349044726196,22.8462417553045,23.2882962964016,92.7219619750977,0.107,52.8260256465956,19.61763296808,2.937,1.77042262125538
CO,Colombia,1994,1996,1990,-1,5,5,4059.32146113882,35.917537450138,8.25,14.8315378667055,29.1146819751249,71.3349044726196,22.8462417553045,23.2882962964016,92.7219619750977,0.107,52.8260256465956,19.61763296808,2.937,1.77042262125538,4189.72770913999,35.4972303177666,8.72,14.0180659651442,29.2289240048708,71.8237121859285,20.8917930194849,22.3961647913646,91.2,0.188,53.9334397761113,19.3689987894117,2.85,1.04680224097574,4198.69126252708,36.0441071863282,11.81,12.768819026019,28.5190019571669,72.3326212825811,20.7975755127402,21.5958207070305,93.3031005859375,0.33,57.2160632200197,16.5057548754491,2.768,3.20262771722448
CO,Colombia,1996,1998,1990,-1,5,5,4198.69126252708,36.0441071863282,11.81,12.768819026019,28.5190019571669,72.3326212825811,20.7975755127402,21.5958207070305,93.3031005859375,0.33,57.2160632200197,16.5057548754491,2.768,3.20262771722448,4265.6935185646,35.5970680886793,12.14,12.6064711492187,27.0786703606707,72.8506360383423,18.4700217119089,20.2056206872574,93.5889129638672,0.551,58.394433716949,15.0097700223095,2.743,5.21492781259777,4213.82800470051,35.9089230535138,15.0,13.2357896548033,26.3922916059744,73.3667607289768,18.6769799276672,18.9364606568743,93.8706436157227,1.13,58.9164164269976,13.8338578012841,2.717,2.87354611202614
CO,Colombia,1998,2000,1990,-2,5,5,4213.82800470051,35.9089230535138,15.0,13.2357896548033,26.3922916059744,73.3667607289768,18.6769799276672,18.9364606568743,93.8706436157227,1.13,58.9164164269976,13.8338578012841,2.717,2.87354611202614,3967.11339937681,36.1492793141794,20.06,13.0007715171454,26.7207875591071,73.8699996302493,10.8736870857471,13.2478542787631,94.1475296020508,1.7,58.2248501228895,13.4240123569422,2.637,1.74959315214541,4016.80951748167,32.6670854693067,20.52,8.3057195333068,27.3057722832576,74.3493570179247,9.22534818585366,14.1293141067755,95.2,2.20753,57.1943739779697,14.0588209906441,2.574,2.43950747934181
CO,Colombia,2000,2002,2000,-2,5,10,4016.80951748167,32.6670854693067,20.52,8.3057195333068,27.3057722832576,74.3493570179247,9.22534818585366,14.1293141067755,95.2,2.20753,57.1943739779697,14.0588209906441,2.574,2.43950747934181,4020.50789754842,33.9011117949445,15.04,8.32097267667621,27.2228150417753,74.7938371677676,7.96556090304834,15.3995333206406,98.5,2.8542,57.1646793682561,12.9054110896122,2.522,2.58851936306874,4058.28493578738,32.9826392144234,14.481,8.51000517684848,27.5290127709183,75.192444355543,6.35150728778872,16.725296853536,94.9,4.6,56.4586280128647,13.9000419854641,2.489,2.17844751407948
CO,Colombia,2002,2004,2000,-1,5,10,4058.28493578738,32.9826392144234,14.481,8.51000517684848,27.5290127709183,75.192444355543,6.35150728778872,16.725296853536,94.9,4.6,56.4586280128647,13.9000419854641,2.489,2.17844751407948,4154.17528523618,36.51618351723,13.221,8.32877416512145,28.9037801318181,75.5341828570154,7.1297886294186,18.1097505002846,95.1,7.38892,54.9027887422203,15.3162349226165,2.45,1.81783931129221,4311.91591255233,35.8634269337995,13.717,7.91098316231374,29.7258920854426,75.8080569479496,5.90402005546502,18.8317596064491,95.3,9.11869,54.1525594452856,17.1190725300719,2.384,2.66083488771203
CO,Colombia,2004,2006,2000,-1,5,10,4311.91591255233,35.8634269337995,13.717,7.91098316231374,29.7258920854426,75.8080569479496,5.90402005546502,18.8317596064491,95.3,9.11869,54.1525594452856,17.1190725300719,2.384,2.66083488771203,4457.27537460443,37.422697494955,11.062,7.52726670177951,30.3481497700898,76.004938901378,5.05101962689696,20.9561543150332,96.8,11.0073,53.1705123121808,18.1756312914623,2.309,7.02979401438219,4694.03442939175,39.6413559606293,11.091,7.18676953071771,30.9134600266245,76.1619191918164,4.29342363628927,22.5775935262733,95.7,15.3417,52.510717917003,18.7547824446285,2.241,4.17238510059526
CO,Colombia,2006,2008,2000,-1,5,10,4694.03442939175,39.6413559606293,11.091,7.18676953071771,30.9134600266245,76.1619191918164,4.29342363628927,22.5775935262733,95.7,15.3417,52.510717917003,18.7547824446285,2.241,4.17238510059526,4947.25260813108,37.0988970982903,11.204,6.93455867595786,30.5790350660201,76.3144038775849,5.54438485815156,24.0773758127074,96.0,21.8,52.954917784115,19.2216678412904,2.195,4.30867680626701,5048.57187245249,39.1676494164355,11.273,6.6873848504052,32.1310911250351,76.4596761810047,6.99688495554511,21.9137810195697,96.8,25.6,52.0115244022713,20.7724623022784,2.155,4.35627834630067
CO,Colombia,2008,2010,2000,-1,5,10,5048.57187245249,39.1676494164355,11.273,6.6873848504052,32.1310911250351,76.4596761810047,6.99688495554511,21.9137810195697,96.8,25.6,52.0115244022713,20.7724623022784,2.155,4.35627834630067,5046.97121757727,35.1561285074585,12.066,6.68974069628809,31.2470343359106,76.5964145836792,4.20251661216482,22.6467081627038,96.1,30.0,53.4800448189101,19.6804459561301,2.096,3.45627065154005,5214.24547620131,34.2646031687681,11.153,6.32485387641069,31.3713561004301,76.7232975672119,2.27200227892008,22.0429732014851,96.8,36.5,53.3990736315847,20.3058486196375,2.01,2.24433595561184
