country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
CR,Costa Rica,1990,1992,1990,0,1,8,54.23648548231941,75.2851641940228,,15.78742116015,25.6960006915969,48.5798206865317,45.376261658016354,22.3909668567092,,0.0,58.5165590222319,20.4182134039364,2.84504346292679,54.18879831562028,71.4396757036532,5.37,11.9445569900871,27.3690320368421,49.5061254880439,48.414651601748304,17.0050963129734,,,52.7984666195925,13.7744055780654,2.47237786850201,55.170181892694295,76.0962354814708,3.93,11.9001491093974,27.8804567673338,50.4777876082162,46.36905577383989,19.3713082916137,,0.00111,51.377508141935,14.9007891017239,2.63410792471723
CR,Costa Rica,1992,1994,1990,0,1,8,55.170181892694295,76.0962354814708,3.93,11.9001491093974,27.8804567673338,50.4777876082162,46.36905577383989,19.3713082916137,,0.00111,51.377508141935,14.9007891017239,2.63410792471723,55.85180955815786,79.3523368268699,3.95,11.8282300115977,27.3579087594724,51.4878248016624,40.59070739479002,20.39289216313,,0.0815,52.7635038256726,13.750911788447,2.57924460482051,56.15932860599829,77.9973079960212,4.05,12.3199679785456,26.6085239113989,52.529254822996,42.89769510749456,19.9861393747316,,0.28,52.8501398004276,14.5427652494564,2.83701364475497
CR,Costa Rica,1994,1996,1990,0,1,8,56.15932860599829,77.9973079960212,4.05,12.3199679785456,26.6085239113989,52.529254822996,42.89769510749456,19.9861393747316,,0.28,52.8501398004276,14.5427652494564,2.83701364475497,56.41967507488898,79.7743745489399,5.18,12.7581274501947,26.570147997769,53.5950954268308,46.82759332410919,19.7915168683805,,0.417,52.2555470192519,16.0258940817393,2.90967964192101,56.26280549777736,84.0571640061047,6.16,12.1024964084453,25.9858745667506,54.6783643677805,44.76410829182106,17.9523193631735,,0.841,52.97367408152,13.7173019922406,3.65588697118439
CR,Costa Rica,1996,1998,1990,0,1,8,56.26280549777736,84.0571640061047,6.16,12.1024964084453,25.9858745667506,54.6783643677805,44.76410829182106,17.9523193631735,,0.841,52.97367408152,13.7173019922406,3.65588697118439,56.74356949438371,87.6131980978704,5.68,12.5030913360301,26.0415142283019,55.7720794004588,42.744106894507816,19.2696393046172,,1.64,52.6945640755722,15.659356605281,3.24576223328059,57.485813594508016,92.0380212366186,5.33,12.618968848322,25.9855719317614,56.8692582794794,41.831779939056574,22.1180461240169,,2.67,52.9371389314662,18.5494403117318,4.49056201812519
CR,Costa Rica,1998,2000,1990,0,1,8,57.485813594508016,92.0380212366186,5.33,12.618968848322,25.9855719317614,56.8692582794794,41.831779939056574,22.1180461240169,,2.67,52.9371389314662,18.5494403117318,4.49056201812519,57.807364909983065,87.5386137677373,5.9,11.1096929634483,25.7329775455962,57.962918759456,40.77930816385021,21.0870091638892,,3.9,54.2127027958483,18.6569158282569,4.34566834672367,58.09785170190089,86.5249235130705,5.08,9.24882318534345,25.4449908253979,59.0462378975394,41.39428295756122,19.6895820518742,96.9,5.80025,55.8833804353278,20.0224111535909,4.81846449896273
CR,Costa Rica,2000,2002,2000,0,1,4,58.09785170190089,86.5249235130705,5.08,9.24882318534345,25.4449908253979,59.0462378975394,41.39428295756122,19.6895820518742,96.9,5.80025,55.8833804353278,20.0224111535909,4.81846449896273,58.35441023802195,80.852758718109,6.051,8.37953627007384,25.2166020654827,60.1427600448608,41.58169815124925,19.8348156807213,98.2,9.55948,56.6907655570513,20.2798754071843,3.89233617537996,58.62174581590812,80.4139443360039,6.396,8.42775029018437,24.569597934029,61.2787633575946,40.14032667116946,19.7839966151584,98.5,19.8949,57.4530046864413,17.9214454535839,4.36202694033196
CR,Costa Rica,2002,2004,2000,0,1,4,58.62174581590812,80.4139443360039,6.396,8.42775029018437,24.569597934029,61.2787633575946,40.14032667116946,19.7839966151584,98.5,19.8949,57.4530046864413,17.9214454535839,4.36202694033196,59.04283218506588,83.3277075355642,6.654,8.84007800871514,24.1792374989641,62.4518059303802,40.35000563714198,19.790175521696,98.7,20.3336,57.7731241504416,16.9807693401757,4.48353970316272,59.4903100448588,85.2564771965872,6.445,8.85240876800238,24.6690619237543,63.6596013546005,42.22135947664273,19.8781564478728,99.0,20.7923,57.2988154289491,18.0888003417453,5.8231265333186
CR,Costa Rica,2004,2006,2000,0,1,4,59.4903100448588,85.2564771965872,6.445,8.85240876800238,24.6690619237543,63.6596013546005,42.22135947664273,19.8781564478728,99.0,20.7923,57.2988154289491,18.0888003417453,5.8231265333186,59.87433301492886,89.2226638923224,6.749,8.62223694626727,24.2695341122995,64.8998632216384,43.036510777233495,19.9518024342991,99.1,22.07,57.7916436421547,16.6705265590345,7.62843539507747,60.76168075262864,89.8145546136931,5.926,8.42982819706634,23.7198679368366,66.1703051228767,41.71588671585754,20.293066801457,99.1,25.1,58.1777820197184,17.8991571165414,7.92850433097117
CR,Costa Rica,2006,2008,2000,2,1,15,60.76168075262864,89.8145546136931,5.926,8.42982819706634,23.7198679368366,66.1703051228767,41.71588671585754,20.293066801457,99.1,25.1,58.1777820197184,17.8991571165414,7.92850433097117,61.785323933555226,86.4565958439349,4.557,7.91531104342903,23.8937947565006,67.4686406496983,40.2829920184821,22.3649992802424,99.2,28.4,57.9758953727124,17.9944474392679,8.33742597856098,62.297555899652245,86.4015127113254,4.934,6.97696046934205,23.5536024382425,68.7925833934861,42.83906853086143,23.7449715296068,99.3,32.29,59.4254091302356,15.8221486824662,7.90900698278232
CR,Costa Rica,2008,2010,2000,2,1,15,62.297555899652245,86.4015127113254,4.934,6.97696046934205,23.5536024382425,68.7925833934861,42.83906853086143,23.7449715296068,99.3,32.29,59.4254091302356,15.8221486824662,7.90900698278232,61.9511278904199,69.7593177251535,7.824,7.04962970066208,23.5227381446589,70.1398469456228,39.06302900044992,21.0035629736066,99.4,34.33,61.0597628286368,17.958205923548,5.25151067245965,62.57413451543303,67.512089684107,7.171,6.48518940835947,23.3229652114345,71.5081448974915,36.87874575280192,19.4564092871474,99.0,36.5,61.907753060789,17.9806515304693,5.06371170213526
