country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
CW,Curacao,1980,1982,1980,-2,-1,11,,,,,,81.2151888563063,,,,,,,,,,,,,81.4584161438359,,,,,,,,,,,,,81.7099479355108,,,,,,,
CW,Curacao,1982,1984,1980,-2,1,10,,,,,,81.7099479355108,,,,,,,,,,,,,81.9716836437065,,,,,,,,,,,,,82.2455226807985,,,,,,,
CW,Curacao,1984,1986,1980,-1,-1,9,,,,,,82.2455226807985,,,,,,,,,,,,,82.5333644591621,,,,,,,,,,,,,82.8371083911729,,,,,,,
CW,Curacao,1986,1988,1980,-1,2,9,,,,,,82.8371083911729,,,,,,,,,,,,,83.1586538892064,,,,,,,,,,,,,83.4999003656379,,,,,,,
CW,Curacao,1988,1990,1980,-2,3,9,,,,,,83.4999003656379,,,,,,,,,,,,,83.8627472328428,,,,,,,,,,,,,84.2490939031968,,,100.0,,,,
CW,Curacao,1990,1992,1990,-1,4,8,,,,,,84.2490939031968,,,100.0,,,,,,,,,,84.6608397890751,,,100.0,,,,,,,,,,85.0998746479707,,,100.0,,,,
CW,Curacao,1992,1994,1990,-1,4,8,,,,,,85.0998746479707,,,100.0,,,,,,,,,,85.6585187944984,,,100.0,,,,,,,,,,86.3868003016417,,,100.0,,,,
CW,Curacao,1994,1996,1990,-2,4,9,,,,,,86.3868003016417,,,100.0,,,,,,,,,,87.2231241478651,,,100.0,,,,,,,,,,88.1058856503431,,,100.0,,,,
CW,Curacao,1996,1998,1990,-2,4,9,,,,,,88.1058856503431,,,100.0,,,,,,,,,,88.9734801262502,,,100.0,,,,,,,,,,89.7643028927608,,,100.0,,,,
CW,Curacao,1998,2000,1990,1,5,7,,,,,,89.7643028927608,,,100.0,,,,,,,,,,90.4167492670495,,,100.0,,,,,21523.645846078,,,0.547435712443223,14.7899219306528,90.8692145662905,,,100.0,,76.7108890759478,,0.0
CW,Curacao,2000,2002,2000,1,2,7,21523.645846078,,,0.547435712443223,14.7899219306528,90.8692145662905,,,100.0,,76.7108890759478,,0.0,22171.0654932071,,,0.854068446202031,17.4657123656503,91.060147058155,1.79282868525896,,99.9,,74.6811777010328,,0.0,22231.8792561824,,,0.617357970979196,16.5039464506558,91.0970316517813,0.391389432485324,,99.9,,75.1184328184521,,0.0
CW,Curacao,2002,2004,2000,1,2,7,22231.8792561824,,,0.617357970979196,16.5039464506558,91.0970316517813,0.391389432485324,,99.9,,75.1184328184521,,0.0,21840.8912647914,,,0.58814648704912,15.483181105965,91.1278267399674,1.63371391441571,,99.8,,76.786825863711,,0.0,21512.1115522523,,,0.559760348644267,15.02736671908,91.1534053060108,1.37912138094799,,99.8,,77.9883008621289,,0.0
CW,Curacao,2004,2006,2000,1,0,7,21512.1115522523,,,0.559760348644267,15.02736671908,91.1534053060108,1.37912138094799,,99.8,,77.9883008621289,,0.0,21112.3218717015,134.911459782692,,0.588865493053005,15.4098404091381,91.1746923604573,4.11711711711708,24.8945608839399,99.7,,77.9973255026024,18.9949859904953,0.0,20913.6629896021,144.555511068893,,0.557540406312578,16.0921965506674,91.1926129138527,3.1149952409795,24.8279676667209,99.7,,76.0630112996805,16.5278362276147,0.0
CW,Curacao,2006,2008,2000,1,5,7,20913.6629896021,144.555511068893,,0.557540406312578,16.0921965506674,91.1926129138527,3.1149952409795,24.8279676667209,99.7,,76.0630112996805,16.5278362276147,0.0,21011.1570121301,146.049122473292,,0.637151950359926,16.3959922621749,91.2080919767428,2.99572039942908,26.2225050304134,99.7,,74.9990954043439,11.1105539950562,0.0,21202.4304610307,166.739541731544,,0.643381307320106,15.2140225018826,91.2220545596735,6.8763239367776,28.0465653032579,99.7,,76.0626774586038,11.1303420401373,0.0
CW,Curacao,2008,2010,2000,1,0,7,21202.4304610307,166.739541731544,,0.643381307320106,15.2140225018826,91.2220545596735,6.8763239367776,28.0465653032579,99.7,,76.0626774586038,11.1303420401373,0.0,20952.8997952543,144.702341659916,,0.45835259199559,16.9450402530542,91.2354256731905,1.75331605427595,27.2986547993975,99.7,,74.4789705143764,13.2518068029416,0.0,20706.437408421,143.932211823816,,0.441001800600715,15.0197289233141,91.2491303278397,2.77944261312587,27.4527061216866,100.0,,77.0303910145171,3.77450764007884,0.0
CW,Curacao,2010,2012,2010,1,0,7,20706.437408421,143.932211823816,,0.441001800600715,15.0197289233141,91.2491303278397,2.77944261312587,27.4527061216866,100.0,,77.0303910145171,3.77450764007884,0.0,20518.0985782641,172.923417836707,,0.309494637952041,13.6386620146608,91.2639416184104,2.3325315256217,31.1008952076427,100.0,,75.4545740814872,10.8251612459136,2.40614386605524,20277.5112566223,183.236460764441,,0.188964645340471,13.7863246725506,91.2791300612311,3.18398746349455,26.9999302279017,100.0,,75.3963705315805,10.5558935235701,2.31350889001072
CW,Curacao,2012,2014,2010,1,0,7,20277.5112566223,183.236460764441,,0.188964645340471,13.7863246725506,91.2791300612311,3.18398746349455,26.9999302279017,100.0,,75.3963705315805,10.5558935235701,2.31350889001072,19921.4771792975,166.406148932184,,0.227822359865052,15.3389624484324,91.2938785868797,1.33232086152117,28.8687781170974,100.0,,72.8966336690468,12.6772868092365,-0.0497229528681824,19529.5285930905,164.359817499142,,0.207327469043548,16.3585494364432,91.3082030810948,1.4987396961643,26.5085877038412,100.0,,72.0611331116034,13.2942570819389,2.26501702747432
CW,Curacao,2014,2016,2010,1,3,2,19529.5285930905,164.359817499142,,0.207327469043548,16.3585494364432,91.3082030810948,1.4987396961643,26.5085877038412,100.0,,72.0611331116034,13.2942570819389,2.26501702747432,19361.8129630226,148.31381621544,,0.205941926250781,16.5035976098599,91.3220471649755,-0.476542049801405,26.2418928807763,100.0,,71.640456982806,15.0444287757996,4.78739209486991,18953.0538552203,139.052978198311,,0.169566818227653,17.1537622222003,91.3353544596205,-0.0472079848940293,29.2656594792158,100.0,61.8555,70.6734742771469,15.5793311570516,4.39991505278562
