country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
CY,Cyprus,1990,1992,1990,2,1,7,70.57065212061805,108.608208716902,,6.8591767823588,25.9263603612884,67.1368426608878,35.4016775652902,24.6077385190788,100.0,0.0,,21.4383482416715,2.26457722241847,70.28086033342265,104.179904915897,3.0,6.19134855754697,26.7394483448488,67.3910893187537,36.11547064078746,24.3092691344192,100.0,,,15.8335489243175,1.41799293512939,71.27046475070136,110.097007340814,2.09,5.72367756161448,25.5599600378707,67.6074573603626,37.80267698855116,25.6501985034988,100.0,0.0501,,17.5158726030013,1.55438041121154
CY,Cyprus,1992,1994,1990,2,1,7,71.27046475070136,110.097007340814,2.09,5.72367756161448,25.5599600378707,67.6074573603626,37.80267698855116,25.6501985034988,100.0,0.0501,,17.5158726030013,1.55438041121154,71.00172053583117,95.4163753507475,2.7,5.61272712074519,24.6801238163625,67.802111495789,35.88036069999171,22.6341347948925,100.0,0.0564,,23.6540739848038,1.26599855442852,71.5751502982805,95.7761516051877,2.7,5.06752181727584,23.2256832857901,67.9900353030289,35.672511234912086,20.5850934799143,100.0,0.111,,25.1184700094089,1.01234939241526
CY,Cyprus,1994,1996,1990,4,2,4,71.5751502982805,95.7761516051877,2.7,5.06752181727584,23.2256832857901,67.9900353030289,35.672511234912086,20.5850934799143,100.0,0.111,,25.1184700094089,1.01234939241526,72.54824780164894,134.390514064609,2.6,4.77612601202217,20.0589712716918,68.1691720632769,32.16217786414948,25.2015448701961,100.0,0.41,66.4299003101592,25.6699549315182,2.44773444158473,72.49299946802171,140.848983444568,3.1,4.57820894953766,20.1416355118168,68.3349402485415,32.900616889500434,24.0682870196313,100.0,0.673,66.9851454277313,23.7689072091771,2.33471280264574
CY,Cyprus,1996,1998,1990,4,2,4,72.49299946802171,140.848983444568,3.1,4.57820894953766,20.1416355118168,68.3349402485415,32.900616889500434,24.0682870196313,100.0,0.673,66.9851454277313,23.7689072091771,2.33471280264574,72.67909551812495,139.762976603986,3.4,3.92033854684487,19.6542876370331,68.4827583308314,34.028843979207856,24.5542958176662,100.0,4.38,68.6650938354451,22.6370897964814,5.72402307066318,73.41544689590151,134.909736760687,3.3,4.33453178052136,19.2367495940022,68.6080447821551,31.28597695184711,19.6816390333583,100.0,8.89,69.3005315030312,21.5249290297258,3.37019212736607
CY,Cyprus,1998,2000,1990,4,2,4,73.41544689590151,134.909736760687,3.3,4.33453178052136,19.2367495940022,68.6080447821551,31.28597695184711,19.6816390333583,100.0,8.89,69.3005315030312,21.5249290297258,3.37019212736607,74.00356331637921,131.209333344294,5.532,3.89894323212311,18.4881766129994,68.706218074521,29.705686660285103,21.337606714648,100.0,11.3,70.2337960203708,22.4570469688313,7.74491774842636,74.74385305608625,137.494903248556,4.766,3.64726364853406,17.6860389784449,68.7726966799379,34.87890120048639,20.0836358035085,100.0,15.2554,69.7823234088886,22.8598835071388,8.56085877135346
CY,Cyprus,2000,2002,2000,4,2,13,74.74385305608625,137.494903248556,4.766,3.64726364853406,17.6860389784449,68.7726966799379,34.87890120048639,20.0836358035085,100.0,15.2554,69.7823234088886,22.8598835071388,8.56085877135346,75.1818154323552,131.849067868114,4.043,3.86079645311557,17.3938040761177,68.8024068077544,30.65176850680509,19.0227236079028,100.0,18.8188,69.3356940456567,22.303204558368,9.08590170377257,75.57451077467144,123.64133212338,3.336,3.78826774823824,17.9301859605063,68.7863589370716,32.54791204543617,20.947638628419,100.0,28.32,68.4036794358998,21.4510301305763,9.66223830535239
CY,Cyprus,2002,2004,2000,4,2,13,75.57451077467144,123.64133212338,3.336,3.78826774823824,17.9301859605063,68.7863589370716,32.54791204543617,20.947638628419,100.0,28.32,68.4036794358998,21.4510301305763,9.66223830535239,75.78955501296065,114.004632981485,4.153,3.3529015922721,18.0129342330248,68.7120973207373,34.875009702564185,20.2861873439701,100.0,30.09,67.3560787874655,21.0179418264684,6.24270945639917,76.34767110770989,113.903613489207,4.77,3.08333142687938,18.067453251524,68.5908141437316,31.42460752373581,20.6457343555968,100.0,33.83,66.8237969620049,21.7408857007366,6.459620091748
CY,Cyprus,2004,2006,2000,4,2,13,76.34767110770989,113.903613489207,4.77,3.08333142687938,18.067453251524,68.5908141437316,31.42460752373581,20.6457343555968,100.0,33.83,66.8237969620049,21.7408857007366,6.459620091748,76.86390262225964,111.917065271958,5.481,2.73852781486715,17.8911353003281,68.4340674211981,32.04247467059567,21.5266894687851,100.0,32.81,66.7369863544184,21.6765716699836,6.30362669067508,77.32363061484904,109.806498040343,4.593,2.2759759957395,17.830157800694,68.2534151682801,31.467858014942152,25.0775609714329,100.0,35.83,66.9928855593874,21.3788718532564,9.32556556614527
CY,Cyprus,2006,2008,2000,4,2,13,77.32363061484904,109.806498040343,4.593,2.2759759957395,17.830157800694,68.2534151682801,31.467858014942152,25.0775609714329,100.0,35.83,66.9928855593874,21.3788718532564,9.32556556614527,77.76861152731358,111.275122844623,3.946,2.02353280851406,18.1971192501955,68.0604154001212,31.62495056928184,25.5483408894883,100.0,40.77,66.0995381791403,19.3138506512729,9.57345612845137,77.93621358153352,112.925930874708,3.756,2.09331209487447,17.8966297974596,67.8666261318649,35.6323501522946,27.1833090122118,100.0,42.31,66.3692756373905,15.8823990480569,44.545975103769
CY,Cyprus,2008,2010,2000,6,3,10,77.93621358153352,112.925930874708,3.756,2.09331209487447,17.8966297974596,67.8666261318649,35.6323501522946,27.1833090122118,100.0,42.31,66.3692756373905,15.8823990480569,44.545975103769,77.19754126114636,102.7910918992,5.594,1.98881944002316,15.9545009113836,67.6836053786548,24.422766364336884,23.4393429106478,100.0,49.81,69.9768267979178,17.1851806952346,252.667773383487,77.14147656399275,108.901699269523,6.359,2.05766089497283,14.4791152125979,67.5229111556342,31.755153275417,22.3931532844937,100.0,52.99,71.6413288911788,15.4540741653862,125.272737889578
