country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
DJ,Djibouti,1980,1982,1980,1,5,7,,,,,,73.2438766042144,12.0580235721856,,,,,,,,,,,,73.7958339865276,5.71736785374118,,,,,,,,,,,,74.2289309429525,-2.41071428572345,,,,,,
DJ,Djibouti,1982,1984,1980,-2,-2,11,,,,,,74.2289309429525,-2.41071428572345,,,,,,,,,,,,74.5539492577674,0.901842896356874,,,,,,,,,,,,74.8487879867949,1.88471502578427,,,,,,
DJ,Djibouti,1984,1986,1980,1,0,7,,,,,,74.8487879867949,1.88471502578427,,,,,,,,,,,,75.1332740303969,2.12890298848072,,,,,,0.0674507517490648,,,,,,75.3957483463265,18.147633450986,,,,,,
DJ,Djibouti,1986,1988,1980,1,0,7,,,,,,75.3957483463265,18.147633450986,,,,,,,,,,,,75.6282696244695,4.08911644641214,,,,,,0.112488428269259,,,,,,75.8228965547117,,,,,,,0.151593804723951
DJ,Djibouti,1988,1990,1980,0,6,7,,,,,,75.8228965547117,,,,,,,0.151593804723951,,,,,,75.9716878269389,,,,,,,-0.0317677465249493,,,,,,76.0667021310371,,,,0.0,,,0.0132647080044086
DJ,Djibouti,1990,1992,1990,0,6,7,,,,,,76.0667021310371,,,,0.0,,,0.0132647080044086,,,26.118,,,76.099997794303,,,,,,,0.495241664547389,,,26.457,,,76.0505618940741,,,,,,,0.479043325761231
DJ,Djibouti,1992,1994,1990,1,0,7,,,26.457,,,76.0505618940741,,,,,,,0.479043325761231,,,27.253,,,75.9104671311523,,,,,,,0.305457425513059,,,27.118,,,75.691109845553,,,,,,,0.289528343451566
DJ,Djibouti,1994,1996,1990,5,3,1,,,27.118,,,75.691109845553,,,,,,,0.289528343451566,,,27.303,,,75.4038861624412,,,,0.016,,,0.646649181513972,,,27.172,,,75.060192206982,,,62.0,0.0312,,,0.660629876416651
DJ,Djibouti,1996,1998,1990,5,3,1,,,27.172,,,75.060192206982,,,62.0,0.0312,,,0.660629876416651,,,27.176,,,74.6714241043403,,,56.2944946289063,0.0829,,,0.616772633652726,,,27.027,,,74.2489779796812,,,56.3222541809082,0.0947,,,0.617093489663684
DJ,Djibouti,1998,2000,1990,5,3,1,,,27.027,,,74.2489779796812,,,56.3222541809082,0.0947,,,0.617093489663684,,,26.742,,,73.8042499581697,,,56.3451690673828,0.106,,,0.599332232633272,,,26.664,,,73.3486361649708,,,56.0,0.194501,,,0.596129445834392
