country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
ET,Ethiopia,1980,1982,1980,-3,-3,1,6.996715456265468,,,,,10.3746114737509,35.37425629935292,,,,,,0.0,7.281024465592205,,,53.4066119020511,8.52788001723237,10.5757692446068,37.40822297223158,,,,30.0180210390822,,0.0,6.805926229859094,,,51.960077067069,8.61827243209767,10.7805155905461,37.13761475426882,,,,31.6592509832262,,0.0
ET,Ethiopia,1982,1984,1980,-3,-2,1,6.805926229859094,,,51.960077067069,8.61827243209767,10.7805155905461,37.13761475426882,,,,31.6592509832262,,0.0,7.625107529512179,,,53.0533806406888,8.27697186288087,10.9888200069616,18.26163865513488,,,,30.9884236022198,,0.0,6.746583731881245,,,46.7322626178872,9.89556406734919,11.2015259613264,39.54882016778803,,,,34.6824055388874,,0.0
ET,Ethiopia,1984,1986,1980,-3,-2,1,6.746583731881245,,,46.7322626178872,9.89556406734919,11.2015259613264,39.54882016778803,,,,34.6824055388874,,0.0,4.405718700754379,,,51.2985216596386,8.95073151295085,11.4297619796544,45.385856437257495,,,,32.3972153755491,,0.0,5.40823657682897,,,49.745196243487,9.4679603051477,11.67893537982,3.875243309667007,,,,33.039837883825,,0.0
ET,Ethiopia,1986,1988,1980,-3,-1,1,5.40823657682897,,,49.745196243487,9.4679603051477,11.67893537982,3.875243309667007,,,,33.039837883825,,0.0,6.939595093707219,,,47.9289168011732,10.73693728642,11.9426809359238,12.735441798575946,,,,33.5902966009542,,0.0,6.395267901037569,,,47.4101445822131,10.0257690195637,12.2152770565957,38.3676609252121,,,,34.4913819243781,,0.0
ET,Ethiopia,1988,1990,1980,-3,-3,1,6.395267901037569,,,47.4101445822131,10.0257690195637,12.2152770565957,38.3676609252121,,,,34.4913819243781,,0.0,5.722894312414403,,,47.2129256923772,10.0666856747525,12.4910021504654,39.04083101434353,,,,34.9101396472278,,0.0,5.561060942200967,,,48.2864738498344,9.07738117795647,12.7641346261628,36.26389477564309,,,0.0,35.4219883144149,,0.0961620638798249
ET,Ethiopia,1990,1992,1990,-3,-3,2,5.561060942200967,,,48.2864738498344,9.07738117795647,12.7641346261628,36.26389477564309,,,0.0,35.4219883144149,,0.0961620638798249,3.683451430817813,,3.284,57.2379439418159,7.09995761823128,13.0289528923177,50.05007196377858,,,,28.9499056847589,,0.0434789655941437,1.5589724045428168,,3.416,62.2774788790179,5.94566794359276,13.2797353575599,41.109021992932135,,,,26.1753500774376,,0.0015806896941716
ET,Ethiopia,1992,1994,1990,-3,-3,2,1.5589724045428168,,3.416,62.2774788790179,5.94566794359276,13.2797353575599,41.109021992932135,,,,26.1753500774376,,0.0015806896941716,2.9720913680573267,,3.252,58.4860392352869,7.27319626757273,13.5107604305191,33.923778279521585,,,,28.0093309362756,,0.0386695728163876,2.9175343518864443,,3.1,51.4165791514483,7.98424623551442,13.7172676452417,38.84277424490667,,,,32.9749309477209,,0.242366826705661
ET,Ethiopia,1994,1996,1990,-3,-2,2,2.9175343518864443,,3.1,51.4165791514483,7.98424623551442,13.7172676452417,38.84277424490667,,,,32.9749309477209,,0.242366826705661,3.324326162699778,,3.005,50.6606917388224,9.06014651920214,13.8825578689575,40.76314675702136,,,1.75e-05,32.3249405663692,,0.180008028148242,4.670235113246728,,3.121,49.91984083124,9.54552501331735,14.102746963501,4.8840094803499925,,,0.0017,32.4643860300556,,0.250307732741369
ET,Ethiopia,1996,1998,1990,-3,-2,2,4.670235113246728,,3.121,49.91984083124,9.54552501331735,14.102746963501,4.8840094803499925,,,0.0017,32.4643860300556,,0.250307732741369,4.651140889965123,,3.227,52.713752061384,11.9051331681556,14.3073453903198,31.676391366004022,,,0.00497,26.7031849691114,,3.27697722032662,3.5856868042652104,,3.481,47.8675852235723,11.2887200042371,14.5135431289673,27.17561335863602,,,0.00966,32.0408386392383,,3.25297744362568
ET,Ethiopia,1998,2000,1990,-3,-2,2,3.5856868042652104,,3.481,47.8675852235723,11.2887200042371,14.5135431289673,27.17561335863602,,,0.00966,32.0408386392383,,3.25297744362568,3.891067774690679,,3.714,44.378202481993,11.8979313695795,14.713321685791,39.14872429292034,,,0.0125,34.9856313498315,,0.886611360320082,4.343451939295172,,3.499,44.6660179485759,11.4104671171237,14.9193096160889,26.16613806477048,,12.7,0.0152638,37.4479927810305,,1.63351478937744
