country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
GI,Gibraltar,1980,1982,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
GI,Gibraltar,1982,1984,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
GI,Gibraltar,1984,1986,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
GI,Gibraltar,1986,1988,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
GI,Gibraltar,1988,1990,1980,0,6,7,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,100.0,0.0,,,
GI,Gibraltar,1990,1992,1990,0,6,7,,,,,,100.0,,,100.0,0.0,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
GI,Gibraltar,1992,1994,1990,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
GI,Gibraltar,1994,1996,1990,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
GI,Gibraltar,1996,1998,1990,0,6,7,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,2.66,,,,,,,,,100.0,,,100.0,4.18,,,
GI,Gibraltar,1998,2000,1990,0,6,7,,,,,,100.0,,,100.0,4.18,,,,,,,,,100.0,,,100.0,5.94,,,,,,,,,100.0,,,99.9,19.1316,,,
GI,Gibraltar,2000,2002,2000,0,6,7,,,,,,100.0,,,99.9,19.1316,,,,,,,,,100.0,,,99.9,21.1711,,,,,,,,,100.0,,,99.8,23.6702,,,
GI,Gibraltar,2002,2004,2000,0,2,8,,,,,,100.0,,,99.8,23.6702,,,,,,,,,100.0,,,99.8,28.3258,,,,,,,,,100.0,,,99.7,32.8861,,,
GI,Gibraltar,2004,2006,2000,-1,3,8,,,,,,100.0,,,99.7,32.8861,,,,,,,,,100.0,,,99.7,39.0701,,,,,,,,,100.0,,,99.7,45.2986,,,
GI,Gibraltar,2006,2008,2000,-3,3,10,,,,,,100.0,,,99.7,45.2986,,,,,,,,,100.0,,,99.7,51.61,,,,,,,,,100.0,,,99.7,58.0,,,
GI,Gibraltar,2008,2010,2000,-3,3,10,,,,,,100.0,,,99.7,58.0,,,,,,,,,100.0,,,100.0,65.07,,,,,,,,,100.0,,,100.0,65.0,,,
GI,Gibraltar,2010,2012,2010,-3,3,10,,,,,,100.0,,,100.0,65.0,,,,,,,,,100.0,,,99.8,65.0,,,,,,,,,100.0,,,99.9,65.017,,,
GI,Gibraltar,2012,2014,2010,-3,3,10,,,,,,100.0,,,99.9,65.017,,,,,,,,,100.0,,,99.9,,,,,,,,,,100.0,,,99.9,,,,
GI,Gibraltar,2014,2016,2010,-3,3,10,,,,,,100.0,,,99.9,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,94.4445,,,
GI,Gibraltar,2016,2018,2010,-3,3,10,,,,,,100.0,,,100.0,94.4445,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
GI,Gibraltar,2018,2020,2010,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
GI,Gibraltar,2020,2022,2020,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
