country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
GL,Greenland,1980,1982,1980,0,6,7,27005.3259668971,,,,,76.3902206420898,,,,,,,,26758.5557170795,,,,,76.7726669311523,,,,,,,,25327.608421672,,,,,77.1274871826172,,,,,,,
GL,Greenland,1982,1984,1980,0,5,7,25327.608421672,,,,,77.1274871826172,,,,,,,,25901.4739745512,,,,,77.5079116821289,,,,,,,,24280.2581215331,,,,,78.0012893676758,,,,,,,
GL,Greenland,1984,1986,1980,0,5,7,24280.2581215331,,,,,78.0012893676758,,,,,,,,24931.4968474838,,,,,78.5116500854492,,,,,,,,26551.2406001603,,,,,79.0983734130859,,,,,,,
GL,Greenland,1986,1988,1980,0,3,7,26551.2406001603,,,,,79.0983734130859,,,,,,,,27705.0620966198,,,,,79.4232330322266,,,,,,,,28883.818146464,,,,,79.5434646606445,,,,,,,
GL,Greenland,1988,1990,1980,-1,-3,8,28883.818146464,,,,,79.5434646606445,,,,,,,,30528.8015621406,,,,,79.7381057739258,,,,,,,,26805.5496974442,,,,,79.97265625,,,100.0,0.0,,,
GL,Greenland,1990,1992,1990,0,6,7,26805.5496974442,,,,,79.97265625,,,100.0,0.0,,,,26823.378375534,,,,,80.1740493774414,,,100.0,,,,,25544.2992633194,,,,,80.2990036010742,,,100.0,,,,
GL,Greenland,1992,1994,1990,0,5,7,25544.2992633194,,,,,80.2990036010742,,,100.0,,,,,24303.8982888635,,,,,80.467903137207,,,100.0,,,,,25604.5956883247,,,,,80.7938690185547,,,100.0,0.0647,,,
GL,Greenland,1994,1996,1990,0,6,7,25604.5956883247,,,,,80.7938690185547,,,100.0,0.0647,,,,26416.5165028368,,,,,81.0566635131836,,,100.0,0.0539,,,,26772.6138141762,,,,,81.0665817260742,,,100.0,1.8,,,
GL,Greenland,1996,1998,1990,0,3,7,26772.6138141762,,,,,81.0665817260742,,,100.0,1.8,,,,27117.3732945796,,,,,81.072395324707,,,100.0,7.95,,,,29169.0465812684,,,,,81.1202621459961,,,100.0,14.7,,,
GL,Greenland,1998,2000,1990,0,4,8,29169.0465812684,,,,,81.1202621459961,,,100.0,14.7,,,,29570.9623369365,,,,,81.1649703979492,,,100.0,21.6,,,,31623.0591501943,,,,,81.4517822265625,,,100.0,31.7478,,,
GL,Greenland,2000,2002,2000,0,2,8,31623.0591501943,,,,,81.4517822265625,,,100.0,31.7478,,,,31914.1710964481,,,,,81.7906112670898,,,100.0,35.4641,,,,31483.6074780094,,,,,82.0752868652344,,,100.0,44.1548,,,
GL,Greenland,2002,2004,2000,0,2,8,31483.6074780094,,,,,82.0752868652344,,,100.0,44.1548,,,,32787.9680355213,87.2971972810315,,17.8778022320472,14.6329587285511,82.3485946655273,,19.3560952807588,100.0,54.5343,65.2153165962254,7.64953352940031,,34961.9356097257,88.1524357295282,,16.4497605026239,15.7106615256395,82.5634307861328,,16.3169608103529,100.0,56.099,65.3154679586398,6.73706576790277,
