country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
GR,Greece,1990,1992,1990,-1,4,5,15438.7937023583,39.0357306279462,,,,71.4954907305534,20.433499109463,26.0396039118894,100.0,0.0,,15.0988728256481,1.39,1.0411315622269,15727.4735434744,37.5415185885243,7.572,,,71.6402415130464,19.4558456445745,25.4252437850636,100.0,0.0488,,16.1363477605594,1.37,1.09470538665989,15717.04638162,37.7870755959724,8.927,,,71.7712094830401,15.8770737923919,24.0030936575419,100.0,0.0483,,14.9627303485325,1.36,0.998183564137125
GR,Greece,1992,1994,1990,-1,4,5,15717.04638162,37.7870755959724,8.927,,,71.7712094830401,15.8770737923919,24.0030936575419,100.0,0.0483,,14.9627303485325,1.36,0.998183564137125,15374.8626265369,36.0330301689118,10.177,,,71.8845576676716,14.4112644439348,22.8334881362765,100.0,0.191,,13.995116954143,1.32,0.910567673128218,15604.0339944242,35.2202302292147,9.808,,,71.986767203146,10.8740756809132,21.0129577300315,100.0,0.378,,14.6809721103946,1.33,0.853191390471272
GR,Greece,1994,1996,1990,-1,4,5,15604.0339944242,35.2202302292147,9.808,,,71.986767203146,10.8740756809132,21.0129577300315,100.0,0.378,,14.6809721103946,1.33,0.853191390471272,15857.4161930856,36.1256353436075,10.116,6.86998388566801,19.5110442235329,72.0831868417364,8.93451415961517,20.9666910176002,100.0,0.75,64.4795532795085,13.354531431229,1.28,0.780146702751379,16005.9511569711,36.8209292630895,10.402,6.16422886298262,19.0142180567477,72.1791653357157,8.19455217632728,22.1084202126939,100.0,1.4,65.1292712989619,13.5658699722447,1.26,0.742440592629103
GR,Greece,1996,1998,1990,-1,4,5,16005.9511569711,36.8209292630895,10.402,6.16422886298262,19.0142180567477,72.1791653357157,8.19455217632728,22.1084202126939,100.0,1.4,65.1292712989619,13.5658699722447,1.26,0.742440592629103,16501.0316491318,39.4385486529083,10.472,6.09221602930034,18.2131037630432,72.2800514373571,5.5360026677348,21.5899391374926,100.0,1.85,65.5546591182468,14.4347539081734,1.27,0.709107072596583,16973.8293714071,42.4898959577488,12.227,6.10158340762752,18.5072084850104,72.3911938989336,4.76622572397641,24.5135902861657,100.0,3.22,65.6139950292598,14.2186468296897,1.24,0.050998184830191
GR,Greece,1998,2000,1990,-2,4,5,16973.8293714071,42.4898959577488,12.227,6.10158340762752,18.5072084850104,72.3911938989336,4.76622572397641,24.5135902861657,100.0,3.22,65.6139950292598,14.2186468296897,1.24,0.050998184830191,17358.4346978294,48.1760370261319,12.138,5.77247210059032,19.1829945034138,72.5179414727182,2.6366330602198,25.3860319397874,100.0,6.88,64.2975860867397,13.8930439177808,1.23,0.0603079297166702,18002.9064613985,59.1126577488086,11.345,5.50251363510967,18.7134135325555,72.665642910984,3.1511816249383,25.9373547837658,100.0,9.13884,64.7193310345429,15.0230707108123,1.25,-0.0065167449554775
GR,Greece,2000,2002,2000,-2,4,11,18002.9064613985,59.1126577488086,11.345,5.50251363510967,18.7134135325555,72.665642910984,3.1511816249383,25.9373547837658,100.0,9.13884,64.7193310345429,15.0230707108123,1.25,-0.0065167449554775,18742.4235780691,56.8576339551067,10.764,5.36221949397772,19.1521007737425,72.8460703788502,3.37396832213867,25.5981996968449,100.0,10.935,64.1429689801168,14.6052423785219,1.25,0.0015155315166,19548.3677447396,50.0533371904633,10.346,5.22103153499556,19.0244609362316,73.0977109642516,3.62935871878874,23.875854552048,100.0,14.67,64.6386296159492,14.3899603994299,1.28,0.0227485404811931
GR,Greece,2002,2004,2000,-2,4,11,19548.3677447396,50.0533371904633,10.346,5.22103153499556,19.0244609362316,73.0977109642516,3.62935871878874,23.875854552048,100.0,14.67,64.6386296159492,14.3899603994299,1.28,0.0227485404811931,20632.2557041942,47.8943121550822,9.839,5.3240542693888,20.5063379712513,73.432268024093,3.53065027765552,24.8780068243839,100.0,17.8,63.605586156774,15.9908467516909,1.29,0.71501703822218,21688.1050959558,49.825317672568,10.628,4.54970535485524,20.4773277813422,73.8267602923728,2.8988481075817,25.0449225325719,100.0,21.42,64.9452947827799,16.5728476505676,1.31,0.914091172780157
GR,Greece,2004,2006,2000,-2,4,11,21688.1050959558,49.825317672568,10.628,4.54970535485524,20.4773277813422,73.8267602923728,2.8988481075817,25.0449225325719,100.0,21.42,64.9452947827799,16.5728476505676,1.31,0.914091172780157,21880.5265835801,50.3555334391407,10.074,4.47718109899217,18.4006884390429,74.2617376694311,3.54507273335078,21.3568870584015,100.0,24.0,66.6372280101253,13.7974957676583,1.34,0.284127006962334,23220.5324419197,51.1047465834807,8.906,3.28557674416163,20.5013778070463,74.717750055608,3.19594684144545,24.0565849914051,100.0,32.25,64.6336836812606,16.7354429648779,1.4,2.01112523714783
GR,Greece,2006,2008,2000,-3,3,11,23220.5324419197,51.1047465834807,8.906,3.28557674416163,20.5013778070463,74.717750055608,3.19594684144545,24.0565849914051,100.0,32.25,64.6336836812606,16.7354429648779,1.4,2.01112523714783,23973.6936091313,54.5256818189044,8.351,3.15474298162147,18.74614719736,75.1753473512439,2.89500321516578,25.5308773380251,100.0,35.88,66.1367485154259,15.6414084099046,1.41,0.622837777539062,23923.8800731311,57.1052836264926,7.664,2.89505867715816,16.6711382140503,75.615079456679,4.15279708110293,23.2806962442851,100.0,38.2,68.6334875100196,13.3103195423429,1.5,1.6328960526629
GR,Greece,2008,2010,2000,-3,4,11,23923.8800731311,57.1052836264926,7.664,2.89505867715816,16.6711382140503,75.615079456679,4.15279708110293,23.2806962442851,100.0,38.2,68.6334875100196,13.3103195423429,1.5,1.6328960526629,22878.1346644397,46.3779593986083,9.546,2.92582395634654,16.0934799769726,76.0174962722535,1.21007269197809,20.438446980754,100.0,42.4,70.2504663997253,10.0004733644822,1.5,0.846404808815716,21547.724178239,50.9225181997227,12.719,2.9142102078812,15.0655277858101,76.3631476983077,4.71298907760388,16.8200572069043,100.0,44.4,70.215254321143,10.7509069683437,1.48,0.179789223267027
