country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
HK,"Hong Kong SAR, China",1990,1992,1990,5,3,4,74.0090686051401,226.000240297969,,,,99.3105631904423,41.04117762565201,26.2146728610143,100.0,0.0,,35.7084451386386,4.25727809966442,74.74710856745921,231.865133953304,1.8,,,99.7358552273683,41.52049533980488,26.3286481138339,100.0,0.121,,33.7209958297352,1.1475495549678,75.56222945262921,240.13281627495,1.96,,,99.8254998717847,40.49990302590428,27.1625388723006,100.0,0.85,,33.3770272446818,3.72818031138965
HK,"Hong Kong SAR, China",1992,1994,1990,5,3,4,75.56222945262921,240.13281627495,1.96,,,99.8254998717847,40.49990302590428,27.1625388723006,100.0,0.85,,33.3770272446818,3.72818031138965,76.2349451941344,233.969130299352,1.96,,,99.9052758430407,39.85844633205504,27.0029322993308,100.0,1.33,,33.9960902675589,5.75769286965291,76.79970921565972,237.427997065577,1.9,,,99.961658640719,39.80714580698938,29.3534741475405,100.0,2.78,,32.536465925439,5.7638146979781
HK,"Hong Kong SAR, China",1994,1996,1990,5,3,4,76.79970921565972,237.427997065577,1.9,,,99.961658640719,39.80714580698938,29.3534741475405,100.0,2.78,,32.536465925439,5.7638146979781,76.85697602276404,256.89826506739,3.22,,,99.9932976351594,40.071609642155664,30.2106512386886,100.0,3.22,,29.809670368166,4.29537774314548,76.81498137824352,244.85376438617,2.83,,,100.0,37.55773961514669,31.0100938961435,100.0,4.75,,30.3156072892356,6.54914392178605
HK,"Hong Kong SAR, China",1996,1998,1990,5,3,4,76.81498137824352,244.85376438617,2.83,,,100.0,37.55773961514669,31.0100938961435,100.0,4.75,,30.3156072892356,6.54914392178605,77.46309865942183,233.440294577968,2.22,,,100.0,37.00952493870733,33.3034492452386,100.0,10.5,,30.8428550932464,6.40989254330133,76.38367187821751,221.133284508369,4.58,,,100.0,32.77094481025861,30.2003556373722,100.0,14.5,,29.5399954436828,8.25373758316011
HK,"Hong Kong SAR, China",1998,2000,1990,5,3,4,76.38367187821751,221.133284508369,4.58,,,100.0,32.77094481025861,30.2003556373722,100.0,14.5,,29.5399954436828,8.25373758316011,76.62165631605926,220.272313145342,6.25,,,100.0,9.80965502279536,25.8047383016083,100.0,21.2,,30.144345096917,15.2957120663804,77.63923796337525,247.654020445592,4.92,0.0873270375124953,12.0823834898067,100.0,10.325512918151691,26.5058493414211,100.0,27.8278,83.758142984566,31.9913031840724,41.0649470707168
HK,"Hong Kong SAR, China",2000,2002,2000,5,3,13,77.63923796337525,247.654020445592,4.92,0.0873270375124953,12.0823834898067,100.0,10.325512918151691,26.5058493414211,100.0,27.8278,83.758142984566,31.9913031840724,41.0649470707168,77.61143407221894,240.848977626932,5.09,0.0894680511254657,11.3479853036237,100.0,14.699634588552444,25.7985137101084,100.0,38.6714,84.6906691332196,30.1816156022593,18.4716176291754,77.79926782457895,255.996457369342,7.28,0.0881032820206869,10.6365250153969,100.0,11.57873099780526,22.7446754554123,100.0,43.0824,85.6094118662711,31.338021383738,4.05644798053661
HK,"Hong Kong SAR, China",2002,2004,2000,6,4,11,77.79926782457895,255.996457369342,7.28,0.0881032820206869,10.6365250153969,100.0,11.57873099780526,22.7446754554123,100.0,43.0824,85.6094118662711,31.338021383738,4.05644798053661,78.30129251026514,292.454655919737,7.86,0.0751987993656245,9.85860238455791,100.0,12.20258389984077,21.6546282274807,100.0,52.2,87.7098901938378,31.4769442072654,11.5049681043857,79.48474895279126,326.841054589054,6.74,0.0731235605934626,9.17294443444659,100.0,20.370677023039782,21.820131227557,100.0,56.3999,88.3525482004239,31.0681734828,13.1249372796878
HK,"Hong Kong SAR, China",2004,2006,2000,6,4,11,79.48474895279126,326.841054589054,6.74,0.0731235605934626,9.17294443444659,100.0,20.370677023039782,21.820131227557,100.0,56.3999,88.3525482004239,31.0681734828,13.1249372796878,80.53186762204714,342.689209524653,5.58,0.0674869434363105,8.45767902983093,100.0,26.89208596697319,21.3969726476056,100.0,56.9,89.0584757015137,33.2764450739134,22.5606006200286,81.4949489621718,359.208661184248,4.77,0.0629926078474022,7.99587055850563,100.0,30.722071620101016,22.4267652730467,100.0,60.8,89.9578341984008,33.4468131527501,23.2008118497036
HK,"Hong Kong SAR, China",2006,2008,2000,6,4,11,81.4949489621718,359.208661184248,4.77,0.0629926078474022,7.99587055850563,100.0,30.722071620101016,22.4267652730467,100.0,60.8,89.9578341984008,33.4468131527501,23.2008118497036,82.34076474352503,362.14946363969,4.01,0.0614869792991817,6.89108505436297,100.0,30.8110005562426,20.6181894840909,100.0,64.8,90.2904487398501,32.071426667539,29.358179802523,82.57665567032177,376.656806171877,3.56,0.0541731796493912,7.00210309068239,100.0,35.11755085781842,20.5445780846355,100.0,66.7,87.8208735996233,31.2147618107781,30.570763400766
HK,"Hong Kong SAR, China",2008,2010,2000,6,4,11,82.57665567032177,376.656806171877,3.56,0.0541731796493912,7.00210309068239,100.0,35.11755085781842,20.5445780846355,100.0,66.7,87.8208735996233,31.2147618107781,30.570763400766,82.1533018133424,348.397554309339,5.26,0.0656925288308839,6.87119744221016,100.0,25.77084181833586,20.4642472931966,100.0,69.4,88.3970721623389,29.719420579842,25.3568166432836,83.06316589516268,404.770560908659,4.329,0.0533684018528068,6.83582798711052,100.0,31.44026311110591,21.7781360691582,100.0,72.0,90.913241443604,29.7651002177521,36.174608362048
HK,"Hong Kong SAR, China",2010,2012,2010,6,4,7,83.06316589516268,404.770560908659,4.329,0.0533684018528068,6.83582798711052,100.0,31.44026311110591,21.7781360691582,100.0,72.0,90.913241443604,29.7651002177521,36.174608362048,83.6938109043782,421.854706554386,3.422,0.0487999048815413,6.71717250042648,100.0,36.45316235443087,23.536338869848,100.0,72.2,91.5084029920959,27.9933106910046,38.684029536737,83.78489869791235,430.568530415663,3.285,0.0546866831053985,6.84452438540072,100.0,34.746070301403705,25.3999025065057,100.0,72.9,91.9216380085211,26.3507340729944,28.5144344855168
HK,"Hong Kong SAR, China",2012,2014,2010,6,4,7,83.78489869791235,430.568530415663,3.285,0.0546866831053985,6.84452438540072,100.0,34.746070301403705,25.3999025065057,100.0,72.9,91.9216380085211,26.3507340729944,28.5144344855168,84.19998462351118,442.620019127299,3.4,0.0572883662527095,6.94769922906227,100.0,35.16807923748891,24.1086280956178,100.0,74.2,91.1138962870124,24.63049003767,27.8775202185389,84.51650667607927,425.975871734797,3.296,0.0661945438173809,7.0675064878175,100.0,35.29091635799372,23.4918064340566,100.0,79.8663,90.4754193021697,24.0274247180869,44.5506957088126
HK,"Hong Kong SAR, China",2014,2016,2010,6,4,7,84.51650667607927,425.975871734797,3.296,0.0661945438173809,7.0675064878175,100.0,35.29091635799372,23.4918064340566,100.0,79.8663,90.4754193021697,24.0274247180869,44.5506957088126,84.75258026364546,389.405949263639,3.314,0.0679653751855497,7.05801657854796,100.0,32.92370634781355,22.3995947095418,100.0,84.9484,89.8369664926531,23.9307336924796,58.5183725103253,84.99244378785717,371.727231773253,3.392,0.0762065977729043,7.47571466772237,100.0,31.70836693717573,21.4894575519614,100.0,87.4794,89.5271336442091,23.7904310531045,41.5318364506118
HK,"Hong Kong SAR, China",2016,2018,2010,6,4,7,84.99244378785717,371.727231773253,3.392,0.0762065977729043,7.47571466772237,100.0,31.70836693717573,21.4894575519614,100.0,87.4794,89.5271336442091,23.7904310531045,41.5318364506118,85.455244898953,376.795666734722,3.124,0.0652727034141459,7.21876244307908,100.0,29.29556582681267,21.6564377271714,100.0,89.4159,88.6354057040673,23.0781493985399,36.8375516616862,85.76931930544292,376.892773545026,2.805,0.0621422719454446,6.47887850480474,100.0,31.701181484496686,21.5995180976142,100.0,90.5074,88.6972306483428,21.7809015849101,26.8255240590301
HK,"Hong Kong SAR, China",2018,2020,2010,6,4,7,85.76931930544292,376.892773545026,2.805,0.0621422719454446,6.47887850480474,100.0,31.701181484496686,21.5995180976142,100.0,90.5074,88.6972306483428,21.7809015849101,26.8255240590301,85.3896859374981,353.743521139731,2.917,0.0723017256105577,6.25471437479218,100.0,32.71271595363665,18.2977495428858,100.0,91.7434,90.0068962559868,19.7490564220593,16.0571325877868,84.38658240166117,350.679705044448,5.808,0.098961317261836,6.17058195458318,100.0,23.97162748591913,17.0302785006165,100.0,92.4131,89.4275080321983,20.9111467142638,34.0497513548395
HK,"Hong Kong SAR, China",2020,2022,2020,6,4,11,84.38658240166117,350.679705044448,5.808,0.098961317261836,6.17058195458318,100.0,23.97162748591913,17.0302785006165,100.0,92.4131,89.4275080321983,20.9111467142638,34.0497513548395,85.508088836147,402.459681454463,5.174,0.0755934592131795,5.98949153287008,100.0,29.5238718525007,16.8430455935255,100.0,93.0872,89.6756698895004,22.345328913487,37.1838191639948,85.06279673997167,384.881143223724,4.318,0.0529019722182765,6.26265366403118,100.0,30.410075270421267,16.0698462674383,100.0,95.6136,91.0667935459594,19.321822348342,34.127375983385
