country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
HN,Honduras,1980,1982,1980,-1,-1,2,8.353787451651892,99.010802662982,,20.8516518025374,23.1393669137043,35.0633774286251,44.99007854312003,23.299522673031,,,48.801972114056,19.1653058660972,0.182137922371561,8.989678756846914,85.2661488377406,,19.6941572905363,21.795933519904,35.6343190785779,40.31900325805517,18.4690730481467,,,51.2507853104118,15.466331600891,-0.10280427208864,9.1974759169247,65.7936179030253,,19.1048487360133,23.2393977068656,36.200187189075,39.99870491139408,16.0961458765023,,,50.8799557949993,15.3653819588341,0.381268130957315
HN,Honduras,1982,1984,1980,-3,1,3,9.1974759169247,65.7936179030253,,19.1048487360133,23.2393977068656,36.200187189075,39.99870491139408,16.0961458765023,,,50.8799557949993,15.3653819588341,0.381268130957315,9.803705424680995,66.9188006926091,,18.6249365325279,24.111129916288,36.7606894279779,39.41286594747748,15.4886669878012,,,50.4224655322805,12.959081381573,0.546796682766791,9.706297342786678,70.5340082880468,,18.9930271222611,24.4460160301744,37.3155334631478,35.71003637950868,17.7274870344177,,,49.111640487357,12.0710191319884,0.507456760713665
HN,Honduras,1984,1986,1980,-2,0,3,9.706297342786678,70.5340082880468,,18.9930271222611,24.4460160301744,37.3155334631478,35.71003637950868,17.7274870344177,,,49.111640487357,12.0710191319884,0.507456760713665,9.97259661068097,67.4826144213664,,18.7417692858628,23.2123466487998,37.8644269624458,33.611123256841026,16.0802162511841,,,49.7608760945406,13.1818496869441,0.635353371993623,10.376562821213708,66.7835362614479,,19.4056649879943,22.5218333652069,38.4070775937334,35.18934447146166,12.9534009052081,,,50.5684112109815,13.6663054333737,0.637470516988589
HN,Honduras,1986,1988,1980,-2,0,3,10.376562821213708,66.7835362614479,,19.4056649879943,22.5218333652069,38.4070775937334,35.18934447146166,12.9534009052081,,,50.5684112109815,13.6663054333737,0.637470516988589,10.19872337191516,60.5616143926126,,18.454465849387,21.8456455978347,38.9431930248718,31.88258515215672,13.1935599426843,,,51.6916096163031,14.2214615507085,0.769184843177838,10.916121389226358,68.8304283370907,,18.6685848121475,22.4493197308748,39.4721690083612,35.386519762712496,15.0589040254739,,,51.1627294976272,17.6948920604567,0.987192870112896
HN,Honduras,1988,1990,1980,-2,1,10,10.916121389226358,68.8304283370907,,18.6685848121475,22.4493197308748,39.4721690083612,35.386519762712496,15.0589040254739,,,51.1627294976272,17.6948920604567,0.987192870112896,11.568161064021826,79.5974815013278,,18.7831459168958,23.2708962104318,39.9880398481216,40.64194661651685,17.3859938061954,,,50.7096082773185,17.0715754800987,1.16547544936604,14.18871168036319,94.2224913877873,,19.9139104329875,24.8174992348318,40.4877408913689,46.87088427760469,19.2907053223149,,0.0,47.6084422477061,21.3179127512845,1.16482700685721
HN,Honduras,1990,1992,1990,0,-2,3,14.18871168036319,94.2224913877873,,19.9139104329875,24.8174992348318,40.4877408913689,46.87088427760469,19.2907053223149,,0.0,47.6084422477061,21.3179127512845,1.16482700685721,17.438231436357416,89.5935124691766,4.58,19.7401937107558,25.2317156875207,40.9747754656802,49.673210197591686,18.3745583038869,54.781937,,44.898695884282,21.4169865521011,1.40834364593131,18.367632128429467,84.7584594344201,3.06,17.7112101292628,27.4703313186571,41.452387449279,39.82457742722928,21.4518904133763,58.913112,,44.7889001632329,21.8418846781665,1.15454202144086
HN,Honduras,1992,1994,1990,1,-2,10,18.367632128429467,84.7584594344201,3.06,17.7112101292628,27.4703313186571,41.452387449279,39.82457742722928,21.4518904133763,58.913112,,44.7889001632329,21.8418846781665,1.15454202144086,19.958616506238325,98.2484665384967,3.098,17.9584363270164,28.2775794195734,41.9238207203885,41.255696735592615,28.1047331319235,61.100156,,43.8015197290122,23.4660807470475,0.637113869815985,23.581133401184413,114.438113886322,3.138,21.3388406292452,26.7423437097199,42.392319157232,46.34809548056918,27.9774301281141,64.733947,,42.4471163454882,25.3195612314947,0.84760481869082
HN,Honduras,1994,1996,1990,1,-2,10,23.581133401184413,114.438113886322,3.138,21.3388406292452,26.7423437097199,42.392319157232,46.34809548056918,27.9774301281141,64.733947,,42.4471163454882,25.3195612314947,0.84760481869082,26.655885653914734,114.537647463165,3.24,19.1569324983597,28.0955547917996,42.8611266380328,48.60836552612156,23.2573346604832,66.122022,0.0368,43.4685478867519,26.7265967086088,1.07012618338771,29.51063853734393,122.725112727964,4.37,19.7561696780257,27.6622631480758,43.3334870410143,47.03265363342361,23.2612085564133,61.68112,0.0437,42.6828023415032,25.903143710994,1.89420995385281
HN,Honduras,1996,1998,1990,1,-2,10,29.51063853734393,122.725112727964,4.37,19.7561696780257,27.6622631480758,43.3334870410143,47.03265363342361,23.2612085564133,61.68112,0.0437,42.6828023415032,25.903143710994,1.89420995385281,32.30033687584403,121.466190207647,3.32,20.7510920369715,27.1879314041022,43.8126442443997,45.81053435150899,24.9839215563114,64.794754,0.171,42.5097665450941,26.60064149918,2.18165022864844,33.62896225990648,122.69670703096,4.02,16.8245531210234,27.9511746224984,44.3018421264124,42.96832312517268,27.2219333162386,66.859519,0.301,44.6403280267828,24.3703913171637,1.60617614424743
HN,Honduras,1998,2000,1990,1,-2,10,33.62896225990648,122.69670703096,4.02,16.8245531210234,27.9511746224984,44.3018421264124,42.96832312517268,27.2219333162386,66.859519,0.301,44.6403280267828,24.3703913171637,1.60617614424743,34.960842399745054,121.502105602734,3.85,13.9820958376201,29.6532512598741,44.8043245652756,41.83448668086103,29.6446413936213,67.394103,0.574,45.9546706889637,18.5000959073709,3.71123925401503,35.99197497875834,120.392164584236,3.883,14.3725235386886,29.3809338966492,45.3233354392127,41.449876106288194,25.7724496550534,67.4,1.20386,50.7396802001234,15.8407263848962,4.8698431531529
HN,Honduras,2000,2002,2000,-1,1,10,35.99197497875834,120.392164584236,3.883,14.3725235386886,29.3809338966492,45.3233354392127,41.449876106288194,25.7724496550534,67.4,1.20386,50.7396802001234,15.8407263848962,4.8698431531529,35.98938368084192,115.943071737954,4.0,13.1659906583333,27.6950607056328,45.8623033555915,40.5155674718421,23.9374508616678,64.2,1.41528,53.0189831247039,12.8211884066049,4.04940697578742,36.15647573502071,117.997454450299,4.02,12.1834127398259,27.2623882644585,46.4194190064116,38.92906040372926,21.5176369123287,63.1,2.5974,54.8404928208995,11.7221479856248,3.6562173778393
HN,Honduras,2002,2004,2000,-1,1,10,36.15647573502071,117.997454450299,4.02,12.1834127398259,27.2623882644585,46.4194190064116,38.92906040372926,21.5176369123287,63.1,2.5974,54.8404928208995,11.7221479856248,3.6562173778393,36.45735637403346,122.248277175534,5.3,11.6140985227332,27.3716581546558,46.990184604045,38.91453474744869,22.9262738958309,65.1,4.8,55.6632996727299,11.2206601698108,4.74055553954205,37.025594117445166,135.461758741854,5.99,12.1707041468662,26.5378388000557,47.5739776096056,39.29604498895315,27.0803523056205,67.1,5.6,56.0255715678838,11.0497654907667,6.67606399673031
