country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
HR,Croatia,1990,1992,1990,4,5,5,9754.64902543885,,,,,54.0680161889492,500.000000000001,,100.0,0.0,,,1.63,0.0,7842.55247755837,,11.14,,,54.347540899497,122.222222222221,,100.0,,,,1.53,0.0,7095.22695946955,,10.914,,,54.5675850528016,625.000000000001,,100.0,,,,1.48,0.122397069887752
HR,Croatia,1992,1994,1990,0,-4,14,7095.22695946955,,10.914,,,54.5675850528016,625.000000000001,,100.0,,,,1.48,0.122397069887752,6490.8345795673,,10.794,,,54.7798436680054,1500.0,,100.0,0.0972,,,1.52,1.28055940790311,6795.71249379572,,10.45,,,54.9772628749087,107.327586206896,,100.0,0.268,,,1.47,0.759752677889016
HR,Croatia,1994,1996,1990,3,5,5,6795.71249379572,,10.45,,,54.9772628749087,107.327586206896,,100.0,0.268,,,1.47,0.759752677889016,7304.70928464758,62.8042653485871,10.108,5.65152617590492,26.5381635983686,55.1568369839241,3.95010395010402,14.27450695584,100.0,0.514,50.4101362794587,7.99895070777531,1.58,0.474491777505383,7857.99236434772,67.0542505897715,9.68,5.592188734586,25.4978882482115,55.3155603054641,4.29999999999995,18.1783364649998,100.0,0.859,52.5849599030593,13.0439781354526,1.67,2.03937155501268
HR,Croatia,1996,1998,1990,3,5,5,7857.99236434772,67.0542505897715,9.68,5.592188734586,25.4978882482115,55.3155603054641,4.29999999999995,18.1783364649998,100.0,0.859,52.5849599030593,13.0439781354526,1.67,2.03937155501268,8383.47054293443,74.8841744957651,9.71,5.24161439338836,26.5841442078322,55.4504271499415,4.17066155321188,21.4731225752498,100.0,1.73,52.2062362485943,11.8544644798352,1.69,2.46740820769145,8577.50694428774,64.98432965861,11.392,5.31760615320281,24.9115039948476,55.5584318277687,6.39668660837554,20.76544052818,100.0,3.27,52.4486081572009,14.2154820264107,1.45,3.87820919583407
HR,Croatia,1998,2000,1990,3,5,5,8577.50694428774,64.98432965861,11.392,5.31760615320281,24.9115039948476,55.5584318277687,6.39668660837554,20.76544052818,100.0,3.27,52.4486081572009,14.2154820264107,1.45,3.87820919583407,8541.53260365793,66.2637743741722,13.559,5.4026260257331,24.0112287549348,55.6365686493584,4.01913875598086,21.0002978742194,100.0,4.41,53.8001859484959,14.4148517065519,1.38,6.11826637175643,8880.26980689876,74.6016854703406,16.064,4.96747269053199,24.2022887541673,55.6818319251231,4.61131554737801,19.911261707299,100.0,6.64488,53.571294777183,14.8984364931435,1.39,4.58593627511279
HR,Croatia,2000,2002,2000,3,6,14,8880.26980689876,74.6016854703406,16.064,4.96747269053199,24.2022887541673,55.6818319251231,4.61131554737801,19.911261707299,100.0,6.64488,53.571294777183,14.8984364931435,1.39,4.58593627511279,9515.73569793698,79.4405856034588,15.822,4.96274692093027,23.8042548140776,55.6913829056559,3.77670246665889,20.4098693845176,100.0,11.5586,54.2878654801917,15.3257959603298,1.46,4.4945739209067,10062.0396800621,81.1609977960211,15.053,4.84218764766313,22.9131996881856,55.6745468592554,1.67178437393383,22.1272454893973,100.0,17.76,55.1382526761352,14.3838405146208,1.42,3.66542521482355
HR,Croatia,2002,2004,2000,3,6,14,10062.0396800621,81.1609977960211,15.053,4.84218764766313,22.9131996881856,55.6745468592554,1.67178437393383,22.1272454893973,100.0,17.76,55.1382526761352,14.3838405146208,1.42,3.66542521482355,10619.3078243865,81.4432514353208,13.924,3.93609531591013,23.3409303583976,55.6386960202113,1.76733780760629,25.5641109813979,100.0,22.75,56.2760582462638,16.8802935196956,1.41,5.23880665324196,11059.0980614364,81.6444126603338,13.664,4.41765926972512,24.1488165361816,55.5890878734365,2.05539679050328,25.4340625021603,99.9,30.91,55.6281916141831,17.5036420532327,1.43,3.14124376125562
HR,Croatia,2004,2006,2000,3,6,14,11059.0980614364,81.6444126603338,13.664,4.41765926972512,24.1488165361816,55.5890878734365,2.05539679050328,25.4340625021603,99.9,30.91,55.6281916141831,17.5036420532327,1.43,3.14124376125562,11522.7905248265,81.4923355714118,12.598,3.86650247197479,23.7734716436971,55.5307217475444,3.31717824448045,25.1830684508323,99.9,33.14,56.6357373716889,17.3923308816932,1.5,4.03155518239355,12104.0421469867,83.5170835916925,11.13,3.97818184588048,23.4058870686343,55.4685969711483,3.18982591472949,26.3000406853173,99.8,37.98,56.6198953577062,19.6661445402001,1.47,6.74944057100655
HR,Croatia,2006,2008,2000,1,0,12,12104.0421469867,83.5170835916925,11.13,3.97818184588048,23.4058870686343,55.4685969711483,3.18982591472949,26.3000406853173,99.8,37.98,56.6198953577062,19.6661445402001,1.47,6.74944057100655,12717.9875997872,83.262210381268,9.909,3.6904482073587,22.9415854297126,55.4077128728613,2.89928275583388,26.4990346355283,99.8,41.44,57.7652372729107,19.8220641123002,1.48,7.8356534436636,12970.4376964616,82.0790791060076,8.53,3.88064389657281,22.7583110451343,55.3530687812969,6.07696838798354,27.8559467989732,100.0,44.24,57.7892477272198,19.4202097712274,1.47,7.66671719087897
HR,Croatia,2008,2010,2000,1,0,12,12970.4376964616,82.0790791060076,8.53,3.88064389657281,22.7583110451343,55.3530687812969,6.07696838798354,27.8559467989732,100.0,44.24,57.7892477272198,19.4202097712274,1.47,7.66671719087897,12099.5521781656,69.7015578897439,9.202,3.9858244633642,22.6914100390127,55.3096640250682,2.37852845904674,24.7852746729853,100.0,50.58,58.7459431242757,18.8753718981109,1.5,4.92586080575553,11965.0049285028,72.6467039932668,11.62,3.64448983894033,21.36803442175,55.2824979327886,1.03055505333574,20.8198145850591,100.0,56.55,59.8361533890876,18.7271326956609,1.46,2.61983048198582
