country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
IL,Israel,1980,1982,1980,-1,4,10,73.4447303124853,79.974793479581,,,,88.8298209578284,59.92435994749702,22.264463649133,,,,16.8325460547107,0.200824906198484,73.95841032059161,79.3343459435795,,,,89.1278775024937,59.04463085382032,22.6480298718353,,,,13.9811470696391,0.425563418690786,73.98768804914177,69.2655254682641,,,,89.3765871056078,59.27466187933952,22.1872609103154,,,,16.4357674276113,0.0728073567144496
IL,Israel,1982,1984,1980,-1,4,10,73.98768804914177,69.2655254682641,,,,89.3765871056078,59.27466187933952,22.1872609103154,,,,16.4357674276113,0.0728073567144496,74.22522874087018,63.561932519385,,,,89.5709576727512,60.750905642863664,23.1077765842506,,,,17.7574308447154,0.240239281050696,74.16475441356367,70.2762799363961,,,,89.7303446217827,67.9639375549641,20.6424008030415,,,,18.3790470870881,0.292048381173472
IL,Israel,1984,1986,1980,-1,4,10,74.16475441356367,70.2762799363961,,,,89.7303446217827,67.9639375549641,20.6424008030415,,,,18.3790470870881,0.292048381173472,74.5157491463244,75.6682769347529,,,,89.8757977781482,66.46530071625207,18.4581478916335,,,,17.7827404839059,0.388504200603383,74.92491893978348,66.3079343492131,,,,90.0082456055114,52.21966371409471,18.0110514725843,,,,18.76013839954,0.400176871774916
IL,Israel,1986,1988,1980,1,4,9,74.92491893978348,66.3079343492131,,,,90.0082456055114,52.21966371409471,18.0110514725843,,,,18.76013839954,0.400176871774916,75.76981626094911,69.0354938988822,,,,90.129119704443,45.39164984486837,18.9923529820994,,,,15.3410252633564,0.520563009680798,75.96362275653063,60.2518467572641,,,,90.2398516755136,44.278888215894206,17.6061674844162,,,,17.4176155775966,0.507493227624144
IL,Israel,1988,1990,1980,1,4,9,75.96362275653063,60.2518467572641,,,,90.2398516755136,44.278888215894206,17.6061674844162,,,,17.4176155775966,0.507493227624144,75.78390335963493,62.8993141951629,,,,90.3418731192938,45.85367769540697,16.9701139480124,,,,18.464743708823,0.305853085397097,76.41829989749598,60.8974222016244,,,,90.4366156363544,44.65659732569914,19.4909128763469,100.0,0.111,,19.0523243437261,0.243482687846156
IL,Israel,1990,1992,1990,1,4,8,76.41829989749598,60.8974222016244,,,,90.4366156363544,44.65659732569914,19.4909128763469,100.0,0.111,,19.0523243437261,0.243482687846156,76.64630339788422,55.7180811923951,13.387,,,90.5255108272659,45.402834637991226,24.3440558472024,100.0,0.215,,21.2164095811017,0.486769098931952,77.28903171871951,54.9072515488719,14.08,,,90.6099902925991,42.07539784135045,23.8253451380589,100.0,0.311,,22.9444519301689,0.740645784472681
IL,Israel,1992,1994,1990,1,4,8,77.28903171871951,54.9072515488719,14.08,,,90.6099902925991,42.07539784135045,23.8253451380589,100.0,0.311,,22.9444519301689,0.740645784472681,77.50919705712784,60.0140704374175,12.741,,,90.6914856329246,41.344008973229855,22.7519934312418,100.0,0.399,,21.5503869751282,0.757489644348421,78.24122344677986,59.7877596777587,9.934,,,90.7714284488131,42.18577149402466,22.6395842179855,100.0,0.577,,21.26156370592,0.48666464040433
IL,Israel,1994,1996,1990,1,5,8,78.24122344677986,59.7877596777587,9.934,,,90.7714284488131,42.18577149402466,22.6395842179855,100.0,0.577,,21.26156370592,0.48666464040433,78.83728520151794,59.3894071749673,8.782,2.04324402168032,23.5334539194759,90.8511786571744,40.70109706402901,28.0197545126354,100.0,0.93,63.0268281214649,21.2135409555475,1.27993653764054,79.32663974219774,58.1311357730736,8.455,1.90237029393782,23.9309673532875,90.9329267580104,41.70840527971495,28.6893080511285,100.0,2.17,62.8249730351813,21.9738860223145,1.21363908773481
IL,Israel,1996,1998,1990,1,5,8,79.32663974219774,58.1311357730736,8.455,1.90237029393782,23.9309673532875,90.9329267580104,41.70840527971495,28.6893080511285,100.0,2.17,62.8249730351813,21.9738860223145,1.21363908773481,79.49465927302454,57.5674452599649,9.751,1.80827951239942,24.2210878400232,91.0183078868813,39.97731857688031,27.4126192189831,100.0,4.4,62.7781038524955,22.995580852013,1.36765643310041,79.77347587613967,56.9044666793177,10.749,2.0011137059065,23.6623637411341,91.1059081529216,36.67453940984867,25.6248801960636,100.0,10.3,63.6584204302448,23.2151587995788,1.441258680212
IL,Israel,1998,2000,1990,2,4,8,79.77347587613967,56.9044666793177,10.749,2.0011137059065,23.6623637411341,91.1059081529216,36.67453940984867,25.6248801960636,100.0,10.3,63.6584204302448,23.2151587995788,1.441258680212,79.88508808399843,64.7395856251294,11.183,1.73586803103505,22.8963915637779,91.1940273629403,36.31050356158524,25.3571963819537,100.0,13.4,64.649095533498,23.4919813029097,3.4179675619151,80.77959873254828,68.3468590369834,11.102,1.53366608252474,23.0248113388922,91.2809653237465,27.71747640583876,24.1478726032343,100.0,20.8738,65.243729993354,24.9007928207494,5.89507316780042
