country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
IM,Isle of Man,1980,1982,1980,4,1,1,,,,,,50.4392751592684,,,,,,,,,,,,,50.3936613299374,,,,,,,,,,,,,50.4611284584485,,,,,,,
IM,Isle of Man,1982,1984,1980,2,4,2,,,,,,50.4611284584485,,,,,,,,,,,,,50.5971463654293,,,,,,,,18303.4356649234,,,,,50.7687519350477,,,,,,,
IM,Isle of Man,1984,1986,1980,1,3,2,18303.4356649234,,,,,50.7687519350477,,,,,,,,18416.3589164412,,,,,50.9438671233318,,,,,,,,21835.2224329301,,,,,51.0965150353989,,,,,,,
IM,Isle of Man,1986,1988,1980,1,6,7,21835.2224329301,,,,,51.0965150353989,,,,,,,,23666.1501333527,,,,,51.254615817498,,,,,,,,26035.8540320139,,,,,51.4287436722179,,,,,,,
IM,Isle of Man,1988,1990,1980,0,3,7,26035.8540320139,,,,,51.4287436722179,,,,,,,,27362.5680646573,,,,,51.5873167210931,,,,,,,,28042.4441205102,,,,,51.7020197044612,,,100.0,,,,
IM,Isle of Man,1990,1992,1990,0,1,8,28042.4441205102,,,,,51.7020197044612,,,100.0,,,,,28128.4485818915,,,,,51.7473739470826,,,100.0,,,,,28133.8324364624,,,,,51.7602299893162,,,100.0,,,,
IM,Isle of Man,1992,1994,1990,0,-2,8,28133.8324364624,,,,,51.7602299893162,,,100.0,,,,,28694.4160940259,,,,,51.7698301376695,,,100.0,,,,,29676.1422111499,,,,,51.7771247581586,,,100.0,,,,
IM,Isle of Man,1994,1996,1990,0,4,8,29676.1422111499,,,,,51.7771247581586,,,100.0,,,,,30802.8930909929,,,,,51.7838845879791,,,100.0,,,,,32928.8324560471,,,,,51.7918815779566,,,100.0,,,,
IM,Isle of Man,1996,1998,1990,-1,4,8,32928.8324560471,,,,,51.7918815779566,,,100.0,,,,,35337.9128286621,,,,,51.8018367218248,,,100.0,,,,,39591.5712572814,,,,,51.8123361086376,,,100.0,,,,
IM,Isle of Man,1998,2000,1990,-2,3,9,39591.5712572814,,,,,51.8123361086376,,,100.0,,,,,44456.4562710624,,,,,51.821658247347,,,100.0,,,,,46274.9709691403,,,,,51.8280887588444,,,100.0,,,,
