country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
IQ,Iraq,1990,1992,1990,4,-4,2,3526.57925126853,15.1262818163125,,8.24886234611499,72.2523311846799,69.7197319066576,,11.121740141078,,0.0,22.2711952294529,43.7887226985418,5.929,-0.0037747758218375,1254.6305738573,3.79114096995166,8.652,15.6156658406279,51.0494304101612,69.3644144079145,180.952380952381,4.91430240556304,,,37.7441604085594,-10.8547145455059,5.833,1.88476429628094,1615.03903542829,1.9211456331597,8.368,19.8705741718241,52.2320699445045,68.9665827373411,83.615819209039,4.97748209513815,,,30.3255018747546,37.4236806349493,5.718,0.0167969496578877
IQ,Iraq,1992,1994,1990,4,-4,2,1615.03903542829,1.9211456331597,8.368,19.8705741718241,52.2320699445045,68.9665827373411,83.615819209039,4.97748209513815,,,30.3255018747546,37.4236806349493,5.718,0.0167969496578877,2005.56353163967,0.544696684469833,8.381,15.5027143118743,57.858260098263,68.559023536089,207.692307692309,7.45982628777084,,,28.1011568897446,63.9338044296401,5.609,0.0778142335586011,1985.79691950751,0.0995823619218853,8.243,20.1121034238266,55.8864428208257,68.1745234453098,448.499999999999,2.81518866799274,,,24.6982529006061,63.4274157707732,5.488,-0.0007516255249722
IQ,Iraq,1994,1996,1990,4,-4,2,1985.79691950751,0.0995823619218853,8.243,20.1121034238266,55.8864428208257,68.1745234453098,448.499999999999,2.81518866799274,,,24.6982529006061,63.4274157707732,5.488,-0.0007516255249722,1961.09255088401,0.0209992321838355,8.446,20.5851365851446,64.8653587032535,67.845869106155,387.310847766638,1.73053537333356,,,15.05131765776,56.0831123920875,5.36,0.0,2108.82328338078,0.0268884829090311,8.527,18.5970823288736,58.4465108240142,67.6058471597764,-16.1173257510572,0.734464755982557,,,23.9510192134823,60.7268741434103,5.249,-0.0191111519736746
IQ,Iraq,1996,1998,1990,4,-4,2,2108.82328338078,0.0268884829090311,8.527,18.5970823288736,58.4465108240142,67.6058471597764,-16.1173257510572,0.734464755982557,,,23.9510192134823,60.7268741434103,5.249,-0.0191111519736746,2478.84310444448,106.188169939941,8.286,8.4566018849353,75.0202754310169,67.4895351063262,23.0631996788727,1.67525798468497,,,17.0309479588878,60.7478236476111,5.194,0.0055526507929693,3242.95733892163,132.243160520961,8.087,10.9097070962474,70.1470884871537,67.4917273345237,14.7687735575528,2.40610048641388,,,19.3984145894094,50.5282918115439,5.112,0.0358338015096771
IQ,Iraq,1998,2000,1990,4,-4,2,3242.95733892163,132.243160520961,8.087,10.9097070962474,70.1470884871537,67.4917273345237,14.7687735575528,2.40610048641388,,,19.3984145894094,50.5282918115439,5.112,0.0358338015096771,3691.74051342002,138.314601242921,8.002,7.20350392397431,79.5741068177302,67.5442299364519,12.5777623393436,2.18921867501871,,,13.5681519568618,70.4672447223978,5.035,0.0,4172.78025105244,125.336595640904,8.058,4.63474550697269,84.7959791546848,67.6331913847871,4.97896213183735,2.91803372967543,96.8,,10.8591155618071,74.6208133928008,4.92,-6.61645727484025e-05
IQ,Iraq,2000,2002,2000,4,-4,12,4172.78025105244,125.336595640904,8.058,4.63474550697269,84.7959791546848,67.6331913847871,4.97896213183735,2.91803372967543,96.8,,10.8591155618071,74.6208133928008,4.92,-6.61645727484025e-05,4116.09405320279,126.780255976775,8.261,6.9309570545315,77.4195775516813,67.751941516652,16.3740814963262,6.12723548111122,96.9,0.1,16.0846586114048,64.6307343134904,4.799,-0.0183987197639496,3660.92527507177,119.762047746987,8.621,8.5626717122094,74.1578564186036,67.8938101691696,19.316694601979,5.36060427515955,97.1,0.5,17.8151159929167,56.4229194916012,4.668,-0.0009900252023457
IQ,Iraq,2002,2004,2000,4,-4,12,3660.92527507177,119.762047746987,8.621,8.5626717122094,74.1578564186036,67.8938101691696,19.316694601979,5.36060427515955,97.1,0.5,17.8151159929167,56.4229194916012,4.668,-0.0009900252023457,2250.06990123369,154.234525288266,8.955,8.40560829262466,70.8382337998589,68.0521271794625,33.6162105992383,10.6509542219875,97.2,0.6,21.7995223558111,41.701416064333,4.581,4.56171717525217,3354.26588756715,120.233977121676,8.719,6.93856130624701,61.8350607638528,68.2202223846538,26.9619068193272,5.36824973060621,97.3,0.9,31.7220633285599,37.7336396157316,4.527,0.818918786960291
IQ,Iraq,2004,2006,2000,4,-4,12,3354.26588756715,120.233977121676,8.719,6.93856130624701,61.8350607638528,68.2202223846538,26.9619068193272,5.36824973060621,97.3,0.9,31.7220633285599,37.7336396157316,4.527,0.818918786960291,3310.86344473993,115.742540308642,8.578,6.88686273542446,63.6084344986755,68.391425621866,36.9594809201871,13.8472241177654,97.4,0.9,30.0180595268732,42.5070569033731,4.446,1.02925980764254,3471.98744698568,89.6505198581778,8.42,5.82603290514173,61.4441919202983,68.5590667282222,53.230962911428,17.6917214468951,97.6,0.952344,33.2310996364157,47.1577837336467,4.459,0.587900739517653
IQ,Iraq,2006,2008,2000,4,-4,12,3471.98744698568,89.6505198581778,8.42,5.82603290514173,61.4441919202983,68.5590667282222,53.230962911428,17.6917214468951,97.6,0.952344,33.2310996364157,47.1577837336467,4.459,0.587900739517653,3565.58054079041,74.092853105498,8.646,4.92949827595085,60.1077106310903,68.716475540845,-10.0674925768978,6.75640343045579,98.1,0.93,35.4162594088609,42.7266327769674,4.404,1.09391286623188,3781.78001712762,81.0555432665835,8.467,3.84778019548826,62.788858419665,68.8569818968574,12.6628528269228,14.8004343121091,97.9,1.0,34.2660921070952,52.0904231224761,4.373,1.40995173662765
IQ,Iraq,2008,2010,2000,4,-4,12,3781.78001712762,81.0555432665835,8.467,3.84778019548826,62.788858419665,68.8569818968574,12.6628528269228,14.8004343121091,97.9,1.0,34.2660921070952,52.0904231224761,4.373,1.40995173662765,3768.17284328983,78.6873788189898,8.414,5.22993319137947,51.989792420915,68.9742328505284,6.8736154721255,10.3114759579941,98.1,1.06,43.5373054440268,26.6904419007176,4.378,1.43142990859109,3881.94327045302,73.4974796202443,8.267,5.16228354680036,55.7934951548678,69.0582953378474,2.8777472527476,16.1989616416181,98.4,2.5,39.6860480275684,36.638174184967,4.457,1.00796493975113
