country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
IR,"Iran, Islamic Rep.",1990,1992,1990,3,-3,10,44.41102427316953,37.0805676988111,,12.4908605575991,32.7998198191744,56.4611129760742,38.87306382076716,26.9831832081605,,0.0,53.1981355271243,21.2780900975969,-0.289993217558947,45.85938324856001,44.1941716478042,11.1,12.0142415524232,33.3941037703575,56.8992834183695,44.60282484371901,34.6748709059884,,,53.2610836641986,27.3175223676009,0.0171607419557352,46.057701103233455,40.3979272522381,10.653,12.0543300718568,33.5415741510386,57.850040435791,47.62160715253012,33.0168964143532,,,52.6609305617565,29.026480504917,0.0070970133460197
IR,"Iran, Islamic Rep.",1992,1994,1990,3,-3,10,46.057701103233455,40.3979272522381,10.653,12.0543300718568,33.5415741510386,57.850040435791,47.62160715253012,33.0168964143532,,,52.6609305617565,29.026480504917,0.0070970133460197,45.76998565455398,46.0408643243691,10.573,10.3983707071378,42.0293502409352,58.6953926086426,46.1671687035703,27.8279603919614,,,48.6934181155153,33.3409405072001,0.325601196600586,45.47212790212558,41.6091363981328,10.458,10.5515623445808,43.3701571029777,59.553092956543,49.09487160285973,25.9643575271313,,0.000408,48.205149464431,34.2732634056606,0.0027839077426266
IR,"Iran, Islamic Rep.",1994,1996,1990,3,-3,10,45.47212790212558,41.6091363981328,10.458,10.5515623445808,43.3701571029777,59.553092956543,49.09487160285973,25.9643575271313,,0.000408,48.205149464431,34.2732634056606,0.0027839077426266,45.67015911413412,35.1442449159574,9.904,12.6102361431141,39.4404238932804,60.42333984375,52.53226637803096,24.6888942731375,,0.00418,49.9041053365152,35.7157930480667,0.0176313384274561,46.46461375852123,35.2212991546042,9.1,10.3464772313477,42.0825362513932,61.0621868466265,48.47365990820388,31.4645189109948,,0.0158,48.8097255642591,40.2468651740489,0.0215939791939169
IR,"Iran, Islamic Rep.",1996,1998,1990,3,-3,10,46.46461375852123,35.2212991546042,9.1,10.3464772313477,42.0825362513932,61.0621868466265,48.47365990820388,31.4645189109948,,0.0158,48.8097255642591,40.2468651740489,0.0215939791939169,46.4869286932554,32.6495581116416,9.68,9.81269950030608,38.7114436760975,62.1140785217285,44.69618421275717,32.6502333239265,,0.0468,52.4764737606246,36.0070517417461,0.0465242180580812,46.59412982723759,29.2282196463134,10.358,11.5550578925548,32.5035534129176,62.9052391052246,44.9105627064442,32.6383533414546,,0.0998,57.1684307665697,29.0264200343506,0.0217633947743042
IR,"Iran, Islamic Rep.",1998,2000,1990,3,-3,10,46.59412982723759,29.2282196463134,10.358,11.5550578925548,32.5035534129176,62.9052391052246,44.9105627064442,32.6383533414546,,0.0998,57.1684307665697,29.0264200343506,0.0217633947743042,46.68154802758136,34.8854141345934,11.176,9.91498621545228,37.4588861757893,63.7097473144531,45.76337698496946,31.8442734942724,,0.379,53.4409524080366,36.1111202980658,0.0307426231739111,47.339581386850575,41.2572474638031,11.698,9.06841932703815,40.3059101601225,64.4780120849609,43.382427628439416,31.305453924537,97.9,0.93419,51.4166442622418,37.3407190257725,0.0355866340456932
IR,"Iran, Islamic Rep.",2000,2002,2000,3,-3,15,47.339581386850575,41.2572474638031,11.698,9.06841932703815,40.3059101601225,64.4780120849609,43.382427628439416,31.305453924537,97.9,0.93419,51.4166442622418,37.3407190257725,0.0355866340456932,47.46793429637643,40.535566479523,12.362,8.31084200246599,39.9172619781884,65.2168655395508,41.59342045266291,35.7993975403846,98.1,1.48422,52.3210997514138,36.9076519302156,0.321660450664957,48.55451365623117,48.1726865520657,12.8,7.82554689747938,45.5029348793712,65.9271621704102,43.31189464937369,33.2457832607485,98.1,4.62618,47.6983837464383,41.6883268543639,2.73611498145264
IR,"Iran, Islamic Rep.",2002,2004,2000,3,-3,15,48.55451365623117,48.1726865520657,12.8,7.82554689747938,45.5029348793712,65.9271621704102,43.31189464937369,33.2457832607485,98.1,4.62618,47.6983837464383,41.6883268543639,2.73611498145264,49.6778105541581,50.6791057753261,11.529,7.45109456120201,45.0599495545921,66.6049270629883,44.316398269415714,32.6580827002697,98.2,6.93372,48.7704956249067,44.1381809402203,1.89418626211609,50.00739298318437,51.3138573265888,10.3,6.88957846945821,47.4704724796045,67.2567367553711,43.52311724593703,31.2381754864806,98.3,7.49,47.9180928342311,46.085569725627,1.61769687939769
IR,"Iran, Islamic Rep.",2004,2006,2000,3,-3,15,50.00739298318437,51.3138573265888,10.3,6.88957846945821,47.4704724796045,67.2567367553711,43.52311724593703,31.2381754864806,98.3,7.49,47.9180928342311,46.085569725627,1.61769687939769,50.15245260947962,54.4404952635536,11.813,6.50138220908685,49.6372490521282,67.8708801269531,42.84369704733544,28.5571687717077,98.4,8.1,47.9812176030011,46.7203934045314,1.28425430112768,50.57880050487454,53.1673587143845,11.519,7.11821124095933,48.2599008746838,68.3101850492144,40.7587522594586,27.2470961461286,98.4,8.76,49.1253327032366,46.0974793843076,0.872560020177082
IR,"Iran, Islamic Rep.",2006,2008,2000,3,-3,15,50.57880050487454,53.1673587143845,11.519,7.11821124095933,48.2599008746838,68.3101850492144,40.7587522594586,27.2470961461286,98.4,8.76,49.1253327032366,46.0974793843076,0.872560020177082,51.54986569210249,49.8873069225934,10.772,7.18556823147499,48.235663136428,68.806189933608,44.69274114824038,28.3421240021292,98.7,9.47,47.6077676817297,49.0976623224263,0.5769461352122,51.39901620254517,48.2294027741438,10.63,6.12277259111112,47.6687887779159,69.3790072996746,47.50641216352017,31.9226930495385,98.8,12.02,48.6423388030411,48.286890121627,0.487596567096289
IR,"Iran, Islamic Rep.",2008,2010,2000,3,-3,15,51.39901620254517,48.2294027741438,10.63,6.12277259111112,47.6687887779159,69.3790072996746,47.50641216352017,31.9226930495385,98.8,12.02,48.6423388030411,48.286890121627,0.487596567096289,51.36153507981207,43.6995802243585,12.113,6.9244896148629,43.0965172977284,69.99007683587,42.9067612080531,30.8548963891343,99.7,13.8,51.4807181924139,44.3220964172513,0.720530462050838,52.04766694975286,43.7706437371399,13.679,6.49939072557201,44.2093794197457,70.6092626774386,40.81004387689842,27.3528333188133,99.4,15.9,51.1373145239641,46.2734513766519,0.74916862626536
