country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
IS,Iceland,1990,1992,1990,2,2,7,82.73634811777349,62.9117684841729,,,,90.6059112548828,43.881474665265024,21.0344776189225,100.0,0.0,,21.2407111357985,-0.0717445050848385,82.51992929876785,60.8702680765282,2.548,,,90.9010925292969,38.10350423547078,21.3193557993763,100.0,0.505,,19.7701036585431,-0.257802106442804,81.78616943851294,57.8570070035451,4.305,,,91.145637512207,34.58219139264136,19.5355938001208,100.0,1.54,,19.0064956786175,0.118006165457839
IS,Iceland,1992,1994,1990,2,3,7,81.78616943851294,57.8570070035451,4.305,,,91.145637512207,34.58219139264136,19.5355938001208,100.0,1.54,,19.0064956786175,0.118006165457839,81.83125312741521,59.4790808364344,5.257,,,91.296257019043,34.72916972816073,17.6772074617353,100.0,2.67,,21.0302603343896,-1.82562799974633e-05,82.25040978513827,63.2886233208855,5.326,,,91.4494400024414,29.475348023899876,17.2362854819455,100.0,6.79,,22.1002561458836,0.0362054951846309
IS,Iceland,1994,1996,1990,2,3,7,82.25040978513827,63.2886233208855,5.326,,,91.4494400024414,29.475348023899876,17.2362854819455,100.0,6.79,,22.1002561458836,0.0362054951846309,82.18375101836114,64.3005949240328,5.196,9.17277723743773,23.8401974136309,91.6399917602539,29.76773207696496,16.9371992278263,100.0,11.2,53.9153868953593,20.9104160413285,-0.126264174306966,82.78774245270553,68.6955297848167,3.6,8.95633155868231,23.1625588606746,91.8401641845703,31.363789347261594,20.0500943892648,100.0,14.8,54.4355248390921,20.5310584966942,1.08476897200301
IS,Iceland,1996,1998,1990,3,3,7,82.78774245270553,68.6955297848167,3.6,8.95633155868231,23.1625588606746,91.8401641845703,31.363789347261594,20.0500943892648,100.0,14.8,54.4355248390921,20.5310584966942,1.08476897200301,83.2945052363928,69.2597923595091,3.72,7.92629813760397,25.308623540941,92.0188980102539,30.23143686948445,21.3407274453604,100.0,27.5,53.471904674446,21.8133446005777,1.9180642114198,84.18726989941058,70.7676395257416,3.069,7.97361553349079,24.1053276391741,91.6760097262822,29.791011530931588,25.3144172925596,100.0,36.3,54.8636995101425,21.1828613184836,1.78383147690664
IS,Iceland,1998,2000,1990,3,3,7,84.18726989941058,70.7676395257416,3.069,7.97361553349079,24.1053276391741,91.6760097262822,29.791011530931588,25.3144172925596,100.0,36.3,54.8636995101425,21.1828613184836,1.78383147690664,84.59645281355877,68.4725808469369,2.178,7.48831521964877,22.3561732819586,91.8121341861987,33.3761471698639,23.2268671701007,100.0,41.3,55.9933372982038,18.7912394810117,0.73168547029209,85.1315792861741,70.2477741981669,1.936,6.88598998179034,22.5372259365463,91.9674192031642,36.24378816657055,24.2476144628105,100.0,44.4705,57.2848485266828,17.8264546466261,1.69756965570433
IS,Iceland,2000,2002,2000,4,4,12,85.1315792861741,70.2477741981669,1.936,6.88598998179034,22.5372259365463,91.9674192031642,36.24378816657055,24.2476144628105,100.0,44.4705,57.2848485266828,17.8264546466261,1.69756965570433,85.51337904010437,73.9395325755249,1.874,7.38288060410616,24.1593929160252,92.0452304560359,37.69388918182984,22.9243406963541,100.0,49.393,57.134809159238,21.8129672210201,1.9636895563517,85.45832857424755,68.7108314689249,2.988,7.40493166860492,21.8878961443286,92.1674022598912,36.319558826144124,19.6024045847351,100.0,79.12,59.2905989296744,21.0913234191546,0.976035937953063
IS,Iceland,2002,2004,2000,4,5,12,85.45832857424755,68.7108314689249,2.988,7.40493166860492,21.8878961443286,92.1674022598912,36.319558826144124,19.6024045847351,100.0,79.12,59.2905989296744,21.0913234191546,0.976035937953063,85.70296519186329,67.4009987460124,3.997,6.34919439679088,21.0064884754505,92.3235559316863,30.86329143879315,21.1815719644539,100.0,83.14,60.4690159489829,18.2049128855842,2.8998206651811,86.71518349193589,69.7326204452496,4.031,5.2287722880465,21.3111439861402,92.4377293375354,33.240684458597904,24.6369176997244,100.0,83.88,60.2341882541868,19.0398428800265,5.40905235148605
IS,Iceland,2004,2006,2000,4,5,12,86.71518349193589,69.7326204452496,4.031,5.2287722880465,21.3111439861402,92.4377293375354,33.240684458597904,24.6369176997244,100.0,83.88,60.2341882541868,19.0398428800265,5.40905235148605,87.53057580355204,71.2106793861355,2.547,4.65967867624861,20.4017247228488,92.377441015064,34.643299331002886,29.1014370616777,100.0,87.0,60.4397043292362,17.5979119431986,18.042727115684,88.02653318551266,76.6308537686708,2.83,4.71370483416326,21.8846027987055,92.1949009038813,37.98229237950144,34.9959953036019,100.0,89.51,58.9557544477476,19.4416626045546,21.9365764797895
IS,Iceland,2006,2008,2000,4,5,12,88.02653318551266,76.6308537686708,2.83,4.71370483416326,21.8846027987055,92.1949009038813,37.98229237950144,34.9959953036019,100.0,89.51,58.9557544477476,19.4416626045546,21.9365764797895,88.94203430813668,73.6249668831341,2.251,4.14525624981175,19.7564514418821,92.3614571703229,36.13626202717254,29.0119225466175,100.0,90.6,62.6184397154973,20.7864943142044,31.2938758397836,88.91476637675046,81.9027481853952,2.946,4.84443918773815,22.6306546995652,93.0646442174216,42.438270222469335,25.1262761994844,100.0,91.0,61.5631835010302,23.8200471898108,6.59629631732958
IS,Iceland,2008,2010,2000,4,5,12,88.91476637675046,81.9027481853952,2.946,4.84443918773815,22.6306546995652,93.0646442174216,42.438270222469335,25.1262761994844,100.0,91.0,61.5631835010302,23.8200471898108,6.59629631732958,87.50171872701118,89.00144405735,7.22,5.60323353565693,19.3938111719419,93.4441340553707,42.03857203963614,15.2646256611056,100.0,93.0,65.3710907478186,22.7894618522541,0.481270991693296,87.17261760095714,92.4901528110187,7.564,6.22541481370984,21.855496243023,93.4588348107886,36.56431877673086,13.9090271400569,100.0,93.39,62.1190815422903,23.6419388919034,1.84577695426495
