country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
KH,Cambodia,1990,1992,1990,6,-1,2,824.051655825487,,,,,15.7157497390038,,,,0.0,,,5.642,0.0,850.610221173097,,0.781,,,16.0597496099039,,,,,,,5.588,0.0,862.478030887335,,0.76,,,16.4097495102946,,,,,,,5.486,1.32451043794356
KH,Cambodia,1992,1994,1990,7,-1,2,862.478030887335,,0.76,,,16.4097495102946,,,,,,,5.486,1.32451043794356,845.382004291868,48.7242577792075,0.745,45.2943821816409,12.6462429891696,16.7657494060925,,10.7623524495248,,,39.4239678569411,-5.63062692233138,5.433,2.1361412398871,513.967147967874,64.4680319495873,0.995,45.5577095437597,13.7227155633242,17.1276884970302,,10.6909780378212,,,36.2557496302954,-1.95704216465032,5.281,2.46826428986319
KH,Cambodia,1994,1996,1990,7,-1,2,513.967147967874,64.4680319495873,0.995,45.5577095437597,13.7227155633242,17.1276884970302,,10.6909780378212,,,36.2557496302954,-1.95704216465032,5.281,2.46826428986319,520.926883186145,77.7667280459137,0.974,47.7245602129901,14.26204476065,17.4962488002108,-0.798944337811878,13.9168329480616,,,34.1915817554512,-0.666858674192747,5.076,4.38218500888824,511.670349597704,69.161566797509,0.963,44.4630795625178,14.988565801564,17.8834321201168,7.15086140872796,12.6760898846533,,,35.9810694223313,-3.75916291688132,4.867,8.37255420712081
KH,Cambodia,1996,1998,1990,7,-1,2,511.670349597704,69.161566797509,0.963,44.4630795625178,14.988565801564,17.8834321201168,7.15086140872796,12.6760898846533,,,35.9810694223313,-3.75916291688132,4.867,8.37255420712081,496.770551310941,78.9346444583816,0.638,44.4472126770339,16.3857369937735,18.1846372155166,7.96021397777456,13.4196139607507,,0.00584,35.0877626951943,4.22696930402029,4.395,5.91564174870823,499.016649050833,75.6194730009492,0.71,44.4799589633803,16.7090818114912,18.3715559169572,14.8065035437763,12.3863128638125,18.67,0.0163,34.8040317435791,-0.42741452234027,4.13,3.71333117712453
KH,Cambodia,1998,2000,1990,5,-1,2,499.016649050833,75.6194730009492,0.71,44.4799589633803,16.7090818114912,18.3715559169572,14.8065035437763,12.3863128638125,18.67,0.0163,34.8040317435791,-0.42741452234027,4.13,3.71333117712453,552.901492232643,94.1768880770207,0.726,40.903852994265,18.0398264256172,18.5111858410878,4.00820702088782,15.9789286539458,8.82003688812256,0.032,35.4418475117996,5.2235167499074,3.933,2.90641952247495,598.561915252147,110.397125303731,0.744,35.5277357364566,21.6455986512559,18.6242216655572,-0.791992529473567,18.3895301204123,16.6,0.0470226,36.7145633549895,6.43749511719756,3.794,3.20257592365608
KH,Cambodia,2000,2002,2000,5,-2,13,598.561915252147,110.397125303731,0.744,35.5277357364566,21.6455986512559,18.6242216655572,-0.791992529473567,18.3895301204123,16.6,0.0470226,36.7145633549895,6.43749511719756,3.794,3.20257592365608,632.833573980849,111.771741244001,0.774,32.9653772534886,23.2646257907737,18.7186818716995,-0.600648300123686,17.3896808288937,9.5,0.0769561,38.0576690261835,11.1625593172118,3.687,3.53337669089546,662.188341283454,118.269562072288,0.852,29.6110046760937,25.3793058382166,18.803641734126,0.211466568022607,20.9017583968683,13.1,0.226983,38.9991210756479,13.7712722477155,3.57,2.90934773211661
KH,Cambodia,2002,2004,2000,5,-2,13,662.188341283454,118.269562072288,0.852,29.6110046760937,25.3793058382166,18.803641734126,0.211466568022607,20.9017583968683,13.1,0.226983,38.9991210756479,13.7712722477155,3.57,2.90934773211661,719.333494240509,120.074969093599,0.909,29.4743795697528,26.3428745441044,18.8881765274479,0.94174611779921,21.2723464696845,19.3,0.26057,38.7302502795091,12.0152043076741,3.429,1.61651685032136,775.847139030978,131.351481056276,1.003,26.6286627547039,27.6802685813967,18.9813615262763,4.31933677434786,21.7474490268637,14.2,0.300437,39.4440355684958,12.5694735506645,3.307,2.2337173477841
KH,Cambodia,2004,2006,2000,5,-2,13,775.847139030978,131.351481056276,1.003,26.6286627547039,27.6802685813967,18.9813615262763,4.31933677434786,21.7474490268637,14.2,0.300437,39.4440355684958,12.5694735506645,3.307,2.2337173477841,866.340290123209,133.551965265648,1.064,27.4457888917427,27.4192470160455,19.0922720052225,6.61525912001587,22.0482982049285,20.5,0.317322,39.3541365970232,11.5973865680002,3.238,5.36603852621255,947.065220050691,140.348734318483,1.152,26.2857429362019,29.0700225848228,19.2299832388976,5.81068550464306,23.0793894655423,27.5,0.468357,39.1127580064829,13.8589552027884,3.175,5.78657071926189
KH,Cambodia,2006,2008,2000,5,-2,13,947.065220050691,140.348734318483,1.152,26.2857429362019,29.0700225848228,19.2299832388976,5.81068550464306,23.0793894655423,27.5,0.468357,39.1127580064829,13.8589552027884,3.175,5.78657071926189,1030.23117620792,133.700023826819,1.257,25.4656283422573,28.1400350776131,19.4035705019128,8.70882770568049,24.1617000780788,20.2,0.49,39.1671077567889,15.1500719612504,3.13,8.56334609470361,1090.57475806147,130.393510678736,0.825,28.0340869915092,26.0495966887473,19.6574509865325,24.096851930605,21.859577558739,26.4,0.51,39.4864614805622,15.1731699781476,3.048,6.69590818514056
KH,Cambodia,2008,2010,2000,5,-2,13,1090.57475806147,130.393510678736,0.825,28.0340869915092,26.0495966887473,19.6574509865325,24.096851930605,21.859577558739,26.4,0.51,39.4864614805622,15.1731699781476,3.048,6.69590818514056,1117.25834194514,102.2879490147,0.579,28.0893239418879,25.5665162922046,20.1979728726519,-1.24171754189637,25.2361352056186,25.6,0.53,39.7876010219043,13.996293303359,2.971,7.42542554520067,1155.85236856699,109.998400607758,0.771,27.8742916555508,26.0088985136981,21.1232251168762,3.99639528107218,21.28662800802,31.1,1.26,39.7207719064236,13.3224274978267,2.859,10.169807189939
