country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
KM,Comoros,1990,1992,1990,3,7,1,1253.76196294342,35.7570317175345,,29.375908352569,12.2065486876977,28.3481619901639,,17.1164125297085,,0.0,54.5344960246217,-0.041891083183948,6.505,0.0978688375370205,1148.13931888356,35.75721110708,4.805,29.3765619552425,12.206313744923,28.4669403072928,,17.116503995257,,,54.5347408613473,-0.0434626445681317,6.354,0.625613888602015,1207.29209443855,35.757355539978,4.532,29.3765384116105,12.2065649799656,28.4656667857423,,17.1164651971857,,,54.5347166186359,-0.0429517702140181,6.186,-0.331455374973995
KM,Comoros,1992,1994,1990,3,7,1,1207.29209443855,35.757355539978,4.532,29.3765384116105,12.2065649799656,28.4656667857423,,17.1164651971857,,,54.5347166186359,-0.0429517702140181,6.186,-0.331455374973995,1215.6495051112,35.7569519162497,4.576,29.3758480705404,12.2062103498951,28.4403314078112,,17.1164741335183,,,54.5345373260019,-0.0428889879625502,6.022,0.0445831475707246,1146.70713941919,35.7572794061551,4.57,29.376269625719,12.2067564350997,28.3994895148917,,17.1164714139673,,,54.5346475381071,-0.0428862204183768,5.864,0.0564549352359372
KM,Comoros,1994,1996,1990,3,7,1,1146.70713941919,35.7572794061551,4.57,29.376269625719,12.2067564350997,28.3994895148917,,17.1164714139673,,,54.5346475381071,-0.0428862204183768,5.864,0.0564549352359372,1190.50038004288,35.7572385369768,4.681,29.3764706402427,12.2064531617677,28.3468419976372,,17.11642146928,,,54.5341798038602,-0.0422345244086563,5.73,0.226472068292729,1164.20336109423,35.7578150774993,4.781,29.3761105577028,12.2066469431937,28.286089746701,,17.1164898859093,28.9,,54.5343863144333,-0.0427772243694465,5.627,0.12994022919074
KM,Comoros,1996,1998,1990,2,7,1,1164.20336109423,35.7578150774993,4.781,29.3761105577028,12.2066469431937,28.286089746701,,17.1164898859093,28.9,,54.5343863144333,-0.0427772243694465,5.627,0.12994022919074,1194.79487327423,35.7570438604224,4.564,29.3759989799902,12.2060989661382,28.2209336527364,,17.1164299656219,32.7624130249023,0.0,54.5341147951795,-0.0426238178589868,5.513,0.0055124238077848,1174.68989605102,35.7572500543394,4.617,29.3758435025617,12.2065011023133,28.1550746063967,,17.1164093153237,35.0945281982422,0.0379,54.5344626610775,-0.0421355690110231,5.392,0.105574621312169
KM,Comoros,1998,2000,1990,2,7,1,1174.68989605102,35.7572500543394,4.617,29.3758435025617,12.2065011023133,28.1550746063967,,17.1164093153237,35.0945281982422,0.0379,54.5344626610775,-0.0421355690110231,5.392,0.105574621312169,1185.07043579337,35.7571570476989,4.546,29.3763589412148,12.2061288312838,28.0922134983353,,17.1164090739706,37.421802520752,0.148,54.5343359302217,-0.0419006777529346,5.28,0.072864796790572,1150.82840106354,35.7574785306267,4.398,29.3763199309883,12.2062715454078,28.0360512192055,,17.1164269322436,39.8,0.271741,54.5341780810555,-0.0422380681158378,5.227,0.0275813880015483
KM,Comoros,2000,2002,2000,2,7,2,1150.82840106354,35.7574785306267,4.398,29.3763199309883,12.2062715454078,28.0360512192055,,17.1164269322436,39.8,0.271741,54.5341780810555,-0.0422380681158378,5.227,0.0275813880015483,1188.50107049357,35.7572288509346,4.377,29.3762865752702,12.2063718015717,27.9902886596605,5.55459394816812,17.1164695309867,42.0,0.443068,54.5345235385765,-0.0423247976791095,5.195,0.307423421152582,1217.11501559943,35.7571190335913,4.369,29.376012439903,12.2063143076875,27.9586267103537,3.53304214308078,17.1164426194856,44.8,0.55487,54.5345022914427,-0.0424143576089841,5.155,0.100716007387665
KM,Comoros,2002,2004,2000,2,7,2,1217.11501559943,35.7571190335913,4.369,29.376012439903,12.2063143076875,27.9586267103537,3.53304214308078,17.1164426194856,44.8,0.55487,54.5345022914427,-0.0424143576089841,5.155,0.100716007387665,1216.98036712949,35.7569591176854,4.559,29.3761272595016,12.2062786708097,27.9448864609618,3.799081366719,17.1164519886137,46.5,0.848189,54.5345234180861,-0.0424631983483932,5.115,0.145062208685244,1231.14746798849,35.7570631253248,4.571,29.376019929184,12.2062936509226,27.9596300229124,4.47499289078107,17.1164637474012,48.7,1.32733,54.5343190862136,-0.0422929119022869,5.065,0.108010654825932
KM,Comoros,2004,2006,2000,2,7,2,1231.14746798849,35.7570631253248,4.571,29.376019929184,12.2062936509226,27.9596300229124,4.47499289078107,17.1164637474012,48.7,1.32733,54.5343190862136,-0.0422929119022869,5.065,0.108010654825932,1274.6143662974,35.7574093238258,4.522,29.3762739037829,12.2064983176676,28.016895208368,3.0133239505812,17.1164439891343,51.0,2.0,54.5345549922057,-0.0425434859779908,5.012,0.0852741893191707,1227.24636392125,35.7572745739842,4.473,29.3763406198683,12.206432106225,28.1143215973031,3.37436360121204,17.1164559786779,53.2,2.2,54.5342926673759,-0.0427539320969577,4.934,0.11306053010776
KM,Comoros,2006,2008,2000,2,7,2,1227.24636392125,35.7572745739842,4.473,29.3763406198683,12.206432106225,28.1143215973031,3.37436360121204,17.1164559786779,53.2,2.2,54.5342926673759,-0.0427539320969577,4.934,0.11306053010776,1212.69629084896,33.1561792127495,4.46,28.956646255431,12.4102413287259,28.2493321448949,4.46616710098132,16.0107412814615,55.5,2.5,54.2987882798195,1.68191382467344,4.859,0.966721983950354,1235.97247187374,36.2185263542809,4.398,29.138915008097,12.1356370474847,28.4193498063202,1.7007817628453,18.6944966828606,57.8,3.0,55.7844251162305,-0.526955022723711,4.805,0.507893616352291
KM,Comoros,2008,2010,2000,2,7,2,1235.97247187374,36.2185263542809,4.398,29.138915008097,12.1356370474847,28.4193498063202,1.7007817628453,18.6944966828606,57.8,3.0,55.7844251162305,-0.526955022723711,4.805,0.507893616352291,1250.90035344227,37.8969223253542,4.348,30.0330064008618,12.073328072351,28.6217975367563,4.36234829325719,16.6441195996643,60.1,3.5,53.5201608357446,-1.28236443575965,4.778,1.52866108214525,1272.60650664705,39.5501058029898,4.248,30.4159781805447,11.775324962086,28.8540982913801,3.35475770328919,17.8624390779559,69.7,5.1,53.1898732144818,-2.09736083122865,4.755,0.91966985988271
KM,Comoros,2010,2012,2010,2,7,5,1272.60650664705,39.5501058029898,4.248,30.4159781805447,11.775324962086,28.8540982913801,3.35475770328919,17.8624390779559,69.7,5.1,53.1898732144818,-2.09736083122865,4.755,0.91966985988271,1299.11099021922,40.00094857244,4.207,30.5642731114282,11.6973185544088,29.1136750253686,1.8426630075619,16.7272118330955,69.3,5.5,53.6020289217801,-4.06668843128796,4.722,2.25967654324554,1313.5812493744,40.8104424089423,4.17,30.1730899214364,11.2226651481809,29.397950693899,6.31474450315177,16.6960690671082,69.3,5.9753,54.0415867747774,-6.76712029286552,4.652,1.02133818400059
KM,Comoros,2012,2014,2010,2,7,5,1313.5812493744,40.8104424089423,4.17,30.1730899214364,11.2226651481809,29.397950693899,6.31474450315177,16.6960690671082,69.3,5.9753,54.0415867747774,-6.76712029286552,4.652,1.02133818400059,1343.5451171047,39.2433304149929,4.118,30.7898620479495,11.648240313246,29.7043482521482,-4.29487331536756,16.2163941646089,69.4,6.5,53.0564434539285,-4.79035537647801,4.572,0.379103082802071,1342.32802421364,39.2358244169194,4.119,30.0114514473366,11.6109251303108,30.0302906552932,7.54755379096711,15.2374961535119,71.8,6.98,53.780159708536,-4.67990813059502,4.489,0.407499039358216
KM,Comoros,2014,2016,2010,2,7,5,1342.32802421364,39.2358244169194,4.119,30.0114514473366,11.6109251303108,30.0302906552932,7.54755379096711,15.2374961535119,71.8,6.98,53.780159708536,-4.67990813059502,4.489,0.407499039358216,1329.37048235986,37.8049520714563,4.121,30.5986282117727,10.4084081560234,30.3732008585112,-0.11717388419007,13.4963324041779,74.1,7.45916,54.8995438267195,-3.89451518165222,4.42,0.511029838634196,1345.62555739306,37.1328797158337,4.104,31.3684720287721,9.85451807028183,30.7305018169792,0.797517430888487,12.4755919575083,76.4,7.93832,54.1737474981062,-3.22641555539265,4.348,0.352458395658835
KM,Comoros,2016,2018,2010,2,7,5,1345.62555739306,37.1328797158337,4.104,31.3684720287721,9.85451807028183,30.7305018169792,0.797517430888487,12.4755919575083,76.4,7.93832,54.1737474981062,-3.22641555539265,4.348,0.352458395658835,1369.41038262485,40.164358921352,4.03,31.8988868689753,9.13735009601101,31.0996559689293,-0.237362224154613,13.3232598136896,78.7,8.47817,54.1994429016851,-2.92828264960562,4.278,0.363776536091142,1391.84620461012,42.9961533369453,3.942,33.7201530680832,8.87679585626469,31.4073645195839,2.15155084413033,14.7594576318137,81.0,,52.6503579124895,-2.31001444115383,4.208,0.48130680430061
KM,Comoros,2018,2020,2010,2,7,5,1391.84620461012,42.9961533369453,3.942,33.7201530680832,8.87679585626469,31.4073645195839,2.15155084413033,14.7594576318137,81.0,,52.6503579124895,-2.31001444115383,4.208,0.48130680430061,1389.36430643805,42.2680785372908,3.934,35.6200979800592,8.5310006225517,31.7287584068243,3.58213544469211,12.6281735099465,83.3,16.3838,51.8874948328209,-3.98635100422379,4.138,0.362046315267837,1359.70624686714,33.7299346029218,4.471,35.7974035855048,8.08945324004138,32.0638072194881,0.786641929499151,10.956884294986,85.6,22.4204,51.4464133331555,-10.5846678617079,4.071,0.318014572633564
KM,Comoros,2020,2022,2020,2,8,6,1359.70624686714,33.7299346029218,4.471,35.7974035855048,8.08945324004138,32.0638072194881,0.786641929499151,10.956884294986,85.6,22.4204,51.4464133331555,-10.5846678617079,4.071,0.318014572633564,1359.76242021159,42.0677236368446,4.394,35.2409487995918,9.3792276382052,32.4124444313246,-0.0044179368234698,13.2615764510247,87.9,30.6812,51.1018001492833,-8.73149092489536,3.999,0.316353618234776,1368.3741885336,50.3887704814699,3.816,35.164324124624,9.63879809359056,32.7746035528748,12.5320314570999,11.9372948701337,89.9,32.7685,51.1982629052083,-11.1599211907705,3.935,0.337727307705265
