country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
KY,Cayman Islands,1980,1982,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
KY,Cayman Islands,1982,1984,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
KY,Cayman Islands,1984,1986,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
KY,Cayman Islands,1986,1988,1980,-3,3,10,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,
KY,Cayman Islands,1988,1990,1980,0,6,7,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,99.846923828125,0.0,,,
KY,Cayman Islands,1990,1992,1990,0,6,7,,,,,,100.0,,,99.846923828125,0.0,,,,,,,,,100.0,,,99.8788146972656,,,,,,,,,,100.0,,,99.9102401733398,,,,
KY,Cayman Islands,1992,1994,1990,0,6,7,,,,,,100.0,,,99.9102401733398,,,,,,,,,,100.0,,,100.0,0.0,,,,,,,,,100.0,,,100.0,0.0,,,
KY,Cayman Islands,1994,1996,1990,0,6,7,,,,,,100.0,,,100.0,0.0,,,,,,,,,100.0,,,100.0,3.95,,,,,,,,,100.0,,,100.0,,,,
KY,Cayman Islands,1996,1998,1990,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
KY,Cayman Islands,1998,2000,1990,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
KY,Cayman Islands,2000,2002,2000,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
KY,Cayman Islands,2002,2004,2000,-3,3,10,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,,,,
KY,Cayman Islands,2004,2006,2000,-3,-1,5,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,,100.0,38.0344,,,,96066.629965728,,,0.233902314810638,9.82859311015743,100.0,,,100.0,44.5,83.5483444755669,,590.934129587437
KY,Cayman Islands,2006,2008,2000,-3,-1,5,96066.629965728,,,0.233902314810638,9.82859311015743,100.0,,,100.0,44.5,83.5483444755669,,590.934129587437,96202.7389296237,,,0.249992681417999,9.65080208027573,100.0,,,100.0,52.0,84.4321029664262,,631.63409905905,93115.3176374189,,,0.262355093309578,9.08453134393436,100.0,,,100.0,61.0,85.0079469959404,,426.427226529901
KY,Cayman Islands,2008,2010,2000,-3,-1,5,93115.3176374189,,,0.262355093309578,9.08453134393436,100.0,,,100.0,61.0,85.0079469959404,,426.427226529901,84001.4219797545,,,0.314234469058315,7.90355933394894,100.0,,,100.0,64.5,86.9002468526232,,474.06347248168,79483.0963975025,,,0.312849105478957,7.06530749303623,100.0,0.276140861750108,,100.0,66.0,87.6099796702155,,504.372474529354
KY,Cayman Islands,2010,2012,2010,-2,0,4,79483.0963975025,,,0.312849105478957,7.06530749303623,100.0,0.276140861750108,,100.0,66.0,87.6099796702155,,504.372474529354,78233.0182694571,,,0.329023791194155,6.81332422400659,100.0,1.32543575779664,,100.0,69.4659,87.3133587201445,,743.700693196734,77074.3886285602,,,0.330633489890753,6.85794611515241,100.0,1.18894845245608,,100.0,69.7,87.1902467935886,,500.805925798403
KY,Cayman Islands,2012,2014,2010,-2,0,4,77074.3886285602,,,0.330633489890753,6.85794611515241,100.0,1.18894845245608,,100.0,69.7,87.1902467935886,,500.805925798403,76038.8787807923,,,0.34097532455926,6.92395107976706,100.0,2.16061146813391,,100.0,71.4,87.1980776190893,,792.31979140556,76104.621790038,,,0.357975839277623,6.89618179181609,100.0,1.27397911533388,,100.0,74.1,87.3154936804664,,1009.0310578527
KY,Cayman Islands,2014,2016,2010,-2,0,4,76104.621790038,,,0.357975839277623,6.89618179181609,100.0,1.27397911533388,,100.0,74.1,87.3154936804664,,1009.0310578527,76379.2098777987,,,0.378695338763108,7.00603914795633,100.0,-2.34752770165615,,100.0,77.0,87.4373687362951,,1709.82722352518,77031.864216869,,,0.39945773256778,7.28391318982217,100.0,-0.62525835861814,,100.0,79.0,86.8623821329188,,54.6762797370938
KY,Cayman Islands,2016,2018,2010,-2,0,4,77031.864216869,,,0.39945773256778,7.28391318982217,100.0,-0.62525835861814,,100.0,79.0,86.8623821329188,,54.6762797370938,77717.1760762284,117.436583958714,,0.418316555239566,7.19381923258219,100.0,,,100.0,81.0677,87.1042606022093,,48.515881955007,79305.7692066005,117.117122140321,,0.408587438369759,7.41439057356221,100.0,,,100.0,,86.1171403825961,,3.13994473836616
