country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
LA,Lao PDR,1990,1992,1990,-4,0,1,18.981722369382048,35.8472084769786,,46.4688634742615,14.3813263952002,15.2435947725302,50.03332384672915,,,0.0,40.2499096767041,,0.693192942833295,19.199332935290865,38.1823216438676,2.497,43.9597849289897,16.5835417432796,15.5691704902549,42.848208428107895,,,,42.5262017413489,,0.671148791332591,19.61274517430467,44.1307586141721,2.71,46.7255908925821,17.5334322119287,15.9255067602307,40.65198238637081,,,,42.9236362098356,,0.691607729252085
LA,Lao PDR,1992,1994,1990,-4,0,1,19.61274517430467,44.1307586141721,2.71,46.7255908925821,17.5334322119287,15.9255067602307,40.65198238637081,,,,42.9236362098356,,0.691607729252085,20.087075407335835,52.6288120122103,2.732,43.4169170590763,17.4447947058982,16.3205402025163,37.5488704102896,,31.0,,41.1036244824444,,2.25193217872285,20.905163527688693,64.809269997254,2.634,44.0851035404577,17.7559142977323,16.7622074371706,38.07945520881906,,25.6057929992676,,39.0641252752297,,3.83517469899485
LA,Lao PDR,1994,1996,1990,-4,0,1,20.905163527688693,64.809269997254,2.634,44.0851035404577,17.7559142977323,16.7622074371706,38.07945520881906,,25.6057929992676,,39.0641252752297,,3.83517469899485,21.58225635166932,60.5544661404946,2.6,42.2262355997899,18.7611862855343,17.2790469212159,45.586757179983685,,25.0,,40.8606940096723,,5.39257398643831,22.265751498959347,63.7571736099789,2.45,40.4982887775844,20.6120581991112,17.9638238907301,42.622029780247495,,31.2476997375488,,40.7308550781604,,8.52870931249719
LA,Lao PDR,1996,1998,1990,-4,1,1,22.265751498959347,63.7571736099789,2.45,40.4982887775844,20.6120581991112,17.9638238907301,42.622029780247495,,31.2476997375488,,40.7308550781604,,8.52870931249719,22.97947832225643,65.1569707659458,2.354,51.8527062375068,20.6251128747956,18.8482710950308,48.09637739087916,,34.0638961791992,,55.7018926222061,,5.20889423950572,23.29870306258653,84.2695405093512,2.293,33.9387656658138,22.2619621078948,19.8765944516706,57.13544843994684,,36.8760108947754,0.00966,43.5732043382803,,3.58543935160818
LA,Lao PDR,1998,2000,1990,-3,1,1,23.29870306258653,84.2695405093512,2.293,33.9387656658138,22.2619621078948,19.8765944516706,57.13544843994684,,36.8760108947754,0.00966,43.5732043382803,,3.58543935160818,24.12879418440158,80.0584561654881,2.154,34.3119793661779,22.4698367237759,21.0036006639099,59.58056482890035,,39.6832847595215,0.0378,40.5263320223378,,5.42480319770453,24.74817941021736,68.8373013678325,2.045,33.6302510315937,16.4770694017999,22.1840964350091,47.41060688257002,13.41565795568,42.6,0.111044,42.2317010822793,5.90236379106448,1.95760389973722
LA,Lao PDR,2000,2002,2000,-2,0,3,24.74817941021736,68.8373013678325,2.045,33.6302510315937,16.4770694017999,22.1840964350091,47.41060688257002,13.41565795568,42.6,0.111044,42.2317010822793,5.90236379106448,1.95760389973722,25.36534295939848,65.8994368798482,1.881,32.6831929428473,16.9937147919347,23.3728884682287,39.036021960411645,13.5436071724261,45.3,0.181664,41.8364260116675,3.39048803958782,1.35157901983042,26.013839176346547,67.2549028523532,1.775,33.3863040963517,18.3826897329941,24.5247834668291,41.17826359126544,29.0404231808259,46.3,0.267899,42.0529397212505,19.2905496581588,0.253176893420544
LA,Lao PDR,2002,2004,2000,-1,-5,2,26.013839176346547,67.2549028523532,1.775,33.3863040963517,18.3826897329941,24.5247834668291,41.17826359126544,29.0404231808259,46.3,0.267899,42.0529397212505,19.2905496581588,0.253176893420544,26.694654786777523,60.572095882788,1.639,32.0861145753545,20.1201441501939,25.5945881340707,43.87148081947265,27.7715216255189,48.0,0.333912,41.9337781300384,14.2002920659387,0.962969691363706,27.43108729269269,66.0797516222837,1.498,30.5213475173909,19.3595097686057,26.5371091732139,41.06526718704181,31.754243509919,53.5,0.361434,44.0601141074548,15.4987370171598,0.714895049062071
LA,Lao PDR,2004,2006,2000,-1,-5,2,27.43108729269269,66.0797516222837,1.498,30.5213475173909,19.3595097686057,26.5371091732139,41.06526718704181,31.754243509919,53.5,0.361434,44.0601141074548,15.4987370171598,0.714895049062071,28.26950200848573,71.7926462737852,1.35,28.2951353434837,23.2287895606829,27.3224977292697,38.44812664355355,34.0580868030095,57.2,0.850357,43.3904134909633,20.1929119718653,1.01332132437858,29.31557873878883,81.9613754162421,1.199,26.7296699146578,26.1754512486046,28.0378756242097,37.83893910579846,30.0695410386414,57.0,1.16989,38.1438717266097,24.4183206684351,5.42138961728604
LA,Lao PDR,2006,2008,2000,0,-4,2,29.31557873878883,81.9613754162421,1.199,26.7296699146578,26.1754512486046,28.0378756242097,37.83893910579846,30.0695410386414,57.0,1.16989,38.1438717266097,24.4183206684351,5.42138961728604,30.21916847525507,79.2126289035269,1.068,25.788148677301,25.3930205228552,28.7343050001346,35.62276711399569,32.312243033777,55.0,1.64,41.6699062812217,20.3282402959772,7.66062749777557,31.16035985365924,81.8491820941317,0.944,24.1764814314586,26.9497231702456,29.4034348148069,38.874077963125686,31.68198579384,66.0,3.55,44.1080874597489,16.1409646477811,4.18200303606929
LA,Lao PDR,2008,2010,2000,1,-4,4,31.16035985365924,81.8491820941317,0.944,24.1764814314586,26.9497231702456,29.4034348148069,38.874077963125686,31.68198579384,66.0,3.55,44.1080874597489,16.1409646477811,4.18200303606929,32.05829321024019,76.930826218652,0.835,24.2053770855586,25.163093788149,30.0420311503825,23.262899627519538,33.9384705525426,67.4,6.0,45.6988801729367,17.1737836831771,5.45905949594973,33.108500039299344,84.7203378916677,0.708,22.5957941345194,30.4660210858755,30.6468600890172,37.240505779894406,27.4624877401915,70.2,7.0,43.5714766178165,13.510201924436,3.90935018167503
LA,Lao PDR,2010,2012,2010,1,-4,15,33.108500039299344,84.7203378916677,0.708,22.5957941345194,30.4660210858755,30.6468600890172,37.240505779894406,27.4624877401915,70.2,7.0,43.5714766178165,13.510201924436,3.90935018167503,34.09186427851937,91.6986958680216,0.96,20.7912551864005,30.815970194642,31.2146877128668,38.82039462855764,28.0678025249814,70.0,9.0,41.7741927844051,22.6323815637534,3.43702755895922,35.07666422994981,98.1851264313662,1.208,18.5484865737637,32.4366446720109,31.7422801040872,35.04734607632222,32.504255276611,76.4,10.7477,40.1523222378494,10.0725855455966,6.06067602678934
LA,Lao PDR,2012,2014,2010,1,-4,15,35.07666422994981,98.1851264313662,1.208,18.5484865737637,32.4366446720109,31.7422801040872,35.04734607632222,32.504255276611,76.4,10.7477,40.1523222378494,10.0725855455966,6.06067602678934,36.06459193060644,98.1791466159604,1.469,17.9304984280697,30.4277075542967,32.2264033448341,37.65873449914314,30.6473220372757,79.3,12.5,42.4921486144815,8.81438221791615,5.68624628337024,36.99688573570163,99.0597382933399,1.733,17.8487917824206,28.815000545489,32.6638235172635,34.860246618543755,29.8013514004447,82.5,14.26,44.1576786053302,12.2507064084678,6.53385086120159
LA,Lao PDR,2014,2016,2010,1,-4,15,36.99688573570163,99.0597382933399,1.733,17.8487917824206,28.815000545489,32.6638235172635,34.860246618543755,29.8013514004447,82.5,14.26,44.1576786053302,12.2507064084678,6.53385086120159,37.86692399691141,85.798321703681,2.006,17.5877596970627,27.6933442499915,33.1240204432199,28.594716682896284,31.556651604237,89.7,18.2,44.1689693992427,13.6631992204824,7.47075777292731,38.68445072542167,75.0918909204124,2.634,17.2301765948066,28.7595046372574,33.8267455533474,29.607987831939813,29.0076540961796,89.0,21.87,42.4771231213113,20.3345256615537,5.87774436155716
LA,Lao PDR,2016,2018,2010,1,-3,15,38.68445072542167,75.0918909204124,2.634,17.2301765948066,28.7595046372574,33.8267455533474,29.607987831939813,29.0076540961796,89.0,21.87,42.4771231213113,20.3345256615537,5.87774436155716,39.48179753004868,,3.268,16.1997598561979,30.91247539947,34.5115346444216,26.88799647974347,,93.6,25.5104,41.5278261302034,,9.87799160512334,40.187076917809264,,2.897,15.7091868201084,31.533192488879,35.2050070032013,30.82463064670993,,92.9,36.3,41.60838243206,,7.4856486219066
LA,Lao PDR,2018,2020,2010,2,-4,12,40.187076917809264,,2.897,15.7091868201084,31.533192488879,35.2050070032013,30.82463064670993,,92.9,36.3,41.60838243206,,7.4856486219066,40.77991257276887,,2.531,16.0503390570341,31.531381987864,35.9072880879451,33.5398370282612,,98.4,47.0323,41.5143522873285,,4.03149139231071,40.62473110950761,,2.349,16.3377623592616,32.4163678323352,36.6185033569111,36.20293850612167,,99.3,54.0,41.0498993391489,,5.09807193491087
LA,Lao PDR,2020,2022,2020,2,-4,6,40.62473110950761,,2.349,16.3377623592616,32.4163678323352,36.6185033569111,36.20293850612167,,99.3,54.0,41.0498993391489,,5.09807193491087,40.78991010525791,,2.08,16.0676970155249,34.1299777246213,37.338778268357,34.276624962654694,,100.0,62.0,38.8487055906363,,5.69344695957329,40.98735914025626,,1.209,14.8688822282276,34.1089797342112,38.0682382805397,46.753771891547096,,100.0,62.7001,40.2787651580097,,4.69509225789707
