country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
LB,Lebanon,1990,1992,1990,1,-1,8,41.94666518165048,117.905808025004,,,,83.3477779215982,,31.312690963823,,0.0,,-35.7272287998606,0.227233865800903,47.91644971213,92.4546720066934,8.594,,23.6303821818249,83.7732936330693,,29.2733383817258,,,,-19.2966597635696,0.0347517217099537,49.96702121820559,82.844256447048,8.225,,22.8292606552612,84.1654331075521,,29.2733383826505,,,,-31.8695077325374,0.315902283373073
LB,Lebanon,1992,1994,1990,1,-1,8,49.96702121820559,82.844256447048,8.225,,22.8292606552612,84.1654331075521,,29.2733383826505,,,,-31.8695077325374,0.315902283373073,51.26406218209871,76.3510747169767,8.226,,22.629902485752,84.5233504104997,,31.0363960022752,,,,-26.9658810021933,0.0931785202512423,52.20298142825735,70.2721154740452,8.321,6.46664063418966,22.616203471055,84.8461996073652,,36.6527933811506,,,61.8886464366007,-17.8781046203224,0.23502137102756
LB,Lebanon,1994,1996,1990,1,-1,8,52.20298142825735,70.2721154740452,8.321,6.46664063418966,22.616203471055,84.8461996073652,,36.6527933811506,,,61.8886464366007,-17.8781046203224,0.23502137102756,52.89816307034149,73.1353869918234,8.421,6.79485642800601,22.2342520972663,85.1331347636015,,36.4550836421911,,0.0716,60.4060195644658,-15.0673936012502,0.29866550632029,54.28172681552277,68.0966127579704,8.413,6.18307844332752,22.3064225544938,85.3833099446618,,34.7924986761368,,0.14,61.2359257757386,-7.61147407947538,0.584358875032073
LB,Lebanon,1996,1998,1990,1,3,7,54.28172681552277,68.0966127579704,8.413,6.18307844332752,22.3064225544938,85.3833099446618,,34.7924986761368,,0.14,61.2359257757386,-7.61147407947538,0.584358875032073,54.16297260071025,62.0865979381443,8.62,6.70515463917526,22.2721649484536,85.5958792159991,,29.4639175257732,,1.24,60.6103092783505,-3.80618556701031,11.4246771134021,54.4512111079554,54.7171975983785,8.571,6.08818692875445,23.6835060614173,85.7699966430664,,28.4064400168266,,2.72,58.3272782898008,1.21228345252208,6.5802246247728
LB,Lebanon,1998,2000,1990,1,3,7,54.4512111079554,54.7171975983785,8.571,6.08818692875445,23.6835060614173,85.7699966430664,,28.4064400168266,,2.72,58.3272782898008,1.21228345252208,6.5802246247728,54.09421953247892,50.8141707661214,8.787,6.19685009342943,21.2294550585364,85.9041501933228,,22.9111848377379,,5.38,59.058841475041,0.144910956030965,5.01221157296938,54.03278388430508,50.1152959262106,8.641,6.23750960799385,19.9654112221368,86.0,,21.0261337432744,99.3,7.95274,61.52190622598,-1.3489623366641,5.75581691967717
LB,Lebanon,2000,2002,2000,1,3,15,54.03278388430508,50.1152959262106,8.641,6.23750960799385,19.9654112221368,86.0,,21.0261337432744,99.3,7.95274,61.52190622598,-1.3489623366641,5.75581691967717,54.36224394106895,55.5568083587026,8.499,5.86311872815425,20.4307137219529,86.1451238111303,,20.7727289810952,99.3,6.78322,61.4424775435036,-1.5334310519788,8.23754952644041,54.67155157553776,51.0425325574951,8.248,5.66292601828761,19.1154059296204,86.2942846645228,,19.3994181213633,99.3,7.0,60.1620947630923,-0.0969797727902466,6.97552914588529
LB,Lebanon,2002,2004,2000,1,3,15,54.67155157553776,51.0425325574951,8.248,5.66292601828761,19.1154059296204,86.2942846645228,,19.3994181213633,99.3,7.0,60.1620947630923,-0.0969797727902466,6.97552914588529,54.95269976661549,54.0908340214699,8.061,5.48637489677952,18.3121387283237,86.4475351790771,,19.7886044591247,99.2,8.0,59.5805119735756,-1.45664739884393,14.2410590326381,55.71151480060144,90.9727970270956,7.85,3.82091029633439,14.5751663754257,86.6049279736931,,22.3672723596403,99.9,9.0,69.0739947560555,2.20462604005622,8.97351609461343
LB,Lebanon,2004,2006,2000,2,4,12,55.71151480060144,90.9727970270956,7.85,3.82091029633439,14.5751663754257,86.6049279736931,,22.3672723596403,99.9,9.0,69.0739947560555,2.20462604005622,8.97351609461343,55.883782665039405,92.762656272585,8.249,3.57963505822563,14.7600382336009,86.7665156672703,,21.986580123017,99.2,10.14,71.1421422568266,3.45043210834551,12.2038495910608,55.858549600699206,91.0693970298409,8.679,4.46973485890735,15.008151375903,86.9323508787087,,21.9166201382779,99.4,15.0,72.7943057979431,0.658009060556398,12.1444381288428
LB,Lebanon,2006,2008,2000,2,4,12,55.858549600699206,91.0693970298409,8.679,4.46973485890735,15.008151375903,86.9323508787087,,21.9166201382779,99.4,15.0,72.7943057979431,0.658009060556398,12.1444381288428,56.94840104467573,97.9677079660494,8.98,4.89276661829071,15.5098773512385,87.1024862269079,,24.4852093860851,97.8,18.74,70.7510991777324,0.597415662576702,13.5978268963012,58.04668406921286,106.625673176194,7.666,4.52188617992645,16.212003826201,87.2769743307677,,27.318412866856,99.9,22.53,72.4380677565016,-1.53804309537055,14.8805177180667
LB,Lebanon,2008,2010,2000,2,4,12,58.04668406921286,106.625673176194,7.666,4.52188617992645,16.212003826201,87.2769743307677,,27.318412866856,99.9,22.53,72.4380677565016,-1.53804309537055,14.8805177180667,59.35998535921403,90.3978388619092,6.355,3.95087208611483,15.4395167882731,87.4558678091878,28.31083257853753,28.0424807710815,99.3,30.14,69.1877288219295,2.91458070099403,13.5696589141535,60.4079176890962,95.0966529416243,6.768,3.86195936751946,13.809376206629,87.6392192810679,34.63777577895441,25.0361909614275,99.5,43.68,71.8617767348569,-0.113148697534413,11.1327936305686
