country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
LC,St. Lucia,1980,1982,1980,2,-1,1,4533.61559072062,,,,,26.3704664199718,19.4777291132912,,,,,,18.1369565217391,4745.07534839001,,,,,26.7366437223127,15.1248443770346,,,,,,19.6457142857143,4768.47313298112,,,,,27.1256726868766,4.61406749873088,,,,,,14.4545454545455
LC,St. Lucia,1982,1984,1980,5,3,1,4768.47313298112,,,,,27.1256726868766,4.61406749873088,,,,,,14.4545454545455,4926.91157454487,,,,,27.5232487856798,1.47305853462301,,,,,,5.07518796992481,5200.74079176013,,,,,27.9173882327449,1.20548410365588,,,,,,4.77172312223859
LC,St. Lucia,1984,1986,1980,4,2,1,5200.74079176013,,,,,27.9173882327449,1.20548410365588,,,,,,4.77172312223859,5540.54774876871,,,,,28.296107242095,1.42319898238732,,,,,,5.9765625,6238.03997462967,,,,,28.6474220277529,2.19025825433132,,,,,,4.27015250544662
LC,St. Lucia,1986,1988,1980,4,3,1,6238.03997462967,,,,,28.6474220277529,2.19025825433132,,,,,,4.27015250544662,6386.06815363835,,,,,28.9593488037417,7.02175303902781,,,,,,3.99408284023669,7178.18209891858,,,,,29.2199037840841,0.829472425646376,,,,,,3.82758620689654
LC,St. Lucia,1988,1990,1980,4,4,3,7178.18209891858,,,,,29.2199037840841,0.829472425646376,,,,,,3.82758620689654,7736.20939060312,,,,,29.4171031828031,4.37263766397329,,,,,,5.47184170471841,8418.43121970586,,,,,29.5389632139216,4.26755662855972,,,0.0,,,7.72651757188497
LC,St. Lucia,1990,1992,1990,3,2,3,8418.43121970586,,,,,29.5389632139216,4.26755662855972,,,0.0,,,7.72651757188497,8349.33748060159,,16.521,,,29.5736982837359,6.14955053119049,,,,,,9.4091732045866,8879.90075764079,,16.549,,,29.5408675059156,5.13889779944828,,,,,,6.07362637362637
LC,St. Lucia,1992,1994,1990,3,2,3,8879.90075764079,,16.549,,,29.5408675059156,5.13889779944828,,,,,,6.07362637362637,8800.62691819002,,16.8,,,29.4587481057258,0.848181596289603,,,,,,4.98864250946457,8808.68294405759,,17.0,,,29.3316316964674,2.81591665153968,,,,,,4.55682407887908
LC,St. Lucia,1994,1996,1990,3,2,3,8808.68294405759,,17.0,,,29.3316316964674,2.81591665153968,,,,,,4.55682407887908,8822.50069854295,,15.83,,,29.1636117100817,5.62965921512378,,,0.306,,,4.29271844660194,8945.86353079673,,16.33,,,28.9587815785097,0.924842609615973,,,0.67,,,2.33427230046948
LC,St. Lucia,1996,1998,1990,3,2,3,8945.86353079673,,16.33,,,28.9587815785097,0.924842609615973,,,0.67,,,2.33427230046948,8759.56755308065,,20.47,,,28.7212347336928,-0.0055202870547238,,,0.992,,,5.93428308823529,9183.3516374622,,21.6,,,28.4550646075721,3.20194341679091,,,1.3,,,9.50485436893204
LC,St. Lucia,1998,2000,1990,1,-4,3,9183.3516374622,,21.6,,,28.4550646075721,3.20194341679091,,,1.3,,,9.50485436893204,9306.76032489833,,18.09,,,28.1643646320887,3.50379784108942,,,1.93,,,9.0200883889112,9198.93894352203,,16.49,,,27.8532282391838,3.7107860871361,,86.0,5.09048,,,10.3032379060764
