country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
LI,Liechtenstein,1980,1982,1980,4,-3,1,,,,,,18.2781897387842,,,,,,,,,,,,,18.2505045658245,,,,,,,,,,,,,18.178841120986,,,,,,,
LI,Liechtenstein,1982,1984,1980,4,-3,1,,,,,,18.178841120986,,,,,,,,,,,,,18.0669795458188,,,,,,,,,,,,,17.9239911919501,,,,,,,
LI,Liechtenstein,1984,1986,1980,4,-3,1,,,,,,17.9239911919501,,,,,,,,,,,,,17.7589474110067,,,,,,,,,,,,,17.5809195546159,,,,,,,
LI,Liechtenstein,1986,1988,1980,4,-3,1,,,,,,17.5809195546159,,,,,,,,,,,,,17.3989789744046,,,,,,,,,,,,,17.2221970219999,,,,,,,
LI,Liechtenstein,1988,1990,1980,5,0,1,,,,,,17.2221970219999,,,,,,,,,,,,,17.0596450490288,,,,,,,,,,,,,16.9214495973985,,,100.0,0.0,,,
LI,Liechtenstein,1990,1992,1990,5,0,1,,,,,,16.9214495973985,,,100.0,0.0,,,,,,,,,16.8123611423634,,,100.0,,,,,,,,,,16.7281990656039,,,100.0,,,,
LI,Liechtenstein,1992,1994,1990,5,0,1,,,,,,16.7281990656039,,,100.0,,,,,,,,,,16.6500852753784,,,100.0,,,,,,,,,,16.560019266569,,,100.0,,,,
LI,Liechtenstein,1994,1996,1990,5,0,1,,,,,,16.560019266569,,,100.0,,,,,,,,,,16.4400005340576,,,100.0,,,,,,,,,,16.2145929601375,,,100.0,,,,
LI,Liechtenstein,1996,1998,1990,5,0,1,,,,,,16.2145929601375,,,100.0,,,,,,,,,,15.8749720970618,,,100.0,,,,,,,,,,15.5030549446521,,,100.0,,,,
LI,Liechtenstein,1998,2000,1990,-3,0,6,,,,,,15.5030549446521,,,100.0,,,,,,,,,,15.1807585027303,,,100.0,,,,,,,,,,14.9899997711182,,,100.0,36.5152,,,799.33394273342
