country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
LT,Lithuania,1990,1992,1990,5,-2,2,8333.3507070025,,,,,67.6504225503728,,,100.0,0.0,,,2.03,,7847.01734327521,,1.1,,,67.6130216346299,,,100.0,,,,2.01,,6185.53523621407,,1.2,,,67.5609840319184,1020.62056524354,,100.0,,,,1.97,
LT,Lithuania,1992,1994,1990,5,-2,2,6185.53523621407,,1.2,,,67.5609840319184,1020.62056524354,,100.0,,,,1.97,,5206.44266110742,,13.8,,,67.4973020339323,410.451858561316,,100.0,,,,1.74,,4730.69631958508,,13.8,,,67.4249679323659,72.2546816164428,,100.0,,,,1.57,
LT,Lithuania,1994,1996,1990,-1,6,5,4730.69631958508,,13.8,,,67.4249679323659,72.2546816164428,,100.0,,,,1.57,,4924.09667530707,84.5445654964236,17.54,9.81208235083643,28.3669602576004,67.3469740189134,39.6476290328289,20.2351107729266,100.0,,51.21621023271,11.8325771530407,1.55,0.91599006830321,5211.10025197912,92.813796697758,16.4,10.8805040140195,27.2658539819452,67.2663125852689,24.62519538645,20.4664976175958,100.0,0.277,51.8157928283671,11.5594853576985,1.49,1.80778475578758
LT,Lithuania,1996,1998,1990,-1,6,5,5211.10025197912,92.813796697758,16.4,10.8805040140195,27.2658539819452,67.2663125852689,24.62519538645,20.4664976175958,100.0,0.277,51.8157928283671,11.5594853576985,1.49,1.80778475578758,5685.44901491024,99.6494889661181,14.13,9.37590275267037,27.0832380088766,67.1859759231267,8.88104848465892,22.2643437239043,100.0,0.978,51.2387114267022,14.3243222823744,1.47,3.56292104936331,6154.17245640636,89.3653045985264,13.711,7.62845477468583,27.37159186677,67.1089563241809,5.06755385841968,23.7805132609305,100.0,1.97,52.6986058180705,12.7887048768765,1.46,8.13855813597498
LT,Lithuania,1998,2000,1990,-1,6,5,6154.17245640636,89.3653045985264,13.711,7.62845477468583,27.37159186677,67.1089563241809,5.06755385841968,23.7805132609305,100.0,1.97,52.6986058180705,12.7887048768765,1.46,8.13855813597498,6129.99843995634,74.5847357424933,13.388,6.3536359420219,26.3945503433367,67.0382460801258,0.727550626557424,21.8521151611492,100.0,2.92,55.2042360392253,11.2232751287522,1.46,5.1218707362885,6384.30865426374,83.1914942748116,15.931,5.57351611529396,26.5008484486882,66.9768374826555,0.981615478857598,19.106143781843,99.5,6.42707,56.8110809259453,12.9677948203192,1.39,3.29220428777652
LT,Lithuania,2000,2002,2000,-1,6,10,6384.30865426374,83.1914942748116,15.931,5.57351611529396,26.5008484486882,66.9768374826555,0.981615478857598,19.106143781843,99.5,6.42707,56.8110809259453,12.9677948203192,1.39,3.29220428777652,6854.52512826671,93.4871373685836,16.84,4.86500650657571,27.2146716594063,66.9286097501613,1.36712030817819,20.5013949501313,99.5,7.17936,56.9375008272264,13.9133990402202,1.29,3.60825880316743,7374.0979710116,100.332229474818,13.008,4.76760475898336,26.3988212298317,66.8887100219727,0.281506610345575,20.6880451379643,99.4,17.69,57.7970778931469,15.3903331350172,1.23,4.62664162847931
LT,Lithuania,2002,2004,2000,-1,6,10,7374.0979710116,100.332229474818,13.008,4.76760475898336,26.3988212298317,66.8887100219727,0.281506610345575,20.6880451379643,99.4,17.69,57.7970778931469,15.3903331350172,1.23,4.62664162847931,8218.69336289848,98.0914043206711,12.874,4.41639298290057,27.9630623171368,66.7596664428711,-1.13430854990247,21.5317486962314,99.4,25.91,57.2367901029329,16.4472938501845,1.26,1.15581132298026,8851.92598922347,104.072070698543,10.684,4.15167623775201,29.527855822781,66.6022567749023,1.16410252104671,22.8037215070817,99.4,31.23,56.4136355802795,16.4155380751252,1.27,3.86727514737432
LT,Lithuania,2004,2006,2000,1,-1,11,8851.92598922347,104.072070698543,10.684,4.15167623775201,29.527855822781,66.6022567749023,1.16410252104671,22.8037215070817,99.4,31.23,56.4136355802795,16.4155380751252,1.27,3.86727514737432,9692.86853763267,117.449691165186,8.325,4.32727074499656,29.7236068505939,66.5784912109375,2.65848484065262,23.4031526577558,99.4,36.22,56.5173523499693,17.1864058169132,1.29,4.9513140342573,10577.2145522871,124.613633047292,5.78,3.8728905163979,30.1705478851017,66.6381530761719,3.73912004060664,26.0125275452576,99.4,43.9,56.480638797473,16.5967724287336,1.33,7.50221604684683
LT,Lithuania,2006,2008,2000,1,-2,4,10577.2145522871,124.613633047292,5.78,3.8728905163979,30.1705478851017,66.6381530761719,3.73912004060664,26.0125275452576,99.4,43.9,56.480638797473,16.5967724287336,1.33,7.50221604684683,11889.3545234657,116.295810328172,4.25,3.47267609522387,29.645016281565,66.7184982299805,5.73717382799842,28.5825367058501,99.4,49.9,56.6453735171211,19.3450252090097,1.36,6.54805565260343,12324.5197331387,126.759707831841,5.826,3.28158323801393,29.2009086287297,66.7527770996094,10.9258856241655,26.0480830824595,99.4,55.22,57.206064566221,16.647896515067,1.45,3.61122070655171
LT,Lithuania,2008,2010,2000,0,-1,5,12324.5197331387,126.759707831841,5.826,3.28158323801393,29.2009086287297,66.7527770996094,10.9258856241655,26.0480830824595,99.4,55.22,57.206064566221,16.647896515067,1.45,3.61122070655171,10612.9204044582,105.040251236614,13.785,2.52928276861212,25.0207491016076,66.7816619873047,4.45304456518535,17.8342694449584,99.5,59.76,62.3997102039979,11.2246568914025,1.5,-0.96067117365502,10884.1161852582,131.626507396009,17.814,3.06871518554059,26.2116518144494,66.7712860107422,1.31921362055463,17.0850047033206,99.7,62.12,60.0343254564853,15.8283205187035,1.5,3.00969561169119
LT,Lithuania,2010,2012,2010,0,-1,15,10884.1161852582,131.626507396009,17.814,3.06871518554059,26.2116518144494,66.7712860107422,1.31921362055463,17.0850047033206,99.7,62.12,60.0343254564853,15.8283205187035,1.5,3.00969561169119,11836.7200384033,149.645306927215,15.39,3.51897129368263,28.3534317115284,66.7518340055756,4.13027562645085,18.7988664422637,99.7,63.64,57.6254914588371,19.660329892353,1.55,4.35509015104087,12516.6184065667,156.638925650513,13.365,4.00007448760216,28.2001999312223,66.8536758422852,3.08998277055417,17.5779128736327,100.0,67.23,57.6622186397042,20.8836191083082,1.6,1.5855600934776
LT,Lithuania,2012,2014,2010,0,-2,15,12516.6184065667,156.638925650513,13.365,4.00007448760216,28.2001999312223,66.8536758422852,3.08998277055417,17.5779128736327,100.0,67.23,57.6622186397042,20.8836191083082,1.6,1.5855600934776,13145.8069309969,156.626637927418,11.77,3.53435810553224,27.6242689150869,67.0092086791992,1.04747937065344,18.6706513704311,100.0,68.4529,58.9225729509242,21.8755264483795,1.59,1.66003716547755,13753.1895982305,143.290115780694,10.698,3.4401608409572,27.726441177948,67.1514937628023,0.103758009433708,19.107534609394,100.0,72.1335,58.7478006463531,22.2307863836462,1.57,0.739699359398684
LT,Lithuania,2014,2016,2010,0,-2,15,13753.1895982305,143.290115780694,10.698,3.4401608409572,27.726441177948,67.1514937628023,0.103758009433708,19.107534609394,100.0,72.1335,58.7478006463531,22.2307863836462,1.57,0.739699359398684,14269.8039878287,138.195575009601,9.12,3.43671864804715,26.9636978611038,67.2282485961914,-0.884097405500596,19.5972464627678,100.0,71.3781,59.2019719495734,21.5684134656193,1.63,2.49622116332616,14823.107153522,134.690449650877,7.862,3.12061896056681,25.9974602207029,67.1894226074219,0.905525075460342,19.9190169078885,100.0,74.3766,60.4983280052475,21.0160400009315,1.63,2.7403147410033
LT,Lithuania,2016,2018,2010,0,-2,15,14823.107153522,134.690449650877,7.862,3.12061896056681,25.9974602207029,67.1894226074219,0.905525075460342,19.9190169078885,100.0,74.3766,60.4983280052475,21.0160400009315,1.63,2.7403147410033,15695.9993288456,144.918393101325,7.073,3.54933633712632,25.720457681502,67.1012954711914,3.72288862303707,20.1373563967598,100.0,77.6153,60.2020468532002,22.7744039197483,1.57,2.89745572307538,16604.9021440809,147.202132525221,6.147,2.88685726647675,25.5788787201366,67.1464742010457,2.69792779208394,20.6920891397458,100.0,79.7226,61.178353815629,24.2635465484939,1.53,2.39550085067309
LT,Lithuania,2018,2020,2010,0,-2,15,16604.9021440809,147.202132525221,6.147,2.88685726647675,25.5788787201366,67.1464742010457,2.69792779208394,20.6920891397458,100.0,79.7226,61.178353815629,24.2635465484939,1.53,2.39550085067309,17431.7239081591,148.374996011818,6.255,3.12404744403716,25.2564149405008,67.245735168457,2.33450937988027,21.2003099235928,100.0,81.5819,61.179068325455,24.8428361993372,1.43,6.23035300556357,17443.65526328,135.796565563519,8.487,3.53241993914326,24.7876900738526,67.4254608154297,1.19989444983569,21.4337157753964,100.0,83.0555,61.0170094436429,25.5926282284471,1.36,7.94344900363669
