country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MC,Monaco,1980,1982,1980,-3,-1,5,93468.0634012794,,,,,100.0,,,,,,,,93739.1816077361,,,,,100.0,,,,,,,,95085.6031046345,,,,,100.0,,,,,,,
MC,Monaco,1982,1984,1980,-3,-1,5,95085.6031046345,,,,,100.0,,,,,,,,94848.727743484,,,,,100.0,,,,,,,,94912.5173943415,,,,,100.0,,,,,,,
MC,Monaco,1984,1986,1980,-3,-1,5,94912.5173943415,,,,,100.0,,,,,,,,95274.3117216542,,,,,100.0,,,,,,,,96396.2283814114,,,,,100.0,,,,,,,
MC,Monaco,1986,1988,1980,-3,-1,5,96396.2283814114,,,,,100.0,,,,,,,,97606.9499621531,,,,,100.0,,,,,,,,100947.054448965,,,,,100.0,,,,,,,
MC,Monaco,1988,1990,1980,-3,0,6,100947.054448965,,,,,100.0,,,,,,,,104091.09474987,,,,,100.0,,,,,,,,105878.37276656,,,,,100.0,,,100.0,0.0,,,
MC,Monaco,1990,1992,1990,-3,0,6,105878.37276656,,,,,100.0,,,100.0,0.0,,,,106020.717884683,,,,,100.0,,,100.0,,,,,106558.024151992,,,,,100.0,,,100.0,,,,
MC,Monaco,1992,1994,1990,-3,0,6,106558.024151992,,,,,100.0,,,100.0,,,,,104739.794413175,,,,,100.0,,,100.0,,,,,106244.898612952,,,,,100.0,,,100.0,,,,
MC,Monaco,1994,1996,1990,-3,0,6,106244.898612952,,,,,100.0,,,100.0,,,,,107691.087543628,,,,,100.0,,,100.0,,,,,108107.452988927,,,,,100.0,,,100.0,,,,
MC,Monaco,1996,1998,1990,-3,0,6,108107.452988927,,,,,100.0,,,100.0,,,,,109747.029483889,,,,,100.0,,,100.0,,,,,112873.604489635,,,,,100.0,,,100.0,,,,
MC,Monaco,1998,2000,1990,-3,0,6,112873.604489635,,,,,100.0,,,100.0,,,,,116084.581378187,,,,,100.0,,,100.0,,,,,120456.506337384,,,,,100.0,,,100.0,42.1849,,,
MC,Monaco,2000,2002,2000,-3,0,6,120456.506337384,,,,,100.0,,,100.0,42.1849,,,,123122.12291461,,,,,100.0,,,100.0,46.6461,,,,124481.880220824,,,,,100.0,,,100.0,48.0471,,,
MC,Monaco,2002,2004,2000,-3,0,6,124481.880220824,,,,,100.0,,,100.0,48.0471,,,,126022.239091348,,,,,100.0,,,100.0,49.4912,,,,129403.404955341,,,,,100.0,,,100.0,52.4902,,,
MC,Monaco,2004,2006,2000,-3,0,6,129403.404955341,,,,,100.0,,,100.0,52.4902,,,,132253.218402608,,,,,100.0,,,100.0,55.4648,,,,140615.178788026,,,,,100.0,,,100.0,61.476,,,
MC,Monaco,2006,2008,2000,-3,0,6,140615.178788026,,,,,100.0,,,100.0,61.476,,,,162028.480643444,,,,,100.0,,,100.0,64.3777,,,,163243.752211148,,,,,100.0,,,100.0,67.25,,,
MC,Monaco,2008,2010,2000,-3,0,6,163243.752211148,,,,,100.0,,,100.0,67.25,,,,142375.532007071,,,,,100.0,,,100.0,70.1,,,,141814.78664157,,,,12.9223473621814,100.0,,,100.0,75.0,87.0751827702035,,
