country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MD,Moldova,1990,1992,1990,-1,2,11,46.7435300672341,,,,,46.9786033630371,,,100.0,0.0,,,0.0,43.99582196129882,,1.9,,,46.9094772338867,,,100.0,,,,0.0,38.61716847293374,,3.7,,,46.3824577331543,75.760658495875,,100.0,,,,0.732997655028661
MD,Moldova,1992,1994,1990,-1,2,11,38.61716847293374,,3.7,,,46.3824577331543,75.760658495875,,100.0,,,,0.732997655028661,38.45450599150998,,3.7,,,46.0907783508301,79.24585848714136,,100.0,,,,0.590265678198792,32.718828193645884,,5.8,,,45.865348815918,70.00350521688908,,100.0,0.000825,,,0.67954549992515
MD,Moldova,1994,1996,1990,-2,2,11,32.718828193645884,,5.8,,,45.865348815918,70.00350521688908,,100.0,0.000825,,,0.67954549992515,32.56980174928617,128.016386523173,5.3,29.2735097145476,28.4455720660554,45.7191925048828,48.70929694821934,15.9542665070917,100.0,0.00346,33.1450380147892,17.112357565109,3.8168867101408,31.653278938365325,129.237536040111,7.9,27.484282907914,27.2874008568319,45.0867500305176,46.92876139633896,19.7484034112201,100.0,0.00464,37.5048765242264,5.66433457021567,1.40048902464642
MD,Moldova,1996,1998,1990,-3,3,13,31.653278938365325,129.237536040111,7.9,27.484282907914,27.2874008568319,45.0867500305176,46.92876139633896,19.7484034112201,100.0,0.00464,37.5048765242264,5.66433457021567,1.40048902464642,31.9668110349399,127.560400247842,7.9,25.9637937753554,25.435554097662,44.9134635925293,41.90067734214383,19.8970390743498,100.0,0.0281,38.325149504176,2.65337740657566,4.07962117197816,30.914296211041904,116.803124451539,10.0,25.7680868456683,20.3234930328094,40.7304458618164,38.93372555411147,22.0515904593596,100.0,0.261,43.3002419505218,-0.89092296927258,4.44511814313197
MD,Moldova,1998,2000,1990,-3,3,13,30.914296211041904,116.803124451539,10.0,25.7680868456683,20.3234930328094,40.7304458618164,38.93372555411147,22.0515904593596,100.0,0.261,43.3002419505218,-0.89092296927258,4.44511814313197,30.40267562800335,117.527935193889,11.14,24.8810986016861,20.5076405135261,40.5269088745117,50.758976753134974,18.4388267908415,100.0,0.601,49.499657267257,9.99236784580906,3.23458756906799,30.76091789267973,126.163100130478,8.539,25.409321530594,19.1476693676567,40.4185981750488,49.059658290430605,15.4340587923837,98.7,1.28285,45.3431424262767,-3.01591342282977,9.89887383909094
MD,Moldova,2000,2002,2000,0,-1,4,30.76091789267973,126.163100130478,8.539,25.409321530594,19.1476693676567,40.4185981750488,49.059658290430605,15.4340587923837,98.7,1.28285,45.3431424262767,-3.01591342282977,9.89887383909094,31.72254115148263,124.500739599353,7.366,22.4200406780956,21.9691372835076,39.6744270324707,40.58072238332575,16.7438774343122,98.8,1.48781,45.9236688117086,-1.10829413132204,6.98600963880541,32.934165159187714,129.839525501535,6.845,21.0218294511342,20.3847621314161,39.620719909668,36.44825922807157,16.3229481228335,99.0,3.78724,47.9359774298987,-3.25154999645768,5.05771338869042
MD,Moldova,2002,2004,2000,0,-1,4,32.934165159187714,129.839525501535,6.845,21.0218294511342,20.3847621314161,39.620719909668,36.44825922807157,16.3229481228335,99.0,3.78724,47.9359774298987,-3.25154999645768,5.05771338869042,33.97843625382922,140.056529925052,6.378,18.3282016003476,20.6728809877258,39.5945358276367,41.88449742385295,18.5643035591441,98.8,7.40754,48.5114051920779,-10.2522538831964,3.72304120351932,35.134367272580775,132.69906968032,6.374,17.5867382617383,20.7175324675325,39.4460945129395,42.34180973969589,21.1877122877123,99.1,10.6294,49.8806943056943,-3.9513986013986,5.81198983204296
MD,Moldova,2004,2006,2000,0,-1,4,35.134367272580775,132.69906968032,6.374,17.5867382617383,20.7175324675325,39.4460945129395,42.34180973969589,21.1877122877123,99.1,10.6294,49.8806943056943,-3.9513986013986,5.81198983204296,36.30421658937435,143.023568469138,5.633,16.3997954955912,19.1675900350579,39.3704032897949,42.01244805201813,24.5881546796983,98.6,14.6303,50.4115505152449,-9.87048762349942,6.38146310288962,37.0814074182996,137.154763819994,4.26,14.4988760781159,18.7779036510703,39.2182388305664,42.485101510317776,28.3583478571748,98.9,19.6206,52.6490324887161,-13.8948295124458,7.58980668418465
MD,Moldova,2006,2008,2000,0,-1,4,37.0814074182996,137.154763819994,4.26,14.4988760781159,18.7779036510703,39.2182388305664,42.485101510317776,28.3583478571748,98.9,19.6206,52.6490324887161,-13.8948295124458,7.58980668418465,37.58024597135763,142.720539023021,2.749,9.98297024143739,19.4423919146547,39.4315032958984,42.25164089097439,34.103911660116,99.0,20.45,55.9735991016283,-13.4532341381246,12.1790254892383,38.78541768024886,134.4216013477,2.097,8.8109341724675,19.1217348463177,39.3710708618164,42.4880646155211,33.9966625345666,99.1,23.39,56.4299847430152,-13.555462318426,12.0005134783383
MD,Moldova,2008,2010,2000,0,-1,4,38.78541768024886,134.4216013477,2.097,8.8109341724675,19.1217348463177,39.3710708618164,42.4880646155211,33.9966625345666,99.1,23.39,56.4299847430152,-13.555462318426,12.0005134783383,37.836867063292,110.363326850495,3.024,8.49746275029227,17.1628740871454,39.3255348205566,21.7743482515449,22.5963867530728,99.2,27.5,60.0497721298214,-13.4771844283524,4.85271053589236,38.92592303394352,87.9378518951573,2.972,11.1612572325879,20.4338917212317,39.2804946899414,38.74334142918543,22.5242792157291,99.3,29.68,54.5367158254819,-8.42683905779124,4.25879212676733
