country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
ME,Montenegro,1990,1992,1990,-4,7,5,,,,,,48.541693005835,,,100.0,,,,1.945,,,,30.228,,,49.0415573735914,,,100.0,,,,2.015,,,,30.283,,,49.7231487452489,,,100.0,,,,2.013,
ME,Montenegro,1992,1994,1990,-4,7,5,,,30.283,,,49.7231487452489,,,100.0,,,,2.013,,,,30.348,,,50.6126642944792,,,100.0,,,,1.955,,,,30.334,,,51.6631765173545,,,100.0,,,,1.936,
ME,Montenegro,1994,1996,1990,-4,7,5,,,30.334,,,51.6631765173545,,,100.0,,,,1.936,,,,30.294,,,52.8343773069715,,,100.0,,,,1.958,,,,30.235,,,54.0859585564272,,,100.0,,,,1.922,
ME,Montenegro,1996,1998,1990,-4,7,5,,,30.235,,,54.0859585564272,,,100.0,,,,1.922,,4448.04459737155,,30.298,,,55.3776121588181,,,100.0,,,,1.886,0.0,4680.26589864188,,30.269,,,56.6690300072411,,,100.0,,,,1.893,0.0
ME,Montenegro,1998,2000,1990,-4,7,5,4680.26589864188,,30.269,,,56.6690300072411,,,100.0,,,,1.893,0.0,4251.94337074251,,30.676,,,57.919903994793,,,100.0,,,,1.884,0.0,4391.36966049063,87.9252021443203,30.609,11.3018779223777,21.2590046532839,59.0899260145706,,16.8735262020514,99.1,,58.1769336369838,8.09318578698114,1.903,0.0
ME,Montenegro,2000,2002,2000,-4,7,10,4391.36966049063,87.9252021443203,30.609,11.3018779223777,21.2590046532839,59.0899260145706,,16.8735262020514,99.1,,58.1769336369838,8.09318578698114,1.903,0.0,4421.83994305167,100.409386075314,30.741,10.8112052258109,22.3143207912841,60.1387879596705,,17.5029920238435,99.1,,57.3561319115751,-0.126784597447321,1.855,0.0,4488.00716747744,95.2294000160253,30.423,10.923782282981,21.5953506185527,61.0261817231895,,14.6223811025521,99.0,,57.0810664584854,-5.75607948819167,1.813,0.0
ME,Montenegro,2002,2004,2000,-4,7,10,4488.00716747744,95.2294000160253,30.423,10.923782282981,21.5953506185527,61.0261817231895,,14.6223811025521,99.0,,57.0810664584854,-5.75607948819167,1.813,0.0,4581.10700736435,77.5983890107329,30.458,9.91498733882161,19.3294873017387,61.6986616237464,,13.2988726783425,99.0,,56.1878860599896,-0.961971435533942,1.804,0.0,4775.39883026359,100.109654967142,30.37,9.2619220581357,18.9729443885822,62.210498320663,,17.1322860515408,99.0,25.3501,56.8952971733453,0.56558247389032,1.734,0.0
ME,Montenegro,2004,2006,2000,-4,7,10,4775.39883026359,100.109654967142,30.37,9.2619220581357,18.9729443885822,62.210498320663,,17.1322860515408,99.0,25.3501,56.8952971733453,0.56558247389032,1.734,0.0,4967.68527082416,104.625139256659,30.31,8.75765980493599,17.341544930727,62.6763680644251,,17.9796186654061,99.8,27.1,57.6489509056228,0.199614984953118,1.69,0.0,5386.53833750521,118.177129375183,24.79,5.65822716443527,18.4566268180351,63.111308588912,2.92451258123648,22.7582986694709,99.0,28.9,57.5966091195002,-13.2738781349234,1.73,0.0
ME,Montenegro,2006,2008,2000,-2,7,10,5386.53833750521,118.177129375183,24.79,5.65822716443527,18.4566268180351,63.111308588912,2.92451258123648,22.7582986694709,99.0,28.9,57.5966091195002,-13.2738781349234,1.73,0.0,5763.04035952173,128.844214152476,19.4,5.14096761553622,17.4236682122468,63.5035790981749,4.34712215656112,32.7743216739558,99.0,30.8,56.9966369091048,-8.27399851668075,1.8,25.4861452996323,6149.68558098863,132.48054069386,17.15,5.30307563470907,18.134854953618,63.8414387962647,8.75872769588798,39.0191043275708,99.0,32.9,56.9162660570586,-12.5207904152915,1.89,21.4776806860127
ME,Montenegro,2008,2010,2000,-2,7,10,6149.68558098863,132.48054069386,17.15,5.30307563470907,18.134854953618,63.8414387962647,8.75872769588798,39.0191043275708,99.0,32.9,56.9162660570586,-12.5207904152915,1.89,21.4776806860127,5768.65709477479,99.8255760432413,19.09,5.94207498811569,17.530109017069,64.1131468872325,3.46672373207793,27.2415872912071,99.1,35.1,59.4774525067722,-4.21608569782913,1.98,37.4226485249522,5917.91788713074,98.8684992495822,19.649,5.46716738531637,17.1885067406217,64.3069625751293,0.654946570148479,22.0515648600772,99.2,37.5,60.7888561942815,-3.16882891812995,1.7,18.328887946631
