country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
MG,Madagascar,1990,1992,1990,6,-4,1,538.536275056569,32.3809923743425,,,,21.8992042589258,11.7844838321357,35.9623142146368,,0.0,,29.3218634068558,6.14,0.569459513554867,489.716098120013,35.7567980580415,6.168,,,22.2183660531674,8.59264760490192,30.6747092543918,,,,26.8628077179469,6.118,0.42035163814196,480.810932444988,33.1576177671174,6.268,,,22.5358190363254,14.5123786075771,36.093866863912,9.2,,,31.9285571002017,6.082,0.568843652769941
MG,Madagascar,1992,1994,1990,6,-4,1,480.810932444988,33.1576177671174,6.268,,,22.5358190363254,14.5123786075771,36.093866863912,9.2,,,31.9285571002017,6.082,0.568843652769941,476.159733326381,32.8658889270584,6.307,,,22.8521676960516,10.008361204014,37.8751249459515,10.1056232452393,,,32.6286211028143,6.062,0.377944678159083,461.397665709464,43.5589179379958,6.103,,,23.1671756252866,38.9417908989239,32.8728710665706,10.5616483688354,,,29.3535574785219,6.042,0.162627160821143
MG,Madagascar,1994,1996,1990,7,0,2,461.397665709464,43.5589179379958,6.103,,,23.1671756252866,38.9417908989239,32.8728710665706,10.5616483688354,,,29.3535574785219,6.042,0.162627160821143,454.537946632781,45.3744915678324,6.088,34.9596662452556,,23.4800566044183,49.0802100590784,8.87091919130073,11.0156345367432,,43.5835155830029,5.47022283731211,6.036,0.252994077483842,449.6280870806,35.8824601668345,6.087,33.4308968971502,,23.7907085718749,19.7563545439776,9.52611618731957,11.4669008255005,0.0037,47.5777989361997,7.693379148633,6.031,0.206045785109723
MG,Madagascar,1996,1998,1990,8,0,2,449.6280870806,35.8824601668345,6.087,33.4308968971502,,23.7907085718749,19.7563545439776,9.52611618731957,11.4669008255005,0.0037,47.5777989361997,7.693379148633,6.031,0.206045785109723,451.303199370831,36.8737477819441,5.969,33.7980682231685,,24.0990589894502,4.48638261737399,10.1519133023369,10.9,0.0143,47.621535473864,5.56405060599304,6.023,0.328537056882296,453.886174768872,37.3321870147971,5.9,33.2427573029233,,24.405035318938,6.2080160866332,12.2465309420613,12.3585548400879,0.0626,47.6358803367286,7.73909509969831,5.992,0.37790895322555
MG,Madagascar,1998,2000,1990,7,1,2,453.886174768872,37.3321870147971,5.9,33.2427573029233,,24.405035318938,6.2080160866332,12.2465309420613,12.3585548400879,0.0626,47.6358803367286,7.73909509969831,5.992,0.37790895322555,460.034389996571,40.9244120208063,5.823,33.2796628878081,,24.7085650221322,9.92953399348781,12.2933453010977,12.7975006103516,0.169,46.3037115948654,8.06217341832484,5.839,1.36481063889053,465.529509827021,42.7771226639725,5.8,30.8787172940737,,25.0095755608264,11.859684500028,11.9305464071932,12.6,0.196395,48.3695987195514,7.39276064234627,5.665,1.79192376325453
MG,Madagascar,2000,2002,2000,7,1,9,465.529509827021,42.7771226639725,5.8,30.8787172940737,,25.0095755608264,11.859684500028,11.9305464071932,12.6,0.196395,48.3695987195514,7.39276064234627,5.665,1.79192376325453,478.40561494987,41.0351260923859,5.35,29.8513134115876,,25.3079943968146,7.91694484529586,14.5092173370671,14.8,0.222512,50.9264110852576,13.6145900856827,5.528,1.71117198619575,406.70122213637,50.1816919379298,5.502,34.1425139825593,,25.6037489918904,16.4985255315846,10.9702431408945,14.0,0.33972,50.2028794922736,4.41970001231018,5.412,0.273965160881608
MG,Madagascar,2002,2004,2000,7,0,9,406.70122213637,50.1816919379298,5.502,34.1425139825593,,25.6037489918904,16.4985255315846,10.9702431408945,14.0,0.33972,50.2028794922736,4.41970001231018,5.412,0.273965160881608,433.601040301214,34.030602917475,5.01,32.0297909636333,,25.8967668078478,-1.70400479616298,13.7245656856915,20.3,0.423252,49.9000478604401,7.08228840340791,5.329,0.202025723705933,443.278654985967,48.7753818852156,3.946,31.4205052808436,,26.1869753064804,13.9558018033211,21.1510251154033,15.3,0.525354,50.2445789659486,11.2902561420558,5.264,1.0446898563867
MG,Madagascar,2004,2006,2000,6,0,9,443.278654985967,48.7753818852156,3.946,31.4205052808436,,26.1869753064804,13.9558018033211,21.1510251154033,15.3,0.525354,50.2445789659486,11.2902561420558,5.264,1.0446898563867,450.955230911228,59.1300849357677,2.62,30.7627339341287,,26.4743019495822,18.3638246468932,19.3271126967742,16.0,0.567722,51.4124515283538,8.835799976463,5.195,1.45800803699285,461.540337897729,62.1028389370244,2.946,30.1822717236059,,26.7586741989468,10.7656371554865,20.3112680040621,16.8,0.607552,52.4774184184697,13.1822566287394,5.133,4.60749200280628
MG,Madagascar,2006,2008,2000,6,0,9,461.540337897729,62.1028389370244,2.946,30.1822717236059,,26.7586741989468,10.7656371554865,20.3112680040621,16.8,0.607552,52.4774184184697,13.1822566287394,5.133,4.60749200280628,473.785462328449,66.7027353570049,3.205,28.0670132910209,18.9068307503233,27.0400195163682,10.2879663187671,26.3313661268396,17.5,0.65,48.0405252639591,15.407610270247,5.083,9.26011530963958,490.963935389518,74.357353960806,3.438,27.0525720488789,20.4685954426536,27.31826536364,9.29650839381057,37.7908726981138,18.3,1.65,47.7475305832466,19.8031452757095,5.043,10.5779307609142
MG,Madagascar,2008,2010,2000,6,-4,8,490.963935389518,74.357353960806,3.438,27.0525720488789,20.4685954426536,27.31826536364,9.29650839381057,37.7908726981138,18.3,1.65,47.7475305832466,19.8031452757095,5.043,10.5779307609142,457.789754866068,62.4116975958196,3.887,30.4651481314923,18.8332096319198,27.5933392025561,8.95421802392949,37.1583358778325,17.4,1.63,47.015745609716,15.5618541527703,5.003,13.4485427881281,447.417143030687,57.8748945101807,4.28,29.0780963483597,18.0075205568584,27.8651684949103,9.24732173644116,25.8858941194877,12.3,1.7,48.7541183093285,12.901259344304,4.896,9.13867133828112
