country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MM,Myanmar,1980,1982,1980,4,-3,1,179.588600930675,,,,,24.5588743946411,0.608153083899614,,,,,,0.0366009235815866,187.43997350101,,,,,24.6403264320579,0.318444733265915,,,,,,0.0,194.360862268612,,,,,24.7318492499419,5.30474040537993,,,,,,0.0
MM,Myanmar,1982,1984,1980,4,-3,1,194.360862268612,,,,,24.7318492499419,5.30474040537993,,,,,,0.0,198.97314350451,,,,,24.8370497795693,5.65008336345438,,,,,,-0.0304001173273423,204.50394396227,,,,,24.953374109342,4.84631154769053,,,,,,0.0598130495726237
MM,Myanmar,1984,1986,1980,4,-3,1,204.50394396227,,,,,24.953374109342,4.84631154769053,,,,,,0.0598130495726237,206.179024171186,,,,,25.0778443553106,6.80756655768333,,,,,,0.0,200.215576808079,,,,,25.2100081538473,9.32546190007652,,,,,,0.0088446725439496
MM,Myanmar,1986,1988,1980,4,-3,1,200.215576808079,,,,,25.2100081538473,9.32546190007652,,,,,,0.0088446725439496,188.871667529886,,,,,25.349269938734,24.7599999999999,,,,,,-0.0985632753502491,164.700416641961,,,,,25.4950341437524,16.0428021801856,,,,,,0.0
MM,Myanmar,1988,1990,1980,4,-3,1,164.700416641961,,,,,25.4950341437524,16.0428021801856,,,,,,0.0,168.113854207283,,,,,25.6467052026843,27.1985264490888,,,,,,0.387724417252705,170.233436728781,,,,,25.8036875493115,17.6267750314504,,,0.0,,,7.61843109398624
MM,Myanmar,1990,1992,1990,4,-3,1,170.233436728781,,,,,25.8036875493115,17.6267750314504,,,0.0,,,7.61843109398624,166.71043994981,,0.828,,,25.9653856174157,32.2720382866416,,,,,,11.5012577282816,180.333227419724,,0.796,,,26.1312038407788,21.9132104007913,,,,,,7.11403691197276
MM,Myanmar,1992,1994,1990,4,-3,1,180.333227419724,,0.796,,,26.1312038407788,21.9132104007913,,,,,,7.11403691197276,188.680525347254,,0.779,,,26.3005466531825,31.83160687276,,,,,,3.30931299821516,200.124788544139,,0.739,,,26.4728184884086,24.0987860757019,,,,,,2.84486783034242
MM,Myanmar,1994,1996,1990,4,-3,1,200.124788544139,,0.739,,,26.4728184884086,24.0987860757019,,,,,,2.84486783034242,211.265635947401,,0.754,,,26.6474237802388,25.1947123972847,,,,,,5.24087787832261,222.01335977894,,0.753,,,26.823766962455,16.2753966377374,,,,,,5.06955498653302
MM,Myanmar,1996,1998,1990,4,-3,1,222.01335977894,,0.753,,,26.823766962455,16.2753966377374,,,,,,5.06955498653302,231.587954119212,,0.764,,,27.001252468839,29.6972325791529,,,,,,8.19907839931242,242.132148134742,,0.772,,,27.1792847331724,51.4875497504079,,,,,,4.8680682147655
MM,Myanmar,1998,2000,1990,4,-3,1,242.132148134742,,0.772,,,27.1792847331724,51.4875497504079,,,,,,4.8680682147655,265.455335148419,,0.75,,,27.3572681892371,18.4010433741609,,,0.000152,,,2.982385898279,298.590464510138,,0.712,57.2386452556231,9.69226113586128,27.5346072708149,-0.109165514668565,,41.9,,,,2.86117768008645
MM,Myanmar,2000,2002,2000,4,-3,1,298.590464510138,,0.712,57.2386452556231,9.69226113586128,27.5346072708149,-0.109165514668565,,41.9,,,,2.86117768008645,328.973872713504,,0.689,57.0691916368966,10.5804943321805,27.7107064116875,21.101305376923,,43.0,0.000289277,,,3.21565753506977,364.855800197477,,0.685,54.5283327348715,13.0068954922166,27.8849700456368,57.0745112621703,,47.0,0.000426494,,,2.22070502562137
MM,Myanmar,2002,2004,2000,4,-3,1,364.855800197477,,0.685,54.5283327348715,13.0068954922166,27.8849700456368,57.0745112621703,,47.0,0.000426494,,,2.22070502562137,411.498764127557,,0.686,50.620560861897,14.2582573952557,28.0568026064444,36.5897175323924,,45.1,0.0240641,,,2.3777576671811,463.33013572168,,0.677,48.1650901865787,16.3663619555986,28.2256085278922,4.53421374129692,,46.2,0.0243374,,,2.0001628964787
MM,Myanmar,2004,2006,2000,4,-3,1,463.33013572168,,0.677,48.1650901865787,16.3663619555986,28.2256085278922,4.53421374129692,,46.2,0.0243374,,,2.0001628964787,522.099544791815,,0.672,46.687240402588,17.512204636055,28.390792243762,9.36861814196704,,47.3,0.0652389,,,1.95966396539679,586.085579935448,,0.676,43.918958474559,19.2372930203744,28.5517581878355,19.9964873359214,,48.4,0.182048,,,1.90182128285749
MM,Myanmar,2006,2008,2000,4,-3,1,586.085579935448,,0.676,43.918958474559,19.2372930203744,28.5517581878355,19.9964873359214,,48.4,0.182048,,,1.90182128285749,651.729730899198,,0.684,43.3227660063537,20.4091296662276,28.7079107938945,35.0245970717698,,49.5,0.217128,,,3.5175166973129,714.620419027129,,0.7,40.2750956375485,22.6658154224732,28.8586544957208,26.7995371934022,,50.6,0.22,37.0590889399783,,2.71127181000311
MM,Myanmar,2008,2010,2000,5,-2,1,714.620419027129,,0.7,40.2750956375485,22.6658154224732,28.8586544957208,26.7995371934022,,50.6,0.22,37.0590889399783,,2.71127181000311,785.634853168658,,0.712,38.1081206105058,24.5320050982062,29.0033937270962,1.47234311385647,,51.8,0.22,37.3598731111395,,2.92355415980151,854.932478027749,,0.725,36.853075751266,26.4680642743774,29.1415329218024,7.71838195873614,,48.8,0.25,36.6788599743565,,1.81897202342465
MM,Myanmar,2010,2012,2010,5,-2,1,854.932478027749,,0.725,36.853075751266,26.4680642743774,29.1415329218024,7.71838195873614,,48.8,0.25,36.6788599743565,,1.81897202342465,895.512538762631,,0.749,32.4961825024034,31.2916488307023,29.2724765136213,5.0214601462073,,54.1,0.98,36.2121686668943,,4.20127651183029,953.123081936485,,0.768,30.5901997024538,32.3730207966326,29.3956289363345,1.46758322674679,,55.3,1.4,37.0367795009136,,2.22540068514517
