country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MO,"Macao SAR, China",1990,1992,1990,4,3,4,80.03002620835248,175.664362519201,,,,99.6113572879236,39.17306222244749,22.3003072196621,99.8492813110352,0.0,,43.6520737327189,0.0147852387096774,79.83104693417246,168.524785984471,3.01,,18.6873714247793,99.6962998953038,40.439080732370336,26.3753401021966,99.8805847167969,,81.4752140155286,42.3651204459486,0.284708872519743,80.95097141847259,147.122182802011,2.196,,17.3077413920723,99.770161668007,38.94982101442272,31.1340258812119,99.9114303588867,,82.1205237499681,49.0875213762475,-0.396795908522423
MO,"Macao SAR, China",1992,1994,1990,4,3,4,80.95097141847259,147.122182802011,2.196,,17.3077413920723,99.770161668007,38.94982101442272,31.1340258812119,99.9114303588867,,82.1205237499681,49.0875213762475,-0.396795908522423,81.19904850827312,134.573890698035,2.057,,15.2433486187723,99.8314167744386,38.00114826861943,31.0515938946855,99.9416198730469,,83.3433020978711,49.7264127954631,-0.0635413039144015,81.33779790407479,130.412627639881,2.48,,14.0906467087323,99.8785393830042,37.53276284367884,30.8186866776807,100.0,0.037,83.1684547861223,48.6932462827684,0.0551400004777165
MO,"Macao SAR, China",1994,1996,1990,4,3,4,81.33779790407479,130.412627639881,2.48,,14.0906467087323,99.8785393830042,37.53276284367884,30.8186866776807,100.0,0.037,83.1684547861223,48.6932462827684,0.0551400004777165,81.35992079924675,125.366036122689,3.581,,12.8638096255922,99.9100036621094,39.66381868697628,25.8736774607246,100.0,0.28,83.6931352641516,48.9312813936091,0.0310808129742439,81.07387373360626,122.344072480498,4.261,,11.786826179732,99.9325876536988,35.83848825408741,18.6728233112953,100.0,0.727,80.6835274775247,45.2985622835555,0.0827656207366985
MO,"Macao SAR, China",1996,1998,1990,4,3,4,81.07387373360626,122.344072480498,4.261,,11.786826179732,99.9325876536988,35.83848825408741,18.6728233112953,100.0,0.727,80.6835274775247,45.2985622835555,0.0827656207366985,80.94743176744814,123.265644140025,3.225,,11.9166335984541,99.9534353925978,33.83472205767778,18.4900191508083,100.0,2.36,81.7549731716154,43.2808267628233,0.0317850356619106,80.02882530984738,124.887979200089,4.607,,12.3619332116317,99.9715700365331,23.47263870910485,16.1402150061773,100.0,7.0,78.3131419298925,39.4682008445354,-0.263207651767439
MO,"Macao SAR, China",1998,2000,1990,4,3,4,80.02882530984738,124.887979200089,4.607,,12.3619332116317,99.9715700365331,23.47263870910485,16.1402150061773,100.0,7.0,78.3131419298925,39.4682008445354,-0.263207651767439,79.46743762893972,132.256708202737,6.34,,12.3404173992814,99.9860147432315,11.16199071724334,15.6773182478404,100.0,9.21,76.6416940600871,35.9701093188594,0.1438789599419,80.22520117554784,147.76978681921,6.874,,11.4591572093365,99.9957926704194,14.8415670965441,10.2433461474792,100.0,13.6086,80.6960104475141,41.1407655379182,-0.0116623337686464
MO,"Macao SAR, China",2000,2002,2000,4,3,13,80.22520117554784,147.76978681921,6.874,,11.4591572093365,99.9957926704194,14.8415670965441,10.2433461474792,100.0,13.6086,80.6960104475141,41.1407655379182,-0.0116623337686464,80.55131266711591,150.023588329221,6.371,,9.82000290317898,99.9998984128371,13.805676485323328,9.20670634344607,100.0,22.5212,81.9131949484686,41.6660618377123,2.33234142624111,81.7248006192715,152.382640999662,6.278,,9.23336710570753,100.0,12.279167329903878,9.48328267477204,100.0,25.1719,84.9527186761229,44.0341100979399,5.34424158844924
MO,"Macao SAR, China",2002,2004,2000,4,3,13,81.7248006192715,152.382640999662,6.278,,9.23336710570753,100.0,12.279167329903878,9.48328267477204,100.0,25.1719,84.9527186761229,44.0341100979399,5.34424158844924,83.26387926968552,150.78839554326,5.995,,9.54994179630217,100.0,14.98261197565467,13.1525239239875,100.0,25.7421,85.0560116105039,48.5690961041317,6.13730012796971,86.57276170300193,148.903750204961,4.904,,8.41746503946968,100.0,27.517853033732592,15.3275866107611,100.0,31.4841,82.6134314024033,56.7075027523366,7.24868934401704
MO,"Macao SAR, China",2004,2006,2000,4,3,13,86.57276170300193,148.903750204961,4.904,,8.41746503946968,100.0,27.517853033732592,15.3275866107611,100.0,31.4841,82.6134314024033,56.7075027523366,7.24868934401704,87.15442435932408,136.372221937073,4.158,,10.9716162808602,100.0,35.251329061187825,24.8729661756403,100.0,34.8629,82.4400759636606,57.938715803521,14.5971664934488,88.30353129700181,128.785689078596,3.822,,14.1017023207354,100.0,36.260748664026885,32.6465793940209,100.0,46.4,77.9521736938512,61.8246592837817,19.6103756817311
MO,"Macao SAR, China",2006,2008,2000,4,3,13,88.30353129700181,128.785689078596,3.822,,14.1017023207354,100.0,36.260748664026885,32.6465793940209,100.0,46.4,77.9521736938512,61.8246592837817,19.6103756817311,89.74472746686027,130.670598794717,3.269,,13.7844932886133,100.0,36.77231903472782,35.9459039957889,100.0,47.327,82.4795351630776,63.6417624391791,28.8206055046707,89.6830045276256,126.607131209269,2.999,,11.8033195168377,100.0,39.70596754041216,29.6283777773825,100.0,49.24,84.9566233196354,63.1864515325636,18.9404463569425
MO,"Macao SAR, China",2008,2010,2000,4,3,13,89.6830045276256,126.607131209269,2.999,,11.8033195168377,100.0,39.70596754041216,29.6283777773825,100.0,49.24,84.9566233196354,63.1864515325636,18.9404463569425,90.05073421144994,113.55459255005,3.58,,7.31536109805833,100.0,28.218779968798984,18.376001438707,100.0,54.0,89.2497258915052,61.9734651374603,-1.91124126911204,93.49729623698876,119.938411439898,2.84,,4.80806668554439,100.0,32.56477864508183,12.4769927792723,100.0,55.198,93.9712232762282,68.1553518334985,12.8496394988665
