country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MP,Northern Mariana Islands,1980,1982,1980,-2,4,9,,,,,,86.7286473375822,,,,,,,,,,,,,86.9048000240094,,,,,,,,,,,,,87.1973593617195,,,,,,,
MP,Northern Mariana Islands,1982,1984,1980,-2,4,9,,,,,,87.1973593617195,,,,,,,,,,,,,87.5696886875319,,,,,,,,,,,,,87.9899433589241,,,,,,,
MP,Northern Mariana Islands,1984,1986,1980,-2,4,9,,,,,,87.9899433589241,,,,,,,,,,,,,88.4262787333734,,,,,,,,,,,,,88.8468501683574,,,,,,,
MP,Northern Mariana Islands,1986,1988,1980,-2,4,9,,,,,,88.8468501683574,,,,,,,,,,,,,89.2198130213533,,,,,,,,,,,,,89.5133226498388,,,,,,,
MP,Northern Mariana Islands,1988,1990,1980,0,6,7,,,,,,89.5133226498388,,,,,,,,,,,,,89.6955344112911,,,,,,,,,,,,,89.7384626797676,,,99.8532638549805,0.0,,,
MP,Northern Mariana Islands,1990,1992,1990,0,6,7,,,,,,89.7384626797676,,,99.8532638549805,0.0,,,,,,,,,89.7144497477592,,,99.8843765258789,,,,,,,,,,89.6693094968231,,,99.9150314331055,,,,
MP,Northern Mariana Islands,1992,1994,1990,-2,4,9,,,,,,89.6693094968231,,,99.9150314331055,,,,,,,,,,89.617537095238,,,99.9449234008789,,,,,,,,,,89.5732787274411,,,99.9716415405273,,,,
MP,Northern Mariana Islands,1994,1996,1990,-2,4,9,,,,,,89.5732787274411,,,99.9716415405273,,,,,,,,,,89.5508930843623,,,100.0,,,,,,,,,,89.5865309072347,,,100.0,,,,
MP,Northern Mariana Islands,1996,1998,1990,-2,4,9,,,,,,89.5865309072347,,,100.0,,,,,,,,,,89.708154992241,,,100.0,,,,,,,,,,89.8728262435101,,,100.0,,,,
MP,Northern Mariana Islands,1998,2000,1990,-2,4,9,,,,,,89.8728262435101,,,100.0,,,,,,,,,,90.0362235307544,,,100.0,,,,,,,,,,90.1578212649113,,,100.0,,,,
MP,Northern Mariana Islands,2000,2002,2000,1,6,7,,,,,,90.1578212649113,,,100.0,,,,,,,,,,90.2518305832026,,,100.0,,,,,24066.5361573445,151.947040498442,,,,90.3408350832433,,,99.9,,,,
MP,Northern Mariana Islands,2002,2004,2000,1,6,7,24066.5361573445,151.947040498442,,,,90.3408350832433,,,99.9,,,,,24650.0405531909,152.703793381759,,,,90.4244081904616,,,99.9,,,,,24445.4618441919,178.099173553719,,,,90.5036416127499,,,99.8,,,,
MP,Northern Mariana Islands,2004,2006,2000,0,-1,7,24445.4618441919,178.099173553719,,,,90.5036416127499,,,99.8,,,,,21882.2927935415,174.552309142319,,,,90.5796270580004,,,99.8,,,,,20940.1619770428,159.69696969697,,,,90.6534562341057,,,99.7,,,,
MP,Northern Mariana Islands,2006,2008,2000,1,0,7,20940.1619770428,159.69696969697,,,,90.6534562341057,,,99.7,,,,,20117.7037335229,128.571428571429,,,,90.726220848958,,,100.0,,,,,18451.3905458787,100.851970181044,,,,90.7990126104496,,,100.0,,,,
MP,Northern Mariana Islands,2008,2010,2000,1,1,2,18451.3905458787,100.851970181044,,,,90.7990126104496,,,100.0,,,,,15710.5807282039,84.5283018867925,,,,90.8729232264729,,,100.0,,,,,16293.3059496259,92.6157697121402,,,,90.9488180328106,,,100.0,,,,
MP,Northern Mariana Islands,2010,2012,2010,0,-4,2,16293.3059496259,92.6157697121402,,,,90.9488180328106,,,100.0,,,,,15226.1308805108,105.075445816187,,,,91.0253367901352,,,100.0,,,,,15457.4258192247,114.879356568365,,,,91.1011927559234,,,100.0,,,,
MP,Northern Mariana Islands,2012,2014,2010,2,5,2,15457.4258192247,114.879356568365,,,,91.1011927559234,,,100.0,,,,,16015.0349164338,120.077720207254,,,,91.1764941872129,,,100.0,,,,,16869.5270385638,119.831730769231,,,,91.2512344351276,,,100.0,,,,
MP,Northern Mariana Islands,2014,2016,2010,1,3,2,16869.5270385638,119.831730769231,,,,91.2512344351276,,,100.0,,,,,17665.1007493109,122.747252747253,,,,91.3254068507915,,,100.0,,,,,23158.5744988538,152.845528455285,,,,91.3990047853283,,,100.0,,,,
MP,Northern Mariana Islands,2016,2018,2010,0,5,7,23158.5744988538,152.845528455285,,,,91.3990047853283,,,100.0,,,,,28989.3470221339,131.410256410256,,,,91.4720215898621,,,100.0,,,,,23756.6075820248,108.762490392006,,,,91.5444506155168,,,100.0,,,,
MP,Northern Mariana Islands,2018,2020,2010,1,0,7,23756.6075820248,108.762490392006,,,,91.5444506155168,,,100.0,,,,,21451.4401636511,104.749787955895,,,,91.6162852134162,,,100.0,,,,,15410.1186923944,78.9838337182448,,,,91.6908367362908,,,100.0,,,,
MP,Northern Mariana Islands,2020,2022,2020,2,4,2,15410.1186923944,78.9838337182448,,,,91.6908367362908,,,100.0,,,,,16365.016735395,78.8840262582057,,,,91.7842137303802,,,100.0,,,,,19461.8611129744,93.1569343065693,,,,91.8785788645608,,,100.0,,,,
