country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MR,Mauritania,1980,1982,1980,2,-4,7,34.36128810238286,75.2259428941296,,23.5066875542808,27.2100465741492,28.6626283467288,,40.7425420004418,,,44.8882920754358,-7.05488304253091,2.58549806568321,34.445700660376914,87.4851094359887,,24.1861191269833,26.9018260202443,30.6686954803593,,49.4098716181766,,,43.2072149780325,-1.89398615117263,1.12566237538725,33.60638161494299,90.2593425499321,,24.7375774662151,23.6324747312687,32.6568464403754,,52.8224685326114,,,44.9172066665698,-10.9005633644801,1.35016378791607
MR,Mauritania,1982,1984,1980,2,-4,7,33.60638161494299,90.2593425499321,,24.7375774662151,23.6324747312687,32.6568464403754,,52.8224685326114,,,44.9172066665698,-10.9005633644801,1.35016378791607,33.73278472027586,88.9543855131061,,24.8618749882015,21.1370930866788,34.5444788789581,,76.0608529205024,,,46.2989567723798,-5.17384202761387,0.117435253714541,32.747280045231435,86.6494944359305,,21.0645434728197,25.3809351307069,36.248990448288,,44.1125424109673,,,45.986132217113,-3.70621701904433,0.793597612275074
MR,Mauritania,1984,1986,1980,2,-4,7,32.747280045231435,86.6494944359305,,21.0645434728197,25.3809351307069,36.248990448288,,44.1125424109673,,,45.986132217113,-3.70621701904433,0.793597612275074,32.75771100270831,103.285903291031,,16.5013235635236,32.5835940525723,37.6877788005462,,53.6774156749723,,,42.9701660503317,6.46392477436947,0.691209995208202,33.185924733021146,99.2900625902412,,19.6513678509434,31.1048899953509,38.7782415879134,38.69725456157037,56.7389052378703,,,41.7399721400301,6.92566443275227,0.378446603010545
MR,Mauritania,1986,1988,1980,2,-4,7,33.185924733021146,99.2900625902412,,19.6513678509434,31.1048899953509,38.7782415879134,38.69725456157037,56.7389052378703,,,41.7399721400301,6.92566443275227,0.378446603010545,33.026415998168794,84.8996437994898,,23.8921355889506,26.7740621467341,39.4377764625706,39.32861800119517,53.9588142910135,,,41.9603618830026,10.7369980339856,0.124821841041106,32.83715191269366,83.3783659398771,,24.1161280548567,27.181287909136,39.5978084182184,28.736747740982683,53.3324638058835,,,41.1754831703928,14.9383665478192,0.136162491646269
MR,Mauritania,1988,1990,1980,2,-4,7,32.83715191269366,83.3783659398771,,24.1161280548567,27.181287909136,39.5978084182184,28.736747740982683,53.3324638058835,,,41.1754831703928,14.9383665478192,0.136162491646269,33.182083120999565,78.6897916288234,,23.7691248962513,29.9317393452594,39.5580531476613,42.57138907200304,35.4098251149846,,,39.3953034269937,11.3747972023937,0.239048416799853,32.490846357730575,78.1245487729656,,21.8860693371131,28.8129444720709,39.4704976683562,37.89460794467938,38.0412024485197,,0.0,41.8875649632638,4.80575674017498,0.44702077877301
MR,Mauritania,1990,1992,1990,0,-1,10,32.490846357730575,78.1245487729656,,21.8860693371131,28.8129444720709,39.4704976683562,37.89460794467938,38.0412024485197,,0.0,41.8875649632638,4.80575674017498,0.44702077877301,32.307034427905336,55.8168511676471,9.971,28.5916900971699,24.908699291351,39.3450673960873,36.83916139190087,32.8404720008729,,,41.1014961581974,16.035246748763,0.10637858211175,31.99188207324254,42.3279201206499,10.052,28.5455378942957,24.1266757241121,39.1911119053361,40.846459186448,39.3856672228845,,,41.9072303497001,12.262498626374,0.348815247683938
MR,Mauritania,1992,1994,1990,2,-4,7,31.99188207324254,42.3279201206499,10.052,28.5455378942957,24.1266757241121,39.1911119053361,40.846459186448,39.3856672228845,,,41.9072303497001,12.262498626374,0.348815247683938,32.25789758668874,46.0763040408496,9.85,28.647255294838,25.1126653808905,39.0179807705844,40.29274575525098,27.2960548760812,,,40.1238358715704,6.71415212936367,0.871080747655171,31.21715619097588,62.6858836744371,9.979,27.9385375966849,25.3024009151772,38.8350235663137,34.85876540904613,93.5474633042541,,,40.8465077401675,42.6635984063204,0.106932671881943
MR,Mauritania,1994,1996,1990,2,-4,7,31.21715619097588,62.6858836744371,9.979,27.9385375966849,25.3024009151772,38.8350235663137,34.85876540904613,93.5474633042541,,,40.8465077401675,42.6635984063204,0.106932671881943,32.27684749529317,73.416940256179,9.766,28.1339796728338,25.6196011901762,38.6515898670056,37.83709427768851,38.8245673019443,,,39.9445062226191,16.4093502528809,0.334144059448081,32.86534443060846,70.4558897549272,9.764,27.198029562577,25.80452703493,38.4770292471417,35.64907192340886,33.5806023436423,,,40.5942508377695,7.93625862849095,-0.0204278717567514
MR,Mauritania,1996,1998,1990,0,-1,10,32.86534443060846,70.4558897549272,9.764,27.198029562577,25.80452703493,38.4770292471417,35.64907192340886,33.5806023436423,,,40.5942508377695,7.93625862849095,-0.0204278717567514,31.84845170688949,62.7495635657126,9.788,25.0466548108579,26.8540873138344,38.3206912812037,35.572687728037664,28.8454982608704,,0.00417,41.6795502439938,3.03045823434203,-0.160710691213042,31.871943093075387,51.3910125506772,9.975,25.9413402138283,33.5387615872984,38.1919255436732,39.22619462490304,26.6190550696786,,0.0406,35.98263021651,7.28963077573174,0.0065265900365071
MR,Mauritania,1998,2000,1990,0,-1,10,31.871943093075387,51.3910125506772,9.975,25.9413402138283,33.5387615872984,38.1919255436732,39.22619462490304,26.6190550696786,,0.0406,35.98263021651,7.28963077573174,0.0065265900365071,32.021371132000866,49.016938039756,10.033,26.2766556315337,32.4093951666799,38.1000816090317,34.776953093410135,28.8193727516557,,0.118,36.6469802431395,7.2621802012667,0.761331718749145,30.93662703455954,58.9403747670668,10.03,24.8287452979645,29.9518502588297,38.0555858542174,33.41658605178978,31.9102667716251,19.1,0.192031,40.367653425841,3.38965754836119,2.25319074953564
MR,Mauritania,2000,2002,2000,-1,-1,2,30.93662703455954,58.9403747670668,10.03,24.8287452979645,29.9518502588297,38.0555858542174,33.41658605178978,31.9102667716251,19.1,0.192031,40.367653425841,3.38965754836119,2.25319074953564,30.41327045754431,60.7012124604715,10.132,24.8689597080936,29.0361452374828,38.1070763150421,35.69456175850364,32.2425519673045,22.2,0.261449,41.2732318333519,2.88132484883692,4.39273814893831,30.279002772862235,56.7855296001806,10.201,24.2300169627578,28.4202988789773,38.3900378438208,34.50065007195137,41.9800303843813,21.7,0.363229,42.0579788251562,2.30548733436202,3.78943003870853
MR,Mauritania,2002,2004,2000,2,-4,6,30.279002772862235,56.7855296001806,10.201,24.2300169627578,28.4202988789773,38.3900378438208,34.50065007195137,41.9800303843813,21.7,0.363229,42.0579788251562,2.30548733436202,3.78943003870853,30.984608088552424,55.3180243332438,9.911,24.1788498451535,26.7345509917915,38.8866922319919,36.26316761419228,47.55897247437,23.0,0.424005,43.3594627143196,4.406849576504,4.97077585567831,31.34849198698725,75.2188046787959,9.77,22.9178992193284,27.5321174229442,39.5685575664461,41.00128622040422,44.7763843098258,24.3,0.48147,42.8464291437464,6.57353368739472,17.1048404222648
MR,Mauritania,2004,2006,2000,2,-4,6,31.34849198698725,75.2188046787959,9.77,22.9178992193284,27.5321174229442,39.5685575664461,41.00128622040422,44.7763843098258,24.3,0.48147,42.8464291437464,6.57353368739472,17.1048404222648,32.27555481177083,88.2350995596491,9.59,20.0701967217813,33.1903258148872,40.407151934074,42.11094043360688,40.7268979575153,18.2,0.669966,40.6837476533578,14.1767345430616,27.6520361298831,34.56760037798634,82.7885012130323,9.313,16.6071438940053,43.8696653715372,41.3739934217664,37.5210112338754,36.396607225657,27.0,0.979661,34.0804263088307,27.9403622303364,3.94434472704714
MR,Mauritania,2006,2008,2000,2,-4,6,34.56760037798634,82.7885012130323,9.313,16.6071438940053,43.8696653715372,41.3739934217664,37.5210112338754,36.396607225657,27.0,0.979661,34.0804263088307,27.9403622303364,3.94434472704714,33.833343444492186,86.0640556779132,9.482,18.4325192807889,37.0052476945385,42.4406001164139,38.5314917128588,42.2075356620944,33.0,1.43361,38.304859791134,23.126128853504,3.2067650776131,33.32036900574768,94.1202110004251,9.715,18.5594231007108,36.4890884436152,43.5784901049073,38.6175132694825,37.2007686040685,30.0,1.87,39.238285130247,22.1054175042795,6.58359348707617
