country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
MU,Mauritius,1980,1982,1980,-1,1,10,40.40323960205272,111.094754725473,,10.3697514112625,21.6925215517876,42.1390971611,51.26774094393024,23.0085950350551,,,51.7693388288739,11.6642401662037,0.102109154006487,41.080585978899045,98.5844885486495,,12.1490884417306,20.9637015354922,41.910051792702,43.37486502945565,21.6499268969583,,,51.6022141530627,15.9228955014998,0.0579908777836998,41.74113478104218,95.8354589069513,,12.8756807277516,20.7189058508003,41.7564953141956,41.68183775020717,17.6725029596591,,,50.7284989718214,16.4763848216112,0.159894074403044
MU,Mauritius,1982,1984,1980,-2,1,10,41.74113478104218,95.8354589069513,,12.8756807277516,20.7189058508003,41.7564953141956,41.68183775020717,17.6725029596591,,,50.7284989718214,16.4763848216112,0.159894074403044,41.65528690629635,92.4015879925391,,11.3259978588579,20.0698228270274,41.7000043374146,36.79342829985529,17.781430085579,,,50.6538825742232,18.2054216063367,0.14689007462732,42.22252405966085,99.3517308494726,,11.9285292727495,21.9056171206943,41.8205833667794,38.65673101733408,17.8309524555212,,,48.9646887083022,19.7710208590883,0.467246527064558
MU,Mauritius,1984,1986,1980,1,-1,9,42.22252405966085,99.3517308494726,,11.9285292727495,21.9056171206943,41.8205833667794,38.65673101733408,17.8309524555212,,,48.9646887083022,19.7710208590883,0.467246527064558,43.16737989394011,107.500725256864,,12.6055807633429,24.0830125181906,42.1343581180541,37.993953251334894,18.406641717552,,,45.7256606022154,22.6149156435951,0.730328026584982,44.53230599410957,112.826073234371,,12.571847812229,26.015210173991,42.5641536016112,29.713467105300538,19.4838597568011,,,43.8061278748027,29.5375477998258,0.500870418368029
MU,Mauritius,1986,1988,1980,1,-1,9,44.53230599410957,112.826073234371,,12.571847812229,26.015210173991,42.5641536016112,29.713467105300538,19.4838597568011,,,43.8061278748027,29.5375477998258,0.500870418368029,45.77531659333138,125.386342839662,,11.9805469230489,26.8126351062591,43.0327927506756,25.46843085826806,21.081037173335,,,45.5105985121737,28.6096277366771,0.900272335438822,46.71637808797756,132.624947540952,,10.8018140035429,26.8531720100814,43.4630984984724,40.13409589345115,27.8301513658158,,,46.7642864854018,27.0395945219298,1.09738174112426
MU,Mauritius,1988,1990,1980,2,0,9,46.71637808797756,132.624947540952,,10.8018140035429,26.8531720100814,43.4630984984724,40.13409589345115,27.8301513658158,,,46.7642864854018,27.0395945219298,1.09738174112426,47.29270251799987,133.930350743087,,10.2633279585915,26.8519025325183,43.7778937782264,42.42453570403524,25.7398690206802,,,48.0101934844253,24.8028112181558,1.61912082862749,48.28906181998514,135.290500660691,,10.7427817711228,27.4148585579795,43.9000015220485,42.87303149484716,30.1768592741694,99.0415649414063,0.0,45.4404157682589,24.034973055805,1.52610550240963
MU,Mauritius,1990,1992,1990,1,-1,10,48.28906181998514,135.290500660691,,10.7427817711228,27.4148585579795,43.9000015220485,42.87303149484716,30.1768592741694,99.0415649414063,0.0,45.4404157682589,24.034973055805,1.52610550240963,48.810674472370295,126.648911355451,9.493,9.83645990422808,27.7983100243414,43.8646127219959,38.29117184678229,28.0717841598748,99.0706787109375,,46.4226282159754,25.4837411503229,0.600189963674533,49.60957355025188,120.232699481499,9.428,9.8796262146376,28.1927656685727,43.7659935577684,35.59757590063795,27.2308602230323,99.0996780395508,,46.903259790753,26.8080218069416,0.450294996999827
MU,Mauritius,1992,1994,1990,2,0,10,49.60957355025188,120.232699481499,9.428,9.8796262146376,28.1927656685727,43.7659935577684,35.59757590063795,27.2308602230323,99.0996780395508,,46.903259790753,26.8080218069416,0.450294996999827,50.21296432089252,120.896356052865,9.5,9.02941361193119,27.9891506673938,43.615496644887,41.102589152794806,27.5853930913218,99.1280059814453,,47.7958602081898,25.5018296136265,0.445454517512398,50.63737083702448,120.560175858082,9.513,8.55095891050522,27.7722345140889,43.4244745957928,38.59606783493902,29.9546917652566,99.1549682617188,,49.7215030138091,24.0622622947312,0.554303218876587
MU,Mauritius,1994,1996,1990,2,0,10,50.63737083702448,120.560175858082,9.513,8.55095891050522,27.7722345140889,43.4244745957928,38.59606783493902,29.9546917652566,99.1549682617188,,49.7215030138091,24.0622622947312,0.554303218876587,51.17146112965546,118.148720557781,9.59,9.07592069658642,28.0143908577396,43.2042800229269,37.29203923882219,23.1753817739089,99.1798858642578,,50.3618659063811,24.1770668339892,0.45650892153957,51.87771139473089,126.159212478576,9.503,8.942677325507,27.955269108976,42.9662655387302,37.844438094146014,24.5032258310761,99.2020950317383,0.184,50.8725209054269,25.0017825466851,0.818061230378169
MU,Mauritius,1996,1998,1990,2,0,10,51.87771139473089,126.159212478576,9.503,8.942677325507,27.955269108976,42.9662655387302,37.844438094146014,24.5032258310761,99.2020950317383,0.184,50.8725209054269,25.0017825466851,0.818061230378169,52.56236130955732,126.107505043338,9.381,8.1986559893348,26.8650533673372,42.7217837556441,38.12774096176466,25.4400430365305,99.2208938598633,0.476,51.9124516696445,25.5116172034862,1.3025692466794,53.33720772937046,130.442832961932,9.253,8.01967920304773,26.7490036838575,42.4821872861094,38.10549458574012,22.55633329341,99.2356185913086,2.57,51.8639512399731,25.9440532253707,0.288001173687631
MU,Mauritius,1998,2000,1990,2,0,10,53.33720772937046,130.442832961932,9.253,8.01967920304773,26.7490036838575,42.4821872861094,38.10549458574012,22.55633329341,99.2356185913086,2.57,51.8639512399731,25.9440532253707,0.288001173687631,53.54617405080528,128.954991253643,9.278,4.92997413686503,25.9477010773877,42.2588287425674,38.20205615714104,26.568506492187,99.2455062866211,4.65,55.0448152958312,24.633409116458,1.12110460501645,54.65021808274433,120.687648773646,9.125,5.62921764733664,25.640266746151,42.063123063288,34.96491325263854,22.243757462139,99.0,7.28154,55.2422252046632,26.8434311070925,5.62071802958224
