country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
MV,Maldives,1990,1992,1990,4,6,1,4582.26127944099,,,,,25.8521000475719,3.64991197717477,,,0.0,,,6.13,2.60411859208412,4507.19492955077,,0.799,,,25.8030978579167,14.7136770282735,,,0.0,,,5.796,2.65960970548328,4671.99639313801,,0.805,,,25.7170257695718,16.8559977535548,,,0.0,,,5.435,2.31679903683284
MV,Maldives,1992,1994,1990,6,2,1,4671.99639313801,,0.805,,,25.7170257695718,16.8559977535548,,,0.0,,,5.435,2.31679903683284,4803.909904607,,0.792,,,25.624629080355,20.1273593149248,,,0.0,,,5.063,2.14008010869873,5053.64633599107,,0.791,,,25.555709993512,3.38610098291493,,,0.0,,,4.688,2.45575828762777
MV,Maldives,1994,1996,1990,5,3,1,5053.64633599107,,0.791,,,25.555709993512,3.38610098291493,,,0.0,,,4.688,2.45575828762777,5580.26342049427,,0.79,,,25.5476431837694,5.48886133171504,,,0.0,,,4.292,1.81225837757684,5888.07241870662,,1.013,,,25.7015358485339,6.24124591476026,,,0.227,,,3.859,2.06829872568168
MV,Maldives,1996,1998,1990,5,3,1,5888.07241870662,,1.013,,,25.7015358485339,6.24124591476026,,,0.227,,,3.859,2.06829872568168,6254.75856992657,,1.24,,,26.0259604516629,7.57283467072592,,,0.309,,,3.477,2.24485508850185,6599.87173747822,,1.47,,,26.4739351451229,-1.40425233816792,,,0.57,,,3.171,2.13257608728799
MV,Maldives,1998,2000,1990,5,1,2,6599.87173747822,,1.47,,,26.4739351451229,-1.40425233816792,,,0.57,,,3.171,2.13257608728799,6889.01246088686,,1.71,,,27.0010708398356,2.95370836069129,,,1.12,,,2.899,2.09121158653824,7037.08546104613,,1.97,,,27.6038586493758,-1.17475681175946,,83.8,2.20387,,,2.691,3.57378188906309
MV,Maldives,2000,2002,2000,4,1,14,7037.08546104613,,1.97,,,27.6038586493758,-1.17475681175946,,83.8,2.20387,,,2.691,3.57378188906309,6647.6503820039,,3.083,,,28.5499181889238,0.67257737006247,,87.5,3.61729,,,2.532,2.36095464157791,7012.25568873173,,4.148,,,29.8881681908815,4.1786723990479,,88.3,5.34777,,,2.425,2.75560074067064
MV,Maldives,2002,2004,2000,0,1,11,7012.25568873173,,4.148,,,29.8881681908815,4.1786723990479,,88.3,5.34777,,,2.425,2.75560074067064,7845.29307409315,,5.134,5.31119305526257,12.3754592426367,31.3913356462169,-1.26065113450354,,89.1,5.97659,73.0853754797306,,2.342,3.02003609060425,8174.41607301248,,6.1,5.58419966027205,11.0588124850619,32.8541942827704,-1.68541212459466,,90.0,6.58825,73.0358466132005,,2.262,4.31467445406402
MV,Maldives,2004,2006,2000,0,1,11,8174.41607301248,,6.1,5.58419966027205,11.0588124850619,32.8541942827704,-1.68541212459466,,90.0,6.58825,73.0358466132005,,2.262,4.31467445406402,7141.88377049891,,7.328,7.72803149548683,11.7319295235534,34.0715178283824,1.30027500930997,,90.9,6.86961,69.5749976187982,,2.199,4.55499673617996,8620.72814678183,,8.392,6.59515824761547,9.51763413160835,34.8678636610379,2.73842131602099,,91.7,11.0364,72.9062181385384,,2.204,4.05198051459747
MV,Maldives,2006,2008,2000,0,1,11,8620.72814678183,,8.392,6.59515824761547,9.51763413160835,34.8678636610379,2.73842131602099,,91.7,11.0364,72.9062181385384,,2.204,4.05198051459747,8933.17166363858,,9.447,6.16535561061297,8.74551358978161,35.4340781469745,6.79477353930168,,92.6,16.3,74.1194230569246,,2.293,7.08805679103643,9396.49733610486,,10.242,6.87564686871737,11.4493071607222,35.9335121678807,12.0414583505108,,93.6,23.2,72.1949374958895,,2.371,7.97903444514319
MV,Maldives,2008,2010,2000,0,1,11,9396.49733610486,,10.242,6.87564686871737,11.4493071607222,35.9335121678807,12.0414583505108,,93.6,23.2,72.1949374958895,,2.371,7.97903444514319,8313.4098369723,,11.697,5.41948164022105,9.62024682960619,36.3718272129661,4.53017659132801,,99.9,24.8,77.9264501620872,,2.39,6.73534012537353,8569.52494600725,,10.881,5.63412071744814,9.43175572799709,36.7646137762553,6.14988536750173,,99.0,26.53,77.6940062981947,,2.349,8.36376433060736
