country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
MW,Malawi,1990,1992,1990,6,-3,2,353.771303717595,,,32.0079380181256,29.1177870132897,11.6249250633042,11.8235380454151,,,0.0,28.2546238490966,,6.74,0.851269713577574,372.997561772469,,4.923,32.9769811818939,28.7570291634613,12.0309417751603,12.6153153828849,,,,33.0445035110944,,6.681,-0.894977694716043,335.726543539643,,5.073,29.055173190171,33.4379516986835,12.4490553160965,23.7513530230399,,3.2,,31.5665968084055,,6.63,-0.271112625037052
MW,Malawi,1992,1994,1990,8,0,2,335.726543539643,,5.073,29.055173190171,33.4379516986835,12.4490553160965,23.7513530230399,,3.2,,31.5665968084055,,6.63,-0.271112625037052,362.930995399017,,5.002,37.248077677665,26.0213810363464,12.8652119156892,22.7727102336625,,1.55355584621429,,32.4399445014388,,6.573,0.265481499026151,329.584099900642,,5.349,18.5822645495304,22.7752399662623,13.2653578035145,34.6496361508324,,2.01366138458252,,51.7595081156751,,6.488,1.45317343859014
MW,Malawi,1994,1996,1990,7,0,2,329.584099900642,,5.349,18.5822645495304,22.7752399662623,13.2653578035145,34.6496361508324,,2.01366138458252,,51.7595081156751,,6.488,1.45317343859014,385.279714072363,,4.914,22.3443422581962,20.4649438725609,13.6354392091488,83.3257747543458,,2.47172713279724,,49.55822763556,,6.392,0.277476590586289,405.397063690478,,4.955,26.1318131267678,20.6414758960251,13.9614023621682,37.6020450235016,,2.92707347869873,,47.8855293974102,,6.285,0.47589426589626
MW,Malawi,1996,1998,1990,7,0,2,405.397063690478,,4.955,26.1318131267678,20.6414758960251,13.9614023621682,37.6020450235016,,2.92707347869873,,47.8855293974102,,6.285,0.47589426589626,412.4131068375,,4.723,25.210732634324,19.8213745887778,14.2291934921491,9.13735243003495,,3.37902021408081,0.00467,52.1755541825247,,6.231,0.383630956028333,419.313245170577,,4.935,26.774421297201,19.4927025817737,14.4227423983849,29.7486512828264,,3.82688760757446,0.0181,48.2887064536368,,6.205,0.475121088003641
MW,Malawi,1998,2000,1990,7,0,2,419.313245170577,,4.935,26.774421297201,19.4927025817737,14.4227423983849,29.7486512828264,,3.82688760757446,0.0181,48.2887064536368,,6.205,0.475121088003641,422.099909963762,,5.009,28.6122410888132,19.5355403517942,14.5596934738978,44.8041642861674,,4.26991271972656,0.0873,46.8659030626791,,6.124,2.26460373648876,418.592985038462,,5.048,29.6608890123553,19.0442214399711,14.6770603287659,29.5814884631684,,4.8,0.126781,45.5596539072455,,6.002,1.02470810251001
MW,Malawi,2000,2002,2000,7,0,9,418.592985038462,,5.048,29.6608890123553,19.0442214399711,14.6770603287659,29.5814884631684,,4.8,0.126781,45.5596539072455,,6.002,1.02470810251001,388.260039763569,,5.209,29.3463400754759,17.8929694043274,14.780400724713,22.7,,5.2,0.164021,47.8472542285068,,5.943,0.772615057834218,385.308980237095,,5.233,32.287184795846,19.8051602224861,14.8722487440558,14.7446346101603,,5.6,0.215095,47.1018174090037,,5.903,0.115974414290585
MW,Malawi,2002,2004,2000,7,0,9,385.308980237095,,5.233,32.287184795846,19.8051602224861,14.8722487440558,14.7446346101603,,5.6,0.215095,47.1018174090037,,5.903,0.115974414290585,397.224846758815,,5.157,30.1281788478073,21.1842295520251,14.9551384691108,9.57679786919214,,6.2,0.278815,45.9888017430968,,5.875,1.41089085148224,408.064916052765,,4.971,28.8733040048574,18.4439345804436,15.0316039821946,11.4298060822124,,6.9,0.347505,46.4939592314372,,5.864,2.13119600751874
MW,Malawi,2004,2006,2000,7,0,9,408.064916052765,,4.971,28.8733040048574,18.4439345804436,15.0316039821946,11.4298060822124,,6.9,0.347505,46.4939592314372,,5.864,2.13119600751874,410.267979592536,,4.944,27.3766782308788,17.5211453129149,15.1041793656241,15.4103446604296,,6.6,0.384489,47.8108177015335,,5.848,2.62567004771803,417.877689776503,,4.96,25.6738776075689,19.2118062737994,15.1753987017157,13.9742943548388,,3.7,0.425137,48.8725353335126,,5.802,0.611208219192404
MW,Malawi,2006,2008,2000,6,0,9,417.877689776503,,4.96,25.6738776075689,19.2118062737994,15.1753987017157,13.9742943548388,,3.7,0.425137,48.8725353335126,,5.802,0.611208219192404,445.254305419586,,4.888,22.8824872507399,21.2991638406833,15.2477960727861,7.9522099086403,,7.4,0.965865,49.5765681184685,,5.724,1.92814440747221,465.55147298007,,4.814,24.9323563197161,18.9378891840899,15.3238029928378,8.71260186609043,,7.8,0.7,49.887973712386,,5.609,2.5237027903489
MW,Malawi,2008,2010,2000,6,0,9,465.55147298007,,4.814,24.9323563197161,18.9378891840899,15.3238029928378,8.71260186609043,,7.8,0.7,49.887973712386,,5.609,2.5237027903489,489.631418790158,,4.754,25.3093021258133,18.0681311857964,15.4015312766848,8.42204427696655,,8.3,1.07,50.3807859032207,,5.453,0.545293920588433,508.088650552846,,4.798,24.6321400620979,17.9317288193438,15.4776969380518,7.41159092883827,,8.7,2.26,51.1943503329606,,5.263,0.957814621345542
