country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
MX,Mexico,1990,1992,1990,0,4,5,8036.86114412537,38.5196964133297,,6.66709637889891,26.146929748992,71.4590077199915,26.6516725646771,17.979459106598,,0.0,59.6939619136249,21.6024623466267,3.444,1.00821547984529,8197.01179494896,35.7865351574196,3.145,6.49698974856723,25.7497952510099,71.859396420455,22.662359455061,18.7310274356321,,0.00588,60.3786860228101,20.087823688762,3.363,1.52072722395263,8330.26426802488,35.553495904112,3.235,5.99898080999225,25.7259806632477,72.2406081339013,15.5078962533573,19.6225950179852,93.145981,0.0173,61.8075913460711,18.1562223250923,3.285,1.20966687256407
MX,Mexico,1992,1994,1990,0,4,5,8330.26426802488,35.553495904112,3.235,5.99898080999225,25.7259806632477,72.2406081339013,15.5078962533573,19.6225950179852,93.145981,0.0173,61.8075913460711,18.1562223250923,3.285,1.20966687256407,8411.79621338297,26.1631235736702,3.365,4.79415018964099,32.9883591467475,72.6055064486481,9.75146045357553,20.055415222994,95.4484634399414,0.0283,58.2260491853733,20.3486052478262,3.211,0.827862094071089,8623.48043007968,29.1584721341582,4.436,4.36384871230824,32.5699823014539,72.9565584912625,6.96581237191123,21.6662652273206,95.238294,0.0433,58.6574540751997,20.7853608765787,3.132,1.98196140419983
MX,Mexico,1994,1996,1990,0,4,5,8623.48043007968,29.1584721341582,4.436,4.36384871230824,32.5699823014539,72.9565584912625,6.96581237191123,21.6662652273206,95.238294,0.0433,58.6574540751997,20.7853608765787,3.132,1.98196140419983,7970.64038496182,43.6658317263397,7.095,4.13057186640945,33.2922227105508,73.2962313883119,34.9992712889592,16.2136300913179,95.8944625854492,0.103,58.7641712140153,23.1590191755255,3.044,2.50587999844817,8320.65295694833,47.7678235339067,5.465,4.57994422900289,34.3418670664771,73.6269922663634,34.3783832235168,17.7149734982107,96.093624,0.2,57.3630164009418,23.4870303198527,2.964,2.12551917782763
MX,Mexico,1996,1998,1990,0,4,5,8320.65295694833,47.7678235339067,5.465,4.57994422900289,34.3418670664771,73.6269922663634,34.3783832235168,17.7149734982107,96.093624,0.2,57.3630164009418,23.4870303198527,2.964,2.12551917782763,8770.84481553539,46.4918755715735,4.235,4.21889006913233,34.7740825679809,73.9513082519844,20.6256287259247,19.394799246083,96.3295822143555,0.627,56.7693180620841,23.2678478172849,2.886,2.4510099356897,9161.89527783381,48.0318841400179,3.733,3.90764746379543,34.1578193478136,74.2716464717421,15.9283950119353,21.0153555461506,96.092755,1.27,57.2569163100178,23.8993968328078,2.815,2.28836855124077
MX,Mexico,1998,2000,1990,0,4,5,9161.89527783381,48.0318841400179,3.733,3.90764746379543,34.1578193478136,74.2716464717421,15.9283950119353,21.0153555461506,96.092755,1.27,57.2569163100178,23.8993968328078,2.815,2.28836855124077,9264.97729259968,48.0122495761105,2.598,3.49017753869546,34.2460385348222,74.5904740522037,16.5856169707538,20.8990237565587,96.7482986450195,1.86,57.3594574554416,23.557889272035,2.763,2.20848433629662,9581.96970210753,49.9104091872497,2.646,3.15926513097762,34.3868003217864,74.9203113970256,9.49156149435403,21.230361512511,98.0,5.08138,58.0223867389803,21.9537934663786,2.714,2.47719212470142
MX,Mexico,2000,2002,2000,0,4,9,9581.96970210753,49.9104091872497,2.646,3.15926513097762,34.3868003217864,74.9203113970256,9.49156149435403,21.230361512511,98.0,5.08138,58.0223867389803,21.9537934663786,2.714,2.47719212470142,9398.35074355724,44.7401090123173,2.627,3.22549035188036,33.3084037583111,75.2907557567987,6.36773806235037,19.6734365305226,97.1,7.03802,58.7431527357698,21.3876849970715,2.671,3.77607805696573,9242.27886130016,45.209829259652,3.003,3.11036172325334,32.864500489183,75.6840752828994,5.03072733151295,19.3679310017379,97.9,11.9,59.1238892356495,20.5026627003638,2.633,2.48685750053046
MX,Mexico,2002,2004,2000,0,4,9,9242.27886130016,45.209829259652,3.003,3.11036172325334,32.864500489183,75.6840752828994,5.03072733151295,19.3679310017379,97.9,11.9,59.1238892356495,20.5026627003638,2.633,2.48685750053046,9221.99666693097,48.700416880838,3.455,3.20735540720265,31.5006616862482,76.046170340551,4.54690012118718,20.1040413113799,97.4,12.9,60.5312030385874,18.852446055811,2.579,2.37188032095091,9421.28975988024,52.0406200335632,3.937,3.18594698304908,33.0062868258443,76.3274397419019,4.68840884843143,20.780907227933,98.6,14.1,59.5869309292277,20.0649413955422,2.536,3.06821035154364
MX,Mexico,2004,2006,2000,0,4,9,9421.28975988024,52.0406200335632,3.937,3.18594698304908,33.0062868258443,76.3274397419019,4.68840884843143,20.780907227933,98.6,14.1,59.5869309292277,20.0649413955422,2.536,3.06821035154364,9491.51730225718,52.5626446517886,3.558,2.94567227515179,33.0531376314209,76.4748624380269,3.98805714597437,20.7103497137228,98.9,17.21,60.0439876595723,18.6970264218082,2.495,2.74220134218643,9813.8280424425,54.4821160886169,3.566,2.9429551635864,34.3856666700872,76.4982455683657,3.62946762439132,21.6799481845682,99.1,19.52,59.0671808513914,20.8335763216609,2.456,2.16893035275929
MX,Mexico,2006,2008,2000,0,4,9,9813.8280424425,54.4821160886169,3.566,2.9429551635864,34.3856666700872,76.4982455683657,3.62946762439132,21.6799481845682,99.1,19.52,59.0671808513914,20.8335763216609,2.456,2.16893035275929,9877.69532644737,55.2585243944498,3.628,3.041865670976,34.0245019473839,76.5047326234761,3.96684905458235,22.3548818499295,97.9,20.81,59.303362048211,20.7291427362647,2.421,2.81398718018792,9826.3421836048,56.3652818862573,3.874,3.02875898082786,34.8480623925215,76.5090428271033,5.12498274575896,23.5591739620277,98.9,21.71,59.6814143877222,19.4660634129328,2.391,2.56307995916969
MX,Mexico,2008,2010,2000,2,-1,11,9826.3421836048,56.3652818862573,3.874,3.02875898082786,34.8480623925215,76.5090428271033,5.12498274575896,23.5591739620277,98.9,21.71,59.6814143877222,19.4660634129328,2.391,2.56307995916969,9074.1188145564,54.5917421313503,5.356,3.10059841918842,31.9993138894743,76.5143930040295,5.29735584228856,22.7743858105637,98.3,26.34,60.9462035455162,19.4973293776708,2.364,2.08311648626813,9389.06722084275,59.2733845293851,5.303,3.09200838670805,32.539487048306,76.5244441414713,4.15672722680174,22.5530971556916,99.2,31.05,60.4783490503534,18.1830895111486,2.34,2.76223720216686
