country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
MZ,Mozambique,1990,1992,1990,7,0,2,221.048981086396,,,,,23.1880130398699,,,,0.0,,,6.319,,227.4627362365,49.4808133334293,2.842,33.9358046835432,18.1285325582464,24.2437715438413,,,,,46.2738541889367,-1.88083075219595,6.276,0.583679324556942,206.194607588583,59.3371692453075,3.033,29.7148109072706,19.6771240794978,25.2341691598851,,,,,48.5929582222437,-6.17640665806729,6.218,0.903992265646509
MZ,Mozambique,1992,1994,1990,7,0,2,206.194607588583,59.3371692453075,3.033,29.7148109072706,19.6771240794978,25.2341691598851,,,,,48.5929582222437,-6.17640665806729,6.218,0.903992265646509,221.624579964898,55.2402685663295,2.899,33.0976707584857,14.9551445707171,26.1405953505588,,,,,49.8325133207745,-4.68261988920822,6.153,1.10989258107784,220.478583291331,58.7422249366162,2.881,30.1683585770011,17.1353343246115,26.9444395784199,,,,,51.0700331832141,-7.55443639521953,6.082,1.183188645742
MZ,Mozambique,1994,1996,1990,7,0,2,220.478583291331,58.7422249366162,2.881,30.1683585770011,17.1353343246115,26.9444395784199,,,,,51.0700331832141,-7.55443639521953,6.082,1.183188645742,212.086249862904,63.7735360253924,2.76,31.3465539242874,15.4693269155508,27.6270913060259,,,,,51.3714781039121,-1.96272331706701,6.019,1.46979753525989,227.198486695187,51.0292925616374,2.764,30.9538114615771,16.9422309414662,28.1699399959342,,,,0.00304,44.6562692925674,-1.80148696234885,5.973,1.79894221150183
MZ,Mozambique,1996,1998,1990,7,0,2,227.198486695187,51.0292925616374,2.764,30.9538114615771,16.9422309414662,28.1699399959342,,,,0.00304,44.6562692925674,-1.80148696234885,5.973,1.79894221150183,247.184945629196,43.2986819731024,2.7,30.1816369380595,18.3503185023245,28.5523811697494,,,6.6,0.0118,44.9046143413079,3.33762775741601,5.933,1.32138783006061,266.672705397492,39.0075460593046,2.64,26.9864037577365,21.7566494452469,28.8204506770301,,,3.66317558288574,0.0202,45.1638964312284,8.5633178740026,5.905,4.23157990347201
MZ,Mozambique,1998,2000,1990,6,1,2,266.672705397492,39.0075460593046,2.64,26.9864037577365,21.7566494452469,28.8204506770301,,,3.66317558288574,0.0202,45.1638964312284,8.5633178740026,5.905,4.23157990347201,291.560018665606,45.5276131355411,2.663,22.7981865556465,19.8149498260996,29.0471155729086,,,4.87912368774414,0.0563,42.5505992570302,16.5432924323208,5.875,6.07297785522003,287.390630344484,47.9208808015891,2.833,19.0391748514099,19.5292283612147,29.2423697311441,,,6.1,0.109593,45.3843932799378,15.7811595040437,5.83,2.3488011074454
MZ,Mozambique,2000,2002,2000,6,1,9,287.390630344484,47.9208808015891,2.833,19.0391748514099,19.5292283612147,29.2423697311441,,,6.1,0.109593,45.3843932799378,15.7811595040437,5.83,2.3488011074454,317.185703581034,50.4153095777265,2.839,18.2257286235893,21.3938558593765,29.4137097764239,,,5.7,0.160032,47.0298196369858,20.564620544871,5.755,4.52085884679156,340.13537022259,73.309162757423,2.903,22.734177349083,17.0821002587651,29.5686323334348,,,8.4,0.259613,50.0444497396591,10.2238180436686,5.667,5.83542740620485
MZ,Mozambique,2002,2004,2000,6,0,9,340.13537022259,73.309162757423,2.903,22.734177349083,17.0821002587651,29.5686323334348,,,8.4,0.259613,50.0444497396591,10.2238180436686,5.667,5.83542740620485,356.521157404125,70.1683599479183,2.859,22.7228305424377,18.8768129822828,29.7146340268639,,,8.1,0.419539,47.4111747462593,8.88196709768201,5.6,5.1142557345062,377.064958084878,72.0520001612374,2.955,22.4901289092367,19.8066623565294,29.8592114813982,,,10.7,0.679448,46.7802468120728,9.29505528380809,5.551,5.99090663119619
MZ,Mozambique,2004,2006,2000,6,0,9,377.064958084878,72.0520001612374,2.955,22.4901289092367,19.8066623565294,29.8592114813982,,,10.7,0.679448,46.7802468120728,9.29505528380809,5.551,5.99090663119619,391.699758163976,72.0092609780982,3.037,22.9214059867823,18.6061383452371,30.0098613217248,6.42755278070087,,11.8,0.854357,47.8301891535813,9.09612383911082,5.5,1.380320098608,420.526462764726,67.3498976872689,3.039,24.1133917238134,19.8162320132045,30.1740801725307,13.2450879070999,,13.0,0.842954,46.0372364063382,12.6644146394147,5.452,2.64086218183932
MZ,Mozambique,2006,2008,2000,6,0,9,420.526462764726,67.3498976872689,3.039,24.1133917238134,19.8162320132045,30.1740801725307,13.2450879070999,,13.0,0.842954,46.0372364063382,12.6644146394147,5.452,2.64086218183932,442.049574057751,66.1203821840516,3.084,24.0162173628877,19.5085348189008,30.3598131347122,8.48948675497455,,12.4,0.91,47.066127757555,12.8717890629913,5.466,3.85414645531421,460.94729485679,64.981416499828,3.114,26.8457517275753,17.1677445681711,30.5625357695184,14.5028053002268,,13.6,1.56,46.6288684700152,11.7413605560001,5.598,4.96426075394528
MZ,Mozambique,2008,2010,2000,6,0,9,460.94729485679,64.981416499828,3.114,26.8457517275753,17.1677445681711,30.5625357695184,14.5028053002268,,13.6,1.56,46.6288684700152,11.7413605560001,5.598,4.96426075394528,475.788178051193,67.898572768141,3.208,27.9106017225191,16.9004327987887,30.7715592059159,3.78861330914625,,15.0,2.68,46.0759228321161,7.82432257271699,5.681,7.58405403589617,494.162859074785,73.8373532681892,3.261,27.3093770922399,16.8681862980766,30.9861779822921,12.4255421735156,,18.9,4.17,46.4980980243579,8.09463346864614,5.66,11.0275561357338
MZ,Mozambique,2010,2012,2010,5,-1,2,494.162859074785,73.8373532681892,3.261,27.3093770922399,16.8681862980766,30.9861779822921,12.4255421735156,,18.9,4.17,46.4980980243579,8.09463346864614,5.66,11.0275561357338,514.869957191994,84.4062119333019,3.296,26.4848729989708,16.5093372512898,31.2062230032794,11.1666056127874,,20.2,4.6,47.0499217311335,7.75767255401594,5.599,25.0623636819297,540.2945177803,105.934588060511,3.305,25.5177066547282,16.8740038772507,31.4315251735105,2.60245456956618,,21.2,5.0,47.6027313250162,4.69071983671763,5.518,33.767102801243
MZ,Mozambique,2012,2014,2010,5,-1,2,540.2945177803,105.934588060511,3.305,25.5177066547282,16.8740038772507,31.4315251735105,2.60245456956618,,21.2,5.0,47.6027313250162,4.69071983671763,5.518,33.767102801243,559.393953685688,109.38537659913,3.346,24.2529090836336,16.4457246085988,31.6619153976179,4.26135250941963,,22.4,5.5,48.1774792195794,2.99804881766322,5.43,38.9428653441902,585.266716133984,116.356855242217,3.377,24.6554671607897,17.4884683555603,31.8972245802342,2.55974875844295,,24.8,6.0,47.4439817727919,2.86439410976658,5.304,27.8047100445849
MZ,Mozambique,2014,2016,2010,5,-1,2,585.266716133984,116.356855242217,3.377,24.6554671607897,17.4884683555603,31.8972245802342,2.55974875844295,,24.8,6.0,47.4439817727919,2.86439410976658,5.304,27.8047100445849,610.563774706589,98.7612036510901,3.426,23.5663164946958,18.6152107018236,32.1372836259918,3.55075967356746,,24.0,6.5,46.6230720271826,8.62917091643548,5.245,23.8654900431928,620.779714954555,110.394358201481,3.457,23.6272810887625,20.5669830121929,32.3819234395234,17.4180418197597,,26.2,7.0,44.7281700621036,6.64991245945536,5.188,25.9187724637849
MZ,Mozambique,2016,2018,2010,5,-1,2,620.779714954555,110.394358201481,3.457,23.6272810887625,20.5669830121929,32.3819234395234,17.4180418197597,,26.2,7.0,44.7281700621036,6.64991245945536,5.188,25.9187724637849,618.397694360334,105.745640702087,3.539,26.0749604736416,23.6070708049686,32.6274411492675,15.1132073899384,,24.3,7.79633,40.5397924322416,8.54559278208649,5.128,17.4831119319856,621.153734194787,124.607457525372,3.604,25.5425597958909,25.3339200589579,32.9902559073541,3.91133439990729,,31.1,10.9,39.3943049006571,12.4353813201372,5.07,11.1741431838994
MZ,Mozambique,2018,2020,2010,5,-2,1,621.153734194787,124.607457525372,3.604,25.5425597958909,25.3339200589579,32.9902559073541,3.91133439990729,,31.1,10.9,39.3943049006571,12.4353813201372,5.07,11.1741431838994,617.13932000195,105.591171401921,3.646,24.7697818145637,23.8882628185244,33.4177241517032,2.80270307928111,,29.7,12.4793,40.4529777243247,9.5390604369192,5.016,21.7841914901932,591.804059985932,99.906146051979,3.921,26.8819744087655,21.7539907155538,33.9044006416285,3.48393567493204,,30.6,14.2874,40.4876511190227,10.5002750377684,4.959,22.3944370320025
