country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
NE,Niger,1980,1982,1980,-2,-3,1,19.33708150893826,62.7102974227301,,43.0566059106658,22.9433968021645,13.6919540214464,40.95884616983353,25.4716984693841,,,33.9999972871697,14.5730315921157,1.95811325284129,18.83079285091225,60.3573157894737,,45.6518048733525,19.1557879681367,13.9531048025288,46.739968133292805,23.3259879835455,,,35.1924071585108,8.24771757958934,-0.281573138051492,18.699432558665315,57.0681085272408,,44.2986446903422,17.2549025148907,14.1976992678177,41.82112707322684,15.2036207503395,,,38.4464527947671,5.46313087932484,1.39849172611569
NE,Niger,1982,1984,1980,-3,-2,1,18.699432558665315,57.0681085272408,,44.2986446903422,17.2549025148907,14.1976992678177,41.82112707322684,15.2036207503395,,,38.4464527947671,5.46313087932484,1.39849172611569,17.594907721067734,47.7392587544749,,41.5805554859041,20.244505273523,14.4248625194702,12.599507486668353,13.2731764800927,,,38.1749392405729,6.45790430089772,0.0673846599359961,14.175599933689131,49.8757152725003,,35.7713392024181,21.5974935956618,14.633719659644,39.5053921105267,9.81989005820097,,,42.6311672019201,-0.899367798289094,0.0989819872245542
NE,Niger,1984,1986,1980,-3,-1,1,14.175599933689131,49.8757152725003,,35.7713392024181,21.5974935956618,14.633719659644,39.5053921105267,9.81989005820097,,,42.6311672019201,-0.899367798289094,0.0989819872245542,14.889477083642891,53.5266371830812,,36.7428931027028,20.9208901806928,14.8233957904964,17.19630786734961,9.91965409845741,,,42.3362167166044,0.609915406709585,-0.651267015225408,15.393558039287706,40.6922950191672,,34.7285399427785,21.8380322636208,14.9930160141848,11.155736319306117,8.93236243779905,,,43.4334277936007,10.9269189521694,-0.651652986812857
NE,Niger,1986,1988,1980,-3,-1,1,15.393558039287706,40.6922950191672,,34.7285399427785,21.8380322636208,14.9930160141848,11.155736319306117,8.93236243779905,,,43.4334277936007,10.9269189521694,-0.651652986812857,14.9236425044758,45.984511437125,,35.2108480035791,18.7006410922728,15.1417054328667,6.480138115515199,9.44717681518707,,,46.0885109041481,7.27566275107626,0.286842506540654,15.502062137266687,41.8884433363145,,35.350410607689,17.3586566506025,15.2680262917567,15.507459456176642,12.8828023034422,,,47.2909327417084,13.7647319455576,0.0945229639827406
NE,Niger,1988,1990,1980,-3,-1,1,15.502062137266687,41.8884433363145,,35.350410607689,17.3586566506025,15.2680262917567,15.507459456176642,12.8828023034422,,,47.2909327417084,13.7647319455576,0.0945229639827406,15.167173713803784,39.8980435664684,,34.0716250084348,17.5463827705403,15.367455984404,11.854064450376384,13.4761970386815,,,48.3819922210249,6.98066429750543,-0.0717675824661965,14.46379402866972,35.6167735553299,,29.4422483658217,27.5653581012474,15.448037147522,17.813071259747016,9.53845645666434,,0.0,40.712324581116,5.80530480889185,1.16188482395643
NE,Niger,1990,1992,1990,-3,-1,2,14.46379402866972,35.6167735553299,,29.4422483658217,27.5653581012474,15.448037147522,17.813071259747016,9.53845645666434,,0.0,40.712324581116,5.80530480889185,1.16188482395643,13.897475210123714,30.336179238057,1.588,31.5808518727089,25.7981300852477,15.5171031951904,5.464786845144049,8.03404355809292,,,40.728814569565,5.79014760298874,0.342091125281186,13.715497798531718,28.7066499462238,1.569,33.1594097787814,24.1595136046984,15.5867443084717,9.12300566568675,7.39673112367624,4.4,,40.9198041298304,3.35788658586111,1.66527577730701
NE,Niger,1992,1994,1990,-3,-1,2,13.715497798531718,28.7066499462238,1.569,33.1594097787814,24.1595136046984,15.5867443084717,9.12300566568675,7.39673112367624,4.4,,40.9198041298304,3.35788658586111,1.66527577730701,13.26120690717948,26.098937648296,1.541,34.0770925482674,22.1532232303682,15.656964302063,16.106908343050684,9.14586516937123,4.01213979721069,,41.975916522733,2.25091016574445,-1.11892253762664,13.040664945809988,33.6425286170597,1.502,31.1692941667387,23.5158300550455,15.7277612686157,50.11670308709599,10.0086967702243,4.57177639007568,,43.6377533946891,5.62212740667219,0.210312271568008
NE,Niger,1994,1996,1990,-2,-2,2,13.040664945809988,33.6425286170597,1.502,31.1692941667387,23.5158300550455,15.7277612686157,50.11670308709599,10.0086967702243,4.57177639007568,,43.6377533946891,5.62212740667219,0.210312271568008,12.89951459184121,34.7775356997428,1.494,30.7305809669819,21.2144468062521,15.7991333007812,41.13297990330925,9.69280743717089,6.2,,45.2201239963526,6.33190237951881,0.097014899419516,12.38064491761484,36.539997643493,1.498,32.3287003295047,21.1832268463029,15.8138437271118,36.43307553103224,10.9699988705018,7.0,0.00104,43.1538098786399,8.71914458795662,0.358757876839845
NE,Niger,1996,1998,1990,-3,-2,2,12.38064491761484,36.539997643493,1.498,32.3287003295047,21.1832268463029,15.8138437271118,36.43307553103224,10.9699988705018,7.0,0.00104,43.1538098786399,8.71914458795662,0.358757876839845,12.091977958196154,33.1743453903346,1.503,30.2325247290335,20.7958859775178,15.8930797576904,32.81192030981834,10.4359633046053,6.23572778701782,0.00201,45.3697561320448,7.53159844971794,0.827804537088488,13.071355540666527,35.0196895457842,1.381,35.4137809699145,18.6015467563389,15.9723119735718,35.46587093862368,10.2853747297938,6.7,0.00291,41.3904562742031,7.54707931029839,-0.0667540048083058
NE,Niger,1998,2000,1990,-3,-1,2,13.071355540666527,35.0196895457842,1.381,35.4137809699145,18.6015467563389,15.9723119735718,35.46587093862368,10.2853747297938,6.7,0.00291,41.3904562742031,7.54707931029839,-0.0667540048083058,12.485757601631509,31.3752367245391,1.385,35.0025945777756,17.5650732293517,16.0515403747559,13.025643465096216,9.34926616353232,7.32568216323853,0.0281,42.6644357024781,5.13557744781816,0.0632545894461929,11.736558202883964,34.7127807043604,1.427,36.5755600708745,18.0983791582371,16.1307678222656,32.746308247262206,12.8987592824872,6.5,0.0362613,40.3631282931906,7.10881459898211,0.703342920154778
