country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
NI,Nicaragua,1980,1982,1980,4,-1,1,1850.00093520346,67.4971620249113,,,,51.1241632429914,,,,,,,0.584495325461763,1894.88127210693,64.1251625190137,,,,51.4085876413644,,,,,,,-0.0012122680424934,1828.54514537516,42.0340479047796,,,,51.6799404427596,,,,,,,0.406056920741454
NI,Nicaragua,1982,1984,1980,4,-1,1,1828.54514537516,42.0340479047796,,,,51.6799404427596,,,,,,,0.406056920741454,1863.30005132263,49.3929234804352,,,,51.9391630194757,,,,,,,0.0036322690022514,1789.10508553038,45.8938499865906,,,,52.1871967438108,,,,,,,0.238787679799812
NI,Nicaragua,1984,1986,1980,5,-1,1,1789.10508553038,45.8938499865906,,,,52.1871967438108,,,,,,,0.238787679799812,1675.6223973461,36.5924611411654,,,,52.4249829880636,,,,,,,-0.000372619899424,1620.24861448766,33.6079157745315,,,,52.6534631245323,,,,,,,0.0020791461683589
NI,Nicaragua,1986,1988,1980,5,-1,1,1620.24861448766,33.6079157745315,,,,52.6534631245323,,,,,,,0.0020791461683589,1572.33304244354,25.5310493489726,,,,52.8735785255155,,,,,,,0.0625778958843942,1345.33743053301,76.2510836857461,,,,53.0862705633115,,,,,,,-0.0034208824633988
NI,Nicaragua,1988,1990,1980,3,-3,1,1345.33743053301,76.2510836857461,,,,53.0862705633115,,,,,,,-0.0034208824633988,1291.34380129627,97.7286839439197,,,,53.2924806102188,,,,,,,0.276356299737658,1260.87382799969,71.2908140830956,,,,53.4931500385358,,,,0.0,,,0.066372416684562
NI,Nicaragua,1990,1992,1990,3,-3,1,1260.87382799969,71.2908140830956,,,,53.4931500385358,,,,0.0,,,0.066372416684562,1229.80604541878,74.327973742158,7.909,,,53.689220220561,,,,,,,2.82105613029208,1206.96231902297,70.5176260597947,7.809,,,53.8816325285926,,,,,,,0.836680053547523
NI,Nicaragua,1992,1994,1990,3,-3,1,1206.96231902297,70.5176260597947,7.809,,,53.8816325285926,,,,,,,0.836680053547523,1176.11536055025,68.285966789153,7.833,,,54.0713283349293,,,72.064174,,,,2.20899576724499,1189.83516111818,39.0812162921941,7.668,19.019221586678,19.7626384193526,54.2592490118693,,,69.2538299560547,0.0132,50.3462658264808,6.32386865883398,1.20884706688643
NI,Nicaragua,1994,1996,1990,3,-3,1,1189.83516111818,39.0812162921941,7.668,19.019221586678,19.7626384193526,54.2592490118693,,,69.2538299560547,0.0132,50.3462658264808,6.32386865883398,1.20884706688643,1234.76828254706,44.0397944057464,7.414,20.0803864575286,20.0905170830684,54.4454415882899,,,69.8499069213867,0.03,48.7158060155812,8.90380887176004,2.14709924235654,1288.94097201516,48.4828382973154,7.12,21.4055297505817,20.0096187363388,54.6219424540121,,,70.4432601928711,0.0841,47.2294576858909,8.99031382733619,2.78528780163945
NI,Nicaragua,1996,1998,1990,3,-3,1,1288.94097201516,48.4828382973154,7.12,21.4055297505817,20.0096187363388,54.6219424540121,,,70.4432601928711,0.0841,47.2294576858909,8.99031382733619,2.78528780163945,1317.89046510399,58.0055306487605,7.1,19.9567713388075,19.4364888589049,54.7838878574412,,,71.0332107543945,0.206,48.5107994224217,8.21832136034858,4.63328538246985,1346.07276130615,57.0137150680369,7.203,19.1909508834659,19.2326445448166,54.9348900789023,,,69.047103,0.304,48.7906994203994,8.69342227024258,4.70730631064372
NI,Nicaragua,1998,2000,1990,5,-1,1,1346.07276130615,57.0137150680369,7.203,19.1909508834659,19.2326445448166,54.9348900789023,,,69.047103,0.304,48.7906994203994,8.69342227024258,4.70730631064372,1420.31830106942,62.5376445208417,7.18,17.0002169688192,20.2606473106374,55.0779505708784,,,72.2001266479492,0.498,50.1521867388057,8.24116448267147,6.9460085675925,1458.37490084556,61.2984974600022,7.181,17.7655051440462,20.1553281368856,55.2160707858522,7.06991352252517,,73.0,0.980216,49.7358775588938,6.28628460686213,5.21568567857809
NI,Nicaragua,2000,2002,2000,5,-1,1,1458.37490084556,61.2984974600022,7.181,17.7655051440462,20.1553281368856,55.2160707858522,7.06991352252517,,73.0,0.980216,49.7358775588938,6.28628460686213,5.21568567857809,1482.31517247279,57.9801315472268,7.222,16.8133294680756,21.4993404064897,55.3522521763064,5.98604186279518,,72.2,1.4488,50.3044371148482,5.11681530785596,2.80655753554232,1475.48635411179,58.0912844080785,7.517,16.4301119851034,21.462279778213,55.4894961947237,3.75017465778466,,74.1,1.71473,50.4457904382355,2.40057874644979,3.90334311480045
NI,Nicaragua,2002,2004,2000,5,-1,1,1475.48635411179,58.0912844080785,7.517,16.4301119851034,21.462279778213,55.4894961947237,3.75017465778466,,74.1,1.71473,50.4457904382355,2.40057874644979,3.90334311480045,1494.95618752566,62.1750658877514,7.6,15.6259025646946,20.5947609449169,55.6308042935869,5.30238773219936,,74.6,1.88041,52.0637365182963,1.65480191062512,3.78225034215297,1555.87425694816,67.195316780004,6.41,15.9688222709169,21.396991205962,55.7791779253789,8.47021063584077,,75.2,2.32066,50.4838508360202,3.26409973098749,4.31560328721207
NI,Nicaragua,2004,2006,2000,5,-1,1,1555.87425694816,67.195316780004,6.41,15.9688222709169,21.396991205962,55.7791779253789,8.47021063584077,,75.2,2.32066,50.4838508360202,3.26409973098749,4.31560328721207,1601.48770707458,71.6457237072991,5.37,16.137898065388,20.9665631875219,55.9375480421093,9.59909986064425,,73.8,2.56635,49.8576240795747,3.02225406974194,3.81407422484717,1644.37193565251,87.309670832079,5.31,15.8996625466787,20.8761042755265,56.1058547675536,9.1401996677772,24.3527424512762,76.3,2.80557,53.7592580608306,3.47620237132438,4.24030000066427
NI,Nicaragua,2006,2008,2000,4,-1,1,1644.37193565251,87.309670832079,5.31,15.8996625466787,20.8761042755265,56.1058547675536,9.1401996677772,24.3527424512762,76.3,2.80557,53.7592580608306,3.47620237132438,4.24030000066427,1703.20780299405,93.025730229333,4.89,16.4613383107055,20.7270584901063,56.2816618351146,11.1269347446118,25.6033444308362,76.9,3.9,53.3277569988709,4.40547085522785,5.14186605474194,1736.65740610408,96.7939847302055,6.2,16.2627898839898,21.9642332178631,56.4638124507513,19.8262031287429,26.9478632047373,77.5,5.3,52.8963553347955,5.7489297696794,7.38263377911966
NI,Nicaragua,2008,2010,2000,4,-1,1,1736.65740610408,96.7939847302055,6.2,16.2627898839898,21.9642332178631,56.4638124507513,19.8262031287429,26.9478632047373,77.5,5.3,52.8963553347955,5.7489297696794,7.38263377911966,1655.72028962416,86.9936104453444,8.16,16.0676510041113,21.0756591800109,56.651098305894,3.68700160498797,20.3151722208419,77.9,7.3,54.2005121911789,4.16983380493334,5.22852820149836,1704.37875049059,100.364058423919,7.83,16.9826368007048,21.9687134501788,56.842311091973,5.45513425887423,21.1737341412017,80.1,10.0,51.7336180965215,5.41004008134247,5.59335824334059
NI,Nicaragua,2010,2012,2010,4,-1,1,1704.37875049059,100.364058423919,7.83,16.9826368007048,21.9687134501788,56.842311091973,5.45513425887423,21.1737341412017,80.1,10.0,51.7336180965215,5.41004008134247,5.59335824334059,1786.62863418308,111.827453935999,6.613,18.8847883857771,23.1571014574195,57.0362425004184,8.082387980991,24.6137378801078,81.2,10.6,48.451431344224,9.18914774989188,9.5791738556055,1876.1759720149,115.177288474198,5.208,17.6115834733674,24.5476946484698,57.2316842226606,7.1935505333896,28.0647253576682,81.3,13.5,48.0435097123832,10.7727397424269,7.36516075625111
NI,Nicaragua,2012,2014,2010,4,-1,1,1876.1759720149,115.177288474198,5.208,17.6115834733674,24.5476946484698,57.2316842226606,7.1935505333896,28.0647253576682,81.3,13.5,48.0435097123832,10.7727397424269,7.36516075625111,1941.45628552626,110.984207880382,5.28,16.4909112111851,25.3876146457155,57.4274279501299,7.13546785289407,28.3444246593661,81.9,15.5,48.3652118048254,10.3490832157255,8.78722600899979,2006.64869646533,106.698200190796,4.52,16.7090173834472,25.0984490191451,57.6222653742564,6.03596861798425,27.3334223631277,81.9,17.6,48.5497818405039,12.1972897956714,9.06363827053251
NI,Nicaragua,2014,2016,2010,4,-1,1,2006.64869646533,106.698200190796,4.52,16.7090173834472,25.0984490191451,57.6222653742564,6.03596861798425,27.3334223631277,81.9,17.6,48.5497818405039,12.1972897956714,9.06363827053251,2074.45620634731,98.194164594236,4.7,16.1099292353151,25.7346979136282,57.8149881864705,3.99737996694396,29.2635345695181,83.2,19.7043,48.5741100477068,15.4500295587272,7.58033255797744,2140.14405941606,93.8137278130087,3.9,14.9153392298097,25.7948753609806,58.0043880782023,3.52317317628473,27.6439068627152,83.9,24.5718,49.4649749753047,15.1507118901515,7.44462628012218
NI,Nicaragua,2016,2018,2010,3,-1,1,2140.14405941606,93.8137278130087,3.9,14.9153392298097,25.7948753609806,58.0043880782023,3.52317317628473,27.6439068627152,83.9,24.5718,49.4649749753047,15.1507118901515,7.44462628012218,2209.63273423213,96.3805864351182,3.3,14.9964086019473,24.8173354804008,58.1892567408822,3.85067166284727,26.7613567520877,84.6,30.4,50.2780347158336,16.2127826401683,7.51057620596971,2107.3396261623,93.9847404925404,5.2,15.3222113237126,24.9956784644064,58.3683858659405,4.94723728039886,22.3850599072456,85.2,33.913,51.0117529210468,14.6441681015399,6.43060058137235
NI,Nicaragua,2018,2020,2010,4,-1,1,2107.3396261623,93.9847404925404,5.2,15.3222113237126,24.9956784644064,58.3683858659405,4.94723728039886,22.3850599072456,85.2,33.913,51.0117529210468,14.6441681015399,6.43060058137235,2019.91518620044,94.0422159246213,5.457,15.5297840677071,24.2809201178084,58.5405671448072,5.37628990844126,16.4571885886473,85.7,37.8319,50.4678293597465,13.3977202759156,3.96093444094211,1950.19181218473,88.6381231228968,6.18,15.9067799804023,25.7903211218917,58.7045922689128,3.68181341625572,17.9549307712935,86.0,42.2037,48.6126906364813,15.1907145966764,5.86574902695673
NI,Nicaragua,2020,2022,2020,4,-1,1,1950.19181218473,88.6381231228968,6.18,15.9067799804023,25.7903211218917,58.7045922689128,3.68181341625572,17.9549307712935,86.0,42.2037,48.6126906364813,15.1907145966764,5.86574902695673,2128.30881395452,106.20739081994,6.076,15.7299123972627,27.2859620403811,58.8592529296875,4.92841396948968,23.0056614312413,86.3,47.0806,46.1739508361433,10.3931603899692,7.36996621393819,2175.73899144405,115.454678712865,4.969,16.8030312183945,25.9436105960329,58.9954376220703,10.4674244465991,21.4012893593393,86.5,49.1307,46.3607342274576,6.08955520378835,8.23239650343154
