country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
NP,Nepal,1980,1982,1980,-3,-3,1,9.14876461456741,30.2727956093013,,57.8990217934573,11.1686870441817,14.6080971066587,43.48532338277892,15.7637790999863,,,24.6584700723083,11.0958854479845,0.0154168992941159,10.05513684676839,32.5191356247053,,56.7986220148579,11.5281796720854,15.4794044494629,41.51164211373429,15.7432154080874,,,24.9313375686186,10.8909800482732,-0.0101072985689186,10.275654201176396,30.3988638930906,,57.1672897810066,12.0465986716561,16.1122445872783,41.85566653718355,17.6358591747995,,,24.4901258420066,9.93287782194082,-0.0012523880212311
NP,Nepal,1982,1984,1980,-3,-3,1,10.275654201176396,30.3988638930906,,57.1672897810066,12.0465986716561,16.1122445872783,41.85566653718355,17.6358591747995,,,24.4901258420066,9.93287782194082,-0.0012523880212311,9.41268116521002,31.5462097156398,,56.5225130331754,11.9934831161137,16.6486086367337,42.25745270568287,19.478672985782,,,25.213269549763,8.54857701421801,-0.0245180687203791,10.51574661702888,30.1015498119166,,57.2988091284318,11.8329533041294,17.1130217092164,32.63798721386112,17.5349072297897,,,24.8108627146427,9.86544805480841,0.0368044816736236
NP,Nepal,1984,1986,1980,-3,-3,1,10.51574661702888,30.1015498119166,,57.2988091284318,11.8329533041294,17.1130217092164,32.63798721386112,17.5349072297897,,,24.8108627146427,9.86544805480841,0.0368044816736236,11.106478364785676,31.5287854720302,,48.8580260163998,14.2725282273644,17.5300089161139,39.24409466854904,20.8431717683424,,,31.3506203580475,14.0857759842013,0.0248099750998154,11.467269791421218,31.9650419926782,,48.6971502404709,14.9989232646615,17.9240953688132,45.36053359180565,18.1681142775106,,,30.9076878903166,11.6237168903883,0.0410413662610514
NP,Nepal,1986,1988,1980,-3,-3,1,11.467269791421218,31.9650419926782,,48.6971502404709,14.9989232646615,17.9240953688132,45.36053359180565,18.1681142775106,,,30.9076878903166,11.6237168903883,0.0410413662610514,11.397511319097916,32.7198891394213,,47.9503319554052,14.9614806463735,18.3198061787019,41.256800980891015,19.5086433671552,,,31.6203181761243,12.0954371790054,0.0470030390210917,12.247092095538411,33.8290380464463,,47.7921098483863,15.1821704418381,18.7416664571671,39.99899994651645,19.9217226224222,,,30.9247652978961,11.3574493537565,0.0195009492107248
NP,Nepal,1988,1990,1980,-3,-3,1,12.247092095538411,33.8290380464463,,47.7921098483863,15.1821704418381,18.7416664571671,39.99899994651645,19.9217226224222,,,30.9247652978961,11.3574493537565,0.0195009492107248,12.569401691156276,33.3509280937391,,47.6895674870336,15.6549306030089,19.2142013155963,39.893060169258426,18.1205121598763,,,31.3255441418634,10.2911873102645,0.0119141304820262,12.9071455031621,32.1887541579639,,48.8028931693355,15.3467548541812,19.7619358653766,39.40192358102827,16.1203295428174,,0.0,30.3695753074959,6.99168600603388,0.163746419296821
NP,Nepal,1990,1992,1990,-3,-3,2,12.9071455031621,32.1887541579639,,48.8028931693355,15.3467548541812,19.7619358653766,39.40192358102827,16.1203295428174,,0.0,30.3695753074959,6.99168600603388,0.163746419296821,13.48075099874565,34.6750551287954,10.465,44.7233867254707,16.4473631069216,20.4093952178955,43.903284701539256,18.4004975727175,,0.0,33.5530407670374,8.55991874055945,0.0566113359342816,13.673318357410768,41.6954131372025,10.473,42.6652627388118,19.3983016663785,21.1696090774496,44.61173980091264,19.171080133897,,0.0,33.0338199933994,10.9287008952659,0.0
NP,Nepal,1992,1994,1990,-2,-3,2,13.673318357410768,41.6954131372025,10.473,42.6652627388118,19.3983016663785,21.1696090774496,44.61173980091264,19.171080133897,,0.0,33.0338199933994,10.9287008952659,0.0,13.840872244940789,47.1895811750777,10.492,39.8959483612436,19.5204972620986,22.0386921067433,38.7629118787365,21.2190207306383,,0.0,35.061076262793,12.2472421762047,0.0,14.703282837662218,50.432072744791,10.458,40.4417078164519,20.3917258822112,23.0157968547751,39.49290813139884,21.0927777108676,,0.0,33.0698743426071,9.95935204143081,0.0
NP,Nepal,1994,1996,1990,-2,-3,2,14.703282837662218,50.432072744791,10.458,40.4417078164519,20.3917258822112,23.0157968547751,39.49290813139884,21.0927777108676,,0.0,33.0698743426071,9.95935204143081,0.0,14.864497213080474,59.49051839854,10.473,39.0414052697616,21.2738679137675,24.1000758705435,38.8688540743736,22.06912284704,,0.000925,33.1780540663853,15.6552976844987,0.0,15.341908494051127,58.4577686983002,10.446,38.9276574546127,21.4930517891794,25.2906817030471,40.18040621665122,22.530362014037,17.9,0.00451,33.3694905448892,14.3824692563265,0.423749430010865
NP,Nepal,1996,1998,1990,-2,-3,2,15.341908494051127,58.4577686983002,10.446,38.9276574546127,21.4930517891794,25.2906817030471,40.18040621665122,22.530362014037,17.9,0.00451,33.3694905448892,14.3824692563265,0.423749430010865,15.797372021220244,64.0355348949959,10.512,38.7807338697315,21.4004342044754,26.5867669012845,34.67871532887566,21.6724358585877,18.1328678131104,0.022,33.4191285252377,13.9608502992731,0.468752021000606,15.95836058420578,56.7096012897007,10.526,37.3930096893749,21.0759693529891,27.9874840142543,41.57467570440169,21.7304592065682,21.7325325012207,0.0644,35.2344230417657,13.7738702654191,0.247611787038703
NP,Nepal,1998,2000,1990,-2,-3,2,15.95836058420578,56.7096012897007,10.526,37.3930096893749,21.0759693529891,27.9874840142543,41.57467570440169,21.7304592065682,21.7325325012207,0.0644,35.2344230417657,13.7738702654191,0.247611787038703,16.351420538457226,52.5669812534353,10.549,38.701481715375,20.4411231566268,29.4919855909549,38.713505905942974,19.0824942403724,25.3273544311523,0.147,34.5843712357764,13.6134792828825,0.0864397656827156,17.036805143317892,55.7105890041319,10.531,38.2438970402226,20.7355700311999,31.0994241803849,31.864121225094927,19.3218230879501,29.9,0.204652,34.7107154903449,15.1722847626275,-0.0088242529452383
