country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
NR,Nauru,1980,1982,1980,0,0,8,34662.1759396181,,,,,100.0,,,,,,,,32869.3601050747,,,,,100.0,,,,,,,,31144.9255525497,,,,,100.0,,,,,,,
NR,Nauru,1982,1984,1980,-1,-3,8,31144.9255525497,,,,,100.0,,,,,,,,29619.2697084151,,,,,100.0,,,,,,,,28231.7429896562,,,,,100.0,,,,,,,
NR,Nauru,1984,1986,1980,0,6,7,28231.7429896562,,,,,100.0,,,,,,,,26878.234178397,,,,,100.0,,,,,,,,25550.4332223009,,,,,100.0,,,,,,,
NR,Nauru,1986,1988,1980,0,-1,7,25550.4332223009,,,,,100.0,,,,,,,,24264.5145128641,,,,,100.0,,,,,,,,23017.5695398506,,,,,100.0,,,,,,,
NR,Nauru,1988,1990,1980,1,0,7,23017.5695398506,,,,,100.0,,,,,,,,21833.2189717035,,,,,100.0,,,,,,,,20706.6309011684,,,,,100.0,,,98.9990844726563,0.0,,,0.0
NR,Nauru,1990,1992,1990,0,-4,2,20706.6309011684,,,,,100.0,,,98.9990844726563,0.0,,,0.0,16385.3941242241,,,,,100.0,,,99.0413055419922,,,,0.0,13486.9403127069,,,,,100.0,,,99.0834197998047,,,,0.0
NR,Nauru,1992,1994,1990,0,-5,3,13486.9403127069,,,,,100.0,,,99.0834197998047,,,,0.0,11222.494532134,,,,,100.0,,,99.1248550415039,,,,0.0,10751.3685053512,,,,,100.0,,,99.164924621582,,,,0.0
NR,Nauru,1994,1996,1990,1,-4,3,10751.3685053512,,,,,100.0,,,99.164924621582,,,,0.0,9872.21613042566,,,,,100.0,,,99.2029571533203,,,,0.0,8686.03948171514,,,,,100.0,,,99.2382659912109,,,,0.0
NR,Nauru,1996,1998,1990,4,4,3,8686.03948171514,,,,,100.0,,,99.2382659912109,,,,0.0,7897.46740747697,,,,,100.0,,,99.2701797485352,,,,0.0,6965.83276372891,,,,,100.0,,,99.2980117797852,,,,0.0
NR,Nauru,1998,2000,1990,2,-4,1,6965.83276372891,,,,,100.0,,,99.2980117797852,,,,0.0,6515.32995425484,,,,,100.0,,,99.3210067749023,,,,0.0,6079.96620774489,,,,,100.0,,,99.1,,,,0.0
NR,Nauru,2000,2002,2000,2,-2,1,6079.96620774489,,,,,100.0,,,99.1,,,,0.0,5690.15963796811,,,,,100.0,,,99.0,2.98716,,,0.0,5147.16130887748,,,,,100.0,,,99.0,,,,0.0
NR,Nauru,2002,2004,2000,3,1,1,5147.16130887748,,,,,100.0,,,99.0,,,,0.0,5173.61559183102,,,,,100.0,,,99.0,,,,0.0,4949.8909692212,,,,,100.0,,,99.0,,,,0.0
NR,Nauru,2004,2006,2000,3,1,1,4949.8909692212,,,,,100.0,,,99.0,,,,0.0,4955.30929946913,,,,,100.0,,,99.0,,,,0.0,5382.10161869099,,,,,100.0,,,99.0,,,,0.0
NR,Nauru,2006,2008,2000,2,-1,1,5382.10161869099,,,,,100.0,,,99.0,,,,0.0,4199.70508141733,,,,,100.0,,,99.8,,,,0.0,5045.18472364491,164.285714285714,,,,100.0,,,99.1,,,,0.0
NR,Nauru,2008,2010,2000,2,-1,1,5045.18472364491,164.285714285714,,,,100.0,,,99.1,,,,0.0,4761.56658392323,145.0,,,,100.0,,,99.1,,,,0.0,4748.76539924078,100.0,,,,100.0,,,99.2,,,,0.0
NR,Nauru,2010,2012,2010,4,2,1,4748.76539924078,100.0,,,,100.0,,,99.2,,,,0.0,5417.44487923767,130.30303030303,,,,100.0,0.3003003003003,,99.0,54.0,,,0.0,6626.18317072945,120.408163265306,,,,100.0,-0.124750499001971,,99.4,,,,0.0
NR,Nauru,2012,2014,2010,1,-3,1,6626.18317072945,120.408163265306,,,,100.0,-0.124750499001971,,99.4,,,,0.0,6735.42128061862,179.347826086957,,,,100.0,,,99.4,,,,0.0,7638.99065218892,197.222222222222,,,,100.0,,,99.5,,,,0.0
