country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
PA,Panama,1980,1982,1980,1,1,9,53.32779297273264,137.501946214098,,7.40376036304825,25.2171372430304,49.7671418502205,43.041518807131325,20.5090156092439,,,64.6070173285008,30.4897194816291,5.46803804974263,54.35816156027774,133.722896552873,,7.25213198513372,24.5641815774541,50.0637546377216,38.57644101955648,22.8430183201413,,,65.4493092907189,27.5766787495035,5.805735902397,54.81427318482092,116.784969807884,,6.76074682310878,24.6184980855122,50.3825092620325,35.040654525561344,22.7647978699455,,,65.9929942762516,32.3776524875463,6.35380844349042
PA,Panama,1982,1984,1980,2,2,9,54.81427318482092,116.784969807884,,6.76074682310878,24.6184980855122,50.3825092620325,35.040654525561344,22.7647978699455,,,65.9929942762516,32.3776524875463,6.35380844349042,53.70286699586732,93.1350462972318,,7.23427682089331,22.9607114634821,50.7249430710032,30.98152319184304,17.2428492537986,,,67.0531528822786,25.1297694423904,1.34036583107687,53.756725959797095,91.8770280450338,,6.75708949226226,23.3918364903921,51.0920195298521,29.56547085277956,13.496510674546,,,66.8657522670706,15.4343207786554,0.359026527710031
PA,Panama,1984,1986,1980,2,2,9,53.756725959797095,91.8770280450338,,6.75708949226226,23.3918364903921,51.0920195298521,29.56547085277956,13.496510674546,,,66.8657522670706,15.4343207786554,0.359026527710031,54.159853065755,94.0595722053528,,6.86477606242136,25.7710676931503,51.4847021037978,27.69460141761993,13.7820567647832,,,64.2822381370829,15.743062110164,1.02881333139066,54.35839833337453,97.3274590898378,,7.33706185420056,24.9314509612488,51.9039542580588,21.747777717080115,15.1958634119085,,,64.2867650405478,18.6034766779101,1.85500258302858
PA,Panama,1986,1988,1980,2,2,9,54.35839833337453,97.3274590898378,,7.33706185420056,24.9314509612488,51.9039542580588,21.747777717080115,15.1958634119085,,,64.2867650405478,18.6034766779101,1.85500258302858,53.71042788973684,98.5907715775113,,7.4197837436466,24.2565053679477,52.3507394578536,27.578756704646462,17.2080520701564,,,65.0273176103111,18.9347418655686,-6.56007552098373,51.062732403347525,97.6653454707486,,7.96047335905973,21.6622517438129,52.8260211684007,24.61210435917073,7.84453144596158,,,68.3469835603319,15.5425540432332,-7.80140433409771
PA,Panama,1988,1990,1980,2,2,9,51.062732403347525,97.6653454707486,,7.96047335905973,21.6622517438129,52.8260211684007,24.61210435917073,7.84453144596158,,,68.3469835603319,15.5425540432332,-7.80140433409771,50.96784773068153,109.597744335875,,8.50386023765805,20.8272364589915,53.3307628549186,23.68831757023905,5.8111912643366,,,68.2459172132635,5.22044904241972,0.870157350469204,51.872904244825726,121.793552873367,,8.07413528853971,19.392813174205,53.8712763235306,26.647594440740267,7.62695860889557,70.19,0.0,69.2388506189105,16.4064565453942,2.10601018003356
PA,Panama,1990,1992,1990,2,2,8,51.872904244825726,121.793552873367,,8.07413528853971,19.392813174205,53.8712763235306,26.647594440740267,7.62695860889557,70.19,0.0,69.2388506189105,16.4064565453942,2.10601018003356,52.97338265723551,140.246558305042,6.443,7.65627624899545,21.5759054955948,54.5277463774443,28.522909334288094,13.3453739326984,73.4431304931641,,67.744620937031,14.7574669679196,1.76262501368437,53.89950626756653,144.87918854738,6.317,6.91969326281835,21.4662547681876,55.3376133253207,30.25631325846223,16.5027029392213,74.2556381225586,,68.3520924519248,19.5495869316704,1.87134643699431
PA,Panama,1992,1994,1990,1,1,8,53.89950626756653,144.87918854738,6.317,6.91969326281835,21.4662547681876,55.3376133253207,30.25631325846223,16.5027029392213,74.2556381225586,,68.3520924519248,19.5495869316704,1.87134643699431,54.417022036002685,139.679221337261,6.374,6.59005946016762,22.6677579474491,56.2553745051635,25.13189125107747,20.6917498348493,75.0674591064453,,66.6079922206051,20.7972586295603,2.01535188032444,54.53695137862571,143.609032792557,6.428,6.46078992665021,22.1323305980345,57.2394879441357,28.56442428512948,21.1066527807821,75.8779220581055,0.00764,67.304544062267,23.7998924496709,4.28710705780829
PA,Panama,1994,1996,1990,1,1,8,54.53695137862571,143.609032792557,6.428,6.46078992665021,22.1323305980345,57.2394879441357,28.56442428512948,21.1066527807821,75.8779220581055,0.00764,67.304544062267,23.7998924496709,4.28710705780829,54.48844001787565,146.905380036798,6.512,6.48593360449452,22.5982901672716,58.2484116694001,27.57018607972597,23.2334487561629,76.6863403320313,0.0561,66.8516173445071,25.6200483617098,2.93822304062591,54.804566754521936,165.609679774913,6.728,6.86221660222412,18.4644238813129,59.2406037081197,28.52104799276567,20.1499660829394,77.4920425415039,0.22,70.6157363811405,27.9894013883295,4.65669850798775
PA,Panama,1996,1998,1990,1,1,8,54.804566754521936,165.609679774913,6.728,6.86221660222412,18.4644238813129,59.2406037081197,28.52104799276567,20.1499660829394,77.4920425415039,0.22,70.6157363811405,27.9894013883295,4.65669850798775,55.67097328674212,174.713863282649,6.588,6.64688218293836,17.6729648502479,60.1745220874573,28.75234267121437,20.3160859234226,78.2943496704102,0.539,71.9201086156362,30.165247151011,13.0452231400046,56.64002129755643,157.996408668151,6.397,6.6618082205026,17.5037279572124,61.0086248345759,25.670721291508976,22.8846108993915,79.0925750732422,2.75,71.6792671974894,25.6693723011068,11.9351432888532
PA,Panama,1998,2000,1990,1,1,8,56.64002129755643,157.996408668151,6.397,6.6618082205026,17.5037279572124,61.0086248345759,25.670721291508976,22.8846108993915,79.0925750732422,2.75,71.6792671974894,25.6693723011068,11.9351432888532,57.13582547446695,131.557397200745,6.168,6.13051538192286,18.9201342643968,61.7013699766382,28.49179805662753,23.1744225727222,79.8859558105469,3.84,70.6731313204375,25.089120537864,8.9488587520915,57.48120107383114,139.197934301758,6.188,6.31213543052091,18.301557181659,62.2165370013582,29.31129550318668,22.3984946396878,81.4,6.5548,71.5754741356588,27.1283411966859,6.91764679868008
