country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
PE,Peru,1990,1992,1990,-1,2,11,41.68408896096439,29.469676899683,,,,68.9308005041295,91.07941804783782,16.2924307205255,,0.0,,18.0891115334095,0.15524195104656,41.69769792611064,26.659254111884,4.926,7.86239612014368,25.8690290952988,69.3117215938287,68.67863734057636,16.5334400250497,,,58.3818129953409,15.1436116450671,-0.0203835211937861,41.29419095951788,27.9772921552067,5.068,7.81805040708602,26.2788955763588,69.7000538774584,55.51185143597102,16.4212709734047,70.1,,56.8458700958807,14.8344504974493,-0.219650047241117
PE,Peru,1992,1994,1990,0,2,11,41.29419095951788,27.9772921552067,5.068,7.81805040708602,26.2788955763588,69.7000538774584,55.51185143597102,16.4212709734047,70.1,,56.8458700958807,14.8344504974493,-0.219650047241117,41.77839504579505,28.7665865706199,4.795,8.29164049726758,27.7100013883628,70.0997909655959,52.36658756556366,18.3164997713889,64.7489929199219,,54.8207029461811,15.2061682069403,2.18358771544823,43.2854155987064,28.9229957698901,4.491,8.41558546952191,29.1512391077207,70.5003156312488,47.001232389567264,21.202284462208,66.0529327392578,0.0085,52.6907353493137,18.8671015124925,7.32850781495285
PE,Peru,1994,1996,1990,0,1,8,43.2854155987064,28.9229957698901,4.491,8.41558546952191,29.1512391077207,70.5003156312488,47.001232389567264,21.202284462208,66.0529327392578,0.0085,52.6907353493137,18.8671015124925,7.32850781495285,44.10094156222558,30.9272178475508,4.708,8.03821624273467,29.0978937827927,70.8898533910601,41.50137136718407,23.9583246717611,67.3548355102539,0.0334,52.9156931059428,19.0116660984675,4.79618741233796,44.23863452191366,31.6542040912644,4.929,8.50404849342949,28.8696665339292,71.271133088093,41.7574475062784,22.2364792118343,67.0,0.246,53.0809846171998,17.5655944427238,6.282348119331
PE,Peru,1996,1998,1990,0,1,8,44.23863452191366,31.6542040912644,4.929,8.50404849342949,28.8696665339292,71.271133088093,41.7574475062784,22.2364792118343,67.0,0.246,53.0809846171998,17.5655944427238,6.282348119331,44.93141794324645,33.4695458506827,4.762,8.04815854878797,29.3515380394435,71.6470953159639,39.66666263876167,23.4995642490559,69.16024,0.403,53.0234659952874,19.2743939834092,3.67902174881379,44.585360140110375,32.9530217853936,5.099,8.37833515800869,28.4747764260145,72.0206806682894,38.52561212097935,23.1526699715843,72.072063,1.19,53.5205983294995,17.6577319080364,2.96199214687156
PE,Peru,1998,2000,1990,0,1,8,44.585360140110375,32.9530217853936,5.099,8.37833515800869,28.4747764260145,72.0206806682894,38.52561212097935,23.1526699715843,72.072063,1.19,53.5205983294995,17.6577319080364,2.96199214687156,44.54727738475851,33.2057765558493,5.011,8.26450173379097,28.6013693710666,72.3948297386861,33.798074927198016,21.2376147275093,74.078523,1.95,54.0030260392443,18.2492537928517,3.86553540501237,44.71915135885716,35.5380321623178,4.959,8.06937491693616,29.0341336995526,72.7724831207703,34.27941211715317,19.6700704381341,72.5,3.07643,54.0274885925663,17.6267000398706,1.56479019339424
PE,Peru,2000,2002,2000,1,1,4,44.71915135885716,35.5380321623178,4.959,8.06937491693616,29.0341336995526,72.7724831207703,34.27941211715317,19.6700704381341,72.5,3.07643,54.0274885925663,17.6267000398706,1.56479019339424,44.60152221735736,35.0644014310212,5.068,7.89362669632438,29.0351564426085,73.1565814081586,30.66229116704674,17.9666569877333,72.1,7.57876,54.5157702696039,16.2978627819446,2.19922450158059,45.24580792386688,35.2491813317695,4.84,7.52396323647705,29.4440321551084,73.5500651944675,23.606406877483515,16.7309319065239,74.4,8.96695,54.4908688003072,17.2685802658142,3.93562084538866
PE,Peru,2002,2004,2000,1,1,4,45.24580792386688,35.2491813317695,4.84,7.52396323647705,29.4440321551084,73.5500651944675,23.606406877483515,16.7309319065239,74.4,8.96695,54.4908688003072,17.2685802658142,3.93562084538866,45.71767618670997,37.6246103251002,4.15,7.31291934402482,29.8893494570244,73.9558750733136,31.36132406951168,16.9210666692767,74.4,11.6,53.9598800021533,17.9150129443028,2.27308642513175,46.32156997321306,41.9360782679273,4.71,6.93443306205717,32.6500976155483,74.3769516383133,34.12397993085202,16.7885581415755,75.7,14.1,51.3878956720118,20.7440717748481,2.39489207548148
PE,Peru,2004,2006,2000,3,-2,15,46.32156997321306,41.9360782679273,4.71,6.93443306205717,32.6500976155483,74.3769516383133,34.12397993085202,16.7885581415755,75.7,14.1,51.3878956720118,20.7440717748481,2.39489207548148,47.1361903806038,47.3573174768394,4.87,6.85426462318893,34.3566674243965,74.8162354830832,29.665390034536564,17.062082002321,77.2,17.1,49.8362904737407,23.6240224288033,3.39034816926813,48.14829947538338,51.7850560338442,4.17,6.60348433016044,37.4577549944707,75.2766672012397,30.727230416434008,17.7861377815903,80.2,20.7,47.4170688770149,28.9388192413297,3.91065680458787
PE,Peru,2006,2008,2000,3,-2,15,48.14829947538338,51.7850560338442,4.17,6.60348433016044,37.4577549944707,75.2766672012397,30.727230416434008,17.7861377815903,80.2,20.7,47.4170688770149,28.9388192413297,3.91065680458787,49.31410760339131,55.6881132836815,4.08,6.70580838491928,37.6989799588981,75.7615250588738,30.13367212022509,19.9854235156854,82.0,25.2,47.305070802301,29.3885070989981,5.37428655925625,50.577926001946,58.4337673899053,4.03,7.16094114578461,36.3269344719167,76.2744879116779,37.02003873017199,23.4265803656735,84.7,30.57,48.3634281113294,27.1998389652953,5.74335697642786
PE,Peru,2008,2010,2000,3,-2,15,50.577926001946,58.4337673899053,4.03,7.16094114578461,36.3269344719167,76.2744879116779,37.02003873017199,23.4265803656735,84.7,30.57,48.3634281113294,27.1998389652953,5.74335697642786,50.6519120605912,48.1119296153519,3.96,7.40390665571257,33.551682543695,76.822147540745,32.817370271541144,22.1386315989042,86.4,31.4,50.7365164325183,24.7508538424973,5.32237544034606,51.80226883860816,51.6728089370033,3.6,6.82799723597835,35.7720066029406,77.4020936833934,29.40142811626471,23.5133786325771,88.1,34.77,48.9435774885792,27.7400284080003,5.73087732837535
PE,Peru,2010,2012,2010,3,-2,13,51.80226883860816,51.6728089370033,3.6,6.82799723597835,35.7720066029406,77.4020936833934,29.40142811626471,23.5133786325771,88.1,34.77,48.9435774885792,27.7400284080003,5.73087732837535,52.64547981584118,55.9882802838607,3.477,7.10011013658205,37.2361002771383,78.0118164985462,33.62285160325258,23.3485326044448,89.7,36.01,47.7582660570047,29.2181148253141,4.47262658184166,53.44699312369614,52.6198952632294,3.238,6.72523424077649,35.5335533553355,78.6488061451268,34.03867097410795,25.0445259194971,91.1,38.2,49.129259974298,26.8853897912153,7.36173683394684
