country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
PF,French Polynesia,1980,1982,1980,0,6,7,26874.2991438109,,,,,59.06410167748,,,,,,,,26725.4158088119,,,,,58.9949205187565,,,,,,,0.0105285061194236,26341.0551801214,,,,,58.9191518669779,,,,,,,0.404564144481749
PF,French Polynesia,1982,1984,1980,0,6,7,26341.0551801214,,,,,58.9191518669779,,,,,,,0.404564144481749,26176.683754784,,,,,58.8426968979335,,,,,,,-0.31148264390367,26078.0110684892,,,,,58.7640410924551,,,,,,,0.0754423498955844
PF,French Polynesia,1984,1986,1980,0,6,7,26078.0110684892,,,,,58.7640410924551,,,,,,,0.0754423498955844,25129.1871483302,,,,,58.6737580929136,,,,,,,0.0144999462754329,27814.2610581472,,,,,58.5696322805161,,,,,,,-0.0013562213469858
PF,French Polynesia,1986,1988,1980,0,6,7,27814.2610581472,,,,,58.5696322805161,,,,,,,-0.0013562213469858,27460.4917774246,,,,,58.4508336192233,,,,,,,-0.0033607456118907,25828.9031876603,,,,,58.3177217323037,,,,,,,0.073802187805692
PF,French Polynesia,1988,1990,1980,0,5,7,25828.9031876603,,,,,58.3177217323037,,,,,,,0.073802187805692,25798.1160369159,,,,,58.1466759912713,,,,,,,1.52067397765549,25307.7045477138,,,1.14324983176495,,57.9148122108867,,,100.0,0.0,,,0.667437809861979
PF,French Polynesia,1990,1992,1990,0,5,7,25307.7045477138,,,1.14324983176495,,57.9148122108867,,,100.0,0.0,,,0.667437809861979,25731.776022059,28.0868109831146,11.591,1.26465406101387,,57.6407935962462,,,100.0,,,,0.991765889246977,24899.5108111715,25.4283058428538,11.724,1.18140427593833,,57.3455797495631,,,100.0,,,,0.0008078010390184
PF,French Polynesia,1992,1994,1990,0,-1,7,24899.5108111715,25.4283058428538,11.724,1.18140427593833,,57.3455797495631,,,100.0,,,,0.0008078010390184,24158.449666239,25.9394872099636,11.778,2.1294304152948,,57.0501302730509,,,100.0,,,,-0.0914064262877958,23373.7127446694,27.1901234146028,11.98,3.20891958013527,,56.7754047689228,,,100.0,,,,0.0421639773134425
PF,French Polynesia,1994,1996,1990,1,4,7,23373.7127446694,27.1901234146028,11.98,3.20891958013527,,56.7754047689228,,,100.0,,,,0.0421639773134425,22928.4986555237,26.7832819250945,11.941,2.52403341313134,,56.5423628393921,,,100.0,,,,0.0496776416746394,22434.729936296,28.3722706445301,11.92,3.72996086681403,,56.3745197204973,,,100.0,0.091,,,0.0852121445111656
PF,French Polynesia,1996,1998,1990,1,2,7,22434.729936296,28.3722706445301,11.92,3.72996086681403,,56.3745197204973,,,100.0,0.091,,,0.0852121445111656,22051.9807859615,28.994505833521,11.866,3.67073581365877,,56.2537812085595,,,100.0,0.214,,,0.381890462646663,22071.0627604129,31.7457142873678,11.791,3.92408650936134,,56.1410902357594,,,100.0,1.32,,,0.274903588255971
PF,French Polynesia,1998,2000,1990,1,2,7,22071.0627604129,31.7457142873678,11.791,3.92408650936134,,56.1410902357594,,,100.0,1.32,,,0.274903588255971,22136.2587286349,28.3786554614037,11.701,4.36102931096342,,56.0390680212033,,,100.0,3.45,,,0.113252830817374,22498.8285530328,27.9447311178519,11.583,4.51512129821948,,55.954253994428,,,100.0,6.35706,,,0.274309551727134
PF,French Polynesia,2000,2002,2000,1,2,7,22498.8285530328,27.9447311178519,11.583,4.51512129821948,,55.954253994428,,,100.0,6.35706,,,0.274309551727134,22076.5919162624,,11.665,,,55.8931875849702,,,100.0,6.25159,,,0.662843284040967,21932.9195333418,,11.71,,,55.8631794440685,,,100.0,8.20022,,,0.275657450690165
PF,French Polynesia,2002,2004,2000,1,2,7,21932.9195333418,,11.71,,,55.8631794440685,,,100.0,8.20022,,,0.275657450690165,22055.6419702196,,11.751,,,55.9283550220738,,,100.0,14.1243,,,1.18132772419036,21919.9410589378,,11.702,,,56.2729949941787,,,100.0,17.8845,,,0.11538274817529
PF,French Polynesia,2004,2006,2000,1,2,7,21919.9410589378,,11.702,,,56.2729949941787,,,100.0,17.8845,,,0.11538274817529,21661.4244664054,58.8757396449704,11.722,3.05963576025818,11.3765528432702,56.8472850820701,,24.0238879284824,100.0,21.5422,75.3966397549806,6.9003073706832,0.137052859567267,21545.5997136473,56.6132574828647,11.768,2.94803658150196,10.4789642043309,57.5825834325129,,21.8658427654155,100.0,25.108,76.5642816610966,5.86331521204061,0.521428395296917
PF,French Polynesia,2006,2008,2000,1,2,7,21545.5997136473,56.6132574828647,11.768,2.94803658150196,10.4789642043309,57.5825834325129,,21.8658427654155,100.0,25.108,76.5642816610966,5.86331521204061,0.521428395296917,21648.532237682,57.455468093766,11.74,2.55076680608596,10.9597415980395,58.4102481922721,,22.0795122922782,100.0,28.59,76.3347448453831,5.62405285809541,0.878420113685228,21493.4178311249,58.0396477672874,11.76,2.26578407008733,11.4106060108903,59.2616375081129,,23.6192446580514,100.0,33.87,76.5467171172042,3.79277056000442,0.194543891308964
PF,French Polynesia,2008,2010,2000,1,0,7,21493.4178311249,58.0396477672874,11.76,2.26578407008733,11.4106060108903,59.2616375081129,,23.6192446580514,100.0,33.87,76.5467171172042,3.79277056000442,0.194543891308964,20499.7723032831,51.6750777052154,11.963,2.30302105096859,11.773205502115,60.0681095268001,,21.2501353517459,100.0,44.6,76.3101605227329,2.63301304524565,0.331741593749197,19913.0252687915,54.0438821122259,12.133,2.26967001717539,11.0986590055797,60.7610223950988,,21.3911151590594,100.0,49.0,76.9287632078003,-0.125940676465703,1.05647287708659
PF,French Polynesia,2010,2012,2010,1,3,2,19913.0252687915,54.0438821122259,12.133,2.26967001717539,11.0986590055797,60.7610223950988,,21.3911151590594,100.0,49.0,76.9287632078003,-0.125940676465703,1.05647287708659,19241.6437951625,56.2319854247632,12.257,2.4923805279951,10.6655686354141,61.2717342597741,,18.2181058584856,100.0,49.0,77.6556280682359,-1.57315539210433,2.15733093027309,18968.4422157904,57.8806819793666,12.134,2.63770555361179,10.8171081124528,61.5286539604592,,18.5225671624855,100.0,52.8766,77.1321311382398,-1.08613630131157,2.58568836654249
PF,French Polynesia,2012,2014,2010,1,3,2,18968.4422157904,57.8806819793666,12.134,2.63770555361179,10.8171081124528,61.5286539604592,,18.5225671624855,100.0,52.8766,77.1321311382398,-1.08613630131157,2.58568836654249,18930.1268887012,56.0619675585513,12.027,3.02217318220315,10.61847623722,61.6130486661995,,19.2753722131297,100.0,56.8,76.7117929149884,0.273082380466491,1.64472839380472,18928.1858620128,56.2324578944225,11.894,3.17771114316168,10.7946268451445,61.6824807401268,,18.7512101903912,100.0,60.68,76.1640900544518,2.13337338648821,1.00664512234416
PF,French Polynesia,2014,2016,2010,1,3,2,18928.1858620128,56.2324578944225,11.894,3.17771114316168,10.7946268451445,61.6824807401268,,18.7512101903912,100.0,60.68,76.1640900544518,2.13337338648821,1.00664512234416,19166.9594761931,55.6304686354336,11.794,3.22845890100068,10.8248430549639,61.7374742154907,,19.9241635999246,100.0,64.5602,75.8292424041396,3.56766268863082,0.488319553216919,19516.0718353276,53.6164949427793,11.727,3.21708081765994,10.6679176130323,61.7744381369651,,18.6047335720481,100.0,68.4404,75.8534165347661,3.974567090436,1.11959443206211
PF,French Polynesia,2016,2018,2010,1,5,7,19516.0718353276,53.6164949427793,11.727,3.21708081765994,10.6679176130323,61.7744381369651,,18.6047335720481,100.0,68.4404,75.8534165347661,3.974567090436,1.11959443206211,20287.7685831663,54.5776905038178,11.595,3.0564999715999,10.3548389714295,61.7896941062846,,19.137286086385,100.0,72.7039,76.1354765942599,4.21035548811659,1.54351459172254,20674.4206829029,65.0146628512067,11.599,2.85240041681856,10.2875467388464,61.7888025236875,,27.0467501379179,100.0,,76.0093816438524,4.40353327934909,0.0967844740802214
PF,French Polynesia,2018,2020,2010,1,0,7,20674.4206829029,65.0146628512067,11.599,2.85240041681856,10.2875467388464,61.7888025236875,,27.0467501379179,100.0,,76.0093816438524,4.40353327934909,0.0967844740802214,21289.8751241139,63.3061124024003,11.591,2.25047826168236,10.6834624276376,61.7824142427508,,25.3054954915658,100.0,,76.1953426347701,3.37711946260212,0.21140096510623,19026.790444196,45.8331834386023,12.963,2.21570108763617,10.646123379638,61.7673100921,,21.2855657369767,100.0,,75.9039508824945,-5.73779899716142,-0.279061107774017
PF,French Polynesia,2020,2022,2020,1,3,2,19026.790444196,45.8331834386023,12.963,2.21570108763617,10.646123379638,61.7673100921,,21.2855657369767,100.0,,75.9039508824945,-5.73779899716142,-0.279061107774017,19626.2332540206,52.9788183937695,12.558,,,61.7399813226008,,22.0083668171371,100.0,,,-6.56943962167436,-0.427435261380748,20160.4994298379,69.5264023221442,11.793,,,61.6913806937112,,22.50674340275,100.0,,,-6.68760608810544,-0.168607958150952
