country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
PS,West Bank and Gaza,1990,1992,1990,4,-5,1,,,,,,65.3367502449023,,,,0.0,,,6.809,,,,10.653,,,65.7052491711444,,,,,,,6.751,,,,10.672,,,66.1038051489255,,,,,,,6.65,
PS,West Bank and Gaza,1992,1994,1990,4,-5,1,,,10.672,,,66.1038051489255,,,,,,,6.65,,,,10.685,,,66.5380301106892,,,,,,,6.501,,2137.38928909208,86.4558787324588,10.761,13.2627580628143,33.1481025568881,67.0135359888796,,38.8457074526079,,,53.5187985791158,-16.7305595610734,6.334,0.0
PS,West Bank and Gaza,1994,1996,1990,7,5,7,2137.38928909208,86.4558787324588,10.761,13.2627580628143,33.1481025568881,67.0135359888796,,38.8457074526079,,,53.5187985791158,-16.7305595610734,6.334,0.0,2189.26513719427,91.4859266479834,10.705,11.8191787498477,29.5235774338979,67.5359347159403,,36.021079566224,,,52.2206652857317,-18.4964055074936,6.161,3.73461679054466,2118.82007591199,89.2685358986391,10.731,13.0161895823557,26.5896292820272,68.1108382243154,,34.6286954481464,,,51.5104411074613,-21.2341623650868,5.988,5.19709056780854
PS,West Bank and Gaza,1996,1998,1990,7,5,7,2118.82007591199,89.2685358986391,10.731,13.0161895823557,26.5896292820272,68.1108382243154,,34.6286954481464,,,51.5104411074613,-21.2341623650868,5.988,5.19709056780854,2323.20642242172,90.3372519814884,10.507,11.4181605404543,23.2299590403745,68.7351827543561,7.08700591205709,32.7650406936539,97.9,,54.8007872759189,-20.6260971328262,5.817,4.33533698600989,2589.20364997364,88.9915925070062,10.422,11.7139485717095,22.9804808495993,69.4998723632721,5.57964505838268,32.1082649097792,98.5392990112305,,54.4422046314961,-18.130193224839,5.693,5.13725120968612
PS,West Bank and Gaza,1998,2000,1990,7,5,7,2589.20364997364,88.9915925070062,10.422,11.7139485717095,22.9804808495993,69.4998723632721,5.57964505838268,32.1082649097792,98.5392990112305,,54.4422046314961,-18.130193224839,5.693,5.13725120968612,2732.87293952355,96.3452893800337,10.339,10.6504026971343,24.7448023974527,70.6277576517327,5.54439180368747,39.3800337141787,98.6231536865234,,53.3058625210714,-17.8333957669976,5.583,4.44188476235941,2436.01207739636,87.6390949554896,10.625,9.68100890207715,21.4924888724036,72.0694328572656,2.79819892435758,30.642618694362,99.7,1.11131,58.2993323442137,-15.1173034124629,5.457,1.43744162248919
PS,West Bank and Gaza,2000,2002,2000,7,5,15,2436.01207739636,87.6390949554896,10.625,9.68100890207715,21.4924888724036,72.0694328572656,2.79819892435758,30.642618694362,99.7,1.11131,58.2993323442137,-15.1173034124629,5.457,1.43744162248919,2153.45735383203,82.7259784699153,21.493,8.47216324899468,24.0227789294902,73.7258284491139,1.22278475878898,29.0531258585808,99.1,1.83685,59.9920073931613,-21.9322127032495,5.342,0.478966972250668,1836.98042481351,76.2528826143203,27.465,8.0319478035885,20.0686202823556,75.4978748965208,5.70951585976626,25.3810675516058,99.2,3.10009,66.3648124191462,-23.2830867877833,5.216,0.265481748129816
PS,West Bank and Gaza,2002,2004,2000,7,5,15,1836.98042481351,76.2528826143203,27.465,8.0319478035885,20.0686202823556,75.4978748965208,5.70951585976626,25.3810675516058,99.2,3.10009,66.3648124191462,-23.2830867877833,5.216,0.265481748129816,2041.60484619659,76.398689516129,23.004,6.98084677419355,23.1905241935484,77.2865026687292,4.40303221730888,27.9460685483871,99.1,4.13062,62.7772177419355,-21.9279233870968,5.062,0.324395161290323,2426.41565630382,81.1235906237101,23.215,11.1403184810237,19.9887032651908,78.9926422349822,3.00417498638593,24.1489431035606,99.5,4.4009,57.4199995655102,-27.2055788490365,4.971,0.445786535161087
PS,West Bank and Gaza,2004,2006,2000,7,5,15,2426.41565630382,81.1235906237101,23.215,11.1403184810237,19.9887032651908,78.9926422349822,3.00417498638593,24.1489431035606,99.5,4.4009,57.4199995655102,-27.2055788490365,4.971,0.445786535161087,2632.24627423958,83.8363540589578,20.016,8.98999161090193,20.9844509042667,80.5172240645229,4.10725070715931,23.8601556860526,99.6,16.005,57.3170493786215,-29.9627367969253,4.867,0.707064400959869,2540.26763083127,82.6374735897388,19.014,11.3867958042743,18.3553652562497,81.7611786265942,3.84234125624782,20.9524521810669,99.7,18.41,58.2558943963502,-30.8340968158106,4.739,0.347548940784922
PS,West Bank and Gaza,2006,2008,2000,7,5,15,2540.26763083127,82.6374735897388,19.014,11.3867958042743,18.3553652562497,81.7611786265942,3.84234125624782,20.9524521810669,99.7,18.41,58.2558943963502,-30.8340968158106,4.739,0.347548940784922,2569.98434108953,91.9992434272745,18.282,8.92583867806111,17.5679625840398,82.596126313073,1.85974379351111,19.9580446034011,98.8,21.176,60.5155011434565,-31.6780439156078,4.627,0.33694998022594,2685.98601828464,79.4799190194791,22.913,10.1280367695338,17.336944626833,83.0979098899913,9.88999788691849,17.9675530750711,99.8,24.358,57.4660757277304,-25.9780586561611,4.509,0.70458524841322
PS,West Bank and Gaza,2008,2010,2000,2,6,5,2685.98601828464,79.4799190194791,22.913,10.1280367695338,17.336944626833,83.0979098899913,9.88999788691849,17.9675530750711,99.8,24.358,57.4660757277304,-25.9780586561611,4.509,0.70458524841322,2840.01594969395,75.1511928466305,20.452,10.0213957975191,17.5581582299615,83.5050344815957,2.75393485083151,18.1938483990254,99.9,32.23,57.8342011204967,-24.9601147705208,4.44,3.7160419011341,2927.08101953403,68.4976501575169,21.416,9.00273717915612,18.6262459329649,83.8853491139676,3.74915727597096,18.8493518566338,99.9,37.4,57.6987037132676,-19.0466353354336,4.434,1.85860711452246
