country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
PT,Portugal,1980,1982,1980,2,-1,7,64.79892765942044,54.235250133883,,,,41.2547184618848,44.04643884767414,30.5838102782466,,,,20.2946314951522,0.477104383867876,64.91700622509379,55.5761399788775,,,,41.9033242658881,45.376515061826765,33.0189373072736,,,,17.6514287833054,0.545658052239058,65.1572303041978,55.7622044487812,,,,42.5551485072777,46.331080092242544,33.251829033182,,,,17.9111132927126,0.471810169311415
PT,Portugal,1982,1984,1980,2,-1,7,65.1572303041978,55.7622044487812,,,,42.5551485072777,46.331080092242544,33.251829033182,,,,17.9111132927126,0.471810169311415,65.05528492235605,58.927638630084,,,,43.2089646875993,47.08372437497029,31.2311648375623,,,,17.7991076775881,0.539059396254523,64.69013576785801,64.4120956691972,,,,43.8635463083987,48.32986209884647,25.2328737649247,,,,16.6641694943365,0.786032725358159
PT,Portugal,1984,1986,1980,-1,2,10,64.69013576785801,64.4120956691972,,,,43.8635463083987,48.32986209884647,25.2328737649247,,,,16.6641694943365,0.786032725358159,65.0893269103752,61.5163983775733,,,,44.5176668712215,45.53694458678603,23.3291206937512,,,,18.9329995042464,1.01061383736377,65.72390790781728,54.0200662667425,,,,45.1700998776134,42.23092695190141,23.6602774212003,,,,21.8707820313441,0.614648795347915
PT,Portugal,1986,1988,1980,2,-1,7,65.72390790781728,54.0200662667425,,,,45.1700998776134,42.23092695190141,23.6602774212003,,,,21.8707820313441,0.614648795347915,66.71787970256159,59.5758532762961,,,,45.8196188291202,40.48708655331779,26.1869124419172,,,,22.808800317513,0.966875348980073,67.88989444789624,63.1993819858485,,,,46.4649972272877,40.81857686033016,27.9144523787855,,,,22.4522006224534,1.635542856077
PT,Portugal,1988,1990,1980,2,-1,7,67.88989444789624,63.1993819858485,,,,46.4649972272877,40.81857686033016,27.9144523787855,,,,22.4522006224534,1.635542856077,68.91180742190713,64.8688963786966,,,,47.1050085736614,42.4337098552618,27.1313200505982,,,,22.5071148504116,2.86643686551845,69.56652609796546,65.0555926306887,,,,47.7384263697872,42.948549981967936,26.7384490633109,100.0,0.0,,21.063473942081,3.31579014605628
PT,Portugal,1990,1992,1990,2,-1,5,69.56652609796546,65.0555926306887,,,,47.7384263697872,42.948549981967936,26.7384490633109,100.0,0.0,,21.063473942081,3.31579014605628,70.28740362910094,60.3666002157807,3.919,,,48.365859825148,41.94684806992435,25.431263295328,100.0,0.1,,18.3786652460623,2.74387019076576,70.47319698014915,56.3072775978983,3.985,,,49.0028717408102,40.43205559075994,24.179414659137,100.0,0.25,,17.387838509797,1.74123247233614
PT,Portugal,1992,1994,1990,-1,2,10,70.47319698014915,56.3072775978983,3.985,,,49.0028717408102,40.43205559075994,24.179414659137,100.0,0.25,,17.387838509797,1.74123247233614,70.12335363022324,54.1752326633391,5.301,,,49.6589521380037,38.07876043991266,22.6713385886989,100.0,0.45,,15.0011084236761,1.6144453804152,70.23392149974899,57.1773600156865,6.709,,,50.3288062784649,36.592867357569965,22.6947732611181,100.0,0.719,,15.928801021102,1.27368069158282
PT,Portugal,1994,1996,1990,2,1,8,70.23392149974899,57.1773600156865,6.709,,,50.3288062784649,36.592867357569965,22.6947732611181,100.0,0.719,,15.928801021102,1.27368069158282,70.84943926595602,59.9144721620053,7.064,4.80044172792782,24.8145536044126,51.008291015927,34.99975420935848,23.2815275215569,100.0,1.49,58.5057679863327,17.8183692228102,0.579546715045669,71.34030603190537,60.2098050471666,7.298,4.59074611683019,25.4394109793019,51.6932632041232,33.07331710853086,23.8237858649358,100.0,2.98,57.8081147566446,17.2954762363255,1.28145373512428
PT,Portugal,1996,1998,1990,2,1,8,71.34030603190537,60.2098050471666,7.298,4.59074611683019,25.4394109793019,51.6932632041232,33.07331710853086,23.8237858649358,100.0,2.98,57.8081147566446,17.2954762363255,1.28145373512428,71.9578903001016,62.3049515024583,6.571,3.83106344355608,25.7156123620847,52.3795796967868,31.54262729072891,25.9973618932139,100.0,4.95,58.4485262329211,18.5276821403806,2.31647209170026,72.62830854561501,63.8308988570361,4.64,3.54171643876714,25.3364915790029,53.063097347651,32.069717572510115,27.3482230413821,100.0,9.87,58.5501692130929,19.1491177084241,4.89835270210409
PT,Portugal,1998,2000,1990,2,1,8,72.62830854561501,63.8308988570361,4.64,3.54171643876714,25.3364915790029,53.063097347651,32.069717572510115,27.3482230413821,100.0,9.87,58.5501692130929,19.1491177084241,4.89835270210409,73.15090341874915,63.3143298172237,4.579,3.28917248565999,24.8681230004472,53.7396730104491,31.550097690880392,27.5911355459617,100.0,14.7,58.9529553552053,18.6774403934741,0.581077558591109,73.63761909680926,67.4529979863247,3.806,3.10974828415915,24.4615743968679,54.4051635389142,32.652511761014495,28.0030505913879,100.0,16.4305,60.0222194629272,17.7328819978157,6.14861920837231
PT,Portugal,2000,2002,2000,2,1,8,73.63761909680926,67.4529979863247,3.806,3.10974828415915,24.4615743968679,54.4051635389142,32.652511761014495,28.0030505913879,100.0,16.4305,60.0222194629272,17.7328819978157,6.14861920837231,73.83276492667402,65.0919551771122,3.829,2.96074957358316,24.1438842401402,55.0679833009212,35.21407144047787,27.3815897887365,100.0,18.0871,60.5837971257288,17.9401888310683,5.02761444190448,73.86800917640663,62.3082594169772,4.497,2.72289086156617,23.4969886519634,55.789299869679,34.0204650278779,25.8571046731868,100.0,19.37,61.2380592224029,17.7427945455409,0.436137292252841
PT,Portugal,2002,2004,2000,2,1,8,73.86800917640663,62.3082594169772,4.497,2.72289086156617,23.4969886519634,55.789299869679,34.0204650278779,25.8571046731868,100.0,19.37,61.2380592224029,17.7427945455409,0.436137292252841,73.65838564754057,61.1389474883653,6.132,2.65118079570935,22.629715019166,56.5865509520713,33.35269485227555,23.7604429031882,100.0,29.67,62.1322775884069,16.7101416658003,6.26697257909762,73.90376659639809,63.2045936670279,6.319,2.60214117997755,22.2369566238035,57.4171857647664,31.60825329828088,23.4240673865132,100.0,31.78,62.5652601326721,15.9538332845928,1.312247289237
PT,Portugal,2004,2006,2000,3,2,4,73.90376659639809,63.2045936670279,6.319,2.60214117997755,22.2369566238035,57.4171857647664,31.60825329828088,23.4240673865132,100.0,31.78,62.5652601326721,15.9538332845928,1.312247289237,73.99868027789181,62.944504560452,7.582,2.30349335448735,21.3833086063294,58.2450763389585,31.403319626576664,23.1265756274961,100.0,34.99,62.9727336595912,14.5824444596038,1.70741232717781,74.22771797089067,68.5470531182009,7.649,2.25313751520814,21.1476529637361,59.0340947058419,33.146341486119994,22.5328535552248,100.0,38.01,62.894552522885,15.0934290940801,6.41633004151996
PT,Portugal,2006,2008,2000,3,2,4,74.22771797089067,68.5470531182009,7.649,2.25313751520814,21.1476529637361,59.0340947058419,33.146341486119994,22.5328535552248,100.0,38.01,62.894552522885,15.0934290940801,6.41633004151996,74.59237859536671,69.9461175817991,7.965,1.99815593954667,21.153352846176,59.7481128966109,31.808790235666283,22.5096224343179,100.0,42.09,63.501585543125,15.5421378002584,2.50093088549298,74.62030318144198,72.0757429221604,7.553,1.96377185231981,20.3862797641316,60.3510029424595,32.10367015334333,22.8522358901842,100.0,44.13,64.7713259125775,14.0259083972571,2.96892594201258
PT,Portugal,2008,2010,2000,3,2,4,74.62030318144198,72.0757429221604,7.553,1.96377185231981,20.3862797641316,60.3510029424595,32.10367015334333,22.8522358901842,100.0,44.13,64.7713259125775,14.0259083972571,2.96892594201258,74.097610190591,61.4926935267759,9.432,1.95062621184125,19.857190463856,60.8066368745822,17.5571465131641,21.2015952644164,100.0,48.27,66.787257798424,13.9372993877421,2.35133912553896,74.36586762732824,67.6892401927983,10.771,1.94034870976094,19.9335310982463,61.0788867241731,29.007759796849587,20.648039322463,100.0,53.3,65.9900107723019,13.5653827340746,3.77376819569615
PT,Portugal,2010,2012,2010,2,3,4,74.36586762732824,67.6892401927983,10.771,1.94034870976094,19.9335310982463,61.0788867241731,29.007759796849587,20.648039322463,100.0,53.3,65.9900107723019,13.5653827340746,3.77376819569615,74.11288807057717,73.0075756700531,12.715,1.8384390598893,19.3319728029358,61.1410698395502,34.10830345085799,18.4841132585209,100.0,55.25,66.2727108617798,14.4768304173321,4.23648756430888,73.51618219648981,75.9411067187813,15.509,1.92004687349348,19.0867583864245,61.1409793914666,32.491234259149124,15.8781657037328,100.0,60.34,66.391814938701,15.2595655301822,7.21535195239496
PT,Portugal,2012,2014,2010,2,3,4,73.51618219648981,75.9411067187813,15.509,1.92004687349348,19.0867583864245,61.1409793914666,32.491234259149124,15.8781657037328,100.0,60.34,66.391814938701,15.2595655301822,7.21535195239496,73.44576330635238,78.0305056874282,16.237,2.04188706497902,18.8830973772949,61.1405315215642,24.114970562188123,14.8309176782448,100.0,62.0956,66.8740172770633,15.7809249051105,6.43654323197598,73.6501967148977,80.220669072079,13.88,1.97659101484386,18.9850440099134,61.1394537361116,20.34995250103353,15.1107479627964,100.0,64.5924,66.307724667619,15.4939160384072,5.43851031792652
PT,Portugal,2014,2016,2010,2,3,4,73.6501967148977,80.220669072079,13.88,1.97659101484386,18.9850440099134,61.1394537361116,20.34995250103353,15.1107479627964,100.0,64.5924,66.307724667619,15.4939160384072,5.43851031792652,73.96879170712384,80.6346756266443,12.405,1.97541250129625,19.5938498258589,61.137469211538,25.310312256660843,15.6540732098538,100.0,68.6329,65.4357541364739,16.6786460647071,0.63522205292535,74.33671696795255,79.5223464844001,11.058,1.92235840837832,19.448178094831,61.1343011242723,25.906230589172548,15.7267272276065,100.0,70.4236,65.4115109280948,17.2161938248247,3.56282992803299
PT,Portugal,2016,2018,2010,3,2,7,74.33671696795255,79.5223464844001,11.058,1.92235840837832,19.448178094831,61.1343011242723,25.906230589172548,15.7267272276065,100.0,70.4236,65.4115109280948,17.2161938248247,3.56282992803299,74.89743344089304,84.8077923069539,8.878,1.96367345206825,19.2493833127062,61.1296726507436,28.897911108776924,17.085659362742,100.0,73.7912,65.2644211981992,18.5238514889657,5.02041551787587,75.38759137279733,86.7356954918399,6.966,1.91817470918666,19.3820435381975,61.1233069673808,27.568284732502008,17.8287896047353,100.0,74.661,65.1189858053297,19.1441871483734,3.46584287446499
PT,Portugal,2018,2020,2010,3,2,7,75.38759137279733,86.7356954918399,6.966,1.91817470918666,19.3820435381975,61.1233069673808,27.568284732502008,17.8287896047353,100.0,74.661,65.1189858053297,19.1441871483734,3.46584287446499,75.81713416125247,86.7709889083586,6.422,1.99991845769704,18.886083188208,61.114927250613,24.49170575897513,18.4328254718014,100.0,75.3464,65.5860785423015,19.3035289611196,4.5038935303436,74.43073246815705,76.5086407209215,6.85,2.14089692520428,19.3945333422241,61.1042566768691,22.14836711582184,19.4962993707914,100.0,78.2617,65.5669578738445,17.421968728919,1.8141455418251
PT,Portugal,2020,2022,2020,3,2,6,74.43073246815705,76.5086407209215,6.85,2.14089692520428,19.3945333422241,61.1042566768691,22.14836711582184,19.4962993707914,100.0,78.2617,65.5669578738445,17.421968728919,1.8141455418251,75.19591438814457,85.8735452148975,6.712,2.16204629838151,19.312836959793,61.0951249296597,28.554979555474127,20.5029780421601,100.0,82.309,65.0687062575411,18.1580765763002,3.60836004516304,76.1646695659857,101.364146479435,6.138,1.90543676193935,18.4032428555898,61.1259255772782,39.05428830930792,20.5732413117937,100.0,84.4969,66.1933718129425,18.9727356392509,5.08368921917481
