country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
PW,Palau,1980,1982,1980,0,-5,3,12200.0394079192,,,,,62.4972349560031,,,,,,,,12026.0087552939,,,,,63.1576808592472,,,,,,,,11705.4143401685,,,,,64.2480509816361,,,,,,,
PW,Palau,1982,1984,1980,2,0,3,11705.4143401685,,,,,64.2480509816361,,,,,,,,11645.3385186735,,,,,65.544093215348,,,,,,,,11881.2113504154,,,,,66.8044337222809,,,,,,,
PW,Palau,1984,1986,1980,2,3,3,11881.2113504154,,,,,66.8044337222809,,,,,,,,12205.9021146611,,,,,67.7876986643326,,,,,,,,12561.1379136831,,,,,68.3207771487378,,,,,,,
PW,Palau,1986,1988,1980,2,3,3,12561.1379136831,,,,,68.3207771487378,,,,,,,,12957.597682184,,,,,68.6666057173071,,,,,,,,13371.9123984864,,,,,68.9443870022281,,,,,,,
PW,Palau,1988,1990,1980,2,2,3,13371.9123984864,,,,,68.9443870022281,,,,,,,,13815.8620006478,,,,,69.211569040623,,,,,,,1.16549378947404,14267.2030292809,,,,,69.5314760089153,,,96.6253509521484,0.0,,,1.02351732691501
PW,Palau,1990,1992,1990,2,2,3,14267.2030292809,,,,,69.5314760089153,,,96.6253509521484,0.0,,,1.02351732691501,14626.7506821665,,,,,69.9517325157421,,,96.7627029418945,,,,0.938479831599179,13369.5378843558,,,,,70.4277022862451,,,96.8999328613281,,,,0.954459856850111
PW,Palau,1992,1994,1990,0,-5,3,13369.5378843558,,,,,70.4277022862451,,,96.8999328613281,,,,0.954459856850111,11450.7876932719,,,,,70.8789048721161,,,97.036491394043,,,,0.0,11995.1002591467,,,,,71.2273418983072,,,97.1716842651367,,,,0.0
PW,Palau,1994,1996,1990,2,3,3,11995.1002591467,,,,,71.2273418983072,,,97.1716842651367,,,,0.0,12973.7721461444,,,,,71.3933455111353,,,97.3048400878906,,,,-0.173527187991919,13950.6540169015,,,,,71.2484528378583,,,97.4352722167969,,,,0.0
PW,Palau,1996,1998,1990,2,2,3,13950.6540169015,,,,,71.2484528378583,,,97.4352722167969,,,,0.0,13913.7053142486,,,,,70.7652327658767,,,97.5623092651367,,,,0.0,13873.2631344013,,,,,70.1693100482288,,,97.6852645874023,,,,0.0
PW,Palau,1998,2000,1990,0,-3,3,13873.2631344013,,,,,70.1693100482288,,,97.6852645874023,,,,0.0,12862.3318892685,,,,,69.6896962372638,,,97.8033752441406,,,,0.0,12346.4680054398,,,3.88968593632123,14.514815887267,69.5876201801789,,,97.9,,75.9950575685799,,2.12478668414242
PW,Palau,2000,2002,2000,2,3,3,12346.4680054398,,,3.88968593632123,14.514815887267,69.5876201801789,,,97.9,,75.9950575685799,,2.12478668414242,13134.260646066,,,3.68688610750326,18.0489669330534,70.5337109001769,,,98.0,,72.5490005041406,,-0.898020616551961,13647.052731145,,,3.82517016413318,21.4159130551758,72.3817031907384,-1.30123617436562,,98.0,20.2439,68.879122386656,,1.16871076909742
PW,Palau,2002,2004,2000,0,-3,3,13647.052731145,,,3.82517016413318,21.4159130551758,72.3817031907384,-1.30123617436562,,98.0,20.2439,68.879122386656,,1.16871076909742,13250.6865944432,,,3.85675682639417,17.5173954501465,74.5444848058291,0.922874093605824,,98.1,21.6015,72.6706592472875,,2.97199034007855,13599.4436174869,,,3.89359972572218,15.1582911347474,76.445323887982,4.96407576747217,,98.1,26.9703,73.6226594712152,,4.114502379294
PW,Palau,2004,2006,2000,2,2,3,13599.4436174869,,,3.89359972572218,15.1582911347474,76.445323887982,4.96407576747217,,98.1,26.9703,73.6226594712152,,4.114502379294,13992.4700518965,118.684212734217,,4.08337291692719,13.4058206780497,77.574268209537,3.9514623522091,42.1747617732992,98.9,,72.0005230899413,4.85924276350573,2.07999540108908,14186.1538388023,126.265837749007,,4.72285205343983,11.5471464275683,78.306895759147,4.42981143370254,38.4904134558231,98.3,,75.5421610442326,-0.342341851456968,17.1907556831123
PW,Palau,2006,2008,2000,2,2,3,14186.1538388023,126.265837749007,,4.72285205343983,11.5471464275683,78.306895759147,4.42981143370254,38.4904134558231,98.3,,75.5421610442326,-0.342341851456968,17.1907556831123,14590.4803753503,114.786531729944,,3.9905383389779,10.8073757207828,79.019601300651,3.23875035826881,34.5283266349813,98.4,,76.6431616849906,0.69305022099783,2.18299929466235,14045.7297946023,126.283114552247,,4.22490119467945,8.91521358713081,79.6639213135968,11.9655746807329,32.0111366814208,98.5,,78.9699570659116,-5.21053474094411,2.35823849904737
