country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
QA,Qatar,1990,1992,1990,4,3,4,83.87782618223859,,,,,92.9237368851153,32.943249344485096,,100.0,0.0,,,0.0663003894128917,83.10218262002003,,0.87,,,93.4360979613416,35.28187337984623,,100.0,,,,0.617998084291188,84.28065655296905,,0.87,,,93.9055949154706,33.05685468737309,,100.0,,,,0.517645865952036
QA,Qatar,1992,1994,1990,6,-2,9,84.28065655296905,,0.87,,,93.9055949154706,33.05685468737309,,100.0,,,,0.517645865952036,83.58351533650251,,0.87,,,94.3339062703838,17.399713119319156,,100.0,,,,1.0067638807644,83.32956051466005,78.6499268740476,0.87,,,94.7227105489626,28.74315651850761,,100.0,,,35.6256771411339,1.78792976081869
QA,Qatar,1994,1996,1990,3,3,7,83.32956051466005,78.6499268740476,0.87,,,94.7227105489626,28.74315651850761,,100.0,,,35.6256771411339,1.78792976081869,83.24159893498829,87.6679520311654,0.87,,,95.0736862740883,32.857045614923784,,100.0,0.19,,36.0947938842049,1.1496806582902,83.47071441290844,83.5092210549861,0.87,,,95.3885119686424,35.94646951199604,,100.0,0.93,,39.7076631400917,3.74055930799852
QA,Qatar,1996,1998,1990,3,3,7,83.47071441290844,83.5092210549861,0.87,,,95.3885119686424,35.94646951199604,,100.0,0.93,,39.7076631400917,3.74055930799852,86.95510940764926,84.4470388418955,0.87,,,95.6663501954995,35.85437985904083,,100.0,3.08,,47.546445245208,3.7027555955361,87.7875950127754,91.0581255555736,0.87,,,95.9063773884453,32.84702812830953,,100.0,3.52,,43.1074181113288,3.38647719168747
QA,Qatar,1998,2000,1990,4,3,4,87.7875950127754,91.0581255555736,0.87,,,95.9063773884453,32.84702812830953,,100.0,3.52,,43.1074181113288,3.38647719168747,87.60540745619335,85.7329697856399,0.87,,,96.1111838707823,31.175200362747983,,100.0,4.07,,53.2309192879785,0.913812595597526,88.00504665132662,89.6126597159917,0.87,0.372799554496798,,96.2942718926638,29.76512292239548,,100.0,4.86368,,65.1053429446524,1.41667543235467
QA,Qatar,2000,2002,2000,6,-2,9,88.00504665132662,89.6126597159917,0.87,0.372799554496798,,96.2942718926638,29.76512292239548,,100.0,4.86368,,65.1053429446524,1.41667543235467,87.82410664077295,94.968671679198,0.87,0.37593984962406,,96.4674307551724,29.225509938198464,,100.0,6.17027,,65.93671679198,1.68498245614035,88.159558343337,88.4697236252199,0.87,0.256795868565916,,96.6424497593905,23.903708968146905,,100.0,10.2261,,64.8629476193179,3.2221054423699
QA,Qatar,2002,2004,2000,6,-2,9,88.159558343337,88.4697236252199,0.87,0.256795868565916,,96.6424497593905,23.903708968146905,,100.0,10.2261,,64.8629476193179,3.2221054423699,88.0113246948242,90.1649486943021,0.87,0.234640393168579,,96.8311182064009,31.37359594102969,,100.0,19.2423,,68.0982454501944,2.65541575709466,90.17156237101022,90.3724288385622,0.87,0.181799293579888,,97.0472579559041,38.09416769473722,,100.0,20.7016,,69.475032897015,3.77817958307362
QA,Qatar,2004,2006,2000,6,-2,9,90.17156237101022,90.3724288385622,0.87,0.181799293579888,,97.0472579559041,38.09416769473722,,100.0,20.7016,,69.475032897015,3.77817958307362,90.28242142113952,94.7455441696331,0.87,0.133258478262211,,97.3016654918171,39.867555401247145,,100.0,24.7335,,69.7435391230852,5.61413033419499,91.34860234177896,98.570919313572,0.87,0.121835107463077,,97.5827378795062,41.93863149806079,,100.0,28.9741,,68.9532559304367,5.74881210770224
QA,Qatar,2006,2008,2000,6,-2,9,91.34860234177896,98.570919313572,0.87,0.121835107463077,,97.5827378795062,41.93863149806079,,100.0,28.9741,,68.9532559304367,5.74881210770224,90.54093066401305,96.1141057101106,0.52,0.109942375031018,,97.8663125111735,43.015554980196846,,100.0,37.0,,70.4572086354738,5.89621991232182,90.48751609074876,89.4328416546905,0.31,0.124647566750798,,98.1295193937322,43.66315293358271,,100.0,44.3,,74.4098307128745,3.27806417009269
QA,Qatar,2008,2010,2000,6,-2,9,90.48751609074876,89.4328416546905,0.31,0.124647566750798,,98.1295193937322,43.66315293358271,,100.0,44.3,,74.4098307128745,3.27806417009269,90.37670416300074,80.1441629727012,0.31,0.123319456383116,,98.3494885340955,8.595154464872882,,100.0,53.1,,65.089919266488,8.3076413079166,93.0997090058036,87.1111970364642,0.45,0.119332537783081,,98.5066232166665,12.743133208842536,,100.0,69.0,,69.481314569014,3.77775259249383
QA,Qatar,2010,2012,2010,6,-2,8,93.0997090058036,87.1111970364642,0.45,0.119332537783081,,98.5066232166665,12.743133208842536,,100.0,69.0,,69.481314569014,3.77775259249383,94.98765845297804,98.7216351018991,0.56,0.0966101306365461,73.2142681700731,98.6300610210909,28.108778312812056,,100.0,69.0,28.5571358862424,75.5496133957315,0.559389030984015,94.79730342321052,105.746286433535,0.48,0.0942544487805739,73.4692107035411,98.7428010471968,31.492712695020327,,100.0,69.3,28.482929798816,74.3429391507395,0.211888706229028
QA,Qatar,2012,2014,2010,6,-2,8,94.79730342321052,105.746286433535,0.48,0.0942544487805739,73.4692107035411,98.7428010471968,31.492712695020327,,100.0,69.3,28.482929798816,74.3429391507395,0.211888706229028,93.97338302974909,102.383154379024,0.28,0.0960782118116757,71.768350592851,98.8357621827901,33.35815564393023,,100.0,85.3,30.3225601318276,70.8803821562716,-0.422882374002756,92.97420575430644,99.0343138952759,0.2,0.117230483122807,69.7579989822263,98.901627838826,33.58817544962283,,100.0,91.49,32.8507789166305,68.7519534728198,0.504490726802349
