country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
RS,Serbia,1990,1992,1990,-2,3,11,,,,,,50.3664886343009,,,100.0,,,,,,,13.371,,,50.8151651099233,,,100.0,,,,,,,13.397,,,51.299314734908,,,100.0,,,,
RS,Serbia,1992,1994,1990,0,4,6,,,13.397,,,51.299314734908,,,100.0,,,,,,,13.416,,,51.8163433117438,,,100.0,,,,,,,13.405,,,52.3566205795925,,,100.0,,,,
RS,Serbia,1994,1996,1990,-1,2,11,,,13.405,,,52.3566205795925,,,100.0,,,,,43.35790137230584,12.5744954171822,13.4,14.1606311127223,35.2953415243484,52.9113216254578,56.40381206116375,10.6363930111044,100.0,,44.0562074917052,10.2995578743291,0.0,44.30658342268187,27.3190037104059,13.2,15.3085844937352,31.6062105699369,53.4716215363434,57.51363780398929,10.3924966279946,100.0,,45.7246331594131,6.97353115764985,0.0
RS,Serbia,1996,1998,1990,-2,3,11,44.30658342268187,27.3190037104059,13.2,15.3085844937352,31.6062105699369,53.4716215363434,57.51363780398929,10.3924966279946,100.0,,45.7246331594131,6.97353115764985,0.0,45.694242792769856,32.6780204946957,13.8,14.6714414120921,31.071682848602,54.028695399253,46.8662189733481,11.2308465663505,100.0,,47.1407900006914,6.64648051471573,0.0,46.572309318460775,39.1669755756981,13.7,14.1347121830083,30.948270829289,54.5737183011903,48.782474105540416,11.2489243558119,100.0,,46.4739517304522,4.19730245287219,0.0
RS,Serbia,1998,2000,1990,-2,3,11,46.572309318460775,39.1669755756981,13.7,14.1347121830083,30.948270829289,54.5737183011903,48.782474105540416,11.2489243558119,100.0,,46.4739517304522,4.19730245287219,0.0,44.9234305582133,24.1979423920709,13.7,15.7111824571448,30.3432481685121,55.0978653291589,51.34885824377052,10.4747103318631,100.0,,45.5529867515152,3.46254613887396,0.0,45.89343585702981,21.109043880746,12.6,14.6669778316554,35.1538213869747,55.5923115701625,55.25844469873776,11.6099546865985,99.9,,42.1683445806512,4.4404756502592,0.0
RS,Serbia,2000,2002,2000,-2,3,5,45.89343585702981,21.109043880746,12.6,14.6669778316554,35.1538213869747,55.5923115701625,55.25844469873776,11.6099546865985,99.9,,42.1683445806512,4.4404756502592,0.0,46.94673254404121,53.8950786178485,12.8,12.7777822955607,32.5337516849194,56.0482321112049,57.46590456269042,11.8296339650732,99.8,,42.1354129005756,0.283719211828074,0.0,47.94537448443031,54.302882889577,13.8,8.51013913494866,31.0933385156358,56.462901503343,45.54803272589266,14.6643831280374,100.0,,43.8225594875756,1.45479458674559,0.0
RS,Serbia,2002,2004,2000,-1,3,5,47.94537448443031,54.302882889577,13.8,8.51013913494866,31.0933385156358,56.462901503343,45.54803272589266,14.6643831280374,100.0,,43.8225594875756,1.45479458674559,0.0,48.683762128453125,58.2946720222191,15.2,7.02904112121838,28.8089951022913,56.8784264526306,40.660252002278085,16.6034392821689,99.7,,47.4583563009651,4.21187784706321,0.0,49.733226122178,72.2876162455649,18.5,7.62709744796992,29.8266761335649,57.3144555999278,41.43598266340251,19.3912200813942,99.6,23.5,45.2096860967778,1.53236270402791,0.0
RS,Serbia,2004,2006,2000,-1,5,14,49.733226122178,72.2876162455649,18.5,7.62709744796992,29.8266761335649,57.3144555999278,41.43598266340251,19.3912200813942,99.6,23.5,45.2096860967778,1.53236270402791,0.0,50.67785844242907,71.9925488520017,20.85,6.16013694013165,28.929036607637,57.7508909888183,44.16109912140957,19.254267304221,99.7,26.3,47.9964379991408,5.01004636388601,0.0,51.33821684763132,75.529235364472,20.85,6.22223200235689,29.108060215991,58.1709152910668,41.87113263402625,21.1836643543655,99.6,27.2,47.8357001781043,4.13319523663907,0.0
RS,Serbia,2006,2008,2000,0,4,14,51.33821684763132,75.529235364472,20.85,6.22223200235689,29.108060215991,58.1709152910668,41.87113263402625,21.1836643543655,99.6,27.2,47.8357001781043,4.13319523663907,0.0,52.58170671114824,72.7165875771534,18.06,5.50486565149148,28.2391713833774,58.5577111784378,37.67993449739909,23.60012476264,99.6,33.15,49.6679056035865,4.68106101905344,9.85383583099953,53.43582273979297,75.7432462868839,13.67,6.35977347846117,27.5052601244094,58.8944613226962,42.276896238246735,23.470962898577,99.6,35.6,49.9740332503476,4.93896812628231,7.48017377130846
RS,Serbia,2008,2010,2000,0,5,14,53.43582273979297,75.7432462868839,13.67,6.35977347846117,27.5052601244094,58.8944613226962,42.276896238246735,23.470962898577,99.6,35.6,49.9740332503476,4.93896812628231,7.48017377130846,52.99888415752001,63.5017226157541,16.116,5.99159503176742,24.3265430810242,59.1643483956067,39.29872007613619,18.5980956940405,99.6,38.1,53.9628891389745,5.74199789141546,6.23823937763422,53.31189314627736,73.7088615865295,19.204,6.11650941889437,25.0306267248726,59.3505550689338,37.41534211688001,17.5450937651917,99.7,40.9,52.9129127744788,5.59177788606997,3.88925451665989
RS,Serbia,2010,2012,2010,0,5,9,53.31189314627736,73.7088615865295,19.204,6.11650941889437,25.0306267248726,59.3505550689338,37.41534211688001,17.5450937651917,99.7,40.9,52.9129127744788,5.59177788606997,3.88925451665989,53.43869666491455,75.7493613069523,22.959,6.34800451775273,26.27931177307,59.4349187787267,41.50690123401202,17.3249042888346,99.7,42.2,52.2712525828359,5.84773276772646,9.6203440965999,53.444986511476266,82.0766814348254,24.0,6.04364014215639,26.5789003129754,59.3468437194824,38.602475481175375,19.9488493046734,99.8,48.1,52.3042523803937,5.58284536327742,2.82759932149649
RS,Serbia,2012,2014,2010,1,6,9,53.444986511476266,82.0766814348254,24.0,6.04364014215639,26.5789003129754,59.3468437194824,38.602475481175375,19.9488493046734,99.8,48.1,52.3042523803937,5.58284536327742,2.82759932149649,53.59161714794814,84.3322563766638,22.154,6.29965191728962,27.8782873721815,59.6111068725586,38.93239295269812,16.3735582258297,99.9,53.4504,51.069034379434,9.24584546404908,4.08141056622247,53.38278426329782,88.3815023270446,19.223,6.11737533592784,26.5460326998823,59.8779373168945,30.93063804342754,15.8714091473802,99.7,62.0751,51.9408244194964,8.74268335590874,4.07119376860245
RS,Serbia,2014,2016,2010,1,5,9,53.38278426329782,88.3815023270446,19.223,6.11737533592784,26.5460326998823,59.8779373168945,30.93063804342754,15.8714091473802,99.7,62.0751,51.9408244194964,8.74268335590874,4.07119376860245,53.66434272503836,93.5281477663237,17.66,5.60595319138529,26.6399519622231,60.1388092041016,28.97488183596065,16.8018814009636,99.9,65.317,51.8159405243436,11.7564082544311,5.67381755834409,54.20510487145086,97.6906940431804,15.257,5.70664096571472,26.5319225334739,60.3853870034026,28.050632131189683,16.9932725263997,99.9,67.0568,51.329177657504,13.3835730872453,5.57770746372387
RS,Serbia,2016,2018,2010,1,5,9,54.20510487145086,97.6906940431804,15.257,5.70664096571472,26.5319225334739,60.3853870034026,28.050632131189683,16.9932725263997,99.9,67.0568,51.329177657504,13.3835730872453,5.57770746372387,54.65394369946684,102.740445166934,13.477,5.05778606525606,26.6030717363846,60.621208190918,33.19017068718667,17.7771152801229,100.0,70.3308,52.0475699154042,13.2428618299978,6.29636171721257,55.450629908382254,105.563713028559,12.733,5.20468651078978,25.809720124861,60.8433609008789,30.617427839146902,19.9497037988206,100.0,73.3607,52.5465914880611,14.2759660572976,7.71374568954873
RS,Serbia,2018,2020,2010,4,0,13,55.450629908382254,105.563713028559,12.733,5.20468651078978,25.809720124861,60.8433609008789,30.617427839146902,19.9497037988206,100.0,73.3607,52.5465914880611,14.2759660572976,7.71374568954873,56.26086662998237,107.577309546092,10.395,4.76474851493196,25.5321158663518,61.0492248535156,30.3235236987484,22.2768602015312,99.8,77.4168,53.1890492036739,15.2713103171306,7.92487427143519,56.21572483692581,100.324460810129,9.011,5.05373769401741,24.2814549023693,61.223201751709,29.54419623842888,21.4496502483732,100.0,78.368,54.5312198459318,15.9832079941881,6.23865408002072
RS,Serbia,2020,2022,2020,4,0,14,56.21572483692581,100.324460810129,9.011,5.05373769401741,24.2814549023693,61.223201751709,29.54419623842888,21.4496502483732,100.0,78.368,54.5312198459318,15.9832079941881,6.23865408002072,57.560412821611,112.342298324945,9.843,5.15586469879064,24.3847589364029,61.363899230957,34.79355235847057,23.0512890463903,100.0,81.1659,54.2584607355448,17.283594159632,6.95312089132574,58.37177480030496,131.913292283516,8.439,5.33794223775032,25.2215655826672,61.9013813540396,42.02573209961554,23.9110631560903,100.0,83.5383,54.2740773134141,15.9472475230622,6.90354140371273
